country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
France,Planet of the Apes,Chapter 1,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Basically Earth society in space,Same languages as Earth,Benign / easily survivable,Normalized / widespread (space habitation is ordinary for humanity),Other / Unsure,Adventure / exploration,Entirely civilian,Like the ocean / naval,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),Chapter 1 is a framing chapter where Jinn and Phyllis are leisurely sailing through space on holiday. There is no conflict or contestation over space; it is portrayed as a peaceful vacation destination.,"Jinn and Phyllis are traveling through space for pleasure but do not inhabit or hold territory. They are tourists sailing between stars, with no mention of permanent settlements in deep space.","The couple sails between stars in a triple-star system, and the message they find was written in the language of Earth, implying vast interstellar distances. The manuscript has drifted through space in a bottle, suggesting extreme separation.","Jinn and Phyllis live a leisurely, wealthy lifestyle comparable to Earth society. Interplanetary voyages are described as everyday, with tourists visiting stock exchanges and wondrous sites, mirroring Earth social structures.","The manuscript found in the bottle is written in the language of the Earth, which Jinn knows perfectly, having been partly educated on Earth. This indicates Earth languages persist in space.","Space is presented as a pleasant environment for sailing and holidaying. Jinn and Phyllis lounge comfortably in their sphere, and the only danger mentioned is occasional magnetic storms near system borders.","The chapter states that interplanetary voyages are everyday occurrences and interstellar travel is not uncommon. Tourists, financiers, and leisure travelers routinely move between stars.","The chapter does not describe any political structure or governance in space. The focus is entirely on Jinn and Phyllis's private leisure voyage, with no mention of nations or authorities.","The chapter sets up a sense of wonder and discovery as Jinn and Phyllis find a mysterious bottle containing a manuscript floating in space, establishing an adventure-driven narrative frame.","All space activity described is civilian: tourism, finance, leisure sailing. There is no mention of any military presence or activity in space.","Space travel is explicitly characterized using sailing metaphors. Jinn's vessel uses a sail propelled by light pressure, he uses nautical terms like tiller, broadside, and port/starboard, and Phyllis compares their ship to a becalmed sailing vessel.","Space is described as a void with no gravity, propelled by light radiation from multiple suns. The environment requires specialized sail-ships and diving suits, and physics like light-pressure navigation define the setting."
France,Planet of the Apes,Chapter 2,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Somewhat different (manageable environmental differences),The chapter describes the peaceful launch and voyage of a scientific expedition from Earth to Betelgeuse. There is no conflict or contestation over space; the journey is a collaborative scientific enterprise.,"Ulysse mentions that all planets of the solar system are inhabited, indicating widespread permanent settlement. However, the interstellar voyage to Betelgeuse is an unprecedented first expedition.","Betelgeuse is 300 light-years from Earth. Due to time dilation, the crew ages only two years, but 350 years pass on Earth. A round trip would mean returning to an Earth 700-800 years older, making it effectively a one-way journey.","The spaceship carries an Earth-like garden with vegetables, flowers, birds, and a pet chimpanzee. The crew maintains Earth customs, playing chess and having intellectual conversations. Society aboard mirrors Earth life.",The crew members speak French and communicate normally in Earth languages. The manuscript is written in an Earth language. There is no indication of any different space language.,"The voyage requires enduring 1.5x gravity during acceleration and deceleration phases, and the crew lives without a natural sun. However, the craft provides adequate light, food, and comfort, making survival manageable.","This is explicitly described as the first interstellar voyage ever attempted. The crew consists of only three people. While solar system planets are inhabited, interstellar travel is brand new.",The chapter focuses on the expedition itself and does not describe political organization in space. Professor Antelle privately funded and organized the mission.,"The chapter is devoted entirely to the expedition to Betelgeuse, describing the ambitious journey, the ship's technology, and the wonder of seeing the star grow from a speck to a new sun.","The expedition is a privately funded scientific venture led by Professor Antelle, accompanied by a physician and a journalist. There is no military involvement whatsoever.","The voyage to Betelgeuse is framed as a pioneering expedition into the unknown, analogous to colonial-era exploration. Professor Antelle hopes to find a world very different from Earth, echoing frontier discovery narratives.",The ship provides artificial light and a garden to compensate for the lack of a natural sun. The crew experiences altered gravity during acceleration but otherwise lives comfortably. The environment differs from Earth but is managed with technology.
France,Planet of the Apes,Chapter 3,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Other / Unsure,Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,The chapter describes the crew's peaceful approach and landing on a planet orbiting Betelgeuse. There is no conflict; the focus is on scientific observation and the excitement of discovery.,"The crew leaves their main ship in orbit and descends in a small launch for exploration. They are temporary visitors to this new world, with no intention of permanent settlement.","The crew has traveled 300 light-years from Earth and two years have passed aboard while centuries elapsed on Earth. They are now on a planet orbiting Betelgeuse, completely separated from their home world.","The planet Soror has an atmosphere like Earth's and green meadows, but the crew flies over a town with alien architecture. The planet is inhabited by an unknown civilization with broad streets and white houses, entirely separate from Earth culture.",The crew has just landed and has not yet encountered the inhabitants or attempted communication. No information about the local language is available yet.,"The planet's atmosphere has the same composition as Earth's air. The surface has green grass, oceans, continents, and cultivated fields. The environment appears hospitable and Earth-like.","Only three humans from Earth have made this journey. They are the sole representatives of humanity on this alien world, making human presence in this part of space exceptionally rare.","The crew observes a town and cultivated fields from the air, suggesting organized civilization, but the political structure of this world is completely unknown at this point.","The chapter is dominated by the thrill of discovery as the crew orbits and lands on a new planet, observing its oceans, continents, towns, and forests with mounting excitement.",The landing is a scientific exploration mission. The crew uses instruments for observation and relies on robots for maneuvers. There is no military element.,"The crew's descent to an unknown inhabited world, their observation of alien towns and cultivated landscapes, and their landing in a clearing all evoke the experience of frontier explorers encountering new lands.","The planet has an atmosphere identical to Earth's, oceans, continents, green grass reminiscent of Normandy meadows, and cultivated fields. The resemblance to Earth is repeatedly emphasized, with only the coastline shapes and a slightly green-tinged sky differing."
France,Planet of the Apes,Chapter 4,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Almost Earth-like,The chapter focuses on Pavlovian conditioning tests performed on captive humans by ape scientists. There is no contestation over space itself; the setting is entirely within an ape research facility.,"The apes have a fully developed civilization on Soror with research institutes, hierarchical social structures, and organized scientific establishments, indicating permanent, governed habitation.","Ulysse remains 300 light-years from Earth, trapped in an ape research facility on Soror. Earth is centuries away in both distance and time dilation, making return seem impossible.","Apes are the dominant intelligent species running scientific institutions, with gorillas as warders and orangutans as senior scientists. Humans are treated as lab animals subjected to Pavlovian experiments, inverting Earth's social order completely.","The apes speak their own simian language that Ulysse cannot understand. He attempts to learn words like 'Mi Zaius' and 'Zira' but communication remains extremely limited, highlighting a completely distinct language.","While the planet itself is physically hospitable, Ulysse faces the constant risk of being treated as a lab animal. He must navigate dangerous experiments including electric shocks and combined stress tests designed to induce neurosis.",Ulysse is the sole intelligent human from Earth on this planet. His companions are dead or missing. He is an isolated explorer trapped among an alien civilization.,"The ape society on Soror appears to operate under a single organized system with orangutans like Zaius holding scientific authority, gorillas as warders, and chimpanzees like Zira in research roles. There is no mention of competing states.","The chapter is driven by Ulysse's emotional humiliation as he is subjected to animal conditioning experiments and his desperate attempts to prove his intelligence to the ape scientists, particularly the skeptical Zaius.",The setting is a scientific research institute. All activities involve biological experiments and scientific observation. There is no military presence or activity.,Space is not characterized like any particular military domain in this chapter. The focus is entirely on a scientific laboratory setting on an alien planet.,"The physical environment on Soror continues to resemble Earth. The research facility operates with familiar technology like electric generators, bells, and whistles. The planet's conditions require no special adaptation."
France,Planet of the Apes,Chapter 5,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Other / Unsure,Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,The chapter focuses on the crew's encounter with a beautiful but feral human woman at a lake. There is no conflict over space or territory; the scene is one of discovery and first contact.,"The three explorers from Earth are temporary visitors on Soror, having just landed and begun exploring the jungle. They have no settlement or territorial claim.","The crew is on a planet 300 light-years from Earth orbiting Betelgeuse, completely cut off from home with centuries of time dilation separating them from their departure point.","The human woman Nova is beautiful but completely feral, unable to speak, reacting like a frightened animal to human voices and smiles. She kills the pet chimpanzee Hector with her bare hands, revealing a world where humans exist in a bestial state.","Nova produces only animal-like throat sounds described as shrill mewing or whining. She cannot speak any language. The Earth crew speaks among themselves in their own language, but no local language system is evident.","The jungle environment is physically Earth-like with a lake and waterfall, but the encounter with Nova reveals hidden dangers. She strangles the chimpanzee Hector, demonstrating that the apparently benign setting harbors lethal threats.","Only the three crew members from Earth are present as space travelers. The local humans are primitive natives, not space-faring beings.",No political structure is evident. The crew encounters only a single feral woman. The governance of this world remains unknown.,"The chapter follows the classic exploration narrative as the crew discovers human footprints, encounters a beautiful wild woman at a waterfall, and attempts to make peaceful contact with her in an alien jungle.",The crew is on a scientific exploration mission. Their encounter with Nova is purely a first-contact situation with no military context.,"The crew's jungle exploration, discovery of native inhabitants, and attempt to tame the wild woman Nova strongly evoke frontier and colonial exploration narratives of encountering indigenous peoples.","The environment features an equatorial jungle, a lake with a waterfall, and green vegetation. Nova's appearance is physically human. The only non-Earth element is the red light of Betelgeuse illuminating the scene."
France,Planet of the Apes,Chapter 6,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Comedy / satire,Entirely civilian,Other / Unsure,Almost Earth-like,"The chapter takes place entirely within the ape research institute, focusing on intelligence tests and the pairing of human captives. There is no conflict or contestation over space.","The ape civilization on Soror is firmly established with institutional infrastructure including research facilities, organized scientific hierarchies, and systematic management of captive populations.",Ulysse remains stranded 300 light-years from Earth on Soror with no means of return and centuries of time dilation separating him from his home world.,"Ape scientists conduct intelligence tests on humans including puzzle-box problems and food-retrieval challenges. Orangutan Zaius and a colleague evaluate Ulysse like a lab specimen, and humans are paired for mating studies, completely inverting Earth norms.",Ulysse has learned a few simple words of the simian language and practices them with Zira. The apes speak their own articulate language while the native humans produce only animal sounds.,"Ulysse is physically well-cared-for in his cage but faces the humiliation and risk of being treated as a lab animal. He excels at tests but the orangutans refuse to acknowledge his intelligence, leaving him vulnerable.","Ulysse is the sole intelligent human from Earth, trapped among captive feral humans in an ape research facility. No other space travelers exist on this world.","The ape society operates under a unified institutional structure with orangutans as senior scientists giving orders to chimpanzees and gorilla warders, suggesting a single coordinated system of governance.","The chapter is deeply satirical, with Ulysse being paired with Nova for ape mating studies and subjected to tests originally designed for animals on Earth. The irony of a human being evaluated by apes using human-invented methods drives dark comedy.","All activities are scientific research conducted in a biological institute. The ape hierarchy is academic and institutional, not military.",Space is not characterized as any particular military domain. The chapter is set entirely within an alien scientific institution.,"The research facility uses familiar technology like pulleys, boxes with mechanical locks, and standard laboratory equipment. The physical environment requires no special adaptation from Ulysse."
France,Planet of the Apes,Chapter 7,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Comedy / satire,Entirely civilian,Other / Unsure,Almost Earth-like,The chapter focuses on ape scientists studying human mating behavior in captivity. There is no conflict over space; the entire scene takes place within the research institute's cages.,"The ape civilization continues to be shown as a fully governed society with organized institutions, systematic scientific research programs, and clear chains of command.","Ulysse remains trapped on Soror, 300 light-years from Earth, with no prospect of return. His separation from Earth is total.","Apes systematically study human sexual behavior, forcing captives to mate while taking copious notes. Ulysse is compelled to perform a courtship dance under observation, representing a complete inversion of the human-animal relationship on Earth.",The apes continue to communicate in their own simian language. Ulysse understands some of Zira's speech but cannot fully converse yet. The native humans produce only animal cries.,"Ulysse faces physical threats from gorilla pikes when he refuses to cooperate with mating experiments. His safety depends on compliance with ape demands, though his basic needs are met.","Ulysse remains the only space traveler from Earth, isolated among feral humans and observing apes in a research facility.","Zaius gives decisive orders that are immediately carried out by Zira and the gorilla warders, demonstrating a clear unified command structure in the ape institution.","The chapter reaches peak satirical intensity as Ulysse, a self-described king of creation, is forced to perform a peacock-like courtship dance around Nova while apes take notes and an orangutan dictates observations to his secretary.",The setting remains a civilian scientific research institute. The activities are biological research with no military involvement.,There is no characterization of space as any military domain in this chapter. The focus is entirely on captive behavioral experiments.,"The physical environment within the institute is completely Earth-like in its conditions. No environmental adaptation is needed; the challenges Ulysse faces are social, not physical."
France,Planet of the Apes,Chapter 8,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Comedy / satire,Entirely civilian,Other / Unsure,Almost Earth-like,The chapter focuses on Ulysse's growing complacency in captivity followed by his breakthrough in communicating with Zira through geometry. There is no conflict over space itself.,"The ape civilization is further revealed as fully developed with an Institute for Advanced Biological Study, towns, and a complex social hierarchy including chimpanzees, gorillas, and orangutans in distinct roles.","Ulysse draws diagrams showing Earth's solar system and Betelgeuse's system to explain his origin to Zira, emphasizing the vast interstellar distance. He is completely cut off from Earth with centuries of time dilation.","Ape society has its own evolutionary theory where apes are the pinnacle of evolution and humans are a lower branch. Chimpanzees are intellectuals, gorillas are aristocratic power-holders, and orangutans represent official but rigid science. This is a completely alien social order.","Zira and Ulysse establish communication through geometry first, then she learns French while he learns simian language. Within two months they converse, but the ape world has its own distinct language system.","Ulysse is physically comfortable but must hide his intelligence from Zaius on Zira's warning. He is kept on a leash when taken outside and must behave like a tame animal in public, indicating ongoing risk to his safety.",Ulysse is the sole intelligent human from Earth. His uniqueness is central to the chapter as he uses diagrams of solar systems to prove his extraterrestrial origin to Zira.,"Zira describes ape society as having abolished racial barriers between the three ape families. Orangutans hold official scientific authority, gorillas enjoy power and organization, and chimpanzees are the intellectual class, all within one unified system.","The chapter is deeply satirical in its depiction of ape evolutionary theory mirroring Earth's but inverted, with Zira explaining that apes evolved to wisdom through four hands while humans stagnated. Ulysse being walked on a leash adds absurdist humor.",All activities are within a civilian scientific institute. Zira takes Ulysse on an outing into the town. There is no military presence.,Space is not characterized as any military domain. The chapter focuses on communication breakthroughs and learning about ape civilization.,"The town Ulysse visits has sidewalks, buildings, motor cars, and shops. The physical environment is entirely Earth-like, requiring no adaptation beyond social concealment of his intelligence."
France,Planet of the Apes,Chapter 9,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"The chapter depicts a massive organized hunt where armed gorillas systematically shoot and kill humans in a forest drive. This represents a violent, strategic conflict between the dominant ape species and primitive humans.","The apes conduct organized hunts with military-like precision, using beaters, posted hunters, nets, and caged transport vehicles. Their civilization controls and governs the territory with infrastructure including roads and hunting lodges.","Ulysse is on Soror, 300 light-years from Earth. His companion Arthur Levain is killed during the hunt, further severing his connection to Earth and leaving him utterly alone and unreachable.","Gorillas in tailored hunting jackets and checked shirts hunt naked humans for sport, complete with loaders, beaters, and a chimpanzee photographer documenting trophies. She-gorillas pin locks of human hair on their hats. The social order is a horrifying inversion of Earth norms.",The gorilla hunters chat in an articulate language among themselves. Ulysse hears an exclamation that sounds like an oath from the hunter. The apes have their own fully developed spoken language distinct from any Earth language.,"Ulysse is caught in a lethal hunt where humans are systematically shot, killed, and displayed as trophies. Arthur Levain is killed. Ulysse barely escapes gunfire only to be trapped in a net. Survival pressure is extreme and constant.",Ulysse is now the sole surviving Earth explorer after Levain's death. Professor Antelle's fate is unknown. Human presence from Earth is reduced to a single individual.,The hunt is organized with aristocratic gorilla nobles directing chimpanzee and gorilla servants in a clear hierarchical structure. The society appears to operate as a single coordinated authority.,"The chapter is a terrifying survival scenario. Ulysse witnesses mass slaughter of humans by armed gorillas, sees Levain shot dead, narrowly dodges gunfire, and is captured in a net. The horror of humans displayed as hunting trophies is visceral.","The hunt is a recreational sport for aristocratic gorillas, not a military operation. She-gorillas watch from armchairs and pose for photos with the game. It is a civilian leisure activity, albeit a horrifying one.",The organized hunt of primitive humans by a dominant species closely parallels colonial-era hunts and the treatment of indigenous peoples. The apes treat humans as game animals in their controlled frontier territory.,"The forest, clearings, and landscape are physically similar to Earth. The apes use familiar technology like rifles, tractors, and cameras. The physical environment presents no alien challenges."
France,Planet of the Apes,Chapter 10,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"The aftermath of the hunt reveals an ongoing dynamic of ape dominance over humans. Captive humans struggle desperately against their captors, showing fierce resistance, but the apes maintain total control through organized force.","The chapter reveals extensive ape infrastructure: caged transport vehicles, a stone hunting lodge with an inn, cultivated plains with cereals, and a town with broad streets and motor cars. The territory is fully settled and governed.","Ulysse is captive on Soror, now bereft of Levain who was killed. He is 300 light-years from Earth with no way to communicate or return, making his separation effectively permanent.","The apes display trophy human bodies like game, with she-gorillas cutting locks of human hair for their hats and posing for photographs beside corpses. Humans are sorted into cages and transported like livestock. The social order is completely alien.",The gorillas chat together in articulate language while organizing captives. A chimpanzee driver hums a melancholy tune. The apes have a fully developed language and cultural expression completely distinct from Earth languages.,Ulysse is caged with violent fellow captives who threaten to strangle him. He witnesses the display of human corpses as hunting trophies. He is transported in a locked cage toward an unknown destination under constant threat.,"Ulysse is the only Earth human, now a captive among primitive Soror humans. His attempt to communicate by speaking is met with brutal silencing by a gorilla stuffing a glove in his face.","The ape society shows a clear unified hierarchy: noble gorilla hunters give orders to servant gorillas and chimpanzees who execute them. A team leader organizes the convoy and captive sorting, all under one system.","The chapter features horrifying scenes of human corpses displayed as hunting trophies, she-gorillas posing beside bodies, and Ulysse breaking into hysterical laughter at the sight of Levain's corpse being sat upon by an ape for a photograph.","The hunt is a civilian sport. The ape society shown includes tradesmen, she-gorillas in armchairs, and a photographer. The convoy moves through agricultural land and past a grocer's shop. Everything is civilian.",The organized transport of captive humans in caged carts through cultivated lands to a town mirrors colonial practices of capturing and transporting subjugated peoples. The apes are colonizers governing their territory.,"The landscape includes cultivated cereal fields, a stone house with red tiles and green shutters, palm-like trees, and a town with paved streets and motor cars. The physical environment is nearly identical to Earth."
