country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,Aelita,A Strange Notice,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,The chapter is set entirely on Earth in Petrograd. Los posts a notice seeking a companion for a flight to Mars. No conflict occurs.,No space territory is depicted. All action takes place on Earth.,No space journey occurs in this chapter.,No space society is depicted.,Characters speak Russian in post-revolutionary Petrograd.,No space environment is experienced.,No one is in space.,No space governance is depicted.,"Los posts a notice inviting companions for a flight to Mars, establishing the adventure premise of the novel.",Los is a civilian engineer building a rocket. The mission is privately initiated.,No space domain is portrayed.,No space environment is experienced.
Russia,Aelita,A Fellow-Traveller,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,"Set on Earth. Gusev, a demobilized Red Army soldier, volunteers to join Los. No conflict occurs.",No space territory is depicted.,No space journey occurs.,No space society is depicted.,Characters speak Russian. American journalist Skiles speaks English.,No space environment is experienced.,No one is in space.,No space governance is depicted.,"Gusev volunteers for the Mars expedition. The chapter establishes his adventurous, restless character.","Though Gusev is a war veteran, the mission is entirely civilian. He volunteers as a private citizen.",No space domain is portrayed.,No space environment is experienced.
Russia,Aelita,The Workshop,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,Set on Earth. Los works in his workshop preparing the egg-shaped rocket. No conflict occurs.,No space territory is depicted.,No space journey occurs.,No space society is depicted.,Characters speak Russian in Petrograd.,No space environment is experienced.,No one is in space.,No space governance is depicted.,"Los prepares the spaceship, explaining its ultralyddite propulsion system. The technical preparation drives the adventure.",Los is a civilian engineer. The rocket is funded by the Soviet Republic but is not military.,No space domain is portrayed.,No space environment is experienced.
Russia,Aelita,A Sleepless Night,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,"Set on Earth. Los spends a sleepless night before departure, haunted by memories of his dead wife Katya.",No space territory is depicted.,No space journey occurs.,No space society is depicted.,Characters speak Russian.,No space environment is experienced.,No one is in space.,No space governance is depicted.,The chapter focuses on Los's grief over his dead wife and his emotional state before departure. Personal drama dominates.,Los is a civilian grieving in his home.,No space domain is portrayed.,No space environment is experienced.
Russia,Aelita,The Same Night,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,Set on Earth. Gusev spends the night before departure with his wife Masha. No conflict occurs.,No space territory is depicted.,No space journey occurs.,No space society is depicted.,Characters speak Russian.,No space environment is experienced.,No one is in space.,No space governance is depicted.,Gusev's restless character and his relationship with his devoted wife Masha are explored in this personal drama chapter.,Gusev is a demobilized soldier now acting as a civilian.,No space domain is portrayed.,No space environment is experienced.
Russia,Aelita,Black Sky,No contestation,Cannot inhabit or hold territory,Short interplanetary journey,Other / Unsure,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),The launch proceeds without opposition. A crowd watches the rocket take off from Petrograd.,The travelers are merely passing through space in their egg-shaped rocket. No territory is inhabited or claimed.,The journey to Mars takes approximately 24 days Earth time. The launch chapter begins this short interplanetary trip.,No space society exists. Only two men are in the rocket.,Los and Gusev speak Russian to each other.,"The egg-shaped rocket is cramped. The travelers experience the black sky of space, extreme acceleration, and the void beyond Earth's atmosphere.","Only Los and Gusev are in space, the first humans to leave Earth.",No space governance exists.,The dramatic launch before a crowd and ascent into the black sky define this as an adventure chapter.,The mission is civilian. Los is an engineer and Gusev a civilian volunteer.,"The pioneers launching into unknown territory evokes frontier exploration, like conquistadors setting sail for new lands.","The black sky, weightlessness, extreme acceleration, and confinement in the egg-shaped ship challenge the travelers."
Russia,Aelita,The Take-Off,No contestation,Cannot inhabit or hold territory,Short interplanetary journey,Other / Unsure,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),The journey through space proceeds without conflict. They nearly collide with a fragment of a dead planet but there is no adversarial contestation.,The travelers pass through empty space in their cramped rocket.,The journey to Mars takes approximately 19 hours ship-time but about 24 days Earth-time due to relativistic effects discussed by Los.,No space society exists.,Los and Gusev speak Russian.,"The cramped egg-shaped ship, near-collision with space debris, and Los's discussion of time dilation demonstrate the harshness of space travel.",Only two humans are in space.,No space governance exists.,The interplanetary journey with its near-collision and scientific observations drives the adventure narrative.,The mission is entirely civilian.,Two pioneers crossing unknown territory toward a new world evokes frontier exploration.,"Time dilation, near-collision with planetary fragments, and the void of interplanetary space challenge human experience."
Russia,Aelita,Mars,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Other / Unsure,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Los and Gusev land on Mars peacefully. They encounter no opposition upon landing in a dried canal bed.,The travelers land temporarily on Mars. They have no settlement or outpost.,They have just completed the approximately 24-day journey from Earth to Mars.,No Martian society has been encountered yet.,Los and Gusev speak Russian to each other on Mars.,"Mars has thin dry air, low gravity, orange soil, and giant spiders. The environment is alien and harsh.","Only Los and Gusev are on Mars, the first humans to set foot there.",No governance is encountered yet.,"Landing on Mars and exploring the alien landscape with its cactuses, orange soil, and giant spiders defines this as exploration.",The mission remains entirely civilian.,Landing in an unknown alien landscape evokes frontier exploration and discovery of new territory.,"Thin dry air, low gravity, two moons, close horizon, giant spiders, and alien terrain are fundamentally unlike Earth."
Russia,Aelita,The Descent,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Other / Unsure,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Los and Gusev explore the Martian surface peacefully. They encounter a Martian flyer but no conflict occurs.,The travelers explore temporarily. They have no settlement.,They have recently arrived on Mars after an approximately 24-day journey.,They glimpse a Martian flyer but do not yet interact with Martian society.,Los and Gusev speak Russian. They cannot communicate with the Martian they see.,"The alien terrain with its cactuses, giant spiders, and unfamiliar creatures presents constant environmental challenges.",Only Los and Gusev are on Mars.,No governance structure has been encountered.,Exploring the Martian surface and encountering a Martian for the first time drives the exploration narrative.,The mission is civilian exploration.,Exploring unknown terrain and encountering its inhabitants evokes frontier exploration.,"Low gravity, thin air, alien fauna, and an unfamiliar landscape challenge human experience."
Russia,Aelita,Los Looks At The Earth,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Other / Unsure,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Drama,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Los gazes at Earth from Mars. No conflict occurs in this reflective chapter.,The travelers are temporary visitors on Mars.,They are on Mars after the short interplanetary journey.,No Martian society is directly depicted in this chapter.,Los and Gusev speak Russian.,The alien Mars environment persists around them.,Only Los and Gusev are on Mars.,No governance is depicted.,Los's emotional reflection on Earth and his separation from it dominates this contemplative chapter.,The travelers are civilians.,The sense of vast separation from civilization evokes the frontier experience.,Looking at Earth as a distant star from an alien world highlights the radical difference from normal human experience.
