country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
China,Broken Stars,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Front matter contains publisher info, table of contents, dedication, and contributor bios. No narrative content depicting space.",No narrative content. Editorial and publishing information only.,No narrative content depicting any journey or distance.,No narrative content depicting any society.,No narrative content depicting language or communication.,No narrative content depicting any environment.,No narrative content depicting space habitation.,No narrative content depicting political order.,Front matter with no narrative content; not classifiable by genre.,No narrative content depicting civilian or military activity.,No narrative content providing any domain analogy.,No narrative content depicting any physical environment.
China,Broken Stars,Introduction,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Ken Liu's editorial introduction about curating the anthology of Chinese science fiction. Nonfiction, no narrative depicting space.",Nonfiction essay about translation and curation. No space habitation depicted.,No narrative depicting any space journey.,No narrative depicting space society.,No narrative depicting space communication.,No narrative depicting space environmental conditions.,No narrative depicting space habitation.,No narrative depicting space political order.,Nonfiction editorial introduction; not a narrative with classifiable genre.,No narrative depicting civilian or military space activity.,No narrative providing a space domain analogy.,No narrative depicting space physical conditions.
China,Broken Stars,Goodnight Melancholy,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"Near-future Earth story about a woman dealing with depression using therapeutic robots Lindy and Nocko, interweaved with fictionalized accounts of Alan Turing. No space setting or contestation.",No space setting. Story takes place entirely on near-future Earth with iWall and iVatar technology.,No space journey depicted. All action is Earth-based.,No space society depicted. Characters live in near-future Earth society.,No space language depicted. Communication is normal Earth language.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A deeply emotional drama about a woman's struggle with depression, her relationship with therapeutic AI robots, and parallels drawn to Alan Turing's life and his conversations with a machine called Christopher.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,Broken Stars,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Dark psychological story set in 1998 China about a teenage girl discovering her mentally ill mother has been secretly imprisoned by her father. Stars are metaphorical/astrological, not outer space.",No space setting. Story takes place entirely in a Chinese city in 1998.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A dark psychological thriller where teenager Tang Jiaming discovers her mother has been imprisoned behind one-way glass for over a decade. She kills her mother, imprisons her father, and plans revenge on her school tormenters.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,Moonlight,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"A man receives phone calls from future versions of himself, each presenting a different environmental catastrophe. Set entirely on Earth with time-travel communication, no space contestation.","No space setting. Story involves Earth-based environmental catastrophes (flooding, siliconization, magnetic field destruction).",No space journey depicted. Time-travel communication only.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A philosophical drama about a man who changes history three times in one night by receiving calls from future selves, each presenting a different catastrophic timeline, but ultimately changes nothing.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,Submarines,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,Allegorical story about peasant migrant workers who build crude submarines and live on the Yangtze River. No space setting or contestation.,No space setting. Story takes place on the Yangtze River in China.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"An allegorical drama about migrant workers building crude submarines on the Yangtze River. Social commentary on the urban-rural divide in China, with children kept in underwater cages and submarines eventually burning in a mysterious fire.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,Salinger and the Koreans,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Comedy / satire,Other / Unsure,Other / Unsure,Other / Unsure,"Surreal/satirical story where a Cosmic Observer watches North Korea conquer the world using a Quantum Reambiguator. The Cosmic Observer is abstract, not a space-based character. No space contestation.",No space habitation depicted. The Cosmic Observer is an abstract narrative device.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A darkly comic, absurdist political satire where North Korea conquers the world using a Quantum Reambiguator while a Cosmic Observer watches and Salinger loses his reclusive home.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,Under a Dangling Sky,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,Set in Rainville under a crystal dome sky. A dolphin named Giana rides a giant fountain through the crystal sky and discovers another planet nearby. The space content is minimal and fantastical rather than depicting contestation.,"The story hints at another planet beyond the crystal sky, but no space habitation is depicted. Characters live under a dome on their own world.",No space journey is depicted by human characters. Giana the dolphin breaks through the crystal sky but this is more fantastical than a space journey.,No space society depicted. The society lives under a dome in Rainville.,No space language depicted.,No space environment experienced by characters in a meaningful way.,No space habitation depicted.,No space political order depicted.,A fantasy/sci-fi hybrid about a narrator collecting underwater sounds and a dolphin named Giana who dreams of reaching the stars. She rides a giant fountain through a crystal sky and discovers another planet. The shattering of the crystal sky is an act of exploration and discovery.,No space domain activity depicted in civilian or military terms.,No space domain analogy applicable.,No space physical environment experienced by characters.
China,Broken Stars,The New Year Train,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Comedy / satire,Other / Unsure,Other / Unsure,Other / Unsure,Told as a TV interview transcript about an entrepreneur who creates a train using miniature black holes to bend space-time for faster travel during Spring Festival. The story is Earth-set and comedic; no space contestation.,No space habitation depicted. The train bends space-time but remains on Earth.,No space journey. The train manipulates space-time but travels between Chinese cities.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A comic story told as a TV interview about a train using miniature black holes for faster Spring Festival travel. The train vanishes with 1500 passengers but returns safely, with passengers enjoying the extended journey. Humorous tone throughout.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Broken Stars,The Robot Who Liked to Tell Tall Tales,Other / Unsure,Other / Unsure,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure,Other / Unsure,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"A Calvinoesque fable about a robot soldier sent to become the greatest storyteller. The robot drifts through space for millions of years, but there is no contestation or strategic struggle over space.",The robot drifts through space but there is no habitation or territorial holding. Space is a void through which the robot travels.,"The robot drifts through space for millions of years, passing black holes and star systems, in an effectively one-way, generational-scale journey.",No space society depicted. The robot is alone in space.,No space language barriers depicted. The robot communicates with Death and other characters through normal speech.,"Space is depicted as a vast emptiness through which the robot drifts for millions of years, passing black holes and dead star systems. Only a robot could survive such conditions.",The robot is essentially alone in space. No other inhabitants are encountered during its millions-year drift.,No space political order depicted.,"A fable about a robot soldier on a quest to become the greatest storyteller. It encounters a painter, writer, and wine connoisseur who each evade Death, drifts through space for millions of years, and fulfills quests before returning home.",The robot's space journey is neither civilian nor military in nature; it is a fantastical quest narrative.,Space is used as a mythical/fable setting rather than as an analogy for any real-world domain.,"The robot drifts through black holes, dead star systems, and vast emptiness for millions of years. The environment is fundamentally unlike Earth."
