book,country,classification,is_collection,n_stories,story_chapter_mapping,uncertain,agent_notes
A View from the Stars,China,collection,TRUE,19,one-per-chapter,FALSE,Liu Cixin mixed collection of standalone short stories and essays; each chapter file is an independent piece.
Broken Stars,China,anthology,TRUE,16,one-per-chapter,FALSE,Multi-author Chinese SF anthology edited by Ken Liu; Claude coded 16 story files (essays/introduction excluded).
Death's End,China,novel,FALSE,NA,novel,FALSE,Third volume of the Three-Body trilogy; single continuous Cheng Xin narrative across 6 parts.
The Dark Forest,China,novel,FALSE,NA,novel,FALSE,Second Three-Body novel; one continuous plot following Luo Ji across prologue + 3 parts.
The Redemption of Time,China,novel,FALSE,NA,novel,FALSE,Baoshu fan-novel sequel to Three-Body; single continuous narrative.
The Three-Body Problem,China,novel,FALSE,NA,novel,FALSE,Single coherent novel; chapter files cover one continuous Ye Wenjie / Wang Miao plot.
The Wandering Earth,China,novel,FALSE,NA,novel,FALSE,"In this corpus only the title novella is included (4 chapters, single first-person narrator), not the full short-story collection."
Vagabonds,China,novel,FALSE,NA,novel,FALSE,"Hao Jingfang novel with named POV sections; one continuous Luoying / Mars-Earth plot, not independent stories."
Tainaron: Mail from Another City,Finland,novel,FALSE,NA,novel,FALSE,Leena Krohn epistolary book of 30 letters with framing piece. Agent initially flagged as collection-of-letters; Donald reviewed (2026-05-25) and confirmed treatment as a single novel-in-letters.
The Causal Angel,Finland,novel,FALSE,NA,novel,FALSE,Third Jean le Flambeur novel by Rajaniemi; single continuous plot.
The Fractal Prince,Finland,novel,FALSE,NA,novel,FALSE,Second Jean le Flambeur novel; single continuous plot.
The Quantum Thief,Finland,novel,FALSE,NA,novel,FALSE,"First Jean le Flambeur novel; single continuous plot (Thief/Detective chapter alternation is POV-switching, not separate stories)."
Around the Moon,France,novel,FALSE,NA,novel,FALSE,Jules Verne sequel to From the Earth to the Moon; single continuous voyage narrative.
La Zone du Dehors,France,novel,FALSE,NA,novel,FALSE,Damasio dystopian novel; single continuous narrative.
