country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
China,Vagabonds,Part 1 - Prologue,Other / Unsure,Other / Unsure,Moderate journey (months/meaningful separation),Distinct space culture,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,No specific conflict depicted; abstract meditation on exile and belonging.,Abstract framing with no habitation details.,"The prologue implies two worlds separated by meaningful distance, with the children having traveled between them.",Two radically different worlds described: a 'tower of rigid rules' (Mars) and a 'garden of rambling disorder' (Earth).,No communication or language depicted.,No environmental conditions depicted.,No specific habitation details.,No political order depicted.,"Elegiac, literary prose-poetry about exile, identity, and the fall of utopia.",No domain activity depicted.,No domain analogy applicable.,No physical environment described.
China,Vagabonds,Part 1 - The Ship,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Multiple distinct space polities,Drama,Mostly civilian with some military presence,Like the ocean / naval,Very different (human bodies/technology constantly challenged),The ship traverses a route that witnessed both commercial competition and war. Terran delegates have conflicting national interests (Russia-China tensions). The ship exists because of a fragile ceasefire.,Mars is described as having a full republic. The ship connects two permanently settled worlds.,"The journey takes about 100 days. The ship is described as the only link between Earth and Mars, crossing 'empty space' and 'invisible ramparts.'","Martians are markedly different from Terrans: taller (lower gravity), different social customs, delegation members behave completely differently from Earth delegates.",All characters from both planets communicate without translation or language barriers.,"The ship requires spinning hull for artificial gravity, solar panels, and is described as traversing vacuum and darkness. Space is hostile but managed.",Mars has a full civilization. The captain and his wife have lived on the ship for 30 years. Space habitation is routine.,"Earth has multiple nation-states (delegates from different countries with national rivalries), while Mars has its own unified republic.","Character introductions, historical backdrop, emotional farewells; the tone is reflective and elegiac.",The ship is civilian; the captain was a wartime pilot. Past warships are mentioned. Current activity is diplomatic.,"The ship is described as 'a silvery drop of water,' 'plying an ancient trade route,' like a whale 'carving its own trail.' Maritime metaphors pervade.",Gravity changes between planets challenge bodies. The ship requires centrifugal gravity simulation. Martians are physically different (taller) from Terrans due to lower gravity.
China,Vagabonds,Part 1 - The Hotel,"Low contestation (minor competition, little open conflict)",Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Tensions between Earth and Mars are background context. Delegates offer Eko competing suggestions for his documentary. No active conflict.,"Mars City is a permanent, governed settlement with glass architecture, tube trains, virtual concierges.","Eko has just completed the ~100-day journey. His teacher spent 8 years on Mars, unable to return easily.","Transparent glass architecture, no waiters, automated food delivery, baroque aesthetic, tube trains with no tickets, all addresses by coordinates.",Eko communicates freely with the virtual concierge and later with Martians without language barriers.,"The glass city is fully enclosed, requiring cosmic ray shielding, air/water reclamation. Outside is hostile red desert.",Mars City houses a full civilization. Tube trains run every 10 minutes. A circumnavigation takes 150 minutes.,Mars is governed by a single Boule and consul. No competing polities on Mars.,"Eko's reflections on his dead teacher, his artistic mission, his first impressions of Mars. Personal and contemplative.",Eko is a filmmaker exploring a city. No military presence.,Mars is described as a post-colonial society; Eko approaches it as an explorer encountering a foreign civilization.,"Transparent glass city, automated systems, red desert visible through walls, Martian sunlight is white not orange."
China,Vagabonds,Part 1 - Home,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Political / diplomatic,Mostly civilian with some military presence,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"Juan's hostile outburst at the reception (mentioning grandmother killed in Earth bombing), diplomatic tensions, Hans mediating between factions.","Mars City with permanent residences, tube train system, Glory Memorial Hall for state functions.","Luoying has been away 5 years on Earth, just returned via the ~100-day Maearth journey.","No waiters at state dinners (conveyor belt buffet), cotton tablecloths are rare luxury, everyone works in ateliers, no service economy.","Terran and Martian delegates communicate directly, including Juan's profane outburst at Beverley.","Glass-enclosed city with managed atmosphere, cosmic ray shielding. Luoying adjusts to Martian gravity after years on Earth.","Full civilization with state functions, residential areas, tube trains, dance schools.","Hans Sloan as consul, Boule governance. Democratic vote on major decisions.",Diplomatic reception dominates the chapter; Juan's confrontation with Beverley drives the scene.,Juan (military hawk) attends the civilian reception. Past war is referenced.,Post-colonial tensions explicit: Juan's grandmother killed in Earth's colonial-era bombing raids.,Luoying's body was stunted by Earth's higher gravity. Martians are much taller than Terrans. Physical adjustment is ongoing.
China,Vagabonds,Part 1 - The Film Archive,"Low contestation (minor competition, little open conflict)",Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Background diplomatic tensions. Eko probes Beverley about Mars's democratic system vs Earth's consensus view of Mars as autocracy.,"Film archive, tube trains, Russell District, dance school — established infrastructure.",Janet and Davosky were separated by interplanetary distance for a decade. Communication between planets is limited.,"Mars has a central archive where all films are stored under creators' names (no publishing/genre division), no money from creative work, income based on age.",Eko and Janet converse fluently without any language barriers.,"Glass buildings, climate-controlled. Glass is used everywhere because Mars has sand but lacks clay and stone.","Multiple districts, archives, schools, ateliers, all functioning.",Boule officials recommended Janet to Eko. Centralized archive system.,"An emotional love story: Janet learning of Davosky's death, their past relationship, the memory chip.","Art, film, personal relationships. No military content.",Mars as post-colonial society with distinct institutions born from independence.,"Glass construction from sand, Mars's sky lets you see stars in daylight, different light quality."
China,Vagabonds,Part 1 - The Fair,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Multiple distinct space polities,Political / diplomatic,Mostly civilian with some military presence,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Diplomatic negotiations with internal Terran divisions. Earth in economic crisis wants Martian tech. Mars cautious about sharing.,Expo Center is Mars's tallest habitable building. Permanent infrastructure.,The fair exists because the two planets are meaningfully separated.,"No personal computers (central servers), no advertising, museum-style displays vs Earth's commercial approach. Mars lacks a service economy entirely.",Earth and Mars delegates converse directly.,"Expo Center has cosmic ray shielding, water/air reclamation displayed in transparent columns.","Full civilization with large public buildings, expo centers.",Terran delegates represent different nations; Mars is unified. Two distinct political entities negotiate.,Negotiations and cultural comparison dominate.,Diplomatic/trade negotiations. Underlying military tensions referenced.,Technology trade between post-colonial Mars and former colonizer Earth.,Glass-enclosed habitat with life support infrastructure visible.
China,Vagabonds,Part 1 - The Study,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Political / diplomatic,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Juan advocates pre-emptive strike on Earth's Moon bases. Heated debate about sharing fusion technology. War crisis explicitly looming.,"Mars governed territory with systems (Flight, Water, Land). Ceres being maneuvered into Mars orbit.",Mars-Earth separation creates strategic calculus (Maearth transit time factors into war planning).,"Atelier registration system (nine-digit identity number), archon governance, no private property, all capital through ateliers.",Political discussion in shared language. Mars news covers asteroid orbits; Earth news covers government bankruptcies.,Glass-enclosed habitat. Transparent floor reveals Mars's red surface below. Gravity is 1/3 Earth's.,"Full military squadrons, systems with archons, residential areas, ateliers.","Consul, archons of nine systems, Boule. Single governing structure.","War planning meeting, factional debate between hawks and doves.",Flight System's budget boosted 50%. Juan (military) advocates war. Anka's squadron reconfigurable from civilian to military.,Post-colonial strategic tensions; Earth maintaining Moon bases seen as threat.,"1/3 gravity, glass floors showing Mars surface, Luoying's body adapted differently from Earth gravity."
China,Vagabonds,Part 1 - The Coffee Lounge,"Low contestation (minor competition, little open conflict)",Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Entirely civilian,Like cyberspace / networked or abstract domain,Very different (human bodies/technology constantly challenged),Personal/intellectual discussion about past events. No active conflict.,"Coffee lounge, archive district, established urban environment.",Davosky's journey between planets was medically risky due to cosmic radiation.,"Mars: central archive with free access, no profit from creative work, income by age. Earth: IP-based economy, media conglomerates, commerce dominates.",Direct conversation without barriers.,Synthetic coffee (no real beans on Mars). Cosmic radiation makes interplanetary travel risky.,"Full cultural infrastructure: archives, cafes, ateliers.",Central archive governs all knowledge. Single system.,Personal mystery of Davosky's motivations and betrayal by Theon. Love story thread.,"Art, film, personal relationships.",The central archive as virtual metropolis; IP as currency on Earth; the conflict is fundamentally about knowledge networks.,"Cosmic radiation risk during transit, synthetic food, glass city with managed atmosphere."
China,Vagabonds,Part 1 - The Grand Theater,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"Rudy describes a pre-emptive strike plan on Earth's Moon bases. Martian weapons research outpaces Earth's. Ceres displaced 10,000 people.","Grand Theater with magnetic seating technology, Mars City infrastructure.",Mars-Earth separation is strategic: war plans depend on distance/time factors.,"Magnetic theater technology, Martian atelier system, Ceres relocation as civilizational project.","Theon speaks directly to Gielle and Luoying, though commercial concepts don't translate.",Mars cannot sustain population without additional water (hence Ceres project). Glass-enclosed city.,"Full civilization with grand theaters, research centers, military squadrons.",Mars republic with consul and Boule. Ceres project is a unified state endeavor.,Luoying's transcendent dance performance mixed with political tension and diplomatic scheming.,War plans discussed alongside civilian arts. Military weapons research centers mentioned. Flight System has superior guidance systems and lasers.,"Military expansion plans, Ceres colonization with population displacement, technology as colonial commodity.",Lower gravity enables extraordinary dance leaps. Theater uses magnetic fields to move audience seats along walls and ceiling.
China,Vagabonds,Part 1 - The Registry of Files,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),Moderate journey (months/meaningful separation),Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Mostly civilian with some military presence,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Luoying's parents punished for challenging the system. Anka nearly expelled for refusing military demonstration.,"Mars City with watchtowers, Registry of Files, tube trains, residential units.",Deimos (Mars moon) used as exile/mining destination. Parents died there.,"Nine-digit atelier number = identity, resources, career. Without it, a citizen cannot exist. No private property; low crime because there is nowhere to escape.",Laak explains that Earth has equivalent systems but hidden; same conceptual language.,Glass dome touchable from watchtower. Stars do not twinkle (thin atmosphere). Mining on Deimos is dangerous. Enclosed city with no escape.,"Full civilization with bureaucratic infrastructure, residential areas.","Registry system under single authority. Consul, Boule, archons.",Luoying learns devastating truth about parents. Emotional revelation.,Anka's military demonstration flight mentioned. Otherwise civilian bureaucracy.,Deimos mines as penal colony. The system's rigidity mirrors colonial administration.,Stars visible without twinkling. Glass dome separates habitable interior from lethal exterior. Mining on moons.
