country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Japan,All You Need is Kill,Part 1 Chapter 1,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Shared lingua franca plus local variation,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,"A massive battle on Kotoiushi Island with 25,000 Jackets deployed against Mimics. Keiji's friend Yonabaru is killed by a javelin and Keiji himself is mortally wounded. The battlefield is described as a hellscape of explosions and alien combat.",The story is set entirely on Earth. No space territory or habitation is depicted; humans fight alien Mimics that have invaded Earth.,No space journey is depicted. The battle takes place on Kotoiushi Island off Japan's coast. Humans have not traveled to space in this story.,The story is set on Earth with no space setting. Human society is unchanged Earth culture organized around a global military response to alien invasion.,Japanese troops and U.S. Special Forces operate on the same battlefield. Rita Vrataski (American) speaks to Keiji (Japanese) in English. The UDF uses a shared military communication system across nationalities.,"The setting is Earth, not a space environment. The battlefield is hostile due to Mimic invasion but the physical environment is terrestrial.",No space habitation is depicted. All characters live and fight on Earth.,No space political structure exists. The UDF (United Defense Force) governs Earth's military response but does not govern any space territory.,"A frontline combat chapter depicting a massive military operation against alien invaders, with detailed descriptions of mechanized infantry tactics, casualties, and battlefield chaos.","All characters are military personnel: Keiji is a private, Yonabaru a fellow soldier, Rita a U.S. Special Forces operative. The entire chapter is combat.",No space domain is portrayed. All action takes place on Earth's surface during an alien invasion.,The setting is Earth. No extraterrestrial physical environment is depicted.
Japan,All You Need is Kill,Part 1 Chapter 2,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,"Keiji wakes up the day before the massive battle, experiencing deja vu. The entire base is preparing for a major military operation against the Mimics on Kotoiushi Island.","Set entirely on Earth at Flower Line Base on the Boso Peninsula, Japan. No space territory is depicted.",No space journey occurs. All events take place on Earth at a military base.,Earth society with a global military force (UDF). No space setting exists.,"Keiji interacts only with Japanese soldiers (Yonabaru, Sergeant Ferrell) in this chapter. No cross-language communication occurs.",Setting is a military base on Earth's Boso Peninsula. No space environment depicted.,No space habitation depicted. All characters are on Earth.,No space governance. The UDF military hierarchy is Earth-based.,"Military base preparations for battle, with soldiers receiving briefings and awaiting deployment. The chapter establishes the military setting and impending combat.","All characters are military: Keiji, Yonabaru, and Sergeant Ferrell are soldiers. The setting is a military base preparing for battle.",No space domain portrayed. All action on Earth.,Setting is Earth. No extraterrestrial environment depicted.
Japan,All You Need is Kill,Part 1 Chapter 3,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Shared lingua franca plus local variation,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,Soldiers perform iso push-ups as PT punishment while preparing for imminent battle against Mimics. The entire base is in a state of war readiness.,Set on Earth at a military base. No space territory depicted.,No space journey. Events occur on Earth.,Earth society. No space setting culture exists.,"Japanese and American troops share the base. Keiji (Japanese) and Rita (American) have a brief whispered exchange during PT, communicating across language barriers.",Earth military base. No space environment.,No space habitation depicted.,No space political structure. UDF is Earth-based.,"Military training and preparation scene with physical training punishment, introduction of the legendary warrior Rita Vrataski, and buildup toward combat.",All characters are military personnel performing physical training at a military base.,No space domain portrayed.,Setting is Earth. No extraterrestrial environment.
Japan,All You Need is Kill,Part 1 Chapter 4,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,"Full-scale battle on Kotoiushi Island. Keiji's platoon waits in ambush with active camouflage. A javelin targets Keiji, killing him in the second loop iteration.",Battle on a Japanese island. No space territory.,No space journey. Combat on Earth.,Earth society at war. No space setting.,"Only Japanese platoon members (Keiji, Yonabaru) interact. No cross-language communication occurs.",Terrestrial battlefield. No space environment.,No space habitation.,No space governance depicted.,"Frontline combat with ambush tactics, active camouflage, and mechanized infantry fighting alien Mimics.",All characters are soldiers in combat positions.,No space domain.,Earth setting.
Japan,All You Need is Kill,Part 1 Chapter 5,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Entirely military / war-focused,Other / Unsure,Other / Unsure,"Keiji wakes in his third loop, realizing he is trapped in a time loop tied to the war. The battle looms and he has died twice already.",Earth setting. No space territory.,No space journey.,Earth society. No space setting.,Keiji's internal monologue and interactions with Japanese soldiers only.,Earth military base. No space environment.,No space habitation.,No space governance.,"Existential horror as Keiji realizes he is trapped in an inescapable time loop, having died twice. Panic and desperation dominate the chapter.",Keiji is a soldier on a military base awaiting battle.,No space domain.,Earth setting.
Japan,All You Need is Kill,Part 1 Chapter 6,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Mostly civilian with some military presence,Other / Unsure,Other / Unsure,Keiji goes AWOL but encounters a Mimic on the beach that kills an old fisherman and a little girl before killing Keiji. The war extends beyond the battlefield to threaten civilians.,Earth coastal setting. No space territory.,No space journey.,Earth society. No space setting.,Keiji speaks only with Japanese civilians (fisherman and girl). No foreign language interaction.,"Earth beach and town. The sea has turned green from Mimic toxic waste, but this is a terrestrial setting.",No space habitation.,No space governance.,Horror scene as a Mimic emerges from the toxic green sea and kills unarmed civilians. Keiji is helpless and dies without a weapon.,"Keiji encounters civilian fisherman and child on the beach. He is the only military character, and he is unarmed and AWOL.",No space domain.,Earth setting.
Japan,All You Need is Kill,Part 1 Chapter 7,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Entirely military / war-focused,Other / Unsure,Other / Unsure,"Keiji is so traumatized by the war and time loop that he borrows a sidearm and shoots himself, but the loop continues. The war's psychological toll drives him to suicide.",Earth setting. No space territory.,No space journey.,Earth society. No space setting.,Minimal dialogue. Keiji borrows Yonabaru's sidearm; all in Japanese.,Earth military base. No space environment.,No space habitation.,No space governance.,"Psychological horror as Keiji attempts suicide to escape the time loop, only to wake up again. Depicts the extreme trauma of inescapable war.",Only military characters. Keiji uses a military sidearm.,No space domain.,Earth setting.
Japan,All You Need is Kill,Part 1 Chapter 8,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,Fifth loop. Keiji accepts his situation and resolves to use the time loop to train himself into a warrior capable of breaking free. The war remains the driving context.,Earth setting. No space territory.,No space journey.,Earth society. No space setting.,Keiji's internal monologue. No cross-language communication.,Earth setting. No space environment.,No space habitation.,No space governance.,"Keiji resolves to become a warrior, marking a turning point from victim to active combatant. He decides to learn from Rita and match her skill.",Keiji is a soldier resolving to train for combat.,No space domain.,Earth setting.
Japan,All You Need is Kill,Part 2 Chapter 1,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,"Keiji trains intensively during the time loop, learning to fight in Jackets with Sergeant Ferrell. The war context drives all training as preparation for the next battle iteration.",Earth setting. No space territory depicted.,No space journey. All events on Earth.,Earth society. No space setting culture.,"Keiji trains with Sergeant Ferrell, both in the Japanese Corps. Communication is in their shared language.",Earth military base. No space environment.,No space habitation depicted.,No space governance.,"Military training montage as Keiji learns to pilot a Jacket without auto-balancer, practicing combat techniques over multiple loop iterations with his sergeant.",Only military characters: Keiji and Sergeant Ferrell training in Jackets.,No space domain portrayed.,Earth setting.
Japan,All You Need is Kill,Part 2 Chapter 2,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Shared lingua franca plus local variation,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Entirely military / war-focused,Other / Unsure,Other / Unsure,Loop 47. Keiji infiltrates the U.S. side of the base to obtain a battle axe like Rita's. The war effort drives his need for better weapons to break the time loop.,Earth military base. No space territory.,No space journey.,Earth society. No space setting.,"Japanese soldier Keiji communicates with American engineer Shasta Raylle. They speak English, bridging the Japanese-American language divide on the multinational base.",Earth military base. No space environment.,No space habitation.,No space governance.,"Keiji procures a specialized weapon (200kg tungsten carbide battle axe) from the American side of the base, deepening his preparation for combat.","All characters are military or military-support personnel: Keiji is a soldier, Shasta is a Jacket engineer for U.S. Special Forces.",No space domain.,Earth setting.
