country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,2001 - A Space Odyssey,front_matter,Other / Unsure,Other / Unsure,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter is a foreword and dedication, not a narrative chapter. It does not depict contestation in space.",The foreword speculates philosophically about planets orbiting alien suns but does not depict inhabiting or holding territory in space.,"Clarke's foreword notes that the nearest inhabited worlds are 'a million times farther away than Mars or Venus,' establishing vast interstellar distances as a framing premise.",No cultural portrayal of space life is offered in the front matter; it is a philosophical prologue.,Language in space is not addressed in the front matter.,The hostility or habitability of space is not discussed in the foreword.,How common space habitation is not addressed; the foreword only speculates about extraterrestrial life.,Political structures in space are not discussed in the foreword.,"The foreword frames the novel as a story about humanity venturing into space and potentially meeting alien equals or masters, setting an exploration and discovery tone.",Whether space is military or civilian is not addressed in the front matter.,No analogy for space as a domain is offered in the foreword.,Physical differences of space from Earth are not described in the foreword beyond noting vast distances.
US,2001 - A Space Odyssey,Chapter 1 - The Road to Extinction,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Set three million years ago among man-apes on the African veldt. Territorial disputes occur between rival ape tribes, but space is not contested — it is only glimpsed as a mysterious satellite passing overhead.",The chapter is set entirely on prehistoric Earth. Space habitation is not addressed; the only reference to space is a 'dazzling point of light' crossing the sky.,No space journey is depicted. The man-apes are Earth-bound and pre-technological; space is observed only as unreachable lights in the sky.,No space culture exists in this chapter. The only society depicted is a prehistoric man-ape tribe on the savanna.,"The man-apes communicate through shrieks and growls. Human language does not yet exist, and no space-related language is shown.","Space conditions are not experienced or described. The hostility depicted is terrestrial — drought, leopards, starvation.",No humans live in space. The man-apes barely survive on Earth; the concept of space habitation does not exist for them.,No political structures exist beyond rival man-ape tribes. Space governance is not addressed.,"The chapter is a grim survival narrative: starvation, leopard attacks killing tribe members in the night, and a species on the verge of extinction. The tone is tense and primal.",Space is not depicted as either military or civilian. The chapter is entirely prehistoric and terrestrial.,Space is not characterized as any domain. The man-apes see the moon and stars but have no conception of space.,The physical nature of space is not described. Only Earth's harsh Pleistocene environment is portrayed.
US,2001 - A Space Odyssey,Chapter 2 - The New Rock,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,"This chapter is set on prehistoric Earth. The alien monolith appears and manipulates the man-apes, but there is no conflict in or about space; the encounter is entirely terrestrial.",No one inhabits space in this chapter. The monolith is an alien artifact on Earth's surface. Space habitation is not addressed.,"No space journey occurs. The alien presence arrives on Earth in the form of a monolith, but the chapter does not depict travel through space.","Space culture is not depicted. The alien intelligence manipulates man-apes via the monolith, but no cultural society in space is shown.","No language in space is depicted. The monolith communicates with the man-apes through direct neurological manipulation — lights, sounds, and compulsive motor control — not language.",Space conditions are not experienced. The chapter takes place entirely on the African savanna among prehistoric man-apes.,No humans or man-apes live in space. The alien presence is implied to come from space but is encountered on Earth's surface.,No political order in space is depicted. The only social structure is the primitive man-ape tribe.,"The chapter is a first-contact encounter: an alien artifact arrives and begins testing and reshaping the man-apes through an entrancing light display, establishing a sense of discovery and alien mystery.",Space as a domain is not depicted. The alien monolith operates on Earth; no military or civilian space activity is shown.,Space is not characterized as any domain in this chapter. The monolith is simply an alien artifact on prehistoric Earth.,The physical nature of space is not described. The chapter is entirely terrestrial in setting.
US,2001 - A Space Odyssey,Chapter 3 - Academy,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,"Set on prehistoric Earth. The alien monolith trains man-apes to use tools and hunt, but there is no conflict in or about space.",No space habitation is depicted. The chapter is entirely on the African savanna three million years ago.,"No space journey occurs. The alien influence is local, operating through the monolith on Earth's surface.","No space culture is shown. Only primitive man-ape society is depicted, being reshaped by the alien monolith.",No language in space is depicted. The man-apes are pre-linguistic; the monolith communicates via direct neural manipulation.,Space conditions are not experienced. The environment is the harsh but terrestrial African Pleistocene.,No one lives in space. The chapter is entirely Earth-bound.,No political structures in space. Only man-ape tribal rivalry is shown.,"The chapter depicts the alien monolith's experimental uplift of the man-apes — teaching them tool use and hunting, a transformative first-contact encounter with discovery overtones.",Space is not depicted as a domain. The chapter is prehistoric and terrestrial.,Space is not characterized as any domain.,Physical space conditions are not described. The setting is Earth's surface.
US,2001 - A Space Odyssey,Chapter 4 - The Leopard,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,Set on prehistoric Earth. Moon-Watcher's tribe uses new tools to fight off a leopard. There is no space content or contestation of space.,"No space habitation. The chapter is entirely terrestrial, depicting man-apes developing tools and hunting.",No space journey occurs. The setting is prehistoric Africa.,No space culture is depicted. Only man-ape survival on the savanna is shown.,No language in space. The man-apes are pre-linguistic and operate on Earth.,Space hostility is not addressed. Hostility comes from terrestrial predators — the leopard.,No one lives in space. The chapter is Earth-bound.,No political structures in space. Only primitive tribal territory is depicted.,"The chapter centers on a terrifying nighttime encounter when a leopard follows a blood trail up the cliff into Moon-Watcher's cave. The man-apes fight it off for the first time, a desperate survival triumph.",Space is not depicted as a domain.,Space is not characterized.,Space conditions are not described. The setting is Earth's surface.
US,2001 - A Space Odyssey,Chapter 5 - Encounter in the Dawn,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"The monolith has vanished. Moon-Watcher's tribe uses tools to cross the river and kill the rival leader, One-Ear. Contestation is territorial on Earth, not in space.",No space habitation. The chapter depicts primitive territorial conquest on Earth.,No space journey. The setting is prehistoric African savanna.,No space culture. Only man-ape tribal dynamics are shown.,No language in space. The man-apes are still pre-verbal.,Space conditions are not addressed. The hostility is terrestrial — tribal warfare.,No one lives in space.,No space political structures.,"Moon-Watcher displays the leopard's severed head to intimidate the rival tribe, then crosses the river and kills One-Ear with a bone club. The tone is primal violence and dominance.",Space is not depicted as a domain.,Space is not characterized.,Space conditions are not described.
US,2001 - A Space Odyssey,Chapter 6 - Ascent of Man,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"The chapter surveys humanity's entire history from tool-making to weapons of infinite range, noting that Man 'often used them against himself.' It concludes ominously that with nuclear weapons, Man is living on borrowed time — implying existential conflict.",The chapter summarizes human evolution but does not yet depict life in space. It ends at the threshold of the space age.,No space journey is depicted yet. The narrative sweeps from the Pleistocene to the modern era but stops before space travel.,Space culture is not shown; the chapter covers terrestrial civilization's evolution.,"Language development is described on Earth (speech, writing), but language in space is not addressed.",Space conditions are not described. The chapter covers only Earth's history.,No one yet lives in space. The chapter covers humanity's rise on Earth.,No space political structures are depicted.,"A sweeping philosophical summary of human evolution from tool-using apes to nuclear-armed civilization, reflecting on how weapons of offense both enabled human dominance and now threaten extinction.",Space is not yet depicted as a domain.,Space is not characterized.,The physical nature of space is not described.
US,2001 - A Space Odyssey,Chapter 7 - Special Flight,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Uncommon (small specialist population),Earth nation-states extend into space,Political / diplomatic,Mixed civilian-military domain,Like the air / airpower,Very different (human bodies/technology constantly challenged),"Thirty-eight nuclear powers watch each other with 'belligerent anxiety,' China is selling nuclear arsenals to small nations, and Floyd worries whether Earth will still exist when he returns. There is geopolitical rivalry but no open war.","Space Station One is a transit hub; Clavius Base on the Moon houses geologists and scientists. These are stations and outposts, not permanent colonies with families and civilian life.","Floyd's transit from Earth to Space Station One takes only 55 minutes. The Moon is his final destination, a short cislunar journey. Mars is mentioned as somewhere Floyd has visited once.","Floyd is briefed by the President, intercepted by reporters, served by a stewardess, and carries a briefcase of technical reports. Space travel replicates airline conventions almost exactly — it is Earth society transported upward.","Everyone speaks English. There is no mention of different languages in space, translation technology, or linguistic variation. Communication is entirely in recognizable Earth English.","Floyd takes anti-nausea pills, follows zero-gee regulations, and the stewardess uses Velcro-soled sandals to walk. Weightlessness and the physical stress of acceleration are managed but require constant attention and specialized equipment.","Floyd has been to the Moon three times, which is noteworthy enough to make him a prominent figure. Miss Simmons' fiancé is a specialist geologist at Clavius. Space is accessible but only to a small professional population.",The National Council of Astronautics and the US President direct Floyd's mission. Thirty-eight nuclear powers and the Chinese Empire are distinct geopolitical actors. Earth's nation-state rivalries clearly extend into the space domain.,"Floyd's flight is secret, arranged after a midnight presidential briefing. Reporters probe for information about a Moon quarantine. The chapter is dominated by political secrecy, media management, and geopolitical tension, not action or combat.","The spaceplane has a stewardess and resembles commercial aviation, yet Floyd's mission is classified, ordered by the President, and involves national security. Space is both civilian infrastructure and government-controlled strategic space.","Space travel is presented through airline conventions: stewardess, pilot and copilot, boarding gantry, cabin seating, safety announcements, and in-flight service. The spaceplane itself has swept-back wings and launches from a track.","Weightlessness dominates: Floyd must take anti-nausea pills, the stewardess walks on Velcro, drinks come through plastic tubes, and 'up' rotates disconcertingly with the ship's orientation. The body is constantly challenged by zero-gee."
US,2001 - A Space Odyssey,Chapter 8 - Orbital Rendezvous,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Uncommon (small specialist population),Earth nation-states extend into space,Political / diplomatic,Mixed civilian-military domain,Like the air / airpower,Very different (human bodies/technology constantly challenged),Space Station One has separate U.S. and Soviet sections with passport and visa barriers. Floyd encounters a Soviet scientist friend and tries to avoid him due to the classified nature of his mission. Geopolitical rivalry is embedded in the space infrastructure.,"Space Station One is a 300-yard rotating disk with a passenger lounge, restaurant, barber shop, and phone booths — a well-developed transit hub, but still a station for transient personnel, not a permanent settlement.",The station orbits at 200 miles altitude. Floyd is in transit to the Moon. The journey from Earth to the station took about 55 minutes; the overall Earth-to-Moon trip is cislunar and short.,"The station has a restaurant, post office, barber shop, drugstore, movie theater, souvenir shop, and phone booths. Floyd calls home about his car, tennis tournament, and broken TV. It replicates Earth commercial society in orbit.","Signs are posted in English, Russian, Chinese, French, German, and Spanish — the same languages as on Earth. No new space language exists.","Floyd must haul himself hand-over-hand in weightlessness, adjusting to centrifugal pseudo-gravity. The station's rotating design manages gravity artificially, but movement near the axis is disorienting and requires handholds.","The station houses security personnel, a few commercial facilities, and transit passengers. It is well-developed but not heavily populated; Floyd is a VIP on a special flight.","The station is formally divided into US and Soviet sections with passport control, visas, and separate entrances. National boundaries literally extend into orbit.","Floyd tries to avoid his Soviet friend due to classification concerns. The scene is dominated by geopolitical division (US/Soviet sections), secrecy about the Moon situation, and diplomatic maneuvering in space.","The station has commercial amenities (barber, theater, souvenir shop) alongside security officers and classified government missions. It is simultaneously civilian infrastructure and a tool of national policy.","The chapter continues the airline metaphor: docking procedures resemble airport operations, a security officer meets Floyd like a VIP handler, the lounge has shops and restaurants like an airport terminal.","Weightlessness at the station axis, centrifugal pseudo-gravity increasing as one moves outward, curving floors, and the need to force oneself downward on stairs all mark a physically alien environment."
US,2001 - A Space Odyssey,Chapter 9 - Moon Shuttle,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Uncommon (small specialist population),Earth nation-states extend into space,Adventure / exploration,Mixed civilian-military domain,Like the air / airpower,Very different (human bodies/technology constantly challenged),"Floyd avoids Dimitri's probing questions about TMA-1, and US/Soviet sections divide the space station. There is secrecy and diplomatic tension but no open conflict. The news Floyd reads mentions accidents and threats of conflict but nothing direct.","Clavius Base on the Moon is a functioning outpost with buildings and vehicles, visible during landing. Floyd is visiting it on a mission. The base is staffed but described as a foothold, not a settlement.",The Earth-to-Moon shuttle takes about 25 hours. Floyd describes it as a routine trip and calls it 'an ordinary moon shuttle.' The Moon is close and reachable.,"The shuttle has a steward and stewardess, meals served at clipped-down tables, a washroom with detailed instructions, a Newspad for reading electronic newspapers, and sleep cubicles. Floyd's concerns are tennis tournaments and broken TVs at home.","Floyd reads news in English, signs at the station are in six Earth languages, and the Balinese stewardess performs traditional dance. No space-specific language exists.","Zero-gravity requires Velcro slippers, elastic sleep restraints, adhesive food sauces, spinning toilet compartments, and special washroom procedures. The environment is thoroughly managed but demands constant adaptation.",Floyd is the sole passenger on this special Moon shuttle. The crew treats him with awe. Space is accessible to specialists but not to a broad population.,US and Soviet sections divide the space station. Floyd checks through the US transit barrier. National borders and diplomatic protocols extend directly into space.,"Floyd journeys to the Moon to investigate a mysterious discovery (TMA-1). The chapter emphasizes the wonder of lunar descent, the alien beauty of lunar mountains, and the emotional significance of landing on the Moon.","The shuttle resembles a civilian airliner with stewards and meal service, but Floyd's mission is classified and he is accompanied by a security officer. Space is simultaneously routine transit and national security infrastructure.","The shuttle is described like an airline: stewardess, pilot, copilot, cabin, meal service, washroom, sleep period. Clavius Control talks to the shuttle like an air traffic controller. The experience is explicitly modeled on commercial aviation.","Zero gravity dominates the journey: food must be glued to plates, drinks in squeeze tubes, sleep requires elastic restraints, the toilet spins to create artificial gravity. The lunar surface is utterly unlike Earth — no snow, vegetation, or clouds."
