country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,Dune,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter consists of praise quotes, publication information, a bibliography, copyright notice, dedication, and table of contents. No narrative content to assess space contestation.",No narrative content is present. The dedication to dry-land ecologists hints at the novel's ecological themes but provides no information about territorial inhabitation in space.,No narrative content addresses journey distance or separation from Earth.,No narrative content addresses cultural differences between space and Earth.,No narrative content addresses language differences.,No narrative content addresses environmental hostility.,No narrative content addresses how common space habitation is.,No narrative content addresses political structures in space.,"The front matter is paratextual. Praise quotes reference politics, ecology, religion, and philosophy as themes, but this is not narrative content.",No narrative content addresses military vs civilian domains.,No narrative content addresses domain characterization.,No narrative content addresses physical differences of space from Earth.
US,Dune,Book ONE - Dune - Chapter 01,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Political / diplomatic,Mostly civilian with some military presence,Like the frontier / colonial expansion,Somewhat different (manageable environmental differences),The Atreides-Harkonnen rivalry is central: the Harkonnens held Arrakis for 80 years and the transfer of fief is described as containing 'the deadliest peril.' Hawat warns that popularity among the Great Houses arouses jealousy of the powerful. The Bene Gesserit operate their own secret political and breeding agendas.,Planets are governed as permanent fiefs under noble houses. Caladan has served the Atreides for twenty-six generations. Arrakis is held under CHOAM contract. The Imperial system of planetary governance is well-established and permanent.,"Space travel between worlds is routine but significant. The Reverend Mother complains about space travel and the Spacing Guild. Caladan and Arrakis are clearly distant worlds requiring meaningful transit, though exact distances are not specified.","The chapter reveals a deeply distinct interstellar culture: the Bene Gesserit sisterhood with its breeding programs, the Spacing Guild, the faufreluches class system, Mentats replacing computers after the Butlerian Jihad, and the Fremen desert people. This is not Earth society transplanted.","Characters share a common language but use specialized vocabulary from multiple traditions: Bene Gesserit terms (gom jabbar, Kwisatz Haderach), Arabic-derived words (Muad'Dib), and Imperial terminology (Padishah, Landsraad, CHOAM). The Orange Catholic Bible provides shared religious language.","On Caladan, the environment is benign (green farmlands, rivers). Arrakis is described as a desert planet, but the chapter takes place before arrival. The Reverend Mother finds space travel unpleasant but manageable. Overall risk comes from political enemies, not environment.","Interstellar civilization is fully established. Humanity has spread across many worlds with an Emperor, Great Houses, and a complex feudal-corporate structure. Living on different planets is completely normalized.","The political landscape includes the Padishah Emperor, the Great Houses of the Landsraad, CHOAM Company, the Spacing Guild, the Bene Gesserit, and independent groups like the Fremen. Multiple overlapping power structures compete for influence.","The chapter is dominated by political maneuvering: the dangerous gift of Arrakis as a fief, the Bene Gesserit's secret breeding program, and the test of Paul as a potential Kwisatz Haderach. Conflict is political and strategic rather than military.","The chapter focuses on civilian and political life: a noble household preparing to move, a religious order's testing ritual, and discussion of breeding programs and political alliances. Military elements (Master of Assassins, poisons) are present but secondary.",The transfer of planetary fiefs strongly evokes colonial expansion: House Atreides replaces House Harkonnen on Arrakis as colonial administrators extracting spice under CHOAM contract. The faufreluches class system and desert-edge Fremen evoke colonial frontier dynamics.,"Caladan is depicted as Earth-like with green farmlands and rivers. Arrakis is described as a desert planet, but the chapter takes place on Caladan. Space itself is traversed via the Spacing Guild but not described physically. The environment is largely familiar."
US,Dune,Chapter 02,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Political / diplomatic,Mixed civilian-military domain,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),"The entire chapter revolves around Baron Harkonnen's elaborate conspiracy to destroy House Atreides using a traitor, Sardaukar disguised in Harkonnen livery, and Imperial backing. The Baron, Piter, and Feyd-Rautha discuss plans-within-plans to seize Arrakis and eliminate a rival Great House.","The chapter depicts planetary fiefs held by Great Houses as permanent territories—Giedi Prime for the Harkonnens, Caladan for the Atreides, Arrakis being transferred. These worlds are governed like feudal estates within a larger interstellar empire.",Travel occurs between distant star systems via Guild heighliners. Earth is never mentioned; the setting is entirely interstellar with planets separated by vast distances requiring specialized Guild transport.,"Society is a feudal interstellar order with Mentats replacing computers (due to the Butlerian Jihad), Great Houses holding planetary fiefs, the CHOAM Company controlling commerce, and Sardaukar serving as Imperial shock troops. This bears no resemblance to modern Earth society.","Characters communicate in a shared language but use extensive specialized vocabulary—Mentat, Sardaukar, CHOAM, Landsraad, siridar, kanly—reflecting distinct cultural institutions and feudal terminology unique to this civilization.","Arrakis is described as a harsh desert planet whose environment is a major concern. The Baron notes the need for stillsuits and the difficulty of operations there, though Giedi Prime (the chapter's setting) appears industrially developed.","Living on various planets across the Imperium is completely ordinary. Characters discuss multiple worlds, interstellar commerce, and planetary governance as routine matters of political life.","The chapter depicts multiple competing power centers: the Emperor with his Sardaukar, the Great Houses (Harkonnen, Atreides, others in the Landsraad), the Spacing Guild, and CHOAM. These function as distinct political entities with their own interests and power bases.","The chapter is entirely focused on political scheming—the Baron's conspiracy against House Atreides, manipulation of CHOAM directorships, use of a traitor, and negotiations about dividing spoils. It reads as a political thriller.","The chapter blends military planning (Sardaukar assault, military conquest of Arrakis) with political and commercial scheming (CHOAM shares, the traitor, Imperial politics). Both civilian governance and military force are integral to the plot.","Planetary fiefs are granted and revoked by Imperial authority, with Houses sent to govern distant worlds much like colonial administrators. The transfer of Arrakis from Harkonnen to Atreides resembles colonial territorial reassignment.","Different planets have distinct environments—Giedi Prime is industrial, Arrakis is extreme desert, Caladan has oceans—requiring adaptation but all remaining humanly habitable without fundamental physical differences from Earth-like conditions."
US,Dune,Chapter 03,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),"The Reverend Mother explicitly describes the 'three-point civilization' as an unstable tripod of Emperor, Landsraad, and Guild, with forces arrayed against House Atreides. Jessica is warned she may become a fugitive with every hand turned against her.","The chapter references multiple settled worlds governed by Great Houses within the Landsraad, with the Imperial Household and CHOAM overseeing interstellar commerce. Territories are held permanently as feudal estates across the galaxy.","Characters reference multiple distant worlds (Caladan, Arrakis, Wallach IX) connected only by Guild transport. Earth is entirely absent from the narrative; these worlds feel completely separate from any origin point.","The Bene Gesserit breeding program spanning generations, the Missionaria Protectiva planting religious beliefs on planets, the feudal trade culture that 'turns its back on most science,' and the Kwisatz Haderach prophecy create a social order entirely unlike anything on Earth.","Characters share a common language but employ specialized Bene Gesserit terminology (Kwisatz Haderach, Missionaria Protectiva, Proctor Superior) and political vocabulary (Landsraad, CHOAM) reflecting distinct institutional cultures.","Arrakis is described as 'terrible' enough that the Missionaria Protectiva had to soften conditions. Jessica is warned of becoming a fugitive there, and the planet's harshness is a recurring concern throughout the conversation.","Multi-planet habitation is completely normalized. Characters casually reference living on Caladan, training on Wallach IX, and moving to Arrakis. Interstellar civilization spanning many worlds is the unremarkable baseline of their existence.","The Reverend Mother explicitly describes three competing power centers: the Imperial Household, the Federated Great Houses of the Landsraad, and the Guild with its monopoly on interstellar transport, calling it 'the most unstable of all structures.'","The chapter is an intensely emotional confrontation between Jessica and the Reverend Mother about Jessica's choice to bear a son, its consequences for the breeding program, and her family's likely fate. Paul's prophetic dreams add a personal, dramatic dimension.","The discussion encompasses both military threats (Sardaukar, becoming fugitives) and civilian/political concerns (breeding programs, CHOAM voting percentages, the Bene Gesserit order). The domain is thoroughly mixed.","The Missionaria Protectiva explicitly prepares planetary populations for future Bene Gesserit exploitation, paralleling colonial missionary activity. Planetary fiefs are governed as colonial possessions within a feudal imperial structure.","Paul's dream contrasts Caladan's ocean environment with Arrakis's desert, where he must explain concepts like 'beach' and 'surf' to a native. Different planets have meaningfully different environments requiring cultural and physical adaptation."
US,Dune,Chapter 04,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Adventure / exploration,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"The chapter is saturated with preparation for conflict—Hawat trains Paul in security awareness, Halleck conducts intense combat training, and both emphasize that the Harkonnens are a real and imminent threat on Arrakis.","Planetary fiefs are held by Great Houses as permanent territories. The Atreides are leaving Caladan for Arrakis, and Salusa Secundus is referenced as another governed world, all within a vast interstellar empire.","Travel between star systems requires Guild heighliners. The move from Caladan to Arrakis is treated as a permanent relocation across interstellar distances, with characters noting they will likely never return.","Society features Mentats (human computers), shield-fighting with personal force fields, feudal warrior culture with bodkins and kindjals, and the language 'Galach' is explicitly named. This is entirely unlike modern Earth civilization.","Galach is explicitly mentioned as the language of Arrakis, alongside specialized vocabulary (stillsuits, Fremen, kindjal, bodkin, baliset). The Reverend Mother tells Paul each world has its own 'language' beyond spoken words.","Arrakis storms are described in terrifying detail—building across thousands of kilometers, reaching 700 km/h, capable of eating flesh off bones. Stillsuits recycle body moisture because water is so scarce, and the environment is presented as extremely dangerous.","Interplanetary habitation is completely ordinary. Characters casually discuss moving between worlds, Duncan Idaho has already gone ahead to Arrakis, and Hawat says 'Arrakis is just another place.'","The chapter references the Imperium with its Emperor, competing Great Houses (Atreides vs. Harkonnens), the Fremen as a distinct population, and the overall feudal political structure with multiple power centers.","The chapter focuses on preparation for a journey to a dangerous new world—training, learning about the destination, and the excitement and fear of departure. It reads as adventure/exploration narrative.","Weapons training and combat readiness dominate the chapter (shield fighting, rapier and kindjal work), but this occurs alongside civilian life at Castle Caladan. The military preparation is embedded in a broader civilian context.","The Atreides are relocating to govern a distant, harsh planet—studying its dangers, preparing for hostile conditions, and establishing presence among native populations (Fremen). This closely parallels frontier colonial expansion.","Arrakis is described as radically different from Caladan—extreme storms, no water, stillsuits needed to survive, conditions that can strip flesh from bone. The environmental challenges constantly threaten human survival."
US,Dune,Chapter 05,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Yueh's internal conflict reveals the Harkonnen plot to betray the Atreides. His anguished thoughts about being chosen as the instrument of betrayal and the Harkonnens holding his wife hostage underscore the intense strategic struggle between the Houses.,"The Emperor commands transfer of planetary fiefs between Great Houses. Arrakis is discussed as a territory to be governed, with its own ecology, populations, and political dynamics, within a vast interstellar empire.","The 'crossing to Arrakis' is mentioned as requiring filmbook lessons during transit, implying a significant interstellar journey. Multiple planets are referenced as distant, separate worlds connected only by space travel.","The chapter features Suk School Imperial Conditioning (marked by a diamond tattoo), the Orange Catholic Bible printed on filament paper, Fremen with completely blue eyes from melange saturation, and sandworms over 400 meters long—a deeply alien social and ecological order.","Characters share a common language but use extensive specialized terminology—Suk School, Imperial Conditioning, Orange Catholic Bible, Fremen, melange, stillsuits—reflecting distinct cultural and institutional vocabularies.","Arrakis is described as having sandworms over 400 meters long, uninhabitable desert regions, dangerous storms, and 'many costly perils.' Even the Fremen children are described as violent and dangerous.","Space travel and multi-planet habitation are entirely routine. Paul will study during the crossing, filmbooks are standard educational tools, and relocating between planets is treated as an administrative matter.","The Emperor issues commands over planetary fiefs, Great Houses (Atreides, Harkonnens) compete for territories, the Fremen exist as a distinct autonomous population, and Yueh references a planetary ecologist (Dr. Kynes) serving the Imperial system.","The chapter is a character-driven drama centered on Yueh's tormented internal conflict—his guilt over the coming betrayal, grief for his wife Wanna, and his attempt to salve his conscience by giving Paul the Bible.","The scene is ostensibly civilian—a doctor giving a student lessons and a gift—but the underlying context is thoroughly military: preparation for a dangerous political-military transition, with betrayal and armed conflict looming.","Paul studies the ecology, populations, and geography of Arrakis before arriving—learning about native peoples (Fremen), wildlife (sandworms), and terrain. This mirrors colonial preparation for frontier settlement.","Arrakis features sandworms exceeding 400 meters, entirely uninhabitable southern regions, terranic life forms that adapted in mysterious ways, and environmental conditions fundamentally unlike anything on Earth or Caladan."
US,Dune,Chapter 06,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Political / diplomatic,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"The Duke reveals the full scope of the conspiracy—the Emperor and Harkonnens stockpiling spice to frame the Atreides, Sardaukar disguised in Harkonnen livery, and the strategic plan to counter with Fremen allies. The entire chapter is a strategic briefing on existential conflict.","Multiple worlds are governed as feudal fiefs—Caladan, Arrakis, Salusa Secundus, Giedi Prime. The Emperor commands transfer of planetary territories, and CHOAM directorships are tied to planetary governance across the Imperium.","Paul's first trip off-planet requires a Guild Heighliner, described as truly enormous—able to tuck all Atreides frigates and transports into a small corner. The journey across interstellar distances is routine but vast.","Mentat capabilities as human computer replacements, Guild secrecy so extreme that even their agents never see a Guildsman, possible mutation of Guild navigators, CHOAM controlling interstellar commerce, and Sardaukar forged on hell-worlds—all radically unlike Earth society.","Characters share a common language but use extensive specialized vocabulary—CHOAM, Heighliner, Sardaukar, Mentat, Landsraad—and the Duke mentions products from many worlds (Ecaz art forms, Richesse and Ix machines) implying cultural-linguistic variation.","The Duke explicitly compares Arrakis to Salusa Secundus, the Emperor's prison planet described as a 'hell world.' Both planets forge extraordinarily tough people through extreme environmental pressure, and survival is a constant struggle.","Interplanetary travel is completely routine. The Guild Heighliner carries many Houses' ships simultaneously, products flow between dozens of worlds through CHOAM, and moving between planets is an administrative matter.","The Duke identifies multiple competing power centers: the Emperor with Sardaukar, the Landsraad Great Houses, the Guild with its transport monopoly, the Harkonnens, and the Fremen as an independent force. Each operates with distinct interests and capabilities.","The entire chapter is a political-strategic briefing—the Duke explains CHOAM economics, Harkonnen stockpiling, Imperial conspiracy, and the Fremen gambit. It reads as a diplomatic/political thriller focused on power dynamics.","The discussion covers both commercial interests (CHOAM profits, spice economics) and military strategy (Sardaukar, Fremen as potential fighting force). The civilian economy and military power are thoroughly intertwined.",The Duke's plan to recruit native Fremen as a military force against Imperial troops closely parallels colonial strategies of allying with indigenous peoples. The Atreides are establishing governance over a frontier territory with native populations.,Arrakis and Salusa Secundus are described as hell worlds that forge people through extreme environmental pressure. The Guild may have physically mutated beyond human appearance. These environments are fundamentally challenging to human survival.
US,Dune,Chapter 07,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"The chapter is suffused with danger—Harkonnen intrigues infest the planet, poison snoopers are needed over dining tables, security inspections are constant, and Jessica feels an oppressive sense of threat throughout the move into the government mansion.","The change of fief from Harkonnen to Atreides governance is the central event. The government mansion, garrison town, and administrative infrastructure demonstrate permanent territorial occupation across multiple worlds in the Imperium.","Jessica experiences acute homesickness for Caladan, noting the sky looks 'black and cold—so much darker than the warm blue of Caladan.' Crossbeams shipped across space at 'monstrous cost' emphasize the vast distances between worlds.","The Missionaria Protectiva's planted legends, the crysknife ritual with its elaborate cultural significance, water sellers crying in the streets, the Shadout title, Fremen customs around blood and water—all create a deeply alien social order unlike anything on Earth.","Multiple languages are explicitly named—Chakobsa, Bhotani Jib, and other hunting languages that Jessica knows as Bene Gesserit training. Fremen terms (Shadout, shai-hulud, crysknife) and ritual phrases demonstrate significant linguistic variation.","Water is so scarce that sellers cry in the streets, stillsuits are essential for survival, the Fremen have developed ultrafast blood coagulation as a moisture-conserving mutation, and the phrase 'the body's water is scant enough' reveals constant survival pressure.","Interplanetary habitation is routine—Guild shuttles deliver cargo, trained spice hunters exercise their option to leave with the change of fief, and establishing governance on a new planet is an administrative process.","The chapter features multiple political entities: the Emperor and Landsraad who installed the Judge of the Change, the Atreides assuming governance, the Harkonnens' former rule, the Fremen as an autonomous people with their own customs and prophecies, and the Guild operating cargo ships.","The chapter is driven by emotional drama—Jessica's fear and homesickness, the tense encounter with Mapes and the crysknife test, the strained relationship between Jessica and Leto, and the ominous atmosphere of the new home.","Arrakeen is described as a 'dirty, dusty little garrison town' with military security measures (poison snoopers, guard rooms, Hawat's inspections), but the chapter focuses on domestic civilian concerns—unpacking, hiring servants, room assignments.",The Missionaria Protectiva explicitly planted prophetic legends among the Fremen centuries ago to prepare for future Bene Gesserit exploitation—a direct parallel to colonial missionary activity. The Atreides govern a frontier territory with indigenous populations and imported infrastructure.,"Arrakis has a black, cold sky unlike Caladan's blue, no trees grow on the planet, water sellers work the streets, and the Fremen have physically mutated for moisture conservation. The environment is fundamentally different from Earth-like conditions."
US,Dune,Chapter 08,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"Jessica predicts imminent bloodshed between Atreides and Harkonnens, describes the old feud stretching back to the Battle of Corrin, and notes Hawat's massive security operations including bribes and battalions of agents. The planet is described as a Harkonnen trap.","The chapter depicts governance transfer between Great Houses over planetary fiefs, with the Atreides establishing administration on Arrakis including installing windtraps, managing population water needs, and maintaining a treasury for planetary operations.","Caladan feels impossibly distant—Jessica notes the alien dark sky, barren landscape, and hostile conditions utterly unlike their homeworld. The psychological separation between worlds is profound even though physical travel occurred.","Water economics dominate social life—twenty date palms represent one hundred men's water rations, water sellers cry in streets, water riots occur with population changes, and spice at 620,000 solaris per decagram drives an economy unlike anything on Earth.","Characters share a common language but use specialized vocabulary—CHOAM, melange, solaris, crysknife, stillsuit—and Jessica mentions knowing ancient tongues. The Harkonnens' suppression of information creates knowledge barriers between groups.","Water scarcity creates constant survival pressure—water riots break out over population increases, date palms represent water that could sustain human lives, and Jessica notes the planet's hostility through its dark sky, dusty landscape, and lack of moisture.","Interplanetary habitation is routine—the Atreides have relocated their entire household across space, installed infrastructure, and are managing a planetary population. Yueh discusses spice economics as ordinary commerce.","Multiple political entities operate simultaneously: the Atreides establishing governance, Harkonnen agents and intrigues remaining active, the Emperor's authority over fiefs, CHOAM commercial interests, and the Fremen as an autonomous population.","The chapter is an intimate character drama—Jessica and Yueh share personal fears and vulnerabilities, Yueh struggles with his secret betrayal, and both characters reveal emotional depth through their conversation about love, duty, and loss.","Guards and shields are ubiquitous—Jessica describes them blurring everywhere—and Hawat's security operations dominate the background. Yet the chapter focuses on civilian domestic concerns: room assignments, water infrastructure, and personal relationships.","The Atreides are settlers on hostile frontier soil, managing native population tensions over resources (water), installing colonial infrastructure (windtraps, condensers), and facing the challenges of governing a distant territory with unfamiliar conditions.","The too-dark sky, absence of moisture, volcanic rock landscape, mysterious disappearing water wells, and alien ecology make Arrakis fundamentally unlike Earth. Jessica's scientific curiosity about the water mystery underscores how physically alien the environment is."
US,Dune,Chapter 09,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Shared lingua franca plus local variation,Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Thriller / Horror / Survival,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"A hunter-seeker assassination device is hidden in Paul's bedroom, representing direct lethal conflict. Mapes reveals a traitor among the Atreides, and the house must be sealed and searched—demonstrating that strategic struggle penetrates even domestic spaces.","The chapter references Arrakis as 'His Imperial Majesty's Desert Botanical Testing Station' from before spice discovery, showing long-standing Imperial territorial claims. The house itself is part of governance infrastructure on a held planet.",Paul recalls terranic species from Earth's past found 'now nowhere else in the universe except here on Arrakis.' The connection to Earth is so distant it's purely historical—species names are preserved only through filmbooks as relics of a forgotten homeworld.,"Hunter-seeker assassination technology, personal shield belts, suspensor fields, the Fremen concept of 'water burden' debts, and the cultural protocol around life-debts create a social order completely unlike modern Earth civilization.","Mapes uses distinctly Fremen vocabulary—'manling,' 'water burden,' 'black debts or white debts'—alongside the common language. Her speech patterns and cultural concepts require translation even within a shared linguistic framework.","An assassination device lurks in Paul's own bedroom, making even sleep dangerous. Beyond the human threat, the environment itself is hostile—the planet was designated a desert botanical testing station, and survival requires constant vigilance.","Paul studies Arrakis ecology from filmbooks as routine pre-settlement education. The infrastructure of interplanetary habitation—shield belts, suspensor technology, house controls—is mundane and taken for granted.","The Fremen operate as a distinct political entity with their own intelligence networks—Mapes knows about the traitor independently. The Atreides governance, Harkonnen agents, and Imperial authority all operate as separate power structures on Arrakis.",The hunter-seeker scene is pure survival thriller—Paul frozen in immobility while a lethal device quartering the room searches for movement. The tension of whether he can grab it before it kills him or Mapes creates gripping suspense.,"The chapter blends military security (hunter-seekers, shield belts, Hawat's men sealing the house) with civilian domestic life (a boy exploring his new room, a housekeeper delivering messages). Assassination and domesticity are intertwined.",The filmbook describes Arrakis as an Imperial botanical testing station with terranic species transplanted from humanity's origin world—a direct parallel to colonial cataloguing and transplantation of species to frontier territories.,"Arrakis preserves terranic species found nowhere else in the universe, has a unique desert ecology with sandworms, and the environment is so different from Earth that species names from humanity's homeworld require filmbook education to learn."
