country,book,chapter,chapter_position,part_position,question_number,question_id,criteria_short,answer,justification,source_file,file_stem
China,A View from the Stars,Time Enough for Love,NA,NA,1,q1,is space something to be contested,Other / Unsure,Nonfiction essay by Liu Cixin about his personal journey as a sci-fi writer. No fictional narrative depicting space contestation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,Essay about the author's writing career and Chinese sci-fi. No narrative depiction of space habitation.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No narrative depicting any space journey or distance.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No narrative depicting space society; discusses real-world literary community.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No narrative depicting space language or communication.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No narrative depicting space environmental conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No narrative depicting space habitation prevalence.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No narrative depicting space political order.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,9,q9,genre of the book,Other / Unsure,Nonfiction personal essay about writing sci-fi; not a narrative with a classifiable genre.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No narrative depicting civilian or military space activity.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No narrative providing a space domain analogy.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Time Enough for Love,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No narrative depicting space physical conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,1,q1,is space something to be contested,Other / Unsure,"Story is set entirely on Earth's ocean, involving a drug lord using a mind-controlled whale for smuggling. No space setting or contestation.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,2,q2,can you inhabit and hold territory in space,Other / Unsure,No space setting. The story takes place on the ocean between a yacht and Miami.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,3,q3,how long is journey / how  far from earth,Other / Unsure,No space journey depicted. All travel is by sea.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,4,q4,how culturally different is space from earth?,Other / Unsure,No space society depicted. Characters are Earth-based drug smugglers and a marine biologist.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,5,q5,do you speak same language on earth vs space ?,Other / Unsure,No space language depicted. Communication is normal Earth language.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,6,q6,is it hostile / hard to survive (bc of natural conditions),Other / Unsure,No space environment depicted. Setting is the ocean.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,7,q7,how common is it for humans to live in space,Other / Unsure,No space habitation depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,8,q8,are there different countries in space? Or just one?,Other / Unsure,No space political order depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,9,q9,genre of the book,Thriller / Horror / Survival,"A drug-smuggling thriller involving a mind-controlled whale. Uncle Warner and Hopkins use the whale Poseidon to smuggle heroin, and are killed when a whaler attacks on the return trip.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,10,q10,is space a military or civilian domain / is the book military or civilian?,Other / Unsure,No space domain depicted. Story is Earth-bound criminal activity on the ocean.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,11,q11,Is space characterized like another military domain?,Other / Unsure,No space domain to draw an analogy for.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,Whale Song,NA,NA,12,q12,how physically different is space from earth?,Other / Unsure,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
China,A View from the Stars,A Journey in Search of Home,NA,NA,1,q1,is space something to be contested,Other / Unsure,"Nonfiction essay about writing 'The Wandering Earth,' discussing scientific rigor vs literary aesthetics. No narrative depicting space.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars
