country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,The Andromeda Nebula,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter contains only the title page, translator credit, publisher information, and a character list. No narrative content.",No narrative content. Purely bibliographic and character-listing material.,No narrative content depicting any journey.,No narrative content depicting any society.,No narrative content depicting language dynamics.,No narrative content depicting any environment.,No narrative content depicting space habitation.,No narrative content depicting political order.,"The front matter is bibliographic material, not a narrative chapter with a genre.",No narrative content depicting any domain.,No narrative content depicting any domain characterization.,No narrative content depicting any environment.
Russia,The Andromeda Nebula,Chapter ONE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Single unified authority,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),Cosmic Expedition No. 37 is a cooperative scientific mission. There is no rivalry over space or its resources. The lost supply ship Algrab and the destroyed Zirda indicate dangers but no conflict between parties.,"The Tantra is on a temporary expedition. The crew visits planets (Zirda, the rendezvous world) but does not hold or settle territory. Space presence consists of small expeditions and communication relays.",The expedition travels at 5/6 the speed of light and has been away from Earth for years. The crew members missed loved ones' entire lifetimes due to relativistic effects. Erg Noor spent his youth on expeditions spanning decades of independent time.,"The crew maintains Earth social norms: they hold Council meetings, follow duty rosters, and their interpersonal relationships (Nisa's love for Erg Noor, grief over Pel Lynn's failure) reflect recognizable human social patterns.",All crew communication uses standard Earth language. There is no alien language contact or translation technology depicted in this chapter.,"The Tantra faces a fuel crisis near an invisible iron star, risking being trapped in its gravitational field. Zirda was destroyed by radioactive contamination. The environment demands constant vigilance; one missed observation nearly dooms the entire ship.","Cosmic Expeditions are numbered sequentially (this is the 37th), each with small crews. Space exploration is the domain of a select few specialists who dedicate their lives to it.",Earth is governed by a unified system of Councils (the Astronautical Council directs expeditions). There are no competing polities or factions.,"The chapter centers on the Tantra's exploration mission: approaching an unknown star system, navigating a fuel crisis, and making decisions about venturing into unexplored region 344+2U. Discovery and danger drive the plot.","The expedition is entirely scientific and civilian. There is no military presence, no weapons systems, and no military hierarchy. Erg Noor is a civilian commander of a research mission.","Space is depicted as an unknown frontier. The crew ventures into unexplored territory (region 344+2U), supply ships go missing, and the danger of the iron star evokes frontier hazards. The expedition pushes outward from known space.","The chapter depicts an invisible iron star (class T) whose gravitational field traps ships, a planet destroyed by radioactive contamination, and deep space conditions fundamentally unlike anything on Earth. The physics of relativistic travel alters time itself."
Russia,The Andromeda Nebula,Chapter TWO,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Other / Unsure,Uncommon (small specialist population),Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,The Great Circle operates through cooperative interstellar communication. Earth transmits knowledge freely to other civilizations. There is no rivalry or conflict over space.,"Darr Veter hands over the Directorship of Outer Stations, indicating orbital infrastructure exists, but human presence in space consists of stations and expeditions, not permanent settlements.","The Great Circle spans interstellar distances. Messages take years to traverse between stars. The chapter discusses communications with Ross 614 and 61 Cygni, implying vast separations from Earth.",The future communist utopian society on Earth is recognizably human. Veda's history lecture traces development from the Era of Disunity through the Era of Common Labour. Social structures are advanced but fundamentally Earth-derived.,"The Great Circle transmits between civilizations on different planets (Ross 614, 61 Cygni, Epsilon Tucanae). Communication across species is mediated by technology that renders the images of alien humanoids comprehensible.",This Earth-based chapter does not directly depict space environments. The focus is on Earth civilization and its communication network.,"The chapter mentions Outer Stations and the infrastructure for the Great Circle, staffed by specialists. Mven Mass takes over as Director, indicating a dedicated but small professional class works in space.",Earth is governed by unified Councils. Darr Veter hands over his post to Mven Mass in an orderly bureaucratic transition. Veda's lecture describes the historical path to unified world governance.,"The chapter focuses on character relationships (Darr Veter stepping aside, Mven Mass's emotional reaction to Epsilon Tucanae), world-building through Veda's history lecture, and the emotional impact of seeing beautiful alien humanoids.","All activity is civilian: scientific broadcasts, historical lectures, cultural exchange through the Great Circle. No military presence at all.","This Earth-based chapter does not depict space as a domain to be characterized by analogy. The Great Circle is a communication network, not a frontier or ocean.",No space environment is directly depicted. The chapter takes place on Earth.
Russia,The Andromeda Nebula,Chapter THREE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The Tantra lands on the dark planet to search for the lost Parus and salvage fuel. There is no rivalry between human factions; the threats are environmental and biological.,"The Tantra's landing on the dark planet is a temporary, emergency visit. The Parus was similarly a visiting expedition that was lost. No settlement or territorial control exists here.","The dark planet orbits an iron star in an unexplored region of space, far from Earth. The Parus has been missing for 80 years. The crew is years away from home.","The crew operates with Earth-derived social organization: coordinated landing parties, duty assignments, and interpersonal bonds (Nisa protecting Erg Noor). Their behavior is recognizably human.",All communication is between human crew members in their common language. The alien disc spaceship and its builders left no decipherable communication.,"The dark planet has 2.5 times Earth gravity, perpetual darkness, and lethal fauna: black jellyfish creatures with paralyzing electrical attacks and a terrifying cross-shaped monster that uses infrasonic attack and hypnosis. The Parus crew was largely killed. Nisa is paralyzed by the cross-monster.",Only a small expedition crew is present on the dark planet. The Parus crew (also small) was lost decades earlier. Space exploration involves tiny groups of specialists.,The expedition operates under Earth's unified Astronautical Council. There is a single chain of command under Erg Noor.,"The chapter is dominated by terrifying encounters: the black jellyfish that paralyzes Eon Thai, the cross-shaped monster that nearly kills Nisa and hypnotizes Erg Noor, the discovery of the dead Parus crew, and the explosion of the alien disc spaceship. Constant mortal danger pervades.","The expedition is entirely scientific and civilian. They use robots and tools, not weapons. Their encounters with hostile creatures are defensive, not military.","The dark planet is uncharted frontier territory. The crew explores unknown terrain, encounters hostile wildlife, and salvages from a predecessor expedition that perished there, mirroring frontier exploration narratives.","The dark planet has 2.5x Earth gravity, no sunlight (orbiting an invisible iron star), a breathable but alien atmosphere, and fauna that weaponize electricity and infrasound. A 350-meter alien disc spaceship of unknown construction sits on the surface. The environment is fundamentally unlike anything on Earth."
Russia,The Andromeda Nebula,Chapter FOUR,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,This Earth-based chapter depicts an archaeological expedition in Central Asia. No space contestation is addressed.,No space territory is discussed. The chapter takes place entirely on Earth's surface.,No space journey is depicted or discussed.,The chapter depicts Earth society only. Veda and Darr Veter's archaeological expedition shows the terrestrial civilization.,No space language dynamics. All communication is in the common Earth language.,No space environment is depicted. The setting is the Altai steppes on Earth.,No space habitation is discussed in this chapter.,"Earth's unified society is evident: coordinated scientific expeditions, shared infrastructure, the Council system governing all activities.","The chapter centers on philosophical discussions between Veda and Darr Veter about history, beauty, and ancient civilizations, set against an archaeological dig. Character development and reflection dominate.","All activities are civilian: archaeology, palaeontology, philosophical discussion. No military presence.",This Earth-based chapter does not characterize space as a domain.,No space environment is depicted.
Russia,The Andromeda Nebula,Chapter FIVE,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,The chapter depicts cooperative scientific work: maritime archaeology and Renn Bose's theoretical physics discussions. No rivalry over space exists.,"No space territory is discussed directly, though Renn Bose's zero-space theory aims to overcome interstellar distance.","No journey is depicted. Renn Bose discusses theoretical means of instantaneous travel, but no actual journey occurs.",Earth society only. The chapter shows scientists and explorers on Earth.,No space language dynamics are depicted.,No space environment is depicted. The setting is Earth's ocean.,No space habitation is discussed directly.,"Darr Veter advises against Renn Bose's experiment due to risk to Earth's infrastructure, reflecting the unified authority structure where responsible governance constrains individual ambition.","The chapter focuses on the discovery of the golden horse, philosophical discussions about science and risk, and the tension between Renn Bose's ambition and institutional caution. Character dynamics drive the narrative.","All activities are civilian: maritime archaeology, theoretical physics discussions. No military element.",This Earth-based chapter does not characterize space as a domain.,No space environment is depicted.
Russia,The Andromeda Nebula,Chapter SIX,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The Tantra's return journey is entirely cooperative. They meet the Pluto expedition heroes on Triton. There is no rivalry or conflict over space.,The crew quarantines on Triton before returning to Earth. The Pluto expedition discovered alien ruins. All human space presence consists of temporary expeditions and way-stations.,The Tantra is returning from a multi-year expedition through the solar system. The journey has taken years and involves traversal of vast distances from the iron star back to Earth.,"The crew maintains Earth cultural norms throughout the return journey. They watch archival films, care for the paralyzed Nisa, and follow standard quarantine procedures on Triton.",All communication is between human crew members. The Parus films they watch use standard human language.,"The Parus films show all four Vega planets are completely lifeless, sterilized by the blue sun. Erg Noor reinterprets the Parus crew's last message as an expression of relief at escaping such desolation. The dark planet they just left was deadly.","Only the small Tantra crew and the six Pluto expedition heroes are present. Space explorers are exceptional individuals undertaking rare, dangerous missions.","The Tantra follows quarantine protocols on Triton, adhering to unified Earth authority. The Pluto expedition similarly operated under Council direction.","The chapter follows the Tantra's return journey through the solar system, the viewing of Parus exploration films of Vega, and the encounter with the Pluto expedition heroes who discovered alien ruins. Exploration and discovery dominate.","All activities are scientific and civilian: watching exploration films, medical care for Nisa, quarantine procedures, and sharing discoveries with the Pluto heroes.","Space is depicted as frontier territory: the Pluto expedition discovered alien ruins and strange minerals at the edge of the solar system, the Parus ventured to Vega and was lost, and the Tantra returns from uncharted regions.",The Vega system is completely lifeless under its blue sun's radiation. The dark planet had 2.5x gravity and lethal creatures in perpetual darkness. The Pluto expedition found alien ruins in extreme conditions. These environments are fundamentally unlike Earth.
Russia,The Andromeda Nebula,Chapter SEVEN,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,"This Earth-based chapter focuses on social gatherings, Darr Veter's personal decisions, and the news of Tantra's return. No space contestation is addressed.","No space territory is directly discussed, though the return of Cosmic Expedition No. 37 is announced.",No space journey is depicted. The Tantra's return is mentioned as news but not shown.,"The chapter depicts Earth society: social gatherings, artistic discussion, and personal sacrifice (Darr Veter taking the titanium mines job).",No space language dynamics are depicted.,No space environment is depicted. The settings are maritime expedition camps and submarine mines on Earth.,The mention of Satellite 57's destruction is brief and incidental to the chapter's focus.,Earth's unified governance is shown through the Astronautical Council calling Darr Veter back to duty after Satellite 57's loss. Society operates as a coordinated whole.,"The chapter centers on Darr Veter's emotional sacrifice (stepping aside from Veda, taking grueling manual labor), artistic discussions about beauty and race, and the emotional impact of Tantra's return announcement.","All activities are civilian: social gatherings, artistic discussion, industrial labor, scientific administration.",This Earth-based chapter does not characterize space as a domain.,No space environment is depicted.
Russia,The Andromeda Nebula,Chapter EIGHT,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Other / Unsure,Other / Unsure,Other / Unsure,Uncommon (small specialist population),Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,"Mven Mass prepares his unauthorized experiment but there is no rivalry between factions over space. The Great Circle operates cooperatively. His secrecy is due to institutional rules, not inter-faction conflict.","Satellite 57 serves as a relay station for Great Circle communications and spaceship coordination. The Outer Stations represent temporary human infrastructure in space, not permanent settlement.","Mven Mass contemplates the vast distances of the Great Circle and aims his experiment at Epsilon Tucanae, a star system impossibly far from Earth. The distances discussed span dozens of light years.",The chapter is set on Earth. No space society is directly depicted.,No space language dynamics are depicted in this chapter.,No space environment is directly depicted. Mven Mass contemplates space from Earth.,"The Outer Stations and Satellite 57 are staffed by specialists. Mven Mass directs these stations, indicating a small but established professional population working in near-Earth space.",The Astronautical Council governs all space activity. Mven Mass's experiment is unauthorized precisely because the Council's permission is required for such endeavors.,"The chapter builds dramatic tension as Mven Mass prepares for the forbidden experiment, contemplates Beth Lohn's cautionary tale, and is emotionally stirred by Chara Nandi's dance at the Fete of Flaming Bowls.","All activities are civilian: scientific contemplation, cultural festivals, artistic performance. No military element.",The chapter does not characterize space as a domain through analogy.,No space environment is directly depicted.
Russia,The Andromeda Nebula,Chapter NINE,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,This entirely Earth-based chapter about the education system does not address space contestation.,No space territory is discussed.,No space journey is depicted or discussed.,The chapter depicts Earth's education system. No space society is shown.,No space language dynamics are depicted.,No space environment is depicted. The setting is a school in Ireland.,No space habitation is discussed.,"Veda explains the Council system of governance, comparing it to the structure of the human brain. The unified education system spans the planet with standardized three-cycle schools.","The chapter centers on Evda Nahl's graduation lecture about self-discipline and dialectics, Veda's explanation of governance, and the philosophical development of the characters. Exposition and character reflection dominate.","All activity is civilian: education, philosophy, governance discussion. No military element.",This Earth-based chapter does not characterize space as a domain.,No space environment is depicted.
