chapter,question,answer,explanation,,Question,Options,,,,,,
1,1,Other / Unsure,NA,,contestation,no contestation,low contestation,moderate contestation,high contestation,total war,Other / Unsure,
1,2,Other / Unsure,NA,,inhabitable,cannot inhabit or hold territory,visiting/temporary only,limited settlement,habitable and governable,extensive occupation,Other / Unsure,
1,3,Other / Unsure,NA,,journey distance,near-earth/very short,short journey,moderate journey,long-distance journey,extreme/unreachable,Other / Unsure,
1,4,Mostly Earth-like with minor adaptations,"children in school, doctors, etc",,cultural difference,earth in space,earth-like,hybrid culture,distinct space culture,radically different culture,Other / Unsure,
1,5,"Mostly same, with dialect/slang differences","slang/language ""monitor"", ""third"" used in different context",,language,earth language,dialect differences,shared lingua france + local variation,distinct languages,translation-mediated communication,Other / Unsure,
1,6,Other / Unsure,NA,,geographic hostility,benign,risky,harsh,hostile,uninhabitable/lethal,Other / Unsure,
1,7,Other / Unsure,NA,,common experience,rare,uncommon,moderatecommon,normal,Other / Unsure,,
1,8,Other / Unsure,NA,,different countries,ungoverned,single authority,Earth nation-states extend into space,distinct polities,high fragmentation,Other / Unsure,
1,9,Adventure / exploration,"young boy in school who's special, about to start an Adventure / exploration",,genre,adventure,drama,political,military/war,thriller/horror,comedy,Other / Unsure
1,10,Other / Unsure,NA,,military or civilian domain,civilian,mostly civilian,mixed,mostly military,military,Other / Unsure,
1,11,Other / Unsure,NA,,nearest neighbor,unique,ocean/naval,air/airpower,frontier/colonial,cyberspace,Other / Unsure,
1,12,Other / Unsure,NA,,physical differences,earth-like,minor differences,moderately different,very different,radically different environment,Other / Unsure,
2,1,Other / Unsure,NA,,,,,,,,,
2,2,Other / Unsure,NA,,,,,,,,,
2,3,Other / Unsure,NA,,,,,,,,,
2,4,Mostly Earth-like with minor adaptations,"children in school, doctors, etc",,,,,,,,,
2,5,"Mostly same, with dialect/slang differences","slang/language ""monitor"", ""third"" used in different context",,,,,,,,,
2,6,Other / Unsure,NA,,,,,,,,,
2,7,Other / Unsure,NA,,,,,,,,,
2,8,Other / Unsure,NA,,,,,,,,,
2,9,Adventure / exploration,"young boy in school who's special, about to start an Adventure / exploration",,,,,,,,,
2,10,Other / Unsure,NA,,,,,,,,,
2,11,Other / Unsure,NA,,,,,,,,,
2,12,Other / Unsure,NA,,,,,,,,,
3,1,High contestation (frequent conflict or strategic struggle),bugger wars/mandatory films,,,,,,,,,
3,2,Habitable and governable (permanent settlements can hold territory),"mentions school in space, battles over territory in space",,,,,,,,,
3,3,Other / Unsure,unclear how far away it is,,,,,,,,,
3,4,Mostly Earth-like with minor adaptations,"children in school, same religions, slight differences",,,,,,,,,
3,5,"Mostly same, with dialect/slang differences","slang/language ""monitor"", ""third"" used in different context",,,,,,,,,
3,6,Other / Unsure,not discussed,,,,,,,,,
3,7,Uncommon (small specialist population),only some children taken to train in space,,,,,,,,,
3,8,Single unified authority,"there's a government that seems to be unified in space, though discussion of different countries on earth",,,,,,,,,
