country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),front_matter,No contestation,Extensive territorial occupation (many settled worlds/regions held like states or empires),Other / Unsure,Radically different / alien social order,Other / Unsure,Other / Unsure,Normalized / widespread (space habitation is ordinary for humanity),Other / Unsure,Comedy / satire,Entirely civilian,Other / Unsure,Other / Unsure,"The prologue describes Earth and the galaxy in expository terms with no conflict. It introduces the Hitchhiker's Guide as a book and Earth as insignificant, but no contestation occurs.","The prologue mentions civilizations on the Outer Eastern Rim, publishing corporations of Ursa Minor, and many relaxed civilizations across the galaxy, implying widespread settlement.","No journey is described in the prologue. It is purely expository, setting up the premise of Earth's insignificance and the Guide's existence.","The galaxy has its own publishing corporations, philosophical blockbusters by alien authors like Oolon Colluphid, and an Encyclopaedia Galactica. Alien civilizations are entirely distinct from Earth.",No language interaction is depicted. The prologue is narration describing the galaxy without any dialogue or communication between species.,No survival conditions or environmental hostility are described. The prologue is entirely expository.,"Many civilizations across the galaxy are mentioned casually, with interstellar publishing and hitchhiking implied as normal activities.","While civilizations are mentioned, no specific political structures or governance is described in the prologue.","The prologue's satirical tone is evident from the opening, describing Earth's inhabitants as primitively fascinated by digital watches and obsessed with small green pieces of paper.","No military presence is mentioned. The prologue describes publishing, philosophy, and everyday galactic life.",Insufficient information to characterize the domain analogy. The prologue is expository without depicting space travel or operations.,No physical space environments are described. The prologue focuses on Earth and the concept of the Guide.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 1,"Low contestation (minor competition, little open conflict)",Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Basically Earth society in space,Same languages as Earth,Benign / easily survivable,Uncommon (small specialist population),Other / Unsure,Comedy / satire,Entirely civilian,Other / Unsure,Other / Unsure,"Arthur Dent's conflict with the council over his house demolition parallels the coming planetary destruction. Ford hints the world is ending, but no actual space conflict occurs yet.",Ford Prefect is from Betelgeuse and has been stranded on Earth for 15 years. The existence of a galactic hitchhiking culture implies many settled worlds across the galaxy.,"Ford is 600 light years from his birthplace near Betelgeuse and has been stranded on Earth for 15 years, unable to leave. The distance is effectively insurmountable without a passing ship.","The chapter takes place entirely on Earth with normal English village life: pubs, bulldozers, council planning disputes. Space culture is only hinted at through Ford's alien nature.",Ford speaks fluent English despite being from Betelgeuse. All communication is in standard English with no translation needed.,"The chapter takes place in rural England. The environmental conditions are mundane: rain, mud, pubs. Space conditions are not yet depicted.","Ford is the only known alien on Earth, and space travel is exotic from the human perspective. Ford is a specialist researcher for the Guide.",No political structures in space are described yet. The chapter focuses entirely on Earth-based municipal politics.,"The chapter satirizes bureaucracy through the planning permission parallel, features absurdist humor about Genghis Khan ancestry, and Ford's alien drinking games.","No military presence whatsoever. The chapter depicts village life, pub culture, and local council disputes.",Space is not characterized as any particular domain yet. The chapter is entirely Earth-bound.,No space environments are depicted. The setting is entirely terrestrial.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 2,"Low contestation (minor competition, little open conflict)",Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mixed / hybrid culture,Same languages as Earth,Benign / easily survivable,Normalized / widespread (space habitation is ordinary for humanity),Other / Unsure,Comedy / satire,Entirely civilian,Other / Unsure,Other / Unsure,"Ford urgently warns Arthur that the world is about to end, but no active conflict occurs. The tension is anticipatory rather than confrontational.","The Pan Galactic Gargle Blaster recipe references multiple settled worlds: Santraginus V, Arcturus, the Qualactin Zones, Fallia, and Algol, implying widespread galactic habitation.",The galactic scale is implied by the many alien worlds referenced. Ford's inability to leave Earth for 15 years suggests extreme distances between star systems.,An English pub scene coexists with references to alien cocktail culture. The Pan Galactic Gargle Blaster recipe blends alien ingredients from across the galaxy.,All dialogue is in standard English. Ford communicates normally with the barman and Arthur without any translation.,The chapter takes place in a village pub. Space conditions are only referenced humorously through drink recipes.,The Hitchhiker's Guide outsells the Encyclopaedia Galactica across many civilizations. Multiple inhabited worlds are referenced casually in the drink recipe.,No political structures are discussed. The focus is on a pub conversation and the impending destruction of Earth.,"The chapter is structured as comedy: Ford's deadpan announcement of Earth's destruction, the barman's oblivious responses, and the absurd Pan Galactic Gargle Blaster recipe.",The chapter is set in a pub with no military presence. A patron mentions the army in passing but this is incidental.,Space is not directly characterized in this chapter beyond drink recipes referencing alien worlds.,No space environments are directly depicted. Alien worlds are only referenced as ingredient sources.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 3,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Distinct space culture,Same languages as Earth,Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Comedy / satire,Entirely civilian,Totally unique domain,Very different (human bodies/technology constantly challenged),The Vogon Constructor Fleet destroys the entire planet Earth to build a hyperspace bypass. This is a catastrophic act of destruction against an inhabited world.,The Galactic Hyperspace Planning Council controls interstellar infrastructure. Alpha Centauri has a planning department. Multiple worlds are referenced in the Guide's towel entry.,"The Guide describes hitchhiking the length and breadth of the Galaxy. Multiple alien worlds are referenced across vast distances. Earth's planning documents were at Alpha Centauri, four light years away.","Hitchhiker culture has its own slang (strag, hoopy, frood, sass), values (towel as essential item), and social norms entirely distinct from any Earth culture.",The Vogon announcement is understood by Ford (pre-Babel fish). All narration and Guide entries are in English. Hitchhiker slang uses English-derived terms.,"The Guide's towel entry describes space travel as survivable with proper preparation but involving dangers: cold moons, the Ravenous Bugblatter Beast, noxious fumes, and hand-to-hand combat.",Interstellar hitchhiking is common enough to have its own culture and guidebook. Multiple worlds are referenced casually. Space travel is treated as routine.,The Galactic Hyperspace Planning Council operates as a governing body. The Vogon Constructor Fleet follows bureaucratic orders. Alpha Centauri has its own planning department.,Earth's destruction is satirized as a bureaucratic planning dispute. The Vogon announcement parodies government notices. The towel entry is absurdist comedy.,"The Vogon Constructor Fleet is a civil engineering project, not a military operation. The destruction of Earth is framed as bureaucratic demolition, not warfare.","Space is characterized through hitchhiking culture with towels as essential equipment, an electronic guidebook, and backpacker survival tips, unlike any traditional domain analogy.","The Guide describes cold moons of Jaglan Beta, desert worlds of Kakrafoon, alien creatures like the Ravenous Bugblatter Beast, and noxious fumes requiring constant adaptation."
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 4,"Low contestation (minor competition, little open conflict)",Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Same languages as Earth,Benign / easily survivable,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Comedy / satire,Entirely civilian,Other / Unsure,Somewhat different (manageable environmental differences),The chapter depicts the peaceful Heart of Gold unveiling ceremony on Damogran. The only hint of conflict is that Zaphod has a hidden agenda for his presidency.,The Imperial Galactic Government spans the galaxy. Damogran is a settled world used for secret government projects. Over three billion people watch the ceremony on tri-D broadcast.,"Damogran is on the opposite spiral arm of the Galaxy, 500,000 light years from the star Sol. Even light takes half a million years to make the journey.","The reception includes reptiloid atomineers, green sylph-like maximegalaticians, octopodic physucturalists, and a Hooloovoo (a super-intelligent shade of blue). The President is a figurehead who exists to distract from real power.",All characters communicate freely in English despite being diverse alien species. No translation technology is mentioned or needed in this chapter.,Damogran is a warm desert island world with pleasant conditions. The ceremony takes place outdoors in sunshine. No environmental hazards are described.,Over three billion people watch the ceremony via tri-D. Multiple alien species casually coexist at the event. Interstellar government is routine.,"The Imperial Galactic Government is the primary polity described. The President is a figurehead, with real power held by six unknown individuals. The Galactic Institute awards prizes.",The chapter satirizes politics: the Galactic President exists only to distract attention from real power. Zaphod is described as an ex-hippy and confidence trickster. The ceremony is absurdly theatrical.,The chapter depicts a government research ceremony with scientists and politicians. No military presence is described.,"Space is presented as a political and scientific domain in this chapter, without clear analogy to ocean, air, frontier, or other domains.",Damogran is a desert island world that is generally Earth-like but with different geography. The environment is comfortable and requires no special adaptation.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 5,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Comedy / satire,Entirely civilian,Totally unique domain,Very different (human bodies/technology constantly challenged),"Ford and Arthur hide from Vogons who will throw them out of the airlock if found. The Dentrassi help hitchhikers specifically to annoy the Vogons, showing ongoing species rivalry.",Vogons migrated from Vogsphere to the Megabrantis cluster and control the Galactic Civil Service. The Worldweb of hitchhiking routes and settled worlds is implied throughout.,Ford came to Earth from Betelgeuse and was stranded for 15 years. Barnard's Star is six light years away. The galaxy spans vast distances requiring hitchhiking or ships.,"Vogons evolved on Vogsphere, destroyed all beauty there, and now run the Galactic Civil Service. Dentrassi are alien gourmand cooks. Squornshellous Zeta produces living mattresses. Society is thoroughly alien.","Ford places a Babel fish in Arthur's ear, enabling instant translation of any language. The Babel fish is described as feeding on brainwave energy and excreting a telepathic matrix.","Ford and Arthur are stowaways on a hostile Vogon ship, hiding in cramped Dentrassi quarters. The Vogon captain threatens to eject them into space. Survival requires resourcefulness and the Guide's knowledge.",Rich kids called teasers cruise around buzzing uncontacted planets. Interstellar hitchhiking is common enough for a guidebook. Multiple alien species coexist as routine.,The Vogons run the Galactic Civil Service from the Megabrantis cluster. The Dentrassi are an independent species employed as cooks. Various civilizations coexist with different roles.,"The chapter is comedic throughout: the Vogons as bureaucratic villains who eat beautiful crabs and sit on gazelles, Arthur discovering Earth's Guide entry is 'Mostly harmless,' and Ford's bemused observations about human communication habits.","The Vogon Constructor Fleet is a civil service operation, not military. All characters are civilians: a researcher, hitchhiker, cooks, and bureaucrats.","Space is characterized as a hitchhiking domain with its own guidebook, backpacker culture, and survival tips, unlike any traditional military or exploration domain.",Hyperspace travel causes severe physical distortion. The Vogon ship interior is completely alien. Squornshellous Zeta mattresses and Dentrassi quarters present an unfamiliar environment.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 6,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Harsh and resource-intensive,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Comedy / satire,Entirely civilian,Totally unique domain,Very different (human bodies/technology constantly challenged),"The Vogon captain explicitly threatens the hitchhikers, cancels all planet leave, and sends search parties. The tension between Vogons and stowaways continues.","The ship is heading to Barnard's Star for a 72-hour refit, implying established infrastructure across star systems. The Guide describes a hundred billion stars in the galaxy.",Arthur is now six light years from where Earth used to be. The jump through hyperspace crosses interstellar distances instantly but creates profound psychological separation from everything Arthur knew.,"Vogon society with its own language, bureaucracy, and cultural practices is completely alien. The Babel fish reveals a universe of diverse languages and species.",The Babel fish translates the Vogon captain's gargling speech into comprehensible English for Arthur. The Guide explains that the Babel fish has caused more wars than anything by removing communication barriers.,Hyperspace travel is described as unpleasantly like being drunk and causes severe physical distortion. Arthur and Ford are trapped on a hostile ship with Vogons searching for them.,The Guide covers a hundred billion stars. Interstellar travel via hyperspace is routine enough for scheduled refits at Barnard's Star. Space habitation is completely ordinary.,The Vogons operate their own fleet with independent command. Various species and civilizations are implied. Earth's Guide entry (one word) shows how insignificant individual worlds are.,The Babel fish entry satirizes religion through a proof of God's non-existence. The Vogon captain cancels leave because of an unhappy love affair. Arthur's grief for Earth includes mourning McDonald's.,The Vogon fleet is a construction operation. The characters are civilians: a researcher and an accidentally displaced Earthman. No military elements appear.,Space travel through hyperspace warps physical reality. The Babel fish makes all language barriers irrelevant. Space is presented as a unique domain with its own bizarre physics.,"Hyperspace causes extreme physical effects: eyes turning inside out, feet leaking from the head, the room folding flat. The alien ship environment is completely unlike Earth."
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 7,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Comedy / satire,Mostly civilian with some military presence,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Ford and Arthur are tortured with Vogon poetry, then physically thrown toward the airlock to be ejected into space. The chapter is a continuous struggle for survival against Vogon captors.",The Vogon Guard Corps is mentioned as an established military institution. The Azgoths of Kria and the Mid-Galactic Arts Nobbling Council imply many galactic civilizations and institutions.,Arthur is on a Vogon ship six light years from the smoking remains of Earth. He describes being thrown out of an alien spaceship as the culmination of the worst day imaginable.,Vogon poetry torture uses electronic equipment like imagery intensifiers and simile dumpers. The Vogon guard's career path involves shouting and pushing people out of spaceships as professional skills.,"Arthur and Ford communicate freely with the Vogon captain and guard despite being different species, thanks to the Babel fish translation established earlier.","Ford and Arthur are tortured with poetry, physically dragged to an airlock, and ejected into the vacuum of space. Survival pressure is constant throughout the chapter.",The Vogon guard treats spaceship duty as a routine career with mundane concerns about promotion to Senior Shouting Officer. Space work is thoroughly ordinary for aliens.,"The Mid-Galactic Arts Nobbling Council, the Azgoths of Kria, and the Vogon Guard Corps represent different galactic institutions and civilizations.",The poetry torture is absurdist comedy. Ford tries to philosophically persuade the guard to quit his job. Arthur quips about going to heaven with a headache. The guard aspires to Senior Shouting Officer.,"The Vogon Guard Corps is a quasi-military force, but the narrative frames it as mundane employment rather than military service. The guard discusses career prospects like a civilian job.","Space is presented as a unique environment where poetry is weaponized, airlocks are punishment devices, and career advancement involves shouting. No traditional domain analogy applies.",The chapter ends with Ford and Arthur ejected into the vacuum of space. The airlock is described as an empty blackness studded with impossibly bright points of light. Survival in vacuum is measured in seconds.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 8,No contestation,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Other / Unsure,Comedy / satire,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes Ford and Arthur's miraculous rescue by the Heart of Gold. There is no conflict, only the bizarre effects of the Infinite Improbability Drive.","The Guide mentions the planet Bethselamin with ten billion visiting tourists annually, Alpha Proxima, Damogran, and the concept of hitchhiking across the galaxy's vast distances.","The Guide notes light takes 500,000 years to cross the galaxy. The hitchhiking record for that distance is just under five years. Interstellar distances are described as beyond human imagination.","The Infinite Improbability Drive creates surreal reality distortions: Southend appears in space, men with five heads walk by, children bounce on sand, and horses fly through the sky.","Ford and Arthur communicate with the ship's voice system without language barriers, continuing the established Babel fish translation framework.",Ford and Arthur survive only 29 seconds in the vacuum of space before rescue. The Improbability Drive then subjects them to reality-warping effects including turning into a penguin and losing limbs.,Bethselamin receives ten billion tourists a year. Hitchhiking across the galaxy has records. Space habitation is so normal that tourism erosion is a planetary concern.,No political structures are discussed in this chapter. The focus is entirely on the rescue and the Improbability Drive's effects.,"The improbable rescue is played entirely for comedy: the astronomical odds matching a phone number, Ford turning into a penguin, reality becoming Southend-on-Sea, and infinite monkeys with a Hamlet script.",No military presence. The Heart of Gold is a civilian research vessel. The chapter describes tourism and hitchhiking.,"The Infinite Improbability Drive makes space a domain where reality itself is unstable. Custard vats materialize, people transform into animals, and probability governs physics.",Space is vacuum that kills in 30 seconds. The Improbability Drive warps reality so fundamentally that Ford turns into a penguin and Arthur loses his limbs temporarily. Physics is unrecognizable.
US,The Hitchhiker's Guide to the Galaxy Omnibus_ A Trilogy of Five (Part 1 up to chapter 26),Part 1 Chapter 9,No contestation,Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),Other / Unsure,Comedy / satire,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The chapter describes the chaotic aftermath of the Improbability Drive with no interpersonal or political conflict. Events are bizarre but not contested.,"The chapter references the famine-struck land of Poghril in the Pansel system and the Third Reach of the Unknown, implying widespread galactic settlement.",A hole appears in the galaxy millions of light years from end to end. The Improbability Drive passes through every point in the universe simultaneously.,"The Improbability Drive creates a reality where three-foot market analysts materialize and die, 239,000 fried eggs appear on a famine planet, and pretend universes flit by like mountain goats.","Ford and Arthur communicate with the ship's automated voice system and each other seamlessly, with the Babel fish framework continuing from previous chapters.","The Improbability Drive effects are physically dangerous: the universe arches sickeningly, primal light explodes, time blossoms, and Arthur's body softens and bends in unusual directions.",The Starship Heart of Gold is described as a routine vessel with automated welcome messages. Market analysts and settled planets like Poghril exist as normal parts of galactic life.,No political structures are described. The chapter focuses on the physical effects of the Improbability Drive.,"The chapter is surreal comedy: the Poghril tribe dies of famine then cholesterol from 239,000 fried eggs, atoms were traumatized into creating life, and Ford gasps on a pavement racing through space.",No military presence. The Heart of Gold is a civilian vessel. The chapter describes the absurd physics of the Improbability Drive.,The Improbability Drive makes space a domain where probability replaces physics. Reality is measured in odds rather than distance or direction. No traditional domain analogy applies.,"The universe jumps, freezes, quivers, and splays in unexpected directions. Bodies soften and bend. Feet leak from heads. Physical reality is fundamentally unlike anything on Earth."
