country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,Enders Game,Part 1 Chapter 1,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Mostly Earth-like with minor adaptations,Same languages as Earth,Other / Unsure,Other / Unsure,Single unified authority,Military / war,Mostly military,Other / Unsure,Other / Unsure,"The opening dialogue reveals military officers monitoring children to select them for war against the 'buggers,' indicating an ongoing existential alien conflict requiring constant strategic preparation.",This chapter is set entirely on Earth and provides no direct information about inhabiting or holding territory in space.,This chapter takes place entirely on Earth; no journey to space is depicted or described.,"Society is recognizably Earth-like — children attend school, ride buses, have families — but with adaptations like population control (Thirds require government waivers) and pervasive military monitoring implants in children.",All characters speak English; there is no indication of different languages in space or on Earth in this chapter.,This chapter is set on Earth and does not depict the physical conditions of space.,This chapter does not depict anyone living in space; the narrative focuses on Earth-based school life.,"The military officers speak of 'saving the world' as a collective enterprise, and the government controls birth waivers (Thirds), suggesting a single overarching authority rather than competing nations.",The chapter's framing device — military officers selecting children for combat training against an alien enemy — establishes the book's military/war genre from the very first page.,"The military drives the narrative even on Earth: officers monitor civilians, select children for training, and the threat of alien war shapes all social policy (population control waivers).",This chapter does not depict space combat or domain characterization; it is set on Earth.,This chapter is set on Earth and does not describe the physical environment of space.
US,Enders Game,Part 1 Chapter 2,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Mostly Earth-like with minor adaptations,Same languages as Earth,Other / Unsure,Other / Unsure,Single unified authority,Military / war,Mixed civilian-military domain,Other / Unsure,Other / Unsure,"Children play 'buggers and astronauts' war games, and the family references the real wars against the alien buggers, suggesting a high-stakes ongoing conflict shaping all of society.",This chapter is set entirely on Earth and provides no direct narrative information about inhabiting or controlling territory in space.,No journey to space is depicted; the entire chapter takes place in the Wiggin family home.,"Society is recognizably Earth-like with elections, families, schools, and government bureaucracy, but adapted by population control policies (the 'Third' system) driven by the alien war effort.",All dialogue is in English with no suggestion of any different language in space or among the military.,The chapter is set on Earth and does not depict the physical conditions of space.,No one is shown living in space in this chapter; the focus is entirely on Earth domestic life.,"The government grants permission for families to have a third child for military selection purposes, suggesting a single overarching global authority managing both population and military recruitment.","The chapter's backdrop is an alien war — children play 'buggers and astronauts,' parents reference the government's military selection program, and Peter is described in terms of military-like aggression and dominance.","The military's presence permeates civilian life — monitoring children, controlling family size — yet the characters are civilians living in a domestic setting.",This chapter does not depict space operations or characterize space as a military domain in any specific way.,The chapter is entirely set on Earth with no description of the physical space environment.
US,Enders Game,Part 1 Chapter 3,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Colonel Graff describes how the buggers 'damn near wiped us out last time' and that humanity is preparing an enormous fleet for the next confrontation, framing space as a domain of existential military struggle.","Battle School is described as a military training station 'in the Belt,' functioning as an outpost rather than a civilian settlement — a specialized installation accessible only to military trainees and staff.","Battle School is located in the asteroid belt. Graff emphasizes that there are 'no vacations' and no return home for years at a time, implying a meaningful separation distance from Earth.","Earth society is recognizably normal — families, schools, democratic government — but adapted around the alien war: population laws, military conscription from birth, and religious practice shaped by compliance pressures.",All dialogue occurs in English with no mention of language barriers between Earth and space or among the international fleet personnel.,"Battle School is described as featuring zero-gravity environments and intensive military training with 'hard work' and no respite, implying a challenging physical environment requiring significant infrastructure to sustain.","Only a tiny fraction of children pass the rigorous testing to attend Battle School; Ender is described as exceptional among exceptional candidates, indicating that living in space is restricted to a small military elite.","The International Fleet (I.F.) operates as a single global military authority — it has requisition rights over children from birth, enforces population laws, and commands humanity's entire space military.","The chapter is entirely about military recruitment, with Graff describing the existential war against the buggers, the history of the Battle of the Belt, and Ender's destiny as a future commander.","Battle School is exclusively a military institution — Graff describes it as training 'starship captains and commodores of flotillas and admirals of the fleet,' with no civilian purpose.","Space command ranks are explicitly naval: Graff uses 'starship captains,' 'commodores of flotillas,' and 'admirals of the fleet' — mapping space military organization directly onto naval hierarchy.","Zero gravity is described as a central feature of Battle School training, requiring children to reorient their entire sense of up and down and physically adapt to combat in a fundamentally non-Earth environment."
US,Enders Game,Part 1 Chapter 4,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Graff warns of an enemy with 'ten billion, a hundred billion, a million billion' forces and a willingness to 'wipe us out,' framing space as a domain of existential, high-stakes military conflict.","Battle School is a military training station in the asteroid belt — a purpose-built installation for soldiers, not a civilian settlement, accessed by shuttle from Earth.","The shuttle travels from Earth to a station in the Belt; the journey is completed in the span of the chapter, with '20 minutes to decelerate and dock' describing only the final approach, suggesting a relatively short interplanetary trip.","Society is still recognizably Earth-based, but children are trained from a young age for interstellar war, and the physical environment of space (null gravity) requires total reorientation.",All dialogue and instruction occurs in English; no language differences exist between Earth and the space station.,"Null gravity causes severe disorientation, vomiting, and unexpected physical force — one boy breaks his arm from a minor movement — indicating that the space environment constantly challenges human bodies.","Only a tiny cohort of highly selected children travels to Battle School; they are explicitly described as 'the best of the best,' indicating that space habitation is rare and reserved for military elites.","The International Fleet operates as the sole authority governing space — selecting recruits, running Battle School, and commanding humanity's military response to the buggers.","The chapter depicts military recruitment, shuttle transport to a military station, and a commanding officer's speech about producing the greatest military commanders in history to fight an existential alien war.","Every aspect of the chapter is military: the shuttle is a military transport, Battle School is a military academy, and all children aboard are prospective officers — there is no civilian presence in space.","Graff compares the needed commander to Napoleon, Alexander, and Caesar, and uses naval-style language — flotillas, admirals — framing space military command as analogous to historical naval and land command hierarchies.","Null gravity is vividly depicted as disorienting and dangerous: boys vomit, a child flies uncontrollably and breaks his arm from a minor tug, and Ender must mentally reframe all sense of up and down to function."
US,Enders Game,Part 1 Chapter 5,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Shared lingua franca plus local variation,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Totally unique domain,Very different (human bodies/technology constantly challenged),"Classes include 'videos of the bloody battles in space, the Marines spraying their guts all over the walls of the bugger ships' and holographic footage of fleet battles, underscoring the ongoing violent conflict in space.","Battle School is described as a spinning military station: boys live in dormitories, attend classes, and use a game room — a permanent but exclusively military installation, not a civilian settlement.","Battle School is already established as a station in the asteroid belt; this chapter depicts daily life there without adding new details about travel distance, consistent with the short interplanetary journey shown in Chapter 4.","Battle School has its own social hierarchies, slang ('iced out,' 'Launchy,' army names), and unique customs, but the culture — schooling, bullying, friendship, games — is fundamentally Earth-like, adapted for a military training context.","The chapter notes that the French 'insisted that the teaching of Standard not begin until the age of four' — implying a universal 'Standard' language that all soldiers use, with Earth languages persisting as local variation.","The station uses rotation for artificial gravity, but gravity weakens toward the top decks, creating low-gravity zones. The physical environment requires constant adaptation — boys 'fly' when shoved in lower-gravity areas.","Only the most gifted children pass rigorous testing to attend; older boys who fail to advance are sent away, and only a small fraction of humanity lives or trains in space.",The International Fleet runs Battle School as an entirely self-contained military institution; no competing nations or factions are represented among the staff or decision-making structures.,"Every aspect of daily life at Battle School — classes, games, social hierarchy — is oriented toward producing military commanders for the war against the buggers.","There are no civilians at Battle School; all students are military recruits, all staff are officers, and even the games are explicitly designed as military training simulations.","The battle games use holographic tunnels of light, enemy ships, and zero-gravity three-dimensional maneuvering — a form of warfare and training without direct analogue to naval, air, or land domains.","The station uses spin for gravity, but gravity fades toward the upper decks. Boys 'fly' when pushed in low-gravity areas, and the environment constantly requires physical reorientation, making space a fundamentally non-Earth physical setting."
US,Enders Game,Part 1 Chapter 6,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Shared lingua franca plus local variation,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Totally unique domain,Very different (human bodies/technology constantly challenged),"The officers discuss selecting battle commanders capable of surviving an alien attack fleet, and the boys train in zero-gravity combat that simulates real warfare — the existential conflict with the buggers remains the chapter's central context.","Battle School remains a spinning military station in the Belt; the battleroom is a dedicated training chamber with handholds on the walls, part of a specialized military installation rather than any civilian settlement.","The chapter is set entirely within Battle School; no new information about travel distance is provided, consistent with the Belt station established in earlier chapters.","The Free Play mind game draws on deeply Earth-rooted imagery — rolling hills, gardens, a giant, ducks, fairyland — suggesting that children's imagination and culture remain thoroughly Earth-based even in the space station.","Communication at Battle School occurs in Standard; the chapter includes casual banter and slang ('packed head,' 'bugger-lovers') that functions as a localized dialect within that shared military language.","The battleroom requires specialized suits that amplify and restrict movement, demands total reorientation of spatial awareness, and creates disorienting, physically demanding conditions — surviving and moving effectively requires significant training and technology.","The chapter depicts a small, carefully selected cohort of children training in an isolated military station; space habitation is restricted entirely to this elite group.",Officers discuss command decisions and the fleet's needs in terms of a single global military enterprise; there is no suggestion of competing political powers within Battle School or the I.F.,"The chapter depicts military training: first exposure to the battleroom, mastery of null-gravity combat with freeze guns, and strategic thinking about group dynamics — all in service of preparing for alien war.","Every activity — the battleroom drills, the mind game as psychological assessment, the officers' surveillance — is oriented toward producing effective military commanders for the existential war against the buggers.","The battleroom combat involves three-dimensional null-gravity movement with no up or down, suits that amplify and restrict movement, and freeze guns — a form of warfare with no direct analogue to naval, air, or land combat.","Zero gravity in the battleroom causes tumbling, disorientation, and unexpected force amplification; the suits compound the challenge with joints that resist and amplify movement, requiring boys to completely relearn how to move."
US,Enders Game,Part 1 Chapter 7,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Shared lingua franca plus local variation,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Totally unique domain,Very different (human bodies/technology constantly challenged),"The officers discuss selecting a commander for 'the fleet' to fight the buggers, and the entire chapter depicts army training drills aimed at the ongoing interstellar war — constant military competition defines life at Battle School.","Petra explains that Battle School's battlerooms are 'the hub of the wheel,' free-floating non-rotating chambers — part of a military training station, not a civilian settlement with territory to hold.","No new travel narrative is presented; the chapter is set within Battle School in the Belt, consistent with the short interplanetary distance established in earlier chapters.","Battle School has its own army hierarchy, slang ('giria'), and strict social codes, but Earth languages (Spanish, pidgin English slang), Earth-rooted naming, and familiar social structures persist, showing adaptation rather than transformation.","Bonzo speaks Spanish ('Aqui nosotros hablamos español') and Petra uses 'giria' slang, but the dominant language at Battle School is Standard — Earth languages persist as local variation layered on a shared military lingua franca.","Petra explains that controlling zero gravity in the battlerooms requires sophisticated technology: the central hub does not spin, and Petra speculates about advanced gravity manipulation weapons and drives — space remains highly resource-intensive to inhabit.","Battle School trains only the most gifted children from Earth; armies are small, and promotions happen rarely. Only a tiny elite of humanity lives in this space station.","Major Anderson 'runs the game,' and the International Fleet controls all decisions about promotions, army assignments, and training — a single unified military authority governs all space activity.","The chapter depicts army training, tactical drills, command hierarchy, and competitive battle games — every social structure exists to prepare for war against the buggers.","Battle School is entirely a military institution — even the school curriculum is described as 'history and strategy and tactics and buggers and math and stars, things you'll need as a pilot or a commander,' with no civilian purpose.","Petra explains that Battle School uses advanced gravity manipulation technology: the battlerooms are free-floating zero-gravity chambers, and she speculates about gravity drives and gravity weapons for starships — a domain unlike any historical military precedent.",The zero-gravity battlerooms require complete physical reorientation; the station's rotation provides artificial gravity only in the living areas; and the technology to control gravity is itself described as a recent breakthrough that distinguishes this era of space warfare.
US,Enders Game,Part 1 Chapter 8,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Shared lingua franca plus local variation,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Totally unique domain,Very different (human bodies/technology constantly challenged),"Graff manipulates the game to prepare Ender for a real fleet engagement, and Dink argues the bugger threat may be fabricated to keep the I.F. in power — either way, space is framed as a domain of intense strategic struggle and geopolitical control.","Battle School remains a specialized military training station; no civilian population lives there, and all activity is devoted to producing military officers for a potential war.","No new travel is described; the chapter is set entirely within Battle School in the Belt, consistent with the short interplanetary journey established earlier.","Earth national identities persist strongly — Spanish honor, Jewish military tradition, Dutch and Russian hegemony — but blended into a single military institution with its own slang, hierarchy, and adapted codes of conduct.","Characters retain Earth-language influences (Spanish names and honor codes, Dutch and Russian political identities), but communicate in Standard across the school — a shared military lingua franca layered over persistent cultural variation.","Hand-to-hand combat in zero gravity produces blood floating in the air, broken noses, torn ears, and bruised ribs — the null-gravity environment amplifies both the difficulty and danger of physical activity, requiring constant technological support to inhabit safely.","Battle School selects only the most gifted children from Earth; even within the school, commanders and toon leaders are a tiny elite — space habitation remains exclusive to a small military contingent.","Graff, Anderson, the Polemarch, the Strategos, and the Hegemon all represent different offices within a single overarching international authority — the I.F. — that controls both space and much of Earth's political order.","The chapter depicts army battles, training drills, physical combat, and a debate about whether the I.F. is using the bugger threat to maintain political control — entirely military in context and content.","Space at Battle School is exclusively a military domain: officers manipulate training to produce commanders, soldiers train constantly for warfare, and even the school's political dynamics are shaped by military hierarchy and strategy.","Zero-gravity battleroom combat has no direct analogue to historical military domains: soldiers fight in null gravity, use freeze guns, maneuver with pushes and rebounds, and blood floats freely in the air — a wholly distinct form of warfare.","Blood floats in the air during combat, punches are ineffective in zero gravity, and movement requires entirely different physics — the null-gravity environment constantly challenges human bodies and requires adapted fighting techniques unlike anything on Earth."
US,Enders Game,Part 1 Chapter 9,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Same languages as Earth,Other / Unsure,Uncommon (small specialist population),Single unified authority,Political / diplomatic,Mixed civilian-military domain,Like the frontier / colonial expansion,Other / Unsure,"Peter analyzes secret Russian troop movements signaling preparation for post-bugger-war land conflict, while the I.F. uses the alien threat to maintain its grip on power — space and Earth are both domains of intense strategic competition.","Peter notes humanity 'will have the asteroid belt' after the bugger war, implying it is currently a military outpost domain rather than a settled civilian territory.",Battle School remains in the Belt; Ender is now a toon leader in Phoenix Army and the chapter briefly describes his life there — no new journey information is provided.,"Earth political life — internet debates, news networks, school, family dinners — is entirely recognizable and familiar, adapted only by the global political structures imposed by the I.F. and the ongoing alien threat.",Valentine and Peter write political commentary in English for regional and national nets; no language barriers between Earth and space are evident in the chapter.,This chapter is primarily set on Earth and does not depict the physical conditions of space; the space environment is not directly described.,"Space remains the exclusive domain of the I.F. military and its training programs; only a tiny elite of children lives at Battle School, while Earth's general population is entirely terrestrial.","The I.F. — with its Strategos, Polemarch, and Hegemon — is the single authority governing space and military affairs globally; though Earth has political factions (Warsaw Pact, etc.), space is controlled by the I.F. alone.","The chapter is dominated by Peter and Valentine's political maneuvering: creating pseudonymous online personas (Locke and Demosthenes), analyzing geopolitical power shifts, and planning how to shape world opinion ahead of the post-bugger-war order.","The chapter spans both Battle School military life (Ender as toon leader) and entirely civilian political activity on Earth (Peter and Valentine's internet columns), with the I.F. military presence felt even in civilian spaces (Marines at Valentine's school).","Peter envisions space as a frontier for future expansion: 'when somebody else comes, after we beat the buggers, they'll find we've already spread over a thousand worlds' — framing space as territory to be settled and claimed, like a colonial frontier.",The chapter's space-related content focuses on Battle School life and political strategy rather than describing the physical environment of space.
US,Enders Game,Part 1 Chapter 10,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mostly Earth-like with minor adaptations,Shared lingua franca plus local variation,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Totally unique domain,Very different (human bodies/technology constantly challenged),"Graff and Anderson discuss preparing Ender to lead humanity's fleet against the buggers, and Graff explicitly rigs the battle games to be increasingly unfair — all to develop the commander who must win the decisive war in space.","Ender receives his first private room as a commander — still within the Battle School military station in the Belt, a specialized installation for training military officers with no civilian population.","The chapter is set entirely within Battle School; no new travel information is presented, consistent with the station's established location in the asteroid belt.","Battle School culture has its own rituals, slang, and hierarchy, but draws deeply on Earth identity — Alai explains 'salaam' means peace in Arabic, and Ender's mother's voice quoting scripture echoes through his memory, grounding the culture in Earth roots.","Standard is the common language but cultural linguistic traces persist: Alai uses Arabic ('salaam'), slang like 'cubit' and 'neh' appears, and soldiers carry names from diverse Earth national origins (Bean, Alai, Shen).","Battleroom combat requires full flash suits, hooks for movement control, and mastery of complex zero-gravity physics — soldiers must learn to spin to avoid being hit, use frozen legs as shields, and control rebounds; the environment imposes constant physical challenge.","Ender commands Dragon Army, a tiny group of children chosen from among the best in the world — space habitation remains exclusively the province of this small military elite.","Major Anderson and Colonel Graff control all aspects of Battle School — training schedules, army compositions, even rigging the competitive games — as representatives of the I.F.'s single unified authority over humanity's space military.","The entire chapter is devoted to Ender's first day commanding Dragon Army: tactical drills, zero-gravity formations, instant-obedience training, and the psychology of military command — all directed toward preparing for the bugger war.","Dragon Army's first practice session introduces tactics including the attack position with frozen legs, spinning to avoid beams, and using frozen soldiers as projectiles — every activity is military training for interstellar combat.","The chapter introduces the 'hook' — a device controlling movement through the battleroom using magnetic or gravity technology — and teaches tactics like spinning in zero gravity to avoid beam weapons. These are fundamentally distinct from naval, air, or land combat.","Zero gravity requires completely relearning movement: soldiers must orient with 'the enemy's gate is down,' use frozen legs as shields and launching pads, control spinning to avoid weapons, and adapt movement to null-gravity physics that have no Earth equivalent."
