country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,Rendezvous with Rama,front_matter,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,The front matter is a table of contents listing chapter titles. No conflict or contestation is depicted.,The front matter is a table of contents with no narrative content about territory or habitation.,No journey distances are described in this table of contents.,No cultural details are present in this table of contents.,No language or communication details are present.,No environmental conditions are described.,No information about space habitation frequency is present.,No political structures are described.,"The table of contents suggests adventure/exploration themes from titles like 'First EVA,' 'Reconnaissance,' 'First Contact,' but no narrative content is present to confirm.",No military or civilian domain details are present.,No domain analogies can be drawn from a table of contents.,No physical environment details are described.
US,Rendezvous with Rama,Chapter ONE,No contestation,Cannot inhabit or hold territory,Near-Earth / very short journey,Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Single unified authority,Adventure / exploration,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The chapter describes a meteorite disaster in 2077 and humanity's unified response creating Project SPACEGUARD. There is no interpersonal or interstellar conflict—humanity acts with determination and unity.,Space in this chapter is presented as a source of cosmic bombardment—meteorites striking Earth. There is no mention of inhabiting or holding territory in space; it is purely a threat domain.,"The chapter deals with near-Earth objects—meteorites entering Earth's atmosphere from relatively nearby space. Project SPACEGUARD monitors objects approaching Earth, implying near-Earth distances.",The chapter is set entirely on Earth and describes Earth society's response to a meteorite disaster. The cultural context is recognizably contemporary Earth civilization projected into 2077.,"The narrative references real Earth locations (Moscow, Vladivostok, Padua, Venice) and uses standard English. No space-specific languages or communication differences are mentioned.","Space is depicted as a lethal threat: a meteorite destroys cities, kills 600,000 people, and causes over a trillion dollars in damage. The chapter frames space as a source of random, catastrophic bombardment.","No one lives in space in this chapter. The focus is entirely on Earth, with space as an external threat. Project SPACEGUARD implies some space-based monitoring, but no habitation is described.","Humanity responds to the meteorite disaster with unity and determination, creating Project SPACEGUARD as a unified global defense effort. No competing political entities are mentioned.",The chapter serves as a prologue establishing the backstory of SPACEGUARD. Its tone is expository and sets up an adventure/exploration narrative about detecting objects in space.,Project SPACEGUARD is presented as a civilian planetary defense effort. No military forces or operations are mentioned; the emphasis is on detection and protection.,"Space is presented as a cosmic bombardment zone—an environment of random, catastrophic meteorite strikes. This framing doesn't map neatly to ocean, air, frontier, or cyberspace analogies.","Space is depicted through its most alien characteristic: objects traveling at fifty kilometres per second delivering catastrophic kinetic energy. The physics of space—velocity, mass, impact—are fundamentally unlike Earth surface experience."
US,Rendezvous with Rama,Chapter TWO,No contestation,Cannot inhabit or hold territory,Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes the scientific discovery and tracking of object 31/439 (Rama). There is no conflict—only astronomical observation, computation, and one scientist's momentary fear about a collapsed star, which he quickly dismisses.",Space is depicted as the domain of asteroids and cosmic objects tracked by radar. The spinning surface of Rama would fling objects away at nearly one gravity. No habitation or territory-holding is described or possible.,The distances are within the solar system—Rama is detected outside Jupiter's orbit and will pass through the inner solar system. The probe-to-object distances and planetary orbits are interplanetary scale.,"The chapter describes familiar academic culture—astronomers competing for telescope time at a thousand dollars a minute, computer processing, and media coverage. Society in 2130 is recognizably Earth-like.",The narrative uses standard English with conventional astronomical terminology. Objects are named from Hindu mythology as an extension of the existing Earth tradition of naming celestial bodies.,"Rama spins at over 1000 km/h at its equator, making landing dangerous. Dr. Stenton briefly fears it could be a collapsed star capable of destroying Earth by gravitational disruption. Space is framed as physically hostile and potentially catastrophic.","Mars-based radars and orbiting telescopes imply some human presence in space, but the chapter focuses on specialist astronomers. Space presence is functional and small-scale, not widespread habitation.",SPACEGUARD operates as a unified system with Mars-based radars and centralized computers. No competing political entities are mentioned; the response to Rama is coordinated through a single scientific infrastructure.,The chapter builds suspense around the discovery and identification of a mysterious interstellar object. The tone is one of scientific exploration and mounting wonder as Rama's unusual properties are revealed.,"All activity is scientific: astronomers, computers, telescopes, and radar systems. SPACEGUARD is presented as a civilian scientific operation with no military involvement.","Space is depicted as a vast observational domain where objects are tracked by radar and telescopes across planetary distances. The cosmic scale and physics (spinning neutron stars, interstellar trajectories) don't map to ocean, air, or frontier analogies.","Space physics dominate: objects at hundred-thousand km/h velocities, centrifugal forces at planetary equators, collapsed star densities of billions of tons per cubic centimetre. The environment is fundamentally unlike any Earth experience."
US,Rendezvous with Rama,Chapter THREE,"Low contestation (minor competition, little open conflict)",Cannot inhabit or hold territory,Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The Space Advisory Council debates whether to redirect a space probe to investigate Rama. Professor Davidson opposes the mission, and competing scientific factions vote against him. The contestation is academic politics, not violent conflict.",Rama is confirmed as a hollow cylinder from the stars—not a place humans inhabit. The probe Sita performs a fly-by only. Space remains an observational domain where humans send instruments but do not live.,The probe Sita is launched from Phobos (Mars's moon) with a seven-week flight time to intercept Rama within the solar system. The distances are interplanetary—between Mars and the inner solar system.,"The chapter depicts recognizable academic politics: conservative professors, committee votes, budget disputes, and television broadcasts to billions. The culture is 22nd-century Earth society with space infrastructure.",Standard English is used throughout. Scientific and administrative terminology is conventional. The naming of Sita follows Earth's Hindu mythology tradition.,"The fly-by happens at 200,000 km/h with only seconds of close observation possible. Rama itself is an alien artifact of unknown origin hurtling through the solar system. Space is physically extreme and unforgiving.","A probe is launched from Phobos, indicating human infrastructure on Mars's moon, but the focus is on remote observation. Space presence is limited to specialist scientific outposts.",The Space Advisory Council governs space exploration decisions. A single coordinated body directs probe missions and allocates resources. No competing political entities are mentioned.,"The chapter culminates in the dramatic revelation that Rama is a geometrically perfect hollow cylinder—an artificial object from the stars. The tone is pure exploration and discovery, building to the stunning conclusion that humanity has its first interstellar visitor.","All activity is civilian scientific: an advisory council debate, a repurposed space probe, and camera pods. No military presence or concerns are mentioned.",The discovery of an alien artifact transiting the solar system at enormous speed is a unique scenario. The fly-by observation from camera pods at planetary velocities doesn't map to conventional domain analogies.,"Rama is a 50-km-long spinning cylinder passing through the solar system at 200,000 km/h. The environment—vacuum, extreme velocities, alien geometry—is fundamentally unlike Earth."
US,Rendezvous with Rama,Chapter FOUR,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"There is no conflict in this chapter. Commander Norton lands Endeavour on Rama's north pole in a careful, cooperative operation. The only tension is the physical challenge of the landing and the uncertainty of exploring an alien artifact.",Endeavour lands on Rama for a temporary exploration mission lasting about three weeks before they must separate. The ship was on a routine mission checking asteroid warning beacons. Space presence is mission-based and temporary.,Endeavour intercepts Rama inside Venus's orbit after robbing fuel from three other Solar Survey ships. The distances are interplanetary—within the inner solar system—with a radio time-lag to Earth of ten minutes.,"Commander Norton echoes the Apollo 11 landing with 'Endeavour has landed.' The crew operates under Mission Control guidance, uses familiar naval-style ranks, and the ship is named after a historical vessel. The culture is Earth society extended into space.","All communication is in standard English with naval and space terminology. Ship names (Endeavour, Calypso, Beagle, Challenger) reference Earth's maritime exploration history.","Landing requires extreme precision—centrifugal force would sling the ship into space at 1000 km/h. Rama's gravity is one-thousandth of Earth's. The mission requires fuel from three other ships, and they're heading toward a dangerously close solar perihelion at 20 million km.","The Solar Survey has multiple ships (Endeavour, Calypso, Beagle, Challenger) checking asteroid beacons, indicating a small specialist space workforce. A thousand scientists on Earth can only watch remotely.",Mission Control on Earth directs the operation. The Solar Survey coordinates multiple ships. There is a single chain of command with no competing political entities mentioned.,"The chapter is a classic exploration narrative: the most momentous landing since the Moon, a unique once-in-history rendezvous, with total uncertainty about what lies inside an alien artifact. Norton's landing echoes Apollo 11.",Endeavour is a Solar Survey vessel on a scientific mission. The crew uses naval ranks but operates as civilian explorers. No military elements are present.,"Naval imagery pervades: Commander Norton, Lieutenant Calvert, ship names from maritime history (Endeavour, Calypso, Beagle, Challenger), the ship 'glued against a quayside,' references to great navigators of the past with sealed orders.","Gravity is one-thousandth of Earth's, centrifugal forces threaten to sling objects at 1000 km/h, they're heading toward a 20-million-km solar approach, and matter-antimatter annihilation was a real concern. The physical environment constantly challenges human technology."
US,Rendezvous with Rama,Chapter FIVE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Like the ocean / naval,Very different (human bodies/technology constantly challenged),Norton and Mercer conduct the first EVA on Rama's surface with no conflict. They discover and open an airlock mechanism. The only tension is uncertainty about whether their actions might trigger unknown defenses.,"The crew conducts a temporary EVA on Rama's surface, cautiously exploring the immediate area around their landed ship. This is a brief visit with no habitation or territorial claim.",The chapter takes place on Rama within the inner solar system. The scale is interplanetary—they are inside Venus's orbit heading sunward.,"Norton operates like a naval captain: cautious, methodical, following orders with discretion. He references old windjammer captains. The crew uses familiar military protocols and chain of command.",All communication is in standard English. Norton and Mercer use familiar technical language. The narrative references Earth concepts like windjammers and clocks.,Rama's combined gravitational and centrifugal fields give only a few grams of weight. Movement requires jet packs. They need guide ropes to avoid wasting propellant. The environment is physically challenging but manageable with technology.,"Only two crew members go on the EVA, with two more standing by. The space workforce is small and specialist—trained astronauts conducting a unique mission.",Norton operates under Mission Control's authority with personal discretion. A single chain of command governs the mission.,"The chapter is pure exploration: the first EVA on an alien artifact, discovering a manual airlock mechanism, and opening the entrance to Rama's interior. The tone is wonder mixed with cautious excitement.","The EVA is a civilian scientific exploration. Norton and Mercer are explorers, not soldiers. Their precautions are about safety, not combat.",Norton explicitly compares himself to a windjammer captain at the helm. The airlock opening is like unsealing a ship's hatch. The entire operation has a nautical exploration feel—cautious sailors entering unknown waters.,"Near-zero gravity, vacuum, reliance on jet packs for movement, and the alien geometry of Rama's surface create an environment where human bodies cannot function without full technological support."
US,Rendezvous with Rama,Chapter SIX,"Low contestation (minor competition, little open conflict)","Limited settlement (small colonies, hard to sustain/control)",Moderate journey (months/meaningful separation),Mostly Earth-like with minor adaptations,Same languages as Earth,Manageable but risky,Moderately common (noticeable settlements/populations),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),"The chapter depicts mild political tensions on the Rama Committee: Earth dominates the United Planets, colonies chafe at this, and there are debates about how to handle Rama. The 'Pandora' movement fears Rama is dangerous. But these are low-level disputes, not open conflict.","The chapter reveals human colonies on Mars, Mercury (population 12,500), the Moon, Ganymede, Titan, and Triton, each with UP representatives. Dr. Bose emigrated to Mars and cannot return to Earth due to gravity readaptation. These are small, established but limited settlements.",Radio delays of minutes to hours separate the planets. Dr. Bose is five hours from Earth by shuttle but permanently exiled due to gravity. The committee must meet in person because electronic diplomacy is impossible over solar system distances. The separation is meaningful but not extreme.,"Society features recognizable institutions (ambassadors, committees, universities, TV), but adapted for space: dual citizenship Earth-Mars, population controls, gravity readaptation issues, and stereogram teleconferencing. The culture is Earth-derived with colonial adaptations.","All committee members communicate in standard English. References to Earth history and culture (Schliemann, Pandora, Arnold Toynbee) are universally understood. No space-specific languages are mentioned.",Space living is established but presents real challenges: Dr. Bose cannot return to Earth's gravity after decades on Mars. The committee debates whether Rama might be dangerous. Living in space requires adaptation but is sustainable.,"Six solar system bodies have permanent populations with political representation: Mercury (12,500), Earth (targeting 1 billion), Luna, Mars, Ganymede, Titan, and Triton. Space habitation is moderately common with noticeable multi-world populations.","The United Planets has representatives from Mercury, Earth, Luna, Ganymede, Titan, and Triton—each with distinct interests. Earth dominates economically and culturally but colonies have their own ambassadors and political perspectives.","The chapter is a committee meeting: political maneuvering, diplomatic protocol, debates about cultural contact precedents (Pizarro and the Incas), and bureaucratic obstacles (PLANETCOM's line of credit). The genre is diplomatic and procedural.",The Rama Committee is a civilian scientific and diplomatic body under the UP Science Organization. Norton's military-style rank is part of the civilian Space Survey. No military elements are present.,"Sir Robert explicitly cites colonial contact precedents: Pizarro and the Incas, Peary and the Japanese, Europe and Africa. The encounter with Rama is framed through the lens of colonial exploration and first contact between civilizations at different technological levels.","Dr. Bose lives permanently on Mars at one-third Earth gravity and cannot return home. Mercury has a tiny population of 12,500. The physical environments require regular adaptation—gravity differences permanently alter residents' physiology."
US,Rendezvous with Rama,Chapter SEVEN,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Moderately common (noticeable settlements/populations),Multiple distinct space polities,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Norton records a videogram for his two wives describing the progress through Rama's airlock complex. There is no conflict—only cautious exploration and personal reflection on the momentous nature of the mission.,"The crew is slowly penetrating Rama's airlock system as temporary visitors. Norton's families live on Earth and Mars as permanent residents, but the mission to Rama is a brief, exploratory visit.","Norton sends videograms to his families on Earth and Mars, with significant communication delays. His wife on Mars was born there and cannot tolerate Earth's gravity. The separation between planets is meaningful and permanent for some.","Norton has two wives—one on Earth, one on Mars—reflecting adapted family structures for spacefaring society. He sends videograms as routine communication. His exec collects real books. The culture is recognizably Earth-like with space-age adaptations.",Norton communicates in English with his families and crew. References to Egyptian archaeology and Earth history are made naturally. No space-specific languages exist.,"Entering Rama requires navigating three redundant cylinder-locks through half a kilometre of tunnel in total darkness. Every step is taken with extreme caution, remote cameras sent ahead, locks cycled dozens of times. The environment inside Rama is black, silent, and ominous.","Norton has families on both Earth and Mars, reflecting normalized multi-planet living. Spacemen's families get concessionary communication rates. His wife Myrna was born on Mars—second-generation space colonists exist.",Norton holds dual citizenship Earth-Mars. His families live on separate worlds. The existence of concessionary rates for spacemen's families implies organized multi-planetary governance.,"The chapter describes the methodical penetration of an alien artifact's airlock system, compared to Howard Carter discovering Tutankhamun's tomb. The tone is one of suspenseful exploration and personal stakes.","The exploration is entirely civilian—a scientific mission with personal videograms home. Norton's concerns are about his family and the mystery of Rama, not military matters.","The explicit comparison to an archaeologist breaking into an Egyptian tomb evokes colonial-era exploration. Norton is penetrating an unknown interior, chamber by chamber, like an explorer entering uncharted territory.","The crew works in near-zero gravity, total darkness, inside an alien structure with unknown hazards. Everything requires technological mediation—remote cameras, cycling locks, seismic soundings. Myrna cannot tolerate Earth gravity, showing how space environments permanently alter human bodies."
US,Rendezvous with Rama,Chapter EIGHT,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Norton enters Rama's interior alone, fires a flare, and sees the vast hollow cylinder for the first time. There is no conflict—only awe, exploration, and the overwhelm of encountering an alien world's interior.","Norton is a temporary visitor drifting through Rama's hub on a safety line. The massive interior—with what appear to be cities, forests, and a frozen sea—was built by aliens, not humans. Human presence is purely exploratory.","Rama has traveled from interstellar space, representing distances that dwarf the solar system. The interior itself is tens of kilometres across. The alien builders came from beyond the stars—an effectively unreachable origin.","Norton's cultural frame of reference is entirely Earth-based: he compares himself to Howard Carter at Tutankhamun's tomb, references the myth of Oceanus, and uses familiar concepts to interpret the alien landscape.","All communication is in English. Norton reports to his team using standard terminology. Earth cultural references (Egyptian archaeology, Greek mythology) are the interpretive framework.","Norton floats in zero gravity at the central axis of a vast dark cylinder, reliant on flashlights, safety lines, and flares. The environment is totally dark, disorienting, and requires constant technological support for any activity.",Only Norton and a small team are inside Rama. Space station Syncsat Five (200m diameter) is mentioned as the largest human structure. Human space presence is specialist and small-scale compared to Rama's enormity.,Norton operates under a single chain of command. No competing political entities are relevant to the exploration of Rama's interior in this chapter.,"The chapter is a pure exploration set-piece: Norton enters the vast interior of an alien world, fires a flare, and sees for the first time a landscape of forests, cities, and a frozen cylindrical sea. The tone is wonder and discovery.","The exploration is entirely civilian and scientific. Norton's team follows safety protocols, not military procedures. There are no weapons or combat considerations.",Norton explicitly compares himself to Howard Carter discovering Tutankhamun's tomb. He is the first human to gaze upon an alien civilization's works—a frontier explorer entering completely unknown territory.,The interior is an inside-out world where 'all directions were down.' Centrifugal force simulates gravity on the inner surface. Norton must discard instincts of both Earth and space to reorient to this alien geometry. The environment is fundamentally unlike any Earth experience.
US,Rendezvous with Rama,Chapter NINE,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Moderately common (noticeable settlements/populations),Multiple distinct space polities,Adventure / exploration,Entirely civilian,Like the ocean / naval,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Mild academic disagreements on the Rama Committee (Professor Davidson corrects terminology, scientists debate theories), but no real conflict. The chapter is collaborative scientific analysis and mapping.","The crew maps Rama's interior—50 km long, 16 km wide—naming features after Earth cities (Rome, London, Tokyo). But they are temporary visitors with only weeks to explore. Rama itself is described as a derelict Space Ark.","Rama has traveled for at least 200,000 years from another star system. Dr. Perera discusses interstellar journeys lasting tens of thousands of years. The distances are generational and effectively unreachable by any quick means.","The committee members reference Earth history (Bernal, Tsiolkovski) and name Raman features after Earth cities. Their interpretive framework, academic culture, and social dynamics are entirely Earth-derived.","All dialogue is in English. Scientific terminology is standard. Place names inside Rama are borrowed from Earth cities (Rome, Peking, Paris, Moscow, London, Tokyo).","Rama's interior is cold, dark, and apparently dead. The ecology failed—the closed system could only survive about a thousand years. The crew has limited time to explore 4,000 square kilometres before solar approach forces departure.","Life exists on Earth, Mars, and Jupiter. The committee has representatives from multiple solar system bodies. Human settlements are established enough for political representation, though small compared to Earth.",The Rama Committee includes representatives from multiple worlds with distinct perspectives. The Ambassador for Mars chairs. Different planetary interests are represented as distinct political entities within the United Planets.,"Norton's reconnaissance of Rama's interior—mapping cities, a cylindrical sea, stairways, and an island called New York—is pure exploration. Dr. Perera's analysis of Rama as a Space Ark adds scientific wonder to the adventure.","The committee is entirely civilian scientific: astronomers, archaeologists, exobiologists, and historians debating the nature of an alien artifact. No military elements are present.",Rama is described as a derelict ship that exhausted its provisions. The Cylindrical Sea is a major feature. Dr. Perera compares Rama to a ship drifting among the stars. The nautical metaphor of a vessel on a long voyage pervades the analysis.,"Rama's interior is a 50-km hollow cylinder with centrifugal gravity, a cylindrical sea, and an inside-out landscape. The environment has been dead for at least 200,000 years in interstellar cold. This is fundamentally unlike any Earth environment."
