country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
China,The Three Body Problem_cleaned,Chapter 1,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation depicted. The chapter is set entirely during the Cultural Revolution in 1967 Beijing, focused on struggle sessions and political violence.",No space habitation depicted. All events take place on Earth at Tsinghua University during the Cultural Revolution.,No space journey depicted. The chapter is entirely terrestrial.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"An intensely dramatic chapter depicting physicist Ye Zhetai's brutal death at the hands of Red Guards during a struggle session, witnessed by his daughter Ye Wenjie. Professor Ruan commits suicide. The tone is tragic and historical.",No space domain activity depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 2,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation. Ye Wenjie works in a logging camp, reads Silent Spring, is framed for writing a letter about environmental destruction, and is arrested.",No space habitation. The chapter is set in the Greater Khingan Mountains logging camp and a detention cell.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"Ye Wenjie is betrayed by Bai Mulin who frames her for writing a politically dangerous letter, then a military representative tries to coerce her into signing a false document. She refuses and is left soaked in freezing cold. The chapter is character-driven tragedy.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 3,"Low contestation (minor competition, little open conflict)",Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Mostly military,Other / Unsure,Other / Unsure,"Red Coast Base is introduced as a military installation that transmits powerful radio signals into space. The transmission witnessed by Ye is a routine operation with no active conflict, though it implies Cold War strategic competition.",No space habitation depicted. Red Coast is an Earth-based facility that transmits into space.,"No space journey depicted. Ye arrives at the base by helicopter, an Earth-based journey.",No space society depicted. The chapter shows a military base on Earth.,No space language issues arise.,No space environment is directly experienced by characters.,No space habitation depicted.,No space political order depicted.,"Ye Wenjie is rescued from prison and brought to Red Coast Base, where she must choose between a prison sentence and permanent isolation at the base. She chooses the base without hesitation. The chapter is driven by her fateful decision.","Red Coast Base is a Second Artillery Corps military installation. The transmission Ye witnesses involves military procedures, operators in uniform, and classified protocols.",The base is a ground-based military radio facility. No clear space domain analogy applies.,No space physical environment is directly experienced.
China,The Three Body Problem_cleaned,Chapter 4,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,A global Battle Command Center has been established. Multiple physicists have committed suicide. General Chang speaks of war and an unprecedented crisis. NATO and Chinese military cooperate against an unnamed enemy targeting scientists.,No space habitation depicted. The meeting takes place in a military compound on Earth.,No space journey depicted.,No space society depicted.,No space language issues arise.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A list of elite physicists who have all committed suicide in the past two months, including Yang Dong. A shadowy war is described. Wang is recruited as a mole. The atmosphere is one of conspiracy, dread, and mystery.",No space domain activity depicted directly.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 5,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation. Wang visits Ding Yi who explains through a pool-ball analogy that physics experiments are yielding inconsistent results, implying the laws of physics are not invariant.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,A philosophical and emotional chapter centered on Ding Yi's grief for Yang Dong and his explanation of the crisis in fundamental physics. The pool-ball demonstration conveys how the foundations of scientific knowledge are collapsing.,No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 6,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"A supernatural countdown appears on Wang's photographs and then in his vision, pressuring him to stop his nanomaterial research. Shen Yufei threatens that the entire universe will flicker for him. This is a direct act of intimidation from an unknown force.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment directly experienced.,No space habitation depicted.,No space political order depicted.,"Wang is psychologically tormented by a ghostly countdown that appears on every photo he takes, then in his vision at all times. The chapter escalates from mystery to horror as the countdown follows him even with his eyes closed.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 7,Other / Unsure,Other / Unsure,Other / Unsure,Radically different / alien social order,Other / Unsure,Nearly uninhabitable / lethal without major intervention,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No contestation over space. The VR game depicts a civilization struggling to survive unpredictable climate cycles caused by its three-sun system, but there is no inter-faction or interstellar conflict.",No space habitation. The game world depicts a planet's surface; there is no orbital or interstellar habitation.,No space journey depicted.,"The civilization survives through dehydration: people discharge all water from their bodies to become leather-like sheets, stored in dehydratories, then rehydrated in lakes when conditions improve. Society oscillates between active existence in Stable Eras and storage during Chaotic Eras.",No space-specific language issues arise. Characters speak to each other normally within the game.,The planet endures extreme temperature swings: bone-chilling cold followed by scorching heat. The atmosphere can solidify into snow of frozen oxygen and nitrogen. Entire civilizations are routinely wiped out by the unpredictable climate.,No space habitation depicted.,A single kingdom (King Zhou's dynasty) is depicted within the game.,"Wang and King Wen journey across a dangerous landscape to Zhao Ge, encountering extreme conditions. The chapter is structured as an exploration of the game world's rules and physics.",No space domain activity depicted.,No space domain to draw an analogy for.,"The sun follows no predictable pattern, rising from different directions at random. Temperatures swing between extremes that freeze the atmosphere solid and scorch the earth. The environment is fundamentally chaotic and unlike anything on Earth."
China,The Three Body Problem_cleaned,Chapter 8,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation. Wang visits Yang Dong's mother Ye Wenjie, learns about Yang Dong's life, and is moved by the old woman's kindness.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A tender, character-driven chapter. Wang visits Ye Wenjie, meets the children she cares for, explores Yang Dong's room with its birch-bark notebook and bark-lined walls. Ye shares memories of her gifted but fragile daughter.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,The Three Body Problem_cleaned,Chapter 9,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The cosmic microwave background itself is manipulated to display a countdown targeting Wang Miao. The universe is literally weaponized as a display medium to intimidate a single scientist. This represents an extreme strategic assault on human resolve.,No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No characters experience space directly.,No space habitation depicted.,No space political order depicted.,The universe flickers for Wang: three satellites and a ground observatory confirm the cosmic microwave background is pulsing in Morse code. Wang uses 3K glasses to see the red glow of creation pulsating. He breaks down crying outside a church at dawn. Psychological horror at a cosmic scale.,No conventional space domain activity.,No space domain to draw an analogy for.,"The cosmic microwave background radiation from the big bang is manipulated to flicker in a coded pattern visible to instruments and special glasses. The fundamental fabric of the universe is used as a communication medium, which is radically unlike any Earth experience."
China,The Three Body Problem_cleaned,Chapter 10,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Da Shi explains to Wang a comprehensive, coordinated conspiracy to destroy scientific research: bombings, murders, suicides of scientists, anti-science cultural campaigns. He reveals that global Battle Command Centers are on high alert against an unidentified enemy.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"Da Shi's revelations about the coordinated plot against science, combined with Wang's ongoing psychological torment from the countdown, create a thriller atmosphere. Da Shi's advice to keep working and playing the game frames the survival element.",No space domain activity depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
