country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Japan,Orbital Cloud,Prologue,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,Jamshed Jahanshah conducts a peaceful balloon experiment in a Tehran suburb to test his space tether propulsion system. No conflict or strategic struggle is depicted.,The chapter is entirely Earth-based. Jamshed launches balloons from Tehran; no orbital or space territory is depicted.,No space journey occurs. The action takes place on the ground in Iran.,No space society is depicted. The chapter portrays everyday life in Tehran.,Jamshed speaks Persian and reads English-language scientific literature. Standard Earth languages are used throughout.,No space environment is depicted. The setting is a Tehran suburb.,No space habitation is depicted.,No space governance is depicted.,Jamshed's solo balloon experiment to prove his revolutionary propulsion concept is framed as a moment of scientific discovery and personal triumph.,Jamshed is a civilian scientist conducting research independently. No military presence.,No space domain is portrayed.,The setting is entirely Earth-based.
Japan,Orbital Cloud,Chapter 1 - Erratic Debris,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Same languages as Earth,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Other / Unsure,"SAFIR 3's anomalous orbit is detected by multiple parties. NORAD monitors it, Ozzy publishes the Rod from God theory, and North Korean agents Chance and Shiraishi observe from Seattle. Tensions are building but no open conflict has erupted.",Space is populated only by the ISS and the Wyvern spacecraft preparing for its orbital hotel mission. SAFIR 3 is an empty rocket body. No permanent settlements exist.,All orbital activity occurs in low Earth orbit at 250-500 km altitude. Loki 9 is about to launch to LEO.,Space tourism is just beginning with the Smarks' Wyvern project. Judy Smark blogs as any journalist would. Earth culture is unchanged by space activity.,"Characters speak Japanese (Kazumi), English (Lintz, Ozzy), Korean (Chance), and Persian. No space-specific language variations exist.",The chapter is primarily Earth-based. Space conditions are not directly depicted beyond orbital tracking data.,Only the ISS crew and the Smarks are in or heading to space. The vast majority of activity is Earth-based.,"The US (NORAD), North Korea (SAFIR 3), and private ventures (Smark's Wyvern) all operate in orbit under their respective national frameworks.","The chapter builds suspense through multiple converging plotlines: SAFIR 3's mysterious acceleration, the Rod from God theory, North Korean spies operating in Seattle, and Shiraishi's hidden Cloud operation.","Kazumi is a civilian web developer, Lintz and Freeman are NORAD military, Ozzy is a civilian billionaire, and Chance/Shiraishi are intelligence operatives.","Space is experienced through data: orbital tracking screens, radar observations, web analytics. Kazumi discovers the anomaly through shooting star forecast data.",Space conditions are not directly experienced by characters in this chapter; orbital activity is observed remotely from Earth.
Japan,Orbital Cloud,Chapter 2 - A Proclamation,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Same languages as Earth,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Other / Unsure,North Korea's Cyber Front corrupts translation engines to make their leader's speech sound threatening. Shiraishi and Chance conduct espionage from Seattle. The CIA shows interest in SAFIR 3. Multiple intelligence operations are underway.,SAFIR 3 and the upcoming Wyvern orbital hotel represent temporary orbital presence. No permanent space settlements exist.,All referenced orbital activity is in LEO.,Space activity is an extension of Earth geopolitics. The North Korean speech and its translation are purely Earth political affairs.,"Characters use Japanese, English, Korean, and Persian. The chapter's central plot involves mistranslation between Korean and English by corrupted machine translation.",Space environment is not directly depicted. The chapter focuses on Earth-based espionage and investigation.,No one is shown in space. The Smarks are preparing to launch.,"North Korea operates SAFIR 3, the US monitors through NORAD, and private ventures prepare orbital tourism.","Shiraishi's spy tradecraft in Seattle, North Korea's sophisticated corpus contamination attack, and Jamshed's desperate attempt to contact Kazumi before Iran cuts internet access create escalating tension.","JAXA officials Kurosaki and Sekiguchi, CIA agents, civilian Kazumi and Akari, intelligence operatives Shiraishi and Chance, and scientist Jamshed all intersect.","The chapter centers on cyber warfare: translation corpus contamination, web scraping, ad revenue analysis, and internet censorship in Iran.",Space is referenced but not directly experienced. All action occurs on Earth.
Japan,Orbital Cloud,Chapter 3 - The Launch,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"Akari discovers 10,000+ space tethers around SAFIR 3. CIA contacts Ozzy and visits NORAD. Shiraishi and Chance discuss their Cloud operation. Jamshed tries to reach Kazumi before Iran's internet is cut.","Loki 9 launches successfully, carrying the Smarks to orbit. The orbital hotel is being prepared. Only temporary visits and stations exist in space.",Loki 9 reaches LEO at 350 km. All orbital activity is in low Earth orbit.,Judy blogs from the Wyvern exactly as she would from Earth. Space tourism replicates Earth hospitality. No distinct space culture exists.,Characters communicate in their native languages. Jamshed's video call to Kazumi is in awkward English. No space-specific language.,"Judy's blog describes orbital conditions: free fall, 80% gravity, the thin blue line of atmosphere. The Wyvern's orbital hotel uses water shielding against debris and radiation.",Only Ronnie and Judy Smark plus a small crew are in orbit aboard the Wyvern. The ISS crew is the only other human presence.,"Multiple nations operate in orbit: US (NORAD, Smark's private venture), North Korea (space tethers), Iran (Jamshed's research).","The discovery of 10,000 unknown spacecraft in orbit, CIA and intelligence agency maneuvering, Jamshed's race against Iran's internet shutdown, and the Loki 9 launch create interlocking thriller narratives.","Civilians (Kazumi, Akari, Ozzy, Smarks), military (NORAD), intelligence (CIA, North Korean agents), and scientists (Jamshed) all feature prominently.","Space is experienced through 150GB of radar data processed into a planetarium visualization, orbital tracking, and internet-mediated communication.","Judy describes free fall, the thin atmosphere visible from orbit, and the need for Miura-folded structures and water shielding, portraying space as different but manageable with technology."
Japan,Orbital Cloud,Chapter 4 - Standby,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),Freeman briefs CIA on ASM-140 antisatellite weapon capabilities. Shiraishi and Chance investigate Kazumi and plan disinformation. Kazumi builds a space tether model and contacts JAXA. The UN resolution to eliminate the Rod from God is discussed.,"The Wyvern orbital hotel is being set up in orbit. Judy blogs about unfolding the hotel structure, checking in, and testing the engine for ISS rendezvous.",All orbital activity is at 350 km LEO. The orbital hotel prepares to rendezvous with the ISS.,Judy's blog describes the orbital hotel as a hospitality experience. Ronnie sets up a wireless router. Earth social norms persist in orbit.,"Characters speak Japanese, English, and Korean. No space-specific language has developed.","Judy describes the orbital hotel's triple-layer protection (gold foil, Kevlar, water) against debris and cosmic radiation, and the 150x higher radiation exposure in orbit.",Only the Smarks and their small crew occupy the orbital hotel. Judy describes the hotel check-in as a historic first.,The US plans Operation Seed Pod through NORAD. Multiple nations' military satellites monitor North America. Space treaties and COPUOS guidelines govern behavior.,The CIA and NORAD plan to destroy what they believe is an orbital weapon. Shiraishi's intelligence operation investigates Kazumi. The deployment of depleted uranium rounds adds moral tension.,"Kazumi and Akari are civilians, Freeman and Lintz are military, Bruce and Chris are CIA, Shiraishi and Chance are intelligence operatives, JAXA officials are bureaucrats.","Space is analyzed through electromagnetic theory (Lorentz force), data processing, and web analytics. Akari discovers executable code hidden in web advertisements.","Judy describes zero gravity, radiation exposure, and the need for Whipple bumpers and water shielding, but the orbital hotel makes space comfortable enough for tourism."
Japan,Orbital Cloud,Chapter 5 - Evasion,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Shared lingua franca plus local variation,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Other / Unsure,North Korean agents attempt to photograph the team at Fool's Launchpad. Sekiguchi detects the spy and speaks Korean to confirm. The team discovers shadow-ware tracking anyone researching the space tethers. They flee to the Nippon Grand Hotel.,The Wyvern orbital hotel and ISS are discussed. Judy's blog describes the hotel's soft-shell spacecraft and water shielding.,All orbital objects discussed are in LEO at 350 km.,Space tourism replicates Earth luxury. Judy's blog reads like a travel blog with scientific footnotes.,"The international team (Japanese Kazumi, Korean-speaking Sekiguchi, JAXA's Kurosaki) communicates in a mix of Japanese and English. Sekiguchi speaks Korean to the spy, Akari uses technical English for the translation corpus analysis.",The chapter focuses on Earth-based espionage. Orbital conditions are discussed analytically but not directly experienced.,Only the Smarks are in orbit. The chapter focuses entirely on Earth-based characters.,"North Korean cyber operations target space-related information. Japan's IGS spy satellites, NORAD, and the Wyvern all represent national extensions into orbit.","A North Korean spy infiltrates their meeting at Fool's Launchpad. Sekiguchi intercepts the agent's Korean, Akari uncovers the shadow-ware surveillance system, and the team must flee to a Chinese safe house hotel.","Civilians Kazumi and Akari work alongside JAXA officials. North Korean intelligence agents, Chinese safe houses, and government bureaucrats all feature.","The chapter centers on cyber warfare: translation corpus contamination, shadow-ware hidden in advertisements, cross-site scripting vulnerabilities exploited across 300,000 websites.",Space conditions are mentioned analytically but the chapter's action is entirely Earth-based.
Japan,Orbital Cloud,Chapter 6 - Discovery Pursuit,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Shared lingua franca plus local variation,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Other / Unsure,The team flees to the Nippon Grand Hotel (a Chinese safe house) after North Korean agents appear. Sekiguchi discovers Shiraishi used JAXA's MDM to track them. They plan to contact NORAD and send Kazumi and Akari to Seattle while fleeing North Korean operatives.,The orbital hotel and ISS are referenced. The Wyvern orbital hotel is actively being occupied by the Smarks.,All orbital objects are in LEO. The discussion focuses on space tethers at 350 km altitude.,"Kurosaki discusses how Japanese engineers leave for China due to lack of opportunity, reflecting Earth-normal professional dynamics extending into space work.",The international team communicates in a mix of Japanese and English. Sekiguchi demonstrates fluency in Korean and Chinese. They draft an email to NORAD in English.,The chapter focuses on Earth-based espionage and planning. Space conditions are discussed analytically but not directly experienced.,Only the Smarks are in orbit. All main characters are Earth-based.,"Japan's IGS spy satellites, NORAD, and Chinese safe houses all represent national interests extending into orbital affairs. Shiraishi previously worked for JAXA before going to China.","The team discovers Shiraishi tracked them via JAXA's MDM system. Akari reveals Shiraishi is her uncle. The connection between Shiraishi, JAXA, and the space tethers deepens the espionage thriller.","Civilians Kazumi and Akari, JAXA officials Kurosaki and Sekiguchi, and intelligence infrastructure (Chinese safe house, North Korean agents) all feature.","The chapter revolves around mobile device management hacking, shadow-ware tracking, PGP-encrypted emails, and the team's digital operational security.",Space is referenced but all action takes place on Earth.
Japan,Orbital Cloud,Chapter 7 - War,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Shared lingua franca plus local variation,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Very different (human bodies/technology constantly challenged),"The team splits: Kazumi and Akari go to Seattle under NORAD protection, Kurosaki and Sekiguchi head to Tehran. The CIA monitors Freeman's movements. Shiraishi plans to bring the Rod from God within range of the orbital hotel.","Judy's blog describes the orbital hotel's water shielding, cosmic radiation (2 microsieverts in two days), and seeing cosmic rays with closed eyes. The orbital hotel is a temporary tourist facility.",All activity is at 350 km LEO. Judy describes being protected by Earth's magnetic field at that altitude.,"Judy blogs casually about her age, makeup concerns, and NDA violations while in orbit. Earth social norms persist completely.","Kazumi struggles with English in Seattle. Daryl (Indonesian-American) and Kazumi communicate across language barriers. Sekiguchi speaks fluent Korean, Persian, and Chinese.","Judy describes cosmic radiation striking her retina behind closed eyes, 150x higher radiation than Earth's surface, and the absolute dependence on the thin hotel walls for survival in vacuum.",Only the Smarks are in orbit. Judy notes the historic nature of their commercial space journey.,The CIA reads NORAD's PGP-encrypted emails from JAXA. Freeman is dispatched to protect Japanese civilians. National intelligence apparatus drives orbital affairs.,The team flees Japan for Seattle while hunted by North Korean agents. Shiraishi plans to weaponize the Rod from God deception. Judy describes the visceral reality of cosmic radiation exposure.,Daryl (NORAD military) escorts civilians Kazumi and Akari. CIA agents Bruce and Chris monitor from the background. Judy is a civilian journalist in orbit.,"Space is experienced through Judy's blog, data analysis, and the intelligence community's surveillance networks. The team shops at Costco for Raspberry Pis and DIY equipment to build an analysis center.","Judy describes cosmic rays physically striking her retina, radiation 150x Earth levels, the necessity of water shielding, and the razor-thin margin between life and death in the vacuum beyond one foot of wall."
Japan,Orbital Cloud,Chapter 8 - The Team,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Shared lingua franca plus local variation,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Other / Unsure,Chris formally establishes Team Seattle with a CIA operations center. Shiraishi reveals he has real-time video from space tethers. The team begins systematic analysis of the tethercraft hypothesis. Strategic positioning between multiple intelligence agencies intensifies.,The Wyvern orbital hotel is occupied by the Smarks. Space tethers orbit as unmanned craft. No permanent settlements exist.,All activity is in LEO. The space tethers and orbital hotel are at approximately 350 km altitude.,Chris runs the operations center like a standard CIA field office. The team dynamic mirrors any multinational professional collaboration.,Kazumi's limited English is accommodated by the team. Chris coaches him on American communication styles. Akari speaks stiff but uninhibited English.,The chapter focuses on Earth-based team building and planning. Space conditions are not directly depicted.,Only the Smarks are in orbit. The chapter focuses on Earth-based analysis of orbital threats.,"The CIA, NORAD, and North Korean intelligence all compete over orbital affairs. National security apparatus drives the response to the space tether threat.","Chris establishes the mission framework for countering the orbital threat. Shiraishi reveals stunning real-time Earth video from 40,000 space tether cameras, showing the terrifying scope of North Korea's orbital capability.",CIA agent Chris leads the team. NORAD's Daryl provides military expertise. Civilians Kazumi and Akari provide technical analysis. The domain is thoroughly mixed.,"The operations center is built from Raspberry Pis, Wi-Fi equipment, and DIY electronics. Space tethers are analyzed through data processing. Shiraishi's Earth video is stitched from 40,000 cameras using crowdsourced code.",Space conditions are discussed analytically but not directly experienced in this chapter.
Japan,Orbital Cloud,Chapter 9 - Great Leap,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Basically Earth society in space,Shared lingua franca plus local variation,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),Ozzy joins Team Seattle after seeing Judy's defiant broadcast. The Rod from God approaches the orbital hotel. Judy delivers a powerful televised speech challenging the unknown threat. Ricky and Madu prepare for Operation Seed Pod.,The Smarks occupy the orbital hotel. SAFIR 3's second stage approaches in a rendezvous orbit. The ISS is nearby. All are temporary presences.,All orbital activity is in LEO at 350 km.,"Judy gives a live TV broadcast from orbit that plays in bars across America. The cultural response is entirely Earth-normal: cheering crowds, raised glasses.","Ozzy (Australian accent), Kazumi (limited English), Daryl (Indonesian-American), Chris and Bruce (American), and Friday (Somali) all communicate in English with varying fluency.","Judy acknowledges that beyond one foot of wall is vacuum, that the smallest hole would be fatal, and that an unknown object is approaching their fragile orbital habitat.",Only the Smarks and their small crew are in orbit. Judy's broadcast emphasizes the historic and rare nature of their position.,The US military prepares Operation Seed Pod. North Korea manipulates orbital objects. International audiences watch Judy's broadcast. Earth geopolitics drives orbital events.,"Judy's defiant broadcast from the orbital hotel, with an unknown weapon approaching, creates high drama. Ricky and Madu prepare to fly into the stratosphere to destroy the threat. Ozzy confronts his guilt over creating the Rod from God hoax.",Judy and Ronnie are civilians under threat. Ricky and Madu are military pilots. Ozzy and Friday are civilians. Bruce and Chris are CIA. The domain is thoroughly mixed.,Ozzy's radar data drives discovery. The team connects via CIA encrypted video calls. Live television broadcast from orbit creates a networked global event.,"Judy describes floating in zero gravity, the dangers of vacuum, and the psychological impact of having an unknown orbital weapon approach, but the hotel makes conditions survivable."
