country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,Noon: 22nd Century,Introduction,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The Introduction is Theodore Sturgeon's critical essay about the book, not a narrative chapter. No space contestation is depicted in any story sense.","As a meta-commentary essay, no space territory or habitation is portrayed narratively. Sturgeon discusses D-ships and Mars abstractly.","Sturgeon discusses time dilation and D-ships conceptually, noting that a year aboard a D-ship means a century on Earth, but no journey is depicted.",No social order is depicted directly. Sturgeon describes the book's themes of unanimity among humans and fellowship of sapience.,"No language dynamics are portrayed. Sturgeon notes characters with English, German, and Japanese names appear in the stories.",No space environment is depicted. Sturgeon mentions Mars surface and blue star atmospheres only as examples of the authors' storytelling skill.,"No space habitation frequency is portrayed. Sturgeon references orbiting D-ships and scouts but as narrative summaries, not depictions.",No political order is depicted. Sturgeon notes the authors see unanimity among humans in the future world.,"The Introduction is a critical essay, not a narrative. It has no genre tone of its own beyond literary criticism.",No civilian or military space activity is depicted. Sturgeon discusses the book's themes abstractly.,No space domain framing is depicted. Sturgeon references interstellar and intergalactic travel conceptually.,No space environment is portrayed directly. Sturgeon mentions Mars and blue star planets only as examples of the authors' imagination.
Russia,Noon: 22nd Century,Chapter 1 - Night on Mars,No contestation,"Limited settlement (small colonies, hard to sustain/control)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Uncommon (small specialist population),Single unified authority,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Somewhat different (manageable environmental differences),"Earth colonists on Mars cooperate without any competing powers or conflict over space. The international team includes Russians, Canadians, and Japanese working together.","Mars has bases, biostations, and small settlements, but the colony is small and vulnerable. The first child is about to be born on Mars, and crawlers are the main transport across dangerous desert.","Mars is within the solar system. The doctors and Pathfinders operate from a nearby base, and ships from Earth arrive yearly. No interstellar distances are involved.","The colonists maintain Earth social norms: Russian doctors, a Canadian Pathfinder, Japanese researcher Hasegawa. Their behavior, language, and social dynamics are transplanted Earth culture.","Characters speak Russian and English. Morgan speaks English, Opanasenko speaks Russian. No space-specific languages exist.","Mars requires oxygen masks, fur clothing, and lead-soled boots, but survival is manageable. The flying leech poses real danger at night, and quicksand patches exist, but the colonists cope with equipment and Pathfinder escorts.","The Mars colony has a base, biostations, and Pathfinder camps, representing a small specialist population of scientists, doctors, and explorers. Five years of colonization with modest numbers.","All Mars colonists operate under a single cooperative authority. Russians, Canadians, and Japanese work together without competing political entities.","Two doctors cross the Martian desert at night, fight off a flying leech with Pathfinder escorts, and race to deliver the first baby born on Mars. The tone is pure adventure.","All characters are civilian: doctors Novago and Mandel, Pathfinders Opanasenko and Morgan (explorers/archaeologists), and the Slavin family at the biostation.","Mars is explicitly a frontier: first child being born, Pathfinders searching for traces of ancient Martian civilization, dangerous wildlife, small settlements pushing into wilderness.","Mars has reduced gravity (180-pound Novago weighs 90 pounds), thin atmosphere requiring oxygen masks, extreme cold, and alien wildlife, but colonists manage with appropriate technology."
Russia,Noon: 22nd Century,Chapter 2 - Almost the Same,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Other / Unsure,"No conflict over space exists. The nationalization of United Rocket Construction is presented as international cooperation, not competition.","Space is accessed through ships and missions. The Moon is a launching pad, Mars has colonists, Venus has actinides extraction, but the chapter focuses on Earth-based training for space travel.","Panin describes a hypothetical journey to UV Ceti at 2.4 parsecs, taking decades subjectively while 150 years pass on Earth. The Khius-Lightning departs for Interstellar One at 1.5 light-months.","The Advanced School of Cosmonautics is a normal Earth institution with cadets, instructors, volleyball courts, and dining halls. Society extending into space remains fundamentally Earth-like.","All dialogue is in Russian and English. Cadets include Vietnamese (Nguyen), Georgian (Gurgenidze), and others, all speaking the same languages as on Earth.","Space travel requires extreme physical conditioning: cadets train at 5-8 gravities weekly, the Khius-Lightning operates at 6G maximum, and Bykov survived 12G. The demands are enormous.",Spacemen are an elite specialist population trained at the Advanced School of Cosmonautics. Cadets undergo years of rigorous selection and conditioning.,International cooperation is explicit: United Rocket Construction is being nationalized for collective benefit. The Lightning launches from an international context.,"The chapter centers on Sergei's personal crisis: forbidden from high-G training, struggling with his relationship with Katya, and his burning ambition for interstellar travel. The emotional stakes are deeply personal.","The School of Cosmonautics is a civilian institution. All space activity described is scientific exploration and research, not military.","Venus is for actinides, Mars for colonization, and the stars represent the ultimate frontier. Panin's monologue frames interstellar travel as expansion into the unknown with colonial-era consequences.","No actual space environment is depicted in this Earth-set chapter. Space is discussed in terms of training requirements and hypothetical journeys, not environmental conditions."
Russia,Noon: 22nd Century,Chapter 3 - Old-timer,No contestation,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Manageable but risky,Common (many people live/work there),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Like the ocean / naval,Somewhat different (manageable environmental differences),"No competing powers contest space. The traffic controller manages orbital space cooperatively, and all stations respond to a unified command structure.","Earth orbit is densely populated with orbital hangars, fueling stations, the Orbiting Observatory's Big Reflector, near-Earth stations, and D-ship launching zones. Permanent infrastructure fills multiple orbital zones.","The Taimyr has been gone for over a century. Slavin emerges calling the onlookers 'great-great-grandchildren,' highlighting the profound temporal separation caused by their near-light-speed journey.","Orbital space is managed by traffic controllers, assistants, and emergency officers using familiar organizational structures. The society in orbit mirrors Earth institutions.",All communication is in Russian. Slavin requests touchdown permission in standard language. No space-specific languages exist.,"Orbital space is generally managed safely with traffic control and emergency robots, but the uncontrolled nuclear rocket poses catastrophic collision risk, grazing the Big Mirror and threatening stations.","Orbital space is dense with infrastructure: multiple zones, orbital hangars, fueling stations, D-ship launching areas, and an observatory. The controller's daughter works on a station. Many people operate in near-Earth space.","A single Main Control manages all orbital traffic. All flights, touchdowns, and stations respond to unified commands. No competing authorities exist.","The chapter is a tense emergency: an uncontrolled ancient nuclear rocket careens through densely populated orbital space, grazing mirrors, threatening stations, while the controller desperately coordinates emergency robots.","All personnel are civilian: traffic controllers, emergency officers, observatory staff. The emergency response is a civilian operation with no military involvement.","Orbital space is managed like a maritime zone: traffic control, designated zones, emergency response protocols, and the controller monitoring a screen tracking vessels evokes naval traffic management.","Near-Earth orbital space is managed with extensive infrastructure but remains fundamentally different from Earth's surface. The vacuum environment requires specialized stations, and collision risks are ever-present."
Russia,Noon: 22nd Century,Chapter 4 - The Conspirators,No contestation,"Limited settlement (small colonies, hard to sustain/control)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Other / Unsure,Uncommon (small specialist population),Single unified authority,Comedy / satire,Entirely civilian,Like the frontier / colonial expansion,Other / Unsure,"No contestation over space occurs. The World Council unanimously approves the Venus terraforming project, and all space activity is cooperative.","Venus is being prepared for colonization through Operation October's atmosphere precipitation project. The planet requires massive terraforming before habitation, indicating limited current settlement.","The boys plan to stow away on an interplanetary tanker bound for Pluto, and Venus is accessible by regular cargo flights. These are routine solar system journeys.","The Anyudin School is a standard Earth educational institution. The boys discuss space using Earth cultural frameworks: captains, engineers, navigators modeled on Earth roles.","All dialogue is in Russian. The boys use Earth languages exclusively, and no space-specific languages are mentioned.","No space environment is directly depicted. Venus is discussed as requiring atmosphere regeneration, implying hostility, but no environmental details are shown in this Earth-set chapter.","Spacemen are described as a specialist profession. The boys learn that the most honored professionals are teachers and doctors, not spacemen, suggesting space workers are a small elite.","The World Council governs all space activity, examining and approving the Venus plan. No competing political entities exist.","The chapter is warmly comic: four boys plan an absurd escape to Venus, their teacher cleverly manipulates them into staying, they punish bully Walter Saronian, and their grand Operation October collapses hilariously.","All activity is civilian: a school, teachers, the World Council's civilian Venus project. No military presence or context exists.","Venus is explicitly a new frontier to be colonized and transformed. The boys dream of going there as pioneers, and the World Council's project echoes historical colonization efforts.",The chapter is set entirely at the Anyudin School on Earth. No space environment is directly depicted or described in detail.
Russia,Noon: 22nd Century,Chapter 5 - Chronicle,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Other / Unsure,The Taimyr-Ermak expedition is an international cooperative effort under the USCR Academy of Sciences. No competing powers or conflict over space are mentioned.,The expedition departs from the international spaceport Pluto-2 on a deep-space research mission. The presence is purely exploratory and temporary.,"The expedition launched in 2017 toward the constellation Lyra. The Ermak returned in 2020, but the Taimyr was lost after 344 subjective days at near-light velocities, implying years of real elapsed time.","The expedition is organized by Earth institutions (USCR Academy) with an international crew including Russians, Americans, and a German. Standard Earth organizational structures govern.","The bulletin is in standard Russian/English. The crew includes Russian, American, and German members. No space-specific languages appear.","The Taimyr was lost with all hands after a bright flash near the light barrier. Deep space at extreme velocities proved fatal, destroying the ship and killing the entire six-person crew.",Only six crew members ventured into deep space on this pioneering expedition. The mission represents the absolute vanguard of human exploration.,The expedition operates under the USCR Academy of Sciences as part of an international program. A single authority governs space research.,"The terse news bulletin announcing the loss of the Taimyr with all hands is deeply dramatic in its understated, clinical language conveying tragedy.",The expedition is a civilian scientific research mission organized by an academy of sciences. No military involvement is indicated.,"The expedition pushes into deep space toward the constellation Lyra, attempting to approach the light barrier. This is frontier exploration at its most extreme and dangerous.",The bulletin is a brief factual report with no description of the space environment. Only technical data about velocity and distance are provided.
Russia,Noon: 22nd Century,Chapter 6 - Two from the Taimyr,No contestation,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Other / Unsure,Common (many people live/work there),Single unified authority,Drama,Entirely civilian,Other / Unsure,Other / Unsure,No contestation over space occurs. Kondratev recovers in hospital while Slavin explores the 22nd century. All space activity is cooperative.,The year is 2119 and D-ships now travel interstellar distances. Orbital infrastructure exists (the Big Mirror Slavin damaged). Space is routinely inhabited and governed.,Kondratev and Slavin have jumped a full century due to sigma-deritrinitation near the light barrier. Their separation from their original time is total and irreversible.,"The 22nd-century society is advanced but recognizably Earth-derived: hospitals, pterocars, fashionable clothing, and familiar social interactions. Slavin adapts to modern customs.","All dialogue is in Russian. Slavin and Kondratev speak the same language as the 22nd-century inhabitants, with only minor pronunciation differences noted.","The chapter is set entirely in a hospital on Earth. No space environment is directly depicted, though the Taimyr's crash and Kondratev's injuries testify to space dangers.",D-ships are now routine vessels. Slavin mentions that all long-range ships work on the deritrinitation principle. Space travel has become a common aspect of civilization.,The unified Earth society is implied throughout. The Northwest Asian Economic Council and centralized medical system suggest a single governing authority.,"The chapter is an emotional reunion between injured Kondratev and his friend Slavin, centering on their struggle to adapt to a world a century beyond their own. The pain and isolation are deeply felt.","All activity is civilian: hospital care, writing a book, exploring the new world. The Taimyr expedition was a civilian research mission.","The chapter is set in a hospital. Space is referenced through the D-ship technology and the Taimyr's history, but no space domain is directly portrayed.",No space environment is depicted. The chapter takes place entirely in a hospital room on Earth in the Ural Mountains.
Russia,Noon: 22nd Century,Chapter 7 - The Moving Roads,No contestation,"Limited settlement (small colonies, hard to sustain/control)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),No competition over space exists. Venus colonization is a cooperative international effort with volunteers from all backgrounds working together.,"Venus has an established but harsh colony. Moskvichev describes 20,000+ workers living underground, not seeing blue sky for months, waiting weeks for greenhouse grass. Settlement exists but is difficult to sustain.",D-ships transport 600 people to Venus in about two days. Moskvichev says the day after tomorrow we will be there. Venus is a routine interplanetary destination.,"The Venus volunteers are ordinary Earth citizens: a meteorologist, heavy-systems operator, World Council member. They bring Earth society's values and debates to Venus.","All dialogue is in Russian. The diverse characters (Moskvichev, Zavadskaya, Marina, Aleksandr) all speak the same Earth languages.","Venus is described as having radioactive deserts and black storms. Workers live underground, rarely see sky, and conditions are described as intolerably difficult. Kondratev remembers it as terrifying.","Venus has 20,000+ workers, a growing but still specialist population. Volunteers are eagerly sought, and D-ships ferry groups of hundreds. Space habitation is expanding but not yet common.",The World Council governs space activity. Zavadskaya is a World Council member going to Venus to assess conditions. No competing political entities exist.,"Kondratev wanders through the 22nd-century city feeling useless, explores the Yellow Factory, and meets passionate Venus volunteers. The emotional core is his search for purpose in an alien world.","All Venus activity is civilian: volunteers, engineers, surgeons, meteorologists. The colonization project is organized by the World Council as a civilian enterprise.","Venus is explicitly a frontier. Volunteers rush to build cities on swamps, face ferocious storms, and a voice in the dark describes humanity's interplanetary expansion as the discharge of a giant electric potential.","Venus is described as having radioactive deserts, black storms, and conditions requiring underground living. Workers endure extreme hardship, and Kondratev imagines small Marina facing these conditions with horror."
Russia,Noon: 22nd Century,Chapter 8 - Cornucopia,Other / Unsure,Other / Unsure,Other / Unsure,Basically Earth society in space,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Comedy / satire,Entirely civilian,Other / Unsure,Other / Unsure,The chapter is a domestic comedy set entirely on Earth. No space or contestation over space is depicted.,No space territory or habitation is portrayed. The chapter focuses on Evgeny and Sheila's home life and their struggle with a kitchen machine.,"No space journey is depicted. Evgeny briefly references the Taimyr flight and being the first person born on Mars, but no journey occurs in this chapter.","The advanced 22nd-century Earth society is shown: cybernetic appliances, waste-disposal robots, Home Delivery systems, and suburban cottage living. This is the society that has expanded into space.","All dialogue is in Russian. Evgeny, Sheila, and neighbor Yurii speak standard Earth languages.",No space environment is depicted. The entire chapter takes place in a suburban cottage on Earth.,Space habitation is not discussed in this domestic comedy chapter.,No space political order is shown. The chapter depicts everyday domestic life.,"The chapter is pure comedy: Evgeny battles the UKM-207 kitchen machine, producing inedible goulash and losing a loaf of bread, while neighbor Yurii has similarly dismantled his washing machine.","All activity is civilian domestic life: reading, writing, cooking attempts, and conversations with neighbors about waste disposal technology.",No space domain is portrayed. The chapter is set entirely in a domestic Earth setting.,"No space environment is depicted. The setting is a suburban cottage with garden, apple trees, and bushes."
Russia,Noon: 22nd Century,Chapter 9 - Homecoming,No contestation,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Extremely hostile (constant survival pressure),Common (many people live/work there),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No contestation over space occurs. Gorbovsky describes cooperative space exploration, and the Venus project is a unified international effort.",D-ships routinely travel to Venus and interstellar destinations. Gorbovsky mentions his ship Tariel going to EN 17 at 12 parsecs. Space is extensively inhabited with permanent infrastructure.,"Gorbovsky describes going to EN 17, twelve parsecs out, on the frontier. The Taimyr's journey across a century of time is still fresh. Interstellar distances involve major separation.","Space explorers are ordinary Earth citizens: Gorbovsky loves couches and catches colds, Zvantsev is a practical oceanographer. Earth society extends unchanged into space.",All dialogue is in Russian. No space-specific languages are mentioned in conversations about interstellar exploration.,"Kondratev's vivid flashback to Blue Sands describes oceans of fine blue dust, ferocious gales and typhoons, green flame whirlwinds, and Koenig being crushed and carried hundreds of miles into the desert.","D-ships ferry Venus volunteers by the hundreds. Gorbovsky describes four problems that spacers work on, suggesting a large spacefaring population. Even proud D-principle researchers ferry volunteers.","A single unified Earth authority governs all space activity. Gorbovsky describes the Cosmonautical Museum, unified exploration programs, and the Venus project under central coordination.","Kondratev is desperately lonely and searching for purpose. Gorbovsky and Zvantsev arrive to recruit him for the Oceanic Guard, giving him new meaning. The emotional arc is deeply personal.","All space activity is civilian: scientific exploration, archaeological searches for alien traces, Venus colonization, and oceanographic work. No military context exists.","Gorbovsky describes searching for traces of alien civilizations on frontier planets, exploring Vladislava at 12 parsecs. The framing is of expansion into unknown territory.","Blue Sands is vividly described: oceans of fine blue dust with tides and typhoons, round-dances of green flame, blue dunes that shouted and howled, and dust clouds crawling like giant amoebas. Utterly alien."
