country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Finland,Tainaron: Mail from Another City,The Seventeenth Spring,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,This chapter is a table of contents listing the letter titles in the book. There is no narrative content depicting conflict or contestation.,The chapter is simply a list of chapter titles with no narrative about inhabiting or holding territory.,No journey or distance information is provided in this table of contents page.,No cultural details are presented in this listing of chapter titles.,No language or communication details appear in this table of contents.,No information about environmental hostility or survival conditions is given.,No information about how common habitation is appears in this chapter listing.,No political structures or governance are described in this table of contents.,This is a table of contents page with no narrative genre content.,No military or civilian domain information is present in this listing.,No domain characterization is present in this table of contents.,No physical environment descriptions appear in this chapter listing.
Finland,Tainaron: Mail from Another City,The First Letter,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter depicts a peaceful walk through botanical gardens and a meadow. While a fly-trap flower ensnares a creature, this is a natural hazard rather than political or strategic conflict between factions.","The narrator is a visitor to Tainaron, guided by Longhorn through the city's botanical gardens. The narrator imagines bringing a companion someday, suggesting a temporary sojourn rather than permanent settlement.","The narrator writes letters to someone back home who apparently cannot visit, and Tainaron feels like a completely separate world with giant flowers, insect inhabitants, and no clear way to return easily.","Tainaron's inhabitants are insects who pollinate giant flowers as recreation, the Admiral becomes intoxicated on nectar, and the meadow's ecology is described as an alien symbiosis fundamentally unlike any Earth society.","The narrator converses freely with Longhorn and the Admiral in what appears to be a shared language, though the insect inhabitants have their own mannerisms and exclamations.","The meadow contains fly-trap flowers that ensnare visitors, seed pods that hurt like cartridges, and overpowering scents. The narrator feels faint and disoriented but survives with Longhorn's guidance.","The narrator appears to be the only human in Tainaron, a lone visitor among the insect cityfolk who are native inhabitants.","No political structures or governance are described in this chapter, which focuses on the botanical gardens and meadow.","The chapter follows the narrator exploring the botanical gardens and meadow of Tainaron with Longhorn, encountering strange flora and fauna in a spirit of wonder and discovery.",The chapter depicts leisure activities in a botanical garden and meadow. There is no military presence or references to armed forces.,"Tainaron is not characterized as a military domain or compared to naval, air, or frontier contexts. It is an alien city explored as a civilian visitor.","The flowers are supernaturally large, some as big as rooms; inhabitants are insects with proboscises; seed pods shoot like cartridges. The physical environment is fundamentally unlike anything on Earth."
Finland,Tainaron: Mail from Another City,The Second Letter,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes the city of Tainaron's architecture, a volcanic zone, and daily life. There is no conflict or contestation between factions or powers.","The narrator continues as a visitor exploring Tainaron, walking through arcades, riding trams, and observing the city. The narrator does not hold territory or settle permanently.","The narrator writes letters to someone far away, and Tainaron is described as a self-contained city in a volcanic zone with its own architecture, markets, and Ferris wheel, feeling completely separate from home.","The city features buildings with alien proportions, inhabitants with snout-like faces and antennae, a leaf-shaped creature on the tram, and a silk-producing being who secretes 150 metres of thread daily from his body.","The narrator communicates easily with Tainaronians and observes city life without language barriers, though the inhabitants are physically alien with mandibles and antennae.","Tainaron sits in a volcanic zone where scientists predict a catastrophic eruption. The buildings lean and sway unsettlingly. However, daily life proceeds normally with markets and trams.","The narrator appears to be the sole human visitor among the insect inhabitants of Tainaron, startled by alien faces in the crowd.","Tainaron is described as a single city with a palace of supreme justice and a chamber of commerce, suggesting one unified governing structure rather than multiple competing polities.","The chapter is contemplative and literary, describing the narrator's emotional reactions to Tainaron's architecture and alien inhabitants with a melancholic, reflective tone rather than action or adventure.","The chapter describes civilian infrastructure: markets, trams, cafes, arcades, a Ferris wheel, and a chamber of commerce. No military presence is mentioned.",Tainaron is not characterized as resembling any military domain. It is presented as an alien but civilian city.,"Inhabitants have compound eyes, antennae, leaf-shaped bodies, and mandibles. One being secretes silk thread from his body. The volcanic setting and swaying buildings add to the alien physical environment."
Finland,Tainaron: Mail from Another City,The Third Letter,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Other / Unsure,Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter peacefully describes the Fireflies who dance in the evening and the central stairway where Tainaronians gather. One Firefly is found dead, but this is natural mortality, not conflict.","The narrator remains a visitor observing Tainaron's evening life, watching the Fireflies from the city steps without integrating into the community.","The narrator writes to someone far away and describes Tainaron as a completely self-contained world with its own luminescent beings and social customs, utterly separate from home.","Tainaronians include bioluminescent Fireflies who secrete light, move in flocks doing formation dances, disappear when it rains, and may not speak any language at all. This is a fundamentally non-human social order.","The narrator notes that the Fireflies may not speak any of the city's official languages, and may not speak at all, raising deep uncertainty about communication across species in Tainaron.","The Fireflies go out in rain or breeze and are vulnerable to death, as shown by the dead Firefly found in the ditch. The environment is not uniformly hostile but carries real risks for its inhabitants.","The narrator is a solitary human observer among Tainaron's insect populations, watching the Fireflies and beggars and knights from the city steps.","Tainaron is referenced as having official languages, suggesting a single governing structure. The central stairway serves as a communal gathering place for all inhabitants.","The chapter is deeply melancholic and reflective, moving from the beauty of the Fireflies dancing to the narrator's grief at finding one dead in a ditch, meditating on mortality and the fragility of life.","The chapter depicts evening leisure, communal gathering on steps, and the Fireflies' dancing. There is no military presence whatsoever.",Tainaron is not compared to any military domain. The chapter focuses on the aesthetic and emotional experience of the city's evening life.,"Inhabitants produce bioluminescent light from their bodies, move in synchronized flocks, and can be extinguished like candles. The physical nature of the beings and their environment is fundamentally unlike Earth."
Finland,Tainaron: Mail from Another City,The Fourth Letter,No contestation,Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes a visit to the queen of an insect colony. While the queen is intimidating, there is no conflict or contestation between groups or factions.","The queen's colony has a permanent, expanding dwelling with countless inhabitants, constantly growing corridors, and new storeys being added. The tribe occupies and governs its territory permanently.","The narrator travels deep into an alien colony within Tainaron, a world entirely separate from home. The queen's dwelling extends underground with branching corridors, emphasizing the remoteness and otherness of this place.","The colony is ruled by a queen who gives birth ceaselessly, is too large to move, and declares herself not an individual but the source from which the city grows. The social order is that of an insect hive.","The narrator converses with the doorman, guide, and queen directly, though the queen's voice is described as a composite murmur of hundreds of voices and shifts between creaking, buzzing, and hissing.","The queen's inner chamber is windowless, unbearably bright, and the queen herself is intimidating with her whip-like antennae. The narrator feels confined and horrified but is not in mortal danger.","The narrator is a singular human visitor being led through the colony by a doorman, clearly an outsider among the countless identical inhabitants.","The colony is governed by a single queen who is the source of all inhabitants. Guards stand at her door, and the entire house serves her as the central authority.","The chapter is a philosophical encounter with the queen, who delivers existential pronouncements about identity and motherhood, creating a dramatic and unsettling scene rather than action or adventure.","The colony's activities are reproduction, construction, and caregiving. Guards appear at the door but serve a domestic rather than military function.","The colony resembles a biological hive rather than any military domain. It is not characterized in naval, aerial, or frontier terms.","The queen is so enormous she fills an entire room, gives birth ceaselessly, and weeps tears that splash across the room. The windowless glowing chamber and expanding underground corridors are fundamentally alien."
Finland,Tainaron: Mail from Another City,The Fifth Letter,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Thriller / Horror / Survival,Entirely civilian,Other / Unsure,Very different (human bodies/technology constantly challenged),"The narrator experiences a subtle conflict with upstairs neighbor Miss Pumilio, whose nightly furniture-dragging noises create fear and discomfort, possibly intended to drive the narrator out. This is interpersonal tension rather than open conflict.","The narrator rents apartments in Tainaron, already on a second address, and ultimately flees the first one. The narrator's habitation is precarious and temporary.","The narrator is living in Tainaron far from home, writing letters to a distant recipient. The city feels like a completely separate world from which the narrator cannot easily return.","Miss Pumilio is an insect-like being with thin limbs, a stick with a beaked creature head, wide mosaic eyes, and seemingly impossible strength for her frail form. The social norms around nocturnal disturbances are alien and inexplicable.","The narrator converses normally with Miss Pumilio in the neighborhood shop and with the landlord, though communication about the nocturnal disturbances proves impossible.","The narrator's first apartment becomes psychologically unbearable due to nightly disturbances that cause sleeplessness, fear, and ultimately flight. The environment is survivable but deeply unsettling.","The narrator is a lone outsider renting apartments in a Tainaronian suburb, with Miss Pumilio and the landlord being the only characters encountered.",No political governance or authority structures are described in this chapter about apartment living and a troublesome neighbor.,"The chapter builds psychological dread through nightly disturbances at precisely the same hour, the narrator's mounting fear and sleeplessness, and the uncanny suggestion that Miss Pumilio may not be responsible despite being the only upstairs resident.","The chapter concerns domestic apartment life, a neighborhood shop, and relations between a tenant and neighbor. There is no military element.",The chapter does not characterize Tainaron in terms of any military domain. It focuses on domestic life and psychological unease.,"Miss Pumilio has astonishingly thin limbs and mosaic eyes. The nocturnal phenomena shake the ceiling and foundations, suggesting physical forces beyond normal explanation. The narrator's human body and psychology are constantly challenged."
Finland,Tainaron: Mail from Another City,The Sixth Letter,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The chapter describes the physical differences of Tainaronians and the phenomenon of metamorphosis. There is no conflict or contestation between groups.,"The narrator remains a visitor observing Tainaron's inhabitants and their metamorphosis, writing letters to someone far away and wondering if mail even reaches its destination.","The narrator questions whether the recipient is dead, has moved, or whether the home city still exists, suggesting vast separation. Mail delivery between Tainaron and home is unreliable.","Tainaronians undergo metamorphosis, living multiple consecutive lives with completely different forms. Some withdraw into pupal cells for seventeen years before emerging as new beings. Identity and continuity are fundamentally different from human experience.","The narrator describes Tainaronians approaching as old acquaintances from past metamorphic lives, suggesting shared language but with the complication that identity shifts make communication bewildering.","The environment is not physically hostile, but metamorphosis means beings die and are reborn completely changed. A thunderstorm brews. The narrator's head feels heavy, suggesting mild environmental discomfort.","The narrator is a solitary human among metamorphosing insect beings, standing apart as the only one who does not undergo these transformations.",No governance or political structures are discussed in this chapter about physical differences and metamorphosis.,"The chapter is philosophical and reflective, meditating on identity, continuity, and transformation. The narrator's yearning for renewal through metamorphosis and worry about unanswered letters create an emotional, dramatic tone.",The chapter discusses biological and social phenomena of civilian life in Tainaron. There is no military presence or context.,Tainaron is not compared to any military domain. The chapter focuses on the biology and identity of its inhabitants.,"Tainaronians have compound eyes taking up a third of their faces, multiple pairs of limbs, jumping forks under their bellies, and undergo complete metamorphosis. The physical nature of beings is fundamentally non-Earth-like."
Finland,Tainaron: Mail from Another City,The Seventh Letter,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Very different (human bodies/technology constantly challenged),"The chapter reveals sectarian self-immolation on the mountain as a form of protest or sacrifice to redeem Tainaron. Longhorn describes these as sectarian delusions and fears they take innocent souls with them, suggesting ideological tension.","The narrator observes the fire from a balcony as a visitor to Tainaron, watching the city's rituals from the outside and relying on Longhorn for explanations.","Tainaron remains a completely separate world with its own religious practices, sacrificial rituals on mountaintops, and cyclical ceremonies tied to the new moon, all utterly foreign to the narrator's home.","Tainaronians practice self-immolation as sacrifice at new moon, believing it will redeem the city. This sectarian practice of voluntary burning, combined with the amusement park and Ferris wheel, depicts a radically alien social order.","The narrator and Longhorn converse freely about the fire, though Longhorn is reluctant to explain. Communication is effective despite cultural barriers around sensitive topics.","The fire on the mountain represents a real danger as sectarians burn themselves and may take innocents with them. The city lives under this recurring threat every new moon, yet daily life continues.","The narrator is a lone human observer watching the sacrificial fire from a balcony, needing Longhorn to explain Tainaronian customs.","Tainaron is presented as a single city with sectarian dissenters who wish to change how Tainaronians live. The sectarians operate against the prevailing order, implying a dominant unified authority they oppose.","The chapter builds emotional intensity around the sacrificial fire, moving from curiosity to horror. The narrator stands transfixed on the balcony watching someone burn to death, creating a deeply dramatic and philosophical meditation on sacrifice.","The conflict is religious and sectarian, not military. The chapter describes an amusement park, a balcony, and a mountaintop sacrifice with no military forces or weapons.","The chapter does not characterize Tainaron as any military domain. The sacrifice is religious, not strategic.","The fire on the mountain is a recurring phenomenon tied to new moon cycles, with beings who voluntarily self-immolate. The landscape of hillock, amusement park, and sacrificial peak creates an environment quite different from Earth."
Finland,Tainaron: Mail from Another City,The Eighth Letter,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Other / Unsure,Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter describes creatures who carry their innermost dwellings with them being violently stripped of these homes by others, resulting in death-throes heard at night. This constitutes a form of low-level interpersonal violence.","The narrator remains an outside observer of Tainaron's inhabitants and their nested dwelling practices, not integrated into any permanent settlement.","Tainaron continues to feel like an utterly separate world where inhabitants live in nested dwellings, carry homes on their bodies, and produce voices from muscles, glands, and chitin armature.","Tainaronians live in multiple nested dwellings simultaneously, carry their innermost apartments with them, produce voices from chitin and glands rather than vocal cords, and die if their innermost shelter is removed.","The chapter notes that Tainaronians secrete voices that blur the line between music and language, and that voices echo from within their personal dwellings, making communication difficult to parse or locate.",Inhabitants who carry their homes can be violently stripped of them and die from exposure or shame. The narrator hears death-throes at night. Survival is possible but vulnerability is real.,"The narrator is a solitary human among Tainaronians, unable to tell where dwellings end and inhabitants begin, clearly an outsider observing alien customs.",No political governance is discussed. The chapter focuses on the biological and social phenomenon of nested dwellings.,"The chapter meditates philosophically on vulnerability, shelter, and the violent desire to expose the hidden. The narrator reflects on the cruelty of stripping away another's innermost protection, creating an emotional and contemplative tone.",The chapter describes domestic dwelling practices and interpersonal violence that is criminal rather than military. There is no organized military presence.,Tainaron is not characterized in terms of any military domain. The focus is on biological dwelling and vulnerability.,"Inhabitants carry dwellings as part of their bodies, produce voices from chitin and glands, live in nested box-like apartments, and die if their innermost shell is removed. The physical environment is fundamentally unlike Earth."
Finland,Tainaron: Mail from Another City,The Ninth Letter,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,"Mostly same, with dialect/slang differences",Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The chapter describes a funeral shop visit and descent into an underground sepulchre where burying beetles process the dead. There is no conflict or contestation between factions.,"The narrator visits a funeral shop and underground vault with Longhorn, continuing as a temporary observer of Tainaron's customs and institutions.","The narrator has received a card from a home country but not from the intended recipient, emphasizing the vast separation. Tainaron's death rituals in underground vaults feel profoundly remote from any Earth experience.",The dead are processed by burying beetle-like creatures who extract nourishment from carcasses to feed their offspring. Only a small organ is preserved in a decorative box. This death culture is radically unlike human customs.,"The narrator converses with Longhorn and the funeral director without difficulty, though there are cultural gaps around propriety when asking about what happens to bodies.","The underground sepulchre is damp, dark, and filled with nausea-inducing stench. The funeral director subtly traps the narrator into descending. However, the narrator survives and returns safely.","The narrator is the sole human visitor, led into the underground vault as a curious outsider while Longhorn remains above, highlighting the narrator's exceptional status.","The funeral industry serves the entire city of Tainaron as an established institution with shops, funeral directors, and organized underground processing, suggesting a unified civic structure.","The chapter builds emotional depth through the narrator's descent into Tainaron's underworld, the meditation on death and rebirth, and the poignant moment of shared grief with Longhorn over his friend's death.",The funeral industry and underground processing of the dead are entirely civilian functions. No military presence or context appears.,Tainaron is not characterized as any military domain in this chapter about funeral customs and the cycle of death and rebirth.,The dead are preserved as single organs in tiny decorative boxes while their bodies are processed by burying beetles who distill nectar from carcasses to feed offspring. The underground vault functions as both sepulchre and nursery.
