country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Japan,Usurper of the Sun,Part 1 PROLOGUE,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,"The chapter is set entirely on Earth. A high school student, Aki Shiraishi, observes a shadow on the surface of Mercury through a telescope. There is no conflict or contestation in space.",No space territory is depicted. The chapter is set at a high school in Japan. Aki observes Mercury through a telescope but no one is in space.,No space journey occurs. All observation is done from Earth's surface via telescope.,No space society is depicted. The chapter portrays a Japanese high school student's life and astronomical observation.,All characters speak Japanese. Aki communicates with her teacher and classmates in standard Japanese.,No space environment is depicted or experienced. All action takes place on Earth.,No one is in space. The chapter is entirely terrestrial.,No space political order exists. The chapter focuses on a Japanese high school student's discovery.,"The chapter is driven by Aki's curiosity and astronomical discovery. She observes a growing shadow on Mercury and realizes something unprecedented is happening, sparking the central mystery.","The setting is entirely civilian: a high school, a rooftop telescope, a student and her teacher. No military presence.",No space domain is portrayed. All action takes place on Earth.,No space environment is experienced. The chapter is set entirely on Earth.
Japan,Usurper of the Sun,Part 1 Act I,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,The chapter covers the discovery of the alien structure on Mercury and early scientific analysis. There is no conflict in space; the focus is on observation and understanding.,No humans are in space. The alien construction on Mercury is observed remotely. No territory is inhabited.,No space journey occurs. Scientists observe Mercury from Earth-based and orbital telescopes.,No space society exists. The chapter depicts Earth-based scientific and political responses to the Mercury discovery.,All communication is in standard Earth languages. Scientists communicate in Japanese and English.,No humans are in space. The alien construction on Mercury is observed remotely.,No one lives in space. All observation is from Earth.,No space governance exists. Earth nations respond to the discovery through existing institutions.,The chapter is driven by scientific discovery and wonder as humanity observes the alien construction growing on Mercury.,"All activity is civilian: scientific observation, academic conferences, media coverage. No military involvement.",No space domain is portrayed beyond remote observation.,No space environment is experienced by humans.
Japan,Usurper of the Sun,Part 1 Act II,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,The chapter continues Earth-based observation and scientific analysis of the Ring forming around the sun. No conflict in space occurs.,No humans inhabit space. The Ring is an alien construct observed from Earth.,No space journey occurs. All action is on Earth as the Ring's effects begin to be felt.,No space society exists. Earth societies respond to the growing Ring crisis.,Characters speak standard Earth languages throughout.,No humans are in the space environment. The Ring's effects are felt on Earth but the environment of space is not directly experienced.,No one lives in space.,No space governance exists.,"The chapter focuses on the growing environmental crisis on Earth caused by the Ring blocking sunlight, and on Aki's personal journey from student to scientist.","All activity is civilian: scientific research, university life, environmental monitoring.",No space domain is portrayed.,No space environment is experienced by humans.
Japan,Usurper of the Sun,Part 1 Act III,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,The chapter depicts early scientific understanding of ring material nanotechnology. There is no conflict in space.,No humans inhabit space. Research on ring material is conducted on Earth.,No space journey occurs.,No space society exists.,Characters speak Japanese and English.,No humans are in space.,No one lives in space.,No space governance exists.,The chapter centers on scientific research into the Ring's nanotechnology and the growing global crisis from reduced sunlight.,All activity is civilian scientific research.,No space domain is portrayed.,No space environment is experienced.
Japan,Usurper of the Sun,Part 1 Act IV,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,"The chapter depicts Aki's education and early career, the global effects of the Ring, and scientific efforts to understand it. No space conflict occurs.",No humans inhabit space.,No space journey occurs.,No space society exists.,Characters speak Japanese and English at international institutions.,No humans experience space conditions.,No one lives in space.,No space governance exists. Earth institutions respond to the crisis.,"The chapter focuses on Aki's personal growth, education, and the global humanitarian crisis caused by the Ring's shadowing of Earth.","All activity is civilian: scientific research, education, humanitarian response.",No space domain is portrayed.,No space environment is experienced.
Japan,Usurper of the Sun,Part 1 Act V,"Low contestation (minor competition, little open conflict)",Cannot inhabit or hold territory,Other / Unsure,Other / Unsure,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Other / Unsure,Single unified authority,Political / diplomatic,Mixed civilian-military domain,Other / Unsure,Other / Unsure,"The UNSDF is formed, indicating preparations for potential conflict with the Builders. However, actual conflict has not begun. The focus is on understanding the Ring and preparing humanity's response.",The Ring dominates the inner solar system. Humans cannot approach it due to the graser defense system. Space is controlled by alien technology.,No human space journey occurs in this chapter. The Ring is observed remotely.,No space society exists. The UNSDF is an Earth-based organization.,All communication is in standard Earth languages.,The Ring's graser defense system destroys anything that approaches. Space near the Ring is lethal to humans.,No humans live in space.,"The UNSDF is formed as a unified international body to address the Ring crisis, representing global governance of the space threat.","The chapter centers on the formation of the UNSDF, international political response to the Ring crisis, and Aki's recruitment as a scientific advisor.",The UNSDF combines military and scientific functions. Aki is recruited as a civilian scientist into the military-scientific organization.,No space operations are depicted; the focus is on Earth-based political organization.,No humans experience space conditions in this chapter.
Japan,Usurper of the Sun,Part 1 Act VI,Moderate contestation (ongoing rivalry/disputes),Cannot inhabit or hold territory,Near-Earth / very short journey,Other / Unsure,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Adventure / exploration,Mixed civilian-military domain,Like the ocean / naval,Very different (human bodies/technology constantly challenged),The UNSDF prepares a mission to reach the Ring's Island. There is ongoing tension about how to respond to the alien presence. The Ring's graser defense system represents a constant threat.,The Ring's graser defense makes the inner solar system lethal. Humans plan a mission but have not yet reached the Ring.,"The planned mission to Mercury and the Ring is within the inner solar system, a relatively short interplanetary journey.",No space society exists. All characters are Earth-based.,Characters speak English and Japanese in international settings.,Space near the Ring is lethal due to the graser defense system. The mission requires extreme precautions and a nuclear-powered warship.,Only a small crew of four is being selected for the UNSS Phalanx mission. Space habitation is exceptionally rare.,The UNSDF governs all space operations as a unified international authority.,The chapter is driven by preparations for the Phalanx mission to reach the Island on the Ring. Aki's selection as a crew member and training drive the narrative.,"The UNSDF is a military organization, but Aki and other scientists serve as civilian specialists. The mission is military in structure but scientific in purpose.",The UNSS Phalanx is described as a nuclear-powered warship with a naval command structure. Commander Kindersley leads the crew in a naval tradition.,"The inner solar system near Mercury is extremely harsh: intense solar radiation, the Ring's graser defense, and vacuum conditions constantly challenge human technology."
Japan,Usurper of the Sun,Part 1 Act VII,High contestation (frequent conflict or strategic struggle),Cannot inhabit or hold territory,Short interplanetary journey,Other / Unsure,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Mostly military,Like the ocean / naval,Very different (human bodies/technology constantly challenged),The Phalanx launches and heads toward the Ring. The graser defense system poses a constant lethal threat. The mission is a strategic struggle against an overwhelming alien defense.,The Ring's defense makes the inner solar system uninhabitable. The Phalanx must evade grasers to approach.,"The Phalanx travels from Earth orbit toward Mercury and the Ring, a short interplanetary journey taking weeks to months.",No space society exists. The four-person crew operates as a military unit.,The crew speaks English as their working language.,"Intense solar radiation near Mercury, the Ring's graser defense, and vacuum make the environment nearly uninhabitable. The crew relies entirely on their ship for survival.",Only four crew members are aboard the Phalanx. Space habitation is exceptionally rare.,The UNSDF commands the mission as a unified global authority.,The chapter builds tension as the Phalanx approaches the Ring. The crew faces lethal danger from the graser defense. The mission is a survival challenge against overwhelming alien technology.,"The mission is military in nature, commanded by Commander Kindersley aboard a nuclear warship. Aki serves as a civilian scientist but operates within the military framework.","The Phalanx operates like a naval vessel: Commander Kindersley commands, the crew operates in cocoons like submarine berths, and mission terminology is naval.","Zero gravity, intense solar radiation, vacuum, and the lethal graser defense constantly challenge the crew's bodies and technology."
Japan,Usurper of the Sun,Part 1 Act VIII,High contestation (frequent conflict or strategic struggle),Cannot inhabit or hold territory,Short interplanetary journey,Other / Unsure,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Mostly military,Like the ocean / naval,Very different (human bodies/technology constantly challenged),The Phalanx approaches the Ring and must evade graser fire. The engine contamination crisis forces Mark Ridley to sacrifice himself. The strategic struggle against the Ring's defenses intensifies.,The Ring environment is lethal. Mark Ridley dies from ring material contamination. No territory can be held near the Ring.,The Phalanx is near Mercury in the inner solar system.,No space society exists. The three surviving crew members operate in crisis mode.,The crew communicates in English.,Ring material contaminates the engine. Mark Ridley is fatally contaminated during an EVA. The environment is lethal.,Only four crew (then three after Mark's death) are in space.,The UNSDF commands the mission.,"Mark Ridley's heroic sacrifice, the contamination crisis, and the desperate struggle to continue the mission create intense thriller and survival tension.",The mission operates under military command. Mark's sacrifice is depicted as a military act of heroism.,The Phalanx continues to operate like a naval vessel. Mark's EVA and sacrifice mirror naval traditions of heroism.,"Ring material contamination kills Mark Ridley. The alien nanotechnology is lethal to human bodies. Solar radiation, vacuum, and the Ring's defenses constantly challenge the crew."
Japan,Usurper of the Sun,Part 1 Act IX,High contestation (frequent conflict or strategic struggle),Cannot inhabit or hold territory,Short interplanetary journey,Other / Unsure,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Mostly military,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),Aki reaches the Island on the Ring and discovers the graser defense system and the purpose of the Ring as a deceleration laser for an incoming alien fleet. She must decide whether to sabotage it.,The Ring's surface is lethal and defended by grasers. Aki walks on the Island briefly but cannot hold any territory.,The Phalanx is near Mercury at the Ring.,No space society exists. Aki is alone on the Island.,Aki communicates with the Phalanx crew in English and Japanese.,The Island's surface is dangerous. Aki's EVA suit is her only protection. The graser defense could kill her instantly.,Aki is the only human on the Ring's Island. Three crew remain on the Phalanx.,The UNSDF commands the mission remotely.,"Aki's solitary exploration of the alien Island, the discovery of the incoming fleet, and her decision to destroy the graser create intense thriller tension.",The mission is military. Aki's decision to sabotage the Ring is effectively a military action against an alien threat.,Walking on the alien Island structure orbiting the sun is unlike any terrestrial domain. The Ring is a completely alien environment.,"The Island is an alien nanotechnology structure orbiting the sun. Its physics, defenses, and environment are fundamentally unlike anything on Earth."
