country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,Human Split_Enders Game,Chapter 1 - THIRD,Total war / constant conflict,Other / Unsure,Other / Unsure,Basically Earth society in space,Same languages as Earth,Other / Unsure,Uncommon (small specialist population),Single unified authority,Military / war,Mostly military,Other / Unsure,Other / Unsure,"Humanity is in an existential war with the buggers that permeates all of society. Children are monitored from birth for military potential, and Ender's very existence as a 'Third' was government-authorized to find a military commander.",The chapter is set entirely on Earth. No information about inhabiting or holding territory in space is provided.,"No space journey is depicted or discussed in this chapter. The setting is entirely terrestrial—school, doctor's office, and streets.","The chapter is set on Earth with recognizable schools, buses, teachers, and family life. The main adaptation is government population control and child monitoring for military purposes.",All dialogue and communication is in standard English. No specialized space language or dialect appears.,"Space as a physical environment is not depicted in this chapter. The hostility shown is social (bullying) and medical (monitor removal), not environmental.","Battle School selects rare child geniuses from the general population via monitoring. The military observers discuss Ender as a potential candidate, suggesting space-based military service is for a small specialist group.","A single government controls population (authorizing Third births), monitors children via implanted devices, and operates Battle School. No competing authorities are mentioned.",The chapter revolves around military selection of a child soldier. The opening dialogue is military officers evaluating Ender. His birth was authorized for military purposes. Even children's games reference the bugger war.,"The military monitors children from infancy, controls reproduction, and pervades civilian life. The opening and closing frames are military observers evaluating Ender's combat potential.",No clear domain analogy for space is established in this Earth-set chapter. Space is referenced only as the location of the bugger threat.,Space is not physically depicted. The chapter takes place entirely on Earth with no description of space environments.
US,Human Split_Enders Game,Chapter 2 - PETER,Total war / constant conflict,Other / Unsure,Other / Unsure,Basically Earth society in space,Same languages as Earth,Other / Unsure,Uncommon (small specialist population),Single unified authority,Military / war,Mostly military,Other / Unsure,Other / Unsure,"The bugger war permeates family life: Peter plays 'buggers and astronauts,' children wear bugger masks, and the military frames the chapter with observers discussing Ender's combat potential like Mazer Rackham's.",The chapter is set entirely in the Wiggin family home. No discussion of space territory occurs.,"No space journey is depicted or discussed. The chapter is domestic, focused on sibling dynamics.","The setting is a recognizable Earth household with a parlor, bunk beds, and parents. The only space-related elements are the bugger war's cultural impact on children's games and government population policy.",All dialogue is in standard English. No space-specific language appears.,Space as a physical environment is not depicted. The danger in this chapter is Peter's violence toward Ender.,"The military observers discuss Ender as a rare potential recruit. Battle School is selecting exceptional children, implying space military service is for a small specialist population.",The government authorized Ender's birth as a Third and monitors children. The military committee evaluates candidates. A single authority structure governs both civilian and military life.,"Military observers frame the chapter. Peter's game of 'buggers and astronauts' mirrors the war. The military's evaluation of Ender's violence ('he beat him deep, like Mazer Rackham') drives the narrative.","The military's influence extends into family life—monitoring children, authorizing births, evaluating sibling dynamics for combat potential. The opening dialogue is officers assessing Ender.",No clear domain analogy for space is presented. The chapter is set entirely on Earth.,Space is not physically experienced in this chapter. The entire setting is the Wiggin family home on Earth.
US,Human Split_Enders Game,Chapter 3 - GRAFF,Total war / constant conflict,Other / Unsure,"Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Other / Unsure,Uncommon (small specialist population),Single unified authority,Military / war,Mostly military,Like the ocean / naval,Other / Unsure,"The bugger war is existential and all-consuming. Graff tells Ender the buggers nearly wiped out humanity, and the entire purpose of Battle School is to prepare for the next invasion. Children are conscripted from birth.","The chapter is set on Earth. Battle School is mentioned as being 'in the Belt,' but no details about inhabiting or holding space territory are provided.","Graff tells Ender there are no vacations from Battle School, no visitors, and training lasts until age 16. Ender won't see Valentine for six to ten years. The separation is profound and long-term.","The chapter is on Earth with recognizable family dynamics, religion (Catholic, Mormon), government population control, and TV news. Space society (Battle School) is described but not yet experienced.",All dialogue is in standard English. No specialized space language appears. Graff discusses Battle School in plain English.,"Space as a physical environment is not experienced in this chapter. Battle School is described in terms of social harshness, not environmental hostility.",Battle School recruits are rare elite children selected through years of monitoring. Graff describes training future starship captains and commodores—a small specialist military population.,"The International Fleet (I.F.) operates as a single unified authority, controlling births, monitoring children, and running Battle School. No competing space authorities are mentioned.",The entire chapter is military recruitment. Graff is an I.F. colonel recruiting Ender for Battle School to train as a future fleet commander against the bugger threat.,"The I.F. controls births, monitors children, and recruits them into military service. Graff describes Battle School as training future starship captains. The military pervades civilian life.",Graff describes Battle School as training 'starship captains and commodores of flotillas and admirals of the fleet'—explicitly naval terminology and rank structure applied to space warfare.,"Space is not physically depicted. Graff mentions zero gravity battlerooms and the Belt, but these are described abstractly, not experienced."
US,Human Split_Enders Game,Chapter 4 - LAUNCH,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,Same languages as Earth,Manageable but risky,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),Graff tells Ender there may be a million billion buggers with weapons to wipe out humanity. The entire launch is framed by existential war preparation. Little boys have died in Battle School before.,"Battle School is a military station in the Belt. The children are brought there temporarily for training, not to settle permanently. It functions as a military outpost.",Ender leaves Earth knowing he won't return for years. The shuttle takes him to Battle School with no vacations or visits. Valentine's anguished 'Come back to me!' underscores the vast separation.,"The children bring Earth culture with them—TV shows, military training tropes from Earth media. Ender imagines TV interviews. The social dynamics are recognizably Earth-human.",All communication is in standard English. No space-specific language or dialect appears.,Null gravity causes disorientation and a boy breaks his arm when flung by Ender's defensive move. Graff warns that boys have died at Battle School. The environment is manageable but poses real physical risks.,Only 20 boys are in this launch. They are the 'best of the best' selected from the entire population. Battle School is for a tiny elite.,"The International Fleet runs everything—the shuttle, the school, the recruitment. Graff is the administrator. No competing authorities exist in space.","The shuttle launch is military transport to a military academy. Graff demands soldiers, invokes Napoleon and Alexander. The boys are being made into weapons against the buggers.","Every aspect of the shuttle is military: uniforms, officers barking orders, deliberate psychological manipulation to isolate Ender, and explicit statements that they need to produce the greatest military commander in history.","The training aims to produce fleet admirals and commodores. Graff references historical commanders (Napoleon, Alexander, Caesar). The structure is explicitly naval—officers, commanders, flotillas.",Null gravity fundamentally alters physical interactions—a child's pull sends a boy crashing into the bulkhead with a broken arm. Ender must completely reorient his sense of direction. The environment constantly challenges human bodies and spatial perception.
US,Human Split_Enders Game,Chapter 5 - GAMES,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Manageable but risky,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"The bugger war underpins everything at Battle School. Military observers open the chapter discussing Ender's combat potential, and the entire institution exists to prepare commanders for existential war.","Battle School is a military station where children are sent for temporary training, not permanent settlement. Team standings and rotation suggest transient occupancy.",Ender is at Battle School with no way home for years. He whispers 'I want to go home' at night and knows he won't see Valentine until he is at least twelve. The separation is profound.,"The children bring Earth social dynamics: bullying hierarchies, schoolyard politics, and familiar cultural references. Bernard speaks with a French accent reflecting Earth nationalism. Food and daily routines are recognizable.","Standard English is the lingua franca, but older boys use distinctive slang ('You nobody, got that? You not anybody till you gots you first kill'). Bernard's French accent marks regional linguistic identity persisting in space.","Null gravity battleroom training poses physical risks as suits amplify movement and boys crash into walls, but the environment is designed to be survivable. Dap warns that murder is against rules, implying injuries happen but death is rare.","Only elite children selected from across Earth populate Battle School. Twenty boys per launch, drawn from the entire planet's population of gifted children—a tiny specialist military population.",The International Fleet runs Battle School as a single unified authority. Military observers at the top of the chain make all decisions about Ender's placement and training.,"The chapter revolves around military training: battleroom zero-gravity combat practice, flash gun discovery, formation of combat teams, and the standing scoreboard of team battles.","Every aspect of Battle School life is military: flash guns, battleroom combat training, team standings on scoreboards, uniforms denoting rank, and children addressed as soldiers.","The battleroom functions like a naval combat arena in three dimensions. Team standings, commanders, and fleet-style hierarchy echo naval organization. Ender observes team names and battle records like a naval command board.","Null gravity completely transforms movement. Suits amplify force unpredictably, boys must relearn how to orient and navigate, and Ender's first push sends him tumbling across the room. The physical environment constantly challenges human bodies."
US,Human Split_Enders Game,Chapter 6 - THE GIANT'S DRINK,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Manageable but risky,Uncommon (small specialist population),Single unified authority,Drama,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Military observers open the chapter discussing whether Ender will 'ice' within six months. The fleet is searching for a battle commander, and the existential war with the buggers drives every decision about Ender's training.",Battle School remains a military training station. The observers discuss holding Ender in his launch group—a temporary assignment within a temporary facility.,"Ender's psychological isolation and homesickness pervade the chapter. The mind game's imagery of gardens and fairy tales reflects his longing for Earth, reinforcing the vast distance from home.","The mind game features Earth fairy-tale imagery: giants, gardens, ducks, bread, and Mother Goose references. Ender's cultural frame of reference is entirely Earth-derived.",Communication continues in standard English with Battle School slang. No new linguistic elements appear beyond the established patterns.,"The physical environment is manageable, but the psychological environment is dangerous. A boy named Pinual killed himself, and the observers worry Ender may be suicidal over the Giant's Drink game. The risk is real but not environmental.",The same specialist military school population. The observers discuss Ender as one of very few candidates who might become the battle commander humanity needs.,Military commanders debate Ender's handling through a single chain of command. One officer orders the other to hold Ender in place—clear hierarchical authority.,"This chapter is psychological drama. Ender struggles with the Giant's Drink mind game, an unwinnable puzzle that forces him to choose between his own death and gruesome violence. His internal conflict about being a murderer like Peter drives the narrative.",The mind game is a military psychological evaluation tool. The observers discuss Ender purely as a potential weapon. Even Free Play serves military assessment purposes.,"Battle School continues its naval-style organization with commanders, launches, and hierarchical structure throughout the chapter.","Ender experiences being frozen in battleroom suits (rigid, immobile) and the disorienting mind game environment. The physical reality of space station life—null gravity, confined quarters—remains very different from Earth."
US,Human Split_Enders Game,Chapter 7 - SALAMANDER,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Manageable but risky,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Military observers discuss whether Ender is the one to command the fleet against the buggers. General Levy insists on not hurting him more than necessary, but the war imperative overrides all other concerns.",Battle School is a rotating space station where children are temporarily assigned to armies for training. Ender is transferred from his launch group to Salamander Army within this military outpost.,"Ender was brought to Battle School before age seven and won't return for years. His farewell with Alai mirrors his earlier separation from Valentine, emphasizing the profound distance from home.","Earth cultural identities persist strongly. Bonzo Madrid carries Spanish honor, his name requires Spanish pronunciation. Bernard has a French accent. Alai whispers 'Salaam,' suggesting suppressed religious identity carried from Earth.","Standard English is the school language, but giria (slangy pidgin English) appears among soldiers. Bonzo's Spanish name and pronunciation, and Petra's multilingual joke ('Aqui nosotros hablamos espanol') show Earth languages persisting as dialect markers.",Bonzo slaps Petra hard enough to draw blood from fingernail strikes. The battleroom poses physical risks but is survivable. Commander violence and hazing make the environment risky but not lethal.,"Ender is promoted early at not yet seven years old, the youngest in Salamander Army. The school population remains a tiny elite drawn from Earth's children.","The I.F. controls Battle School entirely. Major Anderson runs the game, Colonel Graff oversees training. No competing authorities exist in the station.","The chapter revolves around Ender's transfer to Salamander Army, his encounter with Commander Bonzo Madrid, learning army hierarchy, and Petra's offer to train him in battleroom tactics.","Every aspect of life is military: army transfers, battle standings, toon assignments, commander authority, and the battleroom. Even Ender's mind game (Free Play) is a military psychological tool.","Armies have commanders, toon leaders, and battle standings. Petra explains the hub-and-wheel structure of the station with nine rotating battlerooms—a naval vessel-like architecture.","Petra explains that the battlerooms don't rotate with the station, creating null gravity. The barracks is long enough to see the floor's curvature. The physical environment—spinning station, zero-g combat arenas—is fundamentally unlike Earth."
US,Human Split_Enders Game,Chapter 8 - RAT,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Manageable but risky,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Graff orders Anderson to rig the battleroom games to develop Ender for the bugger war. The fleet is already heading to bugger homeworlds. Dink questions whether the war is real, but the entire institution operates under total war footing.","Battle School remains a military training station. Ender transfers between armies within it, never settling permanently.",Dink was taken from his brother at age six and has been at Battle School for years. Ender thinks of Valentine with pain. The children are profoundly separated from Earth and family.,"Earth national and ethnic identities are central. Rose the Nose flaunts his Jewish identity. Dink is Dutch under Russian hegemony. Ender is American. Earth politics (Hegemon, national rivalries) directly affect relationships in space.","Giria slang continues ('she make you life so easy, neh?'). Battle School pidgin imitates uneducated speech. Multiple Earth languages and cultural speech patterns persist alongside Standard English.","Physical violence results in four medical reports: bruised ribs, bruised testicle, torn ear, broken nose. Classified as 'accidental collision in null G.' The environment is risky—older boys attack Launchies—but not lethal.",The same small specialist population. Anderson protests that degrading the training method will affect their one chance to find a battle commander from this tiny pool of elite children.,"The I.F. hierarchy is detailed: Hegemon, Strategos, Polemarch, Colonel Graff. A single unified authority structure governs everything, though Dink argues it exists to maintain political control.","Battles, tactical innovations (feet-first attacks, instant door emergence), army rivalries, and physical confrontations dominate. Ender fights in his first battle as part of a toon and later defends his practice group against older boys.","Every scene is military: Rose orders a suicide attack, Dink drills his toon, Ender leads Launchy practice sessions, and older soldiers attack his group. Medical reports classify injuries as null-G accidents.","Fleet terminology pervades: Mazer Rackham's Strike Force, the Strategos, the Polemarch, fleet command. The entire organizational structure mirrors naval hierarchy with commanders, armies, and strategic command.","Zero-gravity combat is described in vivid detail: Ender launches across the battleroom, freezes enemies, rebounds off walls, and fights hand-to-hand in nullo where punches push the puncher backward. The physics are fundamentally alien to Earth experience."
US,Human Split_Enders Game,Chapter 9 - LOCKE AND DEMOSTHENES,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Other / Unsure,Uncommon (small specialist population),Single unified authority,Political / diplomatic,Mostly civilian with some military presence,Other / Unsure,Other / Unsure,The bugger war drives everything: Peter and Valentine exploit the coming end of the war to position themselves politically. Graff visits Earth specifically because Ender is faltering as a potential war commander. The Warsaw Pact prepares for post-war conflict.,"Battle School is mentioned as a distant military station. Graff describes the enormous cost of commuting between Earth and the station, reinforcing its temporary outpost nature.",Ender has been gone for years with no contact. Valentine hasn't seen him since she was eight. His family moved states without expecting to see him again. The separation is so complete that Valentine lights fires on his birthday as symbolic communication.,"The chapter is set entirely on Earth with recognizable American suburban life, schools, political nets, and geopolitics. Peter and Valentine's political scheming uses Earth's existing cultural and political frameworks.",All communication is in standard English. Peter and Valentine write political columns in formal English. No space-specific language appears in this Earth-focused chapter.,"Space as a physical environment is not depicted in this chapter. The setting is entirely Earth-based: North Carolina woods, schools, and the political nets.","Battle School is referenced as housing rare elite children. Graff describes the enormous expense of traveling to the station, suggesting a very small population there.","The I.F. operates as a unified authority: Hegemon, Strategos, Polemarch. Peter analyzes how this single authority structure will fracture after the war, with the Warsaw Pact preparing to fill the power vacuum.","The chapter is dominated by Peter and Valentine's political scheming as Locke and Demosthenes. They write political columns, debate geopolitics, and manipulate public opinion on the nets. Even the Ender subplot involves political manipulation.","This Earth-focused chapter shows civilian life with military influence. I.F. Marines appear at Valentine's school, Graff visits in uniform, but the main action is civilian political commentary and family dynamics.","Space is barely depicted physically in this chapter. The focus is entirely on Earth-based political maneuvering, making domain analogy assessment not applicable.",Space as a physical environment is not experienced in this chapter. The setting is entirely on Earth.
US,Human Split_Enders Game,Chapter 10 - DRAGON,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Basically Earth society in space,"Mostly same, with dialect/slang differences",Manageable but risky,Uncommon (small specialist population),Single unified authority,Military / war,Entirely military / war-focused,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Graff and Anderson discuss rigged games to develop Ender as the commander to save humanity. The entire chapter is preparation for existential war, with Graff saying their lives depend on Ender doing well.",Battle School remains a military training station. Ender is given command of Dragon Army within this temporary facility. Anderson changes rules to restrict his practice access.,"Ender is now nine and a half, having been at Battle School for years. His separation from Earth and family is so complete that he says farewell to Alai knowing the wall between them may never be breached.","The children bring Earth social dynamics: competitive hierarchies, schoolyard rebelliousness, recognizable authority structures. Bean's cockiness and the soldiers' resentment mirror familiar childhood patterns.",Standard English with Battle School slang continues. Ender uses 'neh' in dialogue with Alai. The older boys' pidgin persists as a social marker.,"The battleroom is physically demanding but survivable. Boys must master complex zero-gravity maneuvers including spinning, jackknifing, and rebounding. The environment is risky but designed for training, not lethality.",Dragon Army is assembled from a small pool of elite children. Ender notes that nobody gets to Battle School without being brilliant. The population remains a tiny specialist group.,"Graff and Anderson control everything: army assignments, practice schedules, trade restrictions. The I.F. is a single unified authority that manipulates every aspect of the children's lives.","Ender takes command of Dragon Army, trains them in zero-gravity combat tactics, introduces the legs-frozen kneeling attack position, and deals with Bean's challenge to his authority. Pure military training and leadership.","Every scene is military: army formation, battleroom drills, tactical innovation, commander authority. Anderson restricts Ender's practice sessions. Even the game room encounter with Alai is framed by their new status as opposing commanders.","Ender is described as a commander with toon leaders, running an army. Graff talks of admirals and generals. The organizational structure is explicitly naval with fleet hierarchy terminology.","Zero-gravity combat dominates: boys launch from walls, spin to avoid beams, jackknife with frozen legs, and rebound off surfaces. Ender teaches that gravity orientation must be abandoned entirely. The physical environment is fundamentally alien."
