country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
China,Human Split_Three Body Problem,Chapter 1,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,Set during the Cultural Revolution. Ye Zhetai is killed at a struggle session at Tsinghua University. His daughter Ye Wenjie witnesses the event. Entirely Earth-based with no space content.,No space habitation depicted. Story takes place at a Chinese university during the Cultural Revolution.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,A harrowing drama depicting Ye Zhetai's persecution and death at a Red Guard struggle session during the Cultural Revolution. His daughter Ye Wenjie witnesses the event that shapes her worldview.,No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 2,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"Ye Wenjie is in the Inner Mongolia Construction Corps. She reads Silent Spring, is betrayed by Bai Mulin, and is recruited to Red Coast Base on Radar Peak. Entirely Earth-based.",No space habitation depicted. Story takes place in forests and a military base on Earth.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A drama depicting Ye Wenjie's time in the Construction Corps logging forests, her encounter with Silent Spring, betrayal by Bai Mulin who uses her words against her, and her recruitment to the mysterious Red Coast Base.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 3,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"Ye Wenjie arrives at Red Coast Base, a military facility with a giant antenna on Radar Peak. The base transmits radio signals into space, but the chapter focuses on her arrival and adjustment. No space contestation.",Red Coast Base is an Earth-based SETI/transmission facility. No space habitation depicted.,No space journey depicted. Radio transmissions are sent into space but no one travels.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Ye Wenjie is taken by helicopter to the secretive Red Coast Base on Radar Peak. She encounters the massive radio antenna and begins working at this military installation that transmits signals into space.,The base is military but focused on Earth-based operations. No space domain activity.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 4,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Set 40+ years later. Wang Miao is a nanotech researcher who meets Shi Qiang at Battle Command Center. Scientists are committing suicide worldwide. International military cooperation against an unknown threat, but no space contestation depicted.",No space habitation depicted. All action is on Earth.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A mysterious thriller in which Wang Miao is drawn into a global crisis: prominent scientists are committing suicide, an international military coalition has formed at a secret Battle Command Center, and an unknown threat looms. The mood is tense and conspiratorial.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 5,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Particle accelerator results become inconsistent, suggesting physics laws are not invariant across time and space. Yang Dong commits suicide. Earth-based scientific crisis with no space contestation.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"The crisis deepens as particle accelerator results become inexplicably inconsistent, implying the fundamental laws of physics are breaking down. Yang Dong's suicide note reveals existential despair about the nature of reality.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 6,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,A mysterious countdown appears on Wang Miao's photographs and in his vision. Shen Yufei tells him the universe will flicker. The countdown stops when he halts his nanotech research. No space contestation.,No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A supernatural-feeling thriller in which a ghostly countdown appears in Wang Miao's photographs and vision. He is told the universe itself will flicker. The countdown only stops when he ceases his nanotech research, suggesting an unseen force targeting science.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 7,Other / Unsure,Other / Unsure,Other / Unsure,Radically different / alien social order,Other / Unsure,Extremely hostile (constant survival pressure),Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,"First Three Body game session depicting a virtual world with chaotic suns, dehydration/rehydration cycles, and Stable/Chaotic Eras. Set on an alien planet (Trisolaris) but within a VR game on Earth. No real space contestation.","The game depicts life on an alien planet, but this is a virtual reality simulation played on Earth, not actual space habitation.",No space journey depicted. The game world is a separate planet but experienced through VR.,"The game depicts Trisolaran civilization with dehydration/rehydration cycles, Stable and Chaotic Eras, and a completely alien social order governed by astronomical chaos. Though in a game, it represents real Trisolaran society.",No space language barriers depicted. The game uses a historical Chinese cultural overlay.,"The game depicts Trisolaris as extremely hostile: unpredictable chaotic suns, deadly temperature extremes, and civilizations repeatedly destroyed. Civilization 137 is wiped out by extreme cold.",No space habitation depicted. The game world is a planetary surface.,No space political order depicted. Political order is planetary.,"Wang Miao's first session in the Three Body VR game, exploring a mysterious virtual world governed by chaotic sun patterns. He encounters dehydration/rehydration mechanics and watches Civilization 137 destroyed by extreme cold.",No space domain activity depicted.,No space domain to draw an analogy for.,"The game depicts an alien planetary surface, not a space environment."
China,Human Split_Three Body Problem,Chapter 8,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"Wang Miao visits Yang Dong's mother, Ye Wenjie, at her home near a radio astronomy observatory. Earth-based with no space contestation.",No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"A quiet, atmospheric chapter in which Wang Miao visits the elderly Ye Wenjie and begins to learn about her past connection to radio astronomy and the Red Coast project.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
China,Human Split_Three Body Problem,Chapter 9,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"The cosmic microwave background fluctuates, encoding a countdown in Morse code, confirmed by 3 satellites and a ground observatory. This demonstrates an extraterrestrial power manipulating fundamental physics, but no space contestation between parties.",No space habitation depicted. The cosmic events are observed from Earth.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted from a habitation perspective.,No space habitation depicted.,No space political order depicted.,"The universe itself flickering is terrifying: the cosmic microwave background encodes a countdown visible to multiple instruments. This confirms a vast, incomprehensible power is behind the scientists' persecution. Wang Miao is deeply shaken.",No space domain depicted in civilian or military terms.,No space domain to draw an analogy for.,No space physical environment experienced by characters.
China,Human Split_Three Body Problem,Chapter 10,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,Shi Qiang reveals a coordinated global conspiracy against science. Military forces worldwide are on high alert. Earth-based chapter with no space contestation.,No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"Da Shi reveals the extent of the global conspiracy against science: coordinated attacks on researchers, international military mobilization, and an enemy that operates through seemingly supernatural means.",No space domain depicted.,No space domain to draw an analogy for.,No space physical environment depicted.
