country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,Solaris,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter contains only the title page, author credit (Stanislaw Lem, 1961), translator credit, and table of contents. No narrative content.",No narrative content. Purely bibliographic.,No narrative content depicting any journey.,No narrative content depicting any society.,No narrative content depicting language dynamics.,No narrative content depicting any environment.,No narrative content depicting space habitation.,No narrative content depicting political order.,"The front matter is bibliographic material, not a narrative chapter.",No narrative content depicting any domain.,No narrative content depicting any domain characterization.,No narrative content depicting any environment.
Russia,Solaris,Chapter 1,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No rivalry between powers over space. Kelvin descends from the Prometheus to Station Solaris, a civilian research outpost. The only tension is interpersonal — Snow's inexplicable terror at Kelvin's arrival and the mystery of Gibarian's death.","Station Solaris is a research outpost hovering above the ocean. Kelvin arrives from the Prometheus for a temporary research assignment. The station is explicitly a small scientific facility, not a settlement.","Kelvin has traveled many months from Earth aboard the Prometheus. The ship orbits in the region of Alpha in Aquarius, an interstellar location. Kelvin thinks longingly of the Prometheus and 'an existence which suddenly seemed a happy one, now gone forever.'","The station crew are Earth scientists maintaining Earth cultural norms. Snow offers Kelvin a bath, they eat together. The station has Earth furnishings, books, and equipment. Minor adaptations include pneumatic spacesuits and artificial day-night cycles.",All dialogue is in Earth languages. Kelvin and Snow communicate normally. The ocean does not communicate linguistically at all — its automated reception drill speaks standard language.,"The planet's atmosphere is poisonous — ventilation shafts must suck in infiltrated gases. The station requires constant life support. However, the ocean is not directly lethal to the station, and inside conditions are manageable if uncomfortable.","Only three people now inhabit the station: Snow, Sartorius, and Kelvin. Snow says 'except for me there's no one around.' Gibarian has just died, reducing the crew further.",The station operates under a unified institutional authority. Moddard on the Prometheus follows standard protocols. The Station is an official research facility with designated crew — no competing polities or factions in space.,Overwhelming dread pervades the chapter. Snow is terrified and bloodstained. Gibarian is dead under mysterious circumstances. Snow warns Kelvin to expect to meet 'anything' and cryptically says 'Don't attack.' The station is in disorder and eerily deserted.,"The station is a civilian scientific facility. Kelvin is a psychologist, Snow a cybernetician, Gibarian was a scientist. There is no military presence, equipment, or hierarchy.","The setting — a research station hovering above a sentient ocean on an alien planet orbiting two suns — has no Earth analogue. The ocean is a single living organism covering the planet, defying all human categories.","Solaris orbits two suns (red and blue), creating alternating colored days. The planet's surface is an ocean-sized living organism. The atmosphere is poisonous. The ocean manipulates its own orbit through means that defy known physics."
Russia,Solaris,Chapter 2,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),No space power rivalry. The chapter is exposition about the history of Solaris's discovery and scientific debates about the ocean's nature. The only 'contest' is intellectual — biologists vs. physicists debating whether the ocean is alive.,"Historical expeditions described are temporary missions: Ottenskjold's flyover, Shannahan's eighteen-month expedition with ships and a base camp. The current station is a small research outpost.",The planet was discovered about 100 years before Kelvin's birth. Shannahan's expedition departed from Alpha in Aquarius — interstellar distances requiring long voyages. Separation from Earth is complete.,"Kelvin reads familiar academic texts, uses familiar instruments, showers with Earth-style plumbing. The cabin contains books, a microscope, laboratory equipment. Culture is scientific-institutional Earth culture transplanted to the station.",All texts are in Earth languages. The scientific literature (Hughes and Eugel's Historia Solaris) is published in standard academic format. No alien or space-specific language exists.,The atmosphere corrodes equipment — oxygen valves must be replaced daily during Shannahan's expedition. Temperature extremes require air conditioning. The station shelters behind heat shutters during the blue sun's rise. Someone tried the door handle ominously.,Kelvin is alone in his cabin. The station has only three living inhabitants. Historical expeditions involved small teams. Space presence at Solaris has always been minimal.,The text references 'the Institute' as the central authority funding and directing Solaris research. Satellites and expeditions are organized through this unified institutional framework.,"The chapter is primarily scientific exposition — Kelvin reads the history of Solaris research — interspersed with atmospheric tension. He senses being watched, barricades his door, and explores Gibarian's ransacked room. The tone is contemplative and uneasy rather than action-driven.","All activities are scientific and academic. The historical expeditions described are research missions. No military presence, equipment, or language is mentioned.","The ocean is described as fundamentally unlike anything on Earth — a single organism weighing seven hundred billion tons, classified as 'Polythera, Syncytialia, Metamorph.' Its ability to manipulate gravitational fields and time defies all known physics.",The ocean exploits Einstein-Boëvia theory to control orbital periodicity. It creates discrepancies in time measurement. The binary star system creates extreme alternating light and heat cycles. The atmosphere is toxic and corrosive.
Russia,Solaris,Chapter 3,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. The chapter focuses on the mystery of Gibarian's death, the terrifying appearance of the giant Negress visitor, and Snow's partial explanations. No political or military contestation in space.",The station remains a small research outpost. The crew discusses their isolation and considers calling the Prometheus for help.,"The extreme isolation is evident: Kelvin cannot easily leave, rescue is distant. Snow says 'We're not on Earth, you know' — emphasizing the vast separation.","The crew eat from tins and vacuum flasks, discuss events in familiar human terms. The cultural framework is entirely Earth-derived with only station-life adaptations.",All communication is in Earth languages. The visitors do not speak. The Negress enters and exits silently.,The station's environment becomes psychologically hostile. The air-conditioning strains. The bare-footed visitor shuffles through the corridors. Gibarian killed himself. Snow has bloodstained hands. The robots have all been locked away for unknown reasons.,"Only three humans on the station. Snow says 'There used to be three of us here. Now, with you, there are three of us again.' Gibarian is dead.",The station operates under an institutional framework with formal post-mortem reports. Snow drafts an official cause of death. No competing authorities in space.,"The chapter is dominated by horror: the silent, enormous Negress passes Kelvin in the dark corridor; Snow's bloodstained hands and terrified evasions; Gibarian's suicide by lethal injection; the sound of bare feet padding through the station. Snow's cryptic warning: 'Don't attack.'","All personnel are civilian scientists. Snow is a cybernetician, Gibarian was a researcher. No military presence or framework.",The visitors — materializations from crew members' memories — represent a phenomenon utterly without Earth analogue. The domain is defined by the ocean's incomprehensible intelligence.,The living ocean creates physical beings from human memories. The station exists in an environment of alternating red and blue suns. The atmosphere is toxic. The planet's physics allow gravity manipulation by a conscious ocean.
Russia,Solaris,Chapter 4,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. Kelvin searches for books, confronts Sartorius through his locked laboratory door, finds Gibarian's body and the living Negress in the cold store, and performs a mathematical sanity test.",The station remains a temporary research outpost. Kelvin's desperate sanity experiment confirms the reality of the station and the satellite in orbit.,Kelvin's sanity experiment uses the orbiting satellite to perform calculations that would take months by hand — emphasizing the technological isolation. The journey is clearly interstellar.,"Kelvin uses familiar scientific instruments, performs galactic calculations, and consults standard textbooks. The cultural framework is Earth scientific culture.",All communication is in Earth languages. Sartorius speaks normally through the door. The satellite responds to standard codes.,The station is psychologically hostile: Sartorius is barricaded in his lab with something that makes child-like footsteps. Gibarian's body lies in the freezing cold store alongside the living Negress. The heat from the blue sun is overpowering.,Three humans on the station. Sartorius is locked in his lab. Kelvin moves through empty corridors alone.,The station and satellite operate within a unified institutional framework. The satellite's automatic systems respond to Kelvin's queries. No competing space authorities.,"The chapter builds sustained dread: Sartorius's lab rattles as something inside batters the door; a child's laugh echoes; Kelvin finds the Negress alive beside Gibarian's corpse in the freezer, her warm living foot withdrawing from his touch. Kelvin questions his own sanity.",All activities are scientific. Kelvin's sanity experiment uses astronomical calculations. Sartorius works in a laboratory. No military elements.,"The phenomena — visitors appearing from crew members' subconscious, a living being beside a corpse in the freezer — have no Earth analogue. The domain is defined by the ocean's alien intelligence.",The living ocean creates physical beings that survive freezing temperatures without harm. The binary star system creates extreme light and temperature variations. Objects found in the station are deformed by unknown forces beyond any furnace's capability.
Russia,Solaris,Chapter 5,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. The chapter centers on Kelvin waking to find Rheya — his dead wife — materialized in his cabin, his horror at realizing she is a Phi-creature, and his desperate launch of her into orbit.","The station remains a temporary outpost. Kelvin launches a shuttle into orbit to dispose of Rheya, demonstrating the facility's basic space capabilities.",Kelvin finds his apartment key and is reminded of Earth's enormous distance. The shuttle he launches enters a stationary orbit at 725 miles — space operations occur but Earth is unreachably far.,"Rheya appears as a normal Earth woman in a white beach dress. Kelvin's emotional responses and cultural references are entirely Earth-derived. The cabin contains medicine, books, and an Earth-style bathroom.",Kelvin and Rheya speak the same Earth language as they always did. She calls him 'Kris' and uses familiar endearments.,The environment is psychologically devastating: Kelvin is trapped with a materialization of his dead wife who cannot be separated from him and possesses superhuman strength. The sleeping pills have no effect on her. Her screams from the shuttle are 'no longer even remotely human.',"Only three humans on the station, each grappling with their own visitors in isolation.",The station's launch facilities and orbital mechanics operate within a unified framework. No competing polities in space.,"Sustained horror: Kelvin's dead wife materializes, cannot remove her seamless dress, possesses superhuman strength, cannot be drugged or separated from him. The shuttle launch produces an inhuman voice screaming his name. Kelvin's terror is overwhelming.","All activities are civilian: Kelvin uses a gas pistol meant for space maneuvering, not a weapon. The shuttle is a supply ferry. No military presence.",The ocean creates physical manifestations from human memories — a phenomenon utterly without precedent. The 'visitors' are neutrino-based constructs that defy known physics.,"Rheya's dress has no fastenings — it is a materialization, not a manufactured object. She possesses superhuman strength. Sleeping pills have no effect. The ocean created a physically perfect but structurally alien being from Kelvin's memories."
Russia,Solaris,Chapter 6,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. The chapter is Snow's philosophical discussion about the visitors, the Berton report from The Little Apocrypha, and Rheya's return. The conflict is existential, not political.",The station remains a research outpost. Historical references describe Shannahan's temporary expedition. Snow and Kelvin discuss potentially abandoning the station.,Snow mentions being shut up in a mental home on Earth as preferable — emphasizing the enormous distance home. Communication with Earth would take months. The separation feels total.,"Snow philosophizes using Earth cultural references — Romeo and Juliet, Luther's ink-bottle. The crew's psychological framework is entirely Earth-derived.",All communication is in Earth languages. Berton's testimony and Messenger's letter are in standard Earth language. No alien communication exists.,Snow describes the visitors as indestructible manifestations from their psychic 'tumors.' Gibarian killed himself rather than endure. Berton's report describes the ocean recreating forms from Fechner's brain after absorbing him. The environment is psychologically devastating.,Only three humans on station. Snow discusses the possibility of retreat to the satellite or Earth.,Berton's testimony was heard by an official expedition council. Dr. Messenger's dissenting vote was formally registered. The institutional framework is unified.,The chapter centers on Snow's philosophical speech about humanity's failure to confront the truly alien — 'We are only seeking Man. We have no need of other worlds. We need mirrors.' Berton's report adds mystery but the dominant tone is philosophical and emotional.,"All personnel are civilian scientists. Berton was a reserve pilot on a scientific expedition. The inquiry was academic, not military.",Snow's central argument: humanity cannot conquer the cosmos because it only wants to 'extend the boundaries of Earth.' Solaris represents something truly alien that defies all Earth analogies.,"Berton describes the ocean creating a garden, a building wall, and a gigantic child from its own substance — forms derived from Fechner's memories. The ocean performs 'psychic dissection' and 'experimental reconstruction' of human consciousness."
Russia,Solaris,Chapter 7,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. The chapter centers on Kelvin's relationship with the returned Rheya, his blood analysis discovering her neutrino structure, and the three-way videophone conference about the Phi-creatures' nature.",The station remains a temporary research outpost. The three scientists conduct their conference via videophone from separate locations within the station.,"The extreme isolation is implicit: the three scientists must solve the visitor problem alone, with no prospect of outside help. Earth is unreachably distant.","Kelvin and Rheya eat from tins and refrigerators, use Earth medicine and instruments. The conference is conducted in familiar academic style. Sartorius calls it a 'conference' with formal procedures.",All dialogue and scientific discussion are in Earth languages. The term 'Phi-creatures' is coined by Snow in standard language.,"Rheya's hands are cut to the bone breaking through a door panel to reach Kelvin, then regenerate before his eyes. Her blood appears normal but below atomic level is nothing — a neutrino void. Acid-destroyed blood re-creates itself. The environment challenges all known science.","Three humans on station, each with their own visitor. Snow introduces himself to Rheya — they are an impossibly small, isolated group.",The three scientists discuss within a unified institutional framework. Sartorius chairs the conference. They share a common mission.,"The chapter balances Kelvin's growing emotional bond with Rheya against scientific investigation. The door-breaking scene is horrific, but the dominant mode is drama: the conference's intellectual exchanges, Kelvin's conflicted feelings, and the deepening mystery of the visitors' nature.","All three are civilian scientists. The conference discusses physics (neutrino structures), not military matters. No military presence or language.",The Phi-creatures — neutrino-based beings with sub-atomic structure smaller than anything known to physics — represent a phenomenon wholly unique. Kelvin says 'the frontiers have been pushed back' beyond human understanding.,"The visitors are made of neutrino-scale particles, not atoms. Rheya's blood regenerates after acid destruction. Her wounds heal in seconds. The ocean produces beings with 'a sub-atomic structure' that camouflages cells and molecules indistinguishable from human ones."
Russia,Solaris,Chapter 8,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"No space power rivalry. The chapter is an extended exposition of ocean formations (extensors, mimoids, symmetriads, asymmetriads) and a discussion of two proposed scientific plans.",Station Solaris remains a tiny research outpost with three crew members orbiting the planet.,"The chapter references the long history of Solaris research spanning over a century, implying sustained long-distance travel from Earth.","The scientists operate with Earth scientific frameworks, publishing in Earth journals and following Earth academic conventions. Giese's explorations used Earth-designed protective gear.","All scientific literature, discussion, and terminology are in Earth languages. The ocean does not communicate linguistically.","The chapter catalogs the ocean's lethal formations: asymmetriads explode violently (killing Giese in the Eruption of the Hundred and Six), symmetriads can trap and kill explorers, and extensors are canyon-sized phenomena. Snow also warns that the neutrino disruptor could explode the station.",Only three crew on the station. The chapter references historical expeditions but current presence is minimal.,The Institute of Planetology and unified Solarist academic community govern all research. No competing political authorities.,"The chapter is dominated by extensive exposition of ocean formations from Giese's historical explorations, followed by a dramatic debate between the three scientists about whether to use the neutrino disruptor or the encephalogram experiment. Intellectual tension rather than physical danger.",All activity is scientific research. No military presence whatsoever.,"The ocean's formations — extensors, mimoids, symmetriads, asymmetriads — defy all Earth analogies. The ocean is a single sentient organism covering an entire planet, unlike any terrestrial domain.",Symmetriads are temporary mathematical architectures miles across that rise from the ocean and dissolve. Asymmetriads erupt explosively. Mimoids replicate objects placed near them. The environment is fundamentally unlike anything on Earth.
Russia,Solaris,Chapter 9,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Mostly Earth-like with minor adaptations,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Entirely civilian,Totally unique domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),No space power rivalry. The chapter focuses on Rheya's suicide attempt and her discovery that she is not human.,Station Solaris remains a small research outpost.,The separation from Earth is felt in the isolation and impossibility of getting help or leaving easily.,"Kelvin and Rheya's relationship dynamics, emotional responses, and cultural references are entirely Earth-derived.",All dialogue is in Earth languages. Rheya speaks as Kelvin's memories shaped her.,"Rheya drinks liquid oxygen and dies horribly, then regenerates — demonstrating the psychological and physical harshness of the environment. The visitors are an inescapable torment created by the ocean.",Three crew members plus their visitors. No other human presence.,The unified institutional framework of Solarist research continues to govern the station.,"Rheya drinks liquid oxygen in a horrific suicide scene — her body convulses, freezes, and then regenerates before Kelvin's eyes. She then listens to Gibarian's tape and realizes she is not human. The chapter is dominated by body horror and psychological terror.",Purely scientific and personal drama. No military element.,The ocean creates living beings from human memories that cannot die. This phenomenon has no terrestrial analogy.,"Rheya's body is made of neutrino structures that regenerate from any damage, including drinking liquid oxygen. The ocean creates and maintains these constructs remotely. Physics operates on fundamentally alien principles."
