country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,Prisoners of Power,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter contains the title page, table of contents, and copyright information. No narrative content or space portrayal.",No narrative content. The front matter is purely bibliographic.,No narrative content depicting any journey.,No narrative content depicting any society.,No narrative content depicting language dynamics.,No narrative content depicting any environment.,No narrative content depicting space habitation.,No narrative content depicting political order.,"The front matter is bibliographic material, not a narrative chapter with a genre.",No narrative content depicting any domain.,No narrative content depicting any domain characterization.,No narrative content depicting any environment.
Russia,Prisoners of Power,INTRODUCTION,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Theodore Sturgeon's introduction is a critical essay about the novel's literary merits. No narrative depicting space contestation.,"The introduction is literary criticism, not narrative content depicting space territory.",No narrative journey is depicted in this critical essay.,No narrative society is depicted. Sturgeon discusses the novel's themes abstractly.,No narrative language dynamics are depicted in this essay.,No narrative environment is depicted.,No narrative space habitation is discussed.,No narrative political order is shown.,"This is a critical essay, not a narrative chapter with a genre.",No narrative domain is depicted.,No narrative domain characterization is present.,No narrative environment is depicted.
Russia,Prisoners of Power,Chapter 1,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Maxim arrives alone on an alien planet after a crash-landing. There is no competition between space powers for this world; he is a solitary visitor.,"Maxim is the sole representative of Earth civilization, stranded after his ship is destroyed by a mysterious attack. His presence is involuntary and temporary.","Maxim's spaceship is destroyed shortly after landing, leaving him completely cut off from Earth with no means of return. The alien planet feels irreversibly separated from his home world.",Maxim encounters only a radioactive wilderness and two fugitives at a campfire. The broader alien society is not yet revealed in this chapter.,"Maxim cannot communicate with the natives at all. He and Zef share no common language, relying on gestures and drawings. The alien language is completely distinct from any Earth tongue.","The planet features a radioactive river, polluted environment, gnarled trees, and driverless military robot-tanks roaming abandoned roads. Survival requires constant vigilance.","Maxim is the only Earthling on the planet. He crash-landed alone and his ship was destroyed, making him the sole space traveler in this world.",The chapter shows only wilderness and two fugitives. The planet's political structures are not yet revealed.,"Maxim explores an alien world after crash-landing: wading through a radioactive river, encountering an abandoned road with robot-tanks, and making first contact with native inhabitants around a campfire.","Maxim is a civilian explorer from Earth. The natives he meets, Zef and his companion, are fugitives. No military operations occur.","Maxim is a lone explorer crash-landed on an unknown alien world, navigating dangerous terrain and making first contact with indigenous people, echoing frontier exploration narratives.","The planet has radioactive waterways, a dense phosphorescent atmosphere that obscures the sky, autonomous military robots roaming decades after a war, and pervasive contamination. The environment constantly challenges human survival."
Russia,Prisoners of Power,Chapter 2,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Thriller / Horror / Survival,Mostly military,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"No competition between space powers occurs. Maxim is brought to a Legion outpost as a curiosity, not as part of any space rivalry.","Maxim remains the sole space visitor, now at a military outpost. He draws pictures of his solar system and ship to communicate but is treated as a local anomaly.","Maxim's drawings of his solar system and spaceship are incomprehensible to the natives. The dense atmosphere prevents seeing stars, so no one even believes in outer space.",The chapter reveals the 'ecstasy' episode: mass mind-control causing frenzied singing and loyalty displays. Guy beats Zef during the episode. This totalitarian mind-control society is radically unlike Earth.,"Maxim is called 'Mac Sim' because the natives parse his name differently. He can barely communicate, drawing pictures instead of speaking. The alien language is entirely distinct.",The environment is polluted and radioactive. The Legion outpost is a militarized border zone in a post-nuclear landscape.,"Maxim is the sole Earthling, examined as a medical curiosity by Dr. Zogu and Captain Tolot at the outpost.",The chapter shows only the Legion operating under the All-Powerful Creators. Other nations are not yet mentioned.,"The mind-control ecstasy episode dominates: soldiers suddenly begin singing hymns in frenzied devotion, Guy violently beats Zef, and Maxim witnesses mass psychosis. The horror of involuntary mind-control pervades.","The chapter is set at a Legion military outpost. Captain Tolot commands, legionnaires undergo ecstasy formations, and Maxim is processed as a military matter.","Maxim navigates an alien military society as a complete outsider, unable to communicate, being processed and directed by authorities who don't understand his origins.","The mind-control radiation episodes, the dense atmosphere hiding the sky, and the post-nuclear militarized landscape make this world fundamentally challenging for human experience."
Russia,Prisoners of Power,Chapter 3,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),No space contestation occurs. Maxim is confined in a research facility being studied as a curiosity.,"Maxim is the sole space visitor, now confined and studied. His mentograms of Earth are broadcast as entertainment, but no one understands their significance.","Maxim's mental images of Earth are shown on television as 'Magic Journey' entertainment. The natives cannot comprehend that these depict a real, distant world.",Maxim is confined and exploited for entertainment via mentoscope technology. His mental images of Earth are broadcast as fiction. The society treats him as a specimen.,Fishface/Nolu teaches Maxim basic language skills. The alien language must be learned from scratch; it shares nothing with Earth languages.,The city is polluted and suffocating. Maxim is confined in a facility with mentoscope equipment probing his mind.,"Maxim remains the only Earthling, studied by Professor Megu as a unique specimen.","Only the Creators' state apparatus is shown: the research facility, the TV broadcast system, all under centralized control.",Maxim realizes his treatment is not genuine communication but entertainment exploitation. His frustration at being a captive spectacle and his inability to convey his true nature drive the chapter's emotional core.,The chapter takes place in a civilian research facility. Professor Megu and Fishface are civilian researchers.,"Maxim is treated as an exotic specimen by a civilization that cannot comprehend his origins, paralleling colonial encounters where indigenous people were put on display.","The city environment is recognizably urban but polluted and suffocating, with alien technology like mentoscopes. Regular adaptation to the air quality and social norms is needed."
Russia,Prisoners of Power,Chapter 4,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),No space contestation occurs. Maxim escapes his confinement and explores the alien city independently.,Maxim remains a sole visitor exploring the alien urban environment on foot.,The space journey is not referenced in this chapter. Maxim is focused entirely on navigating the alien city.,"Maxim encounters hostile strangers, demanding payment systems he doesn't understand, and an oppressive urban atmosphere. The social order is alien to him.",Maxim now speaks basic phrases but struggles to communicate fully. The language barrier remains significant.,The city is polluted and dangerous. A man threatens Maxim with a knife-cane; an old woman demands payment. The urban environment is hostile to an outsider.,"Maxim is the sole Earthling, navigating the alien city alone.",The city operates under the Creators' authority. Other political entities are not discussed.,"Maxim escapes confinement and explores the alien city on his own, encountering cafes, hostile strangers, and meeting Rada. The chapter is driven by exploration and discovery.",The chapter is set entirely in the civilian city. No military presence is shown.,"Maxim explores an alien urban environment as a complete outsider, unable to fully understand customs, currency, or social norms.","The city is recognizably urban but with alien customs, aggressive strangers, and unfamiliar social dynamics. Maxim must constantly adapt."
Russia,Prisoners of Power,Chapter 5,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Single unified authority,Drama,Mostly military,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),No space contestation occurs. The chapter focuses on Guy's decision to recommend Maxim for Legion service.,Maxim's status as a lone outsider continues. Guy considers recommending him for the Legion.,The space journey is not discussed. The chapter is focused on Legion recruitment procedures.,"The Legion recruitment system, with its mind-control testing and blood loyalty rituals, represents a radically different social order.",Maxim speaks the alien language imperfectly. Guy must advocate for him to the Legion captain despite communication gaps.,The militarized society with its mind-control infrastructure makes daily life harsh and controlled.,"Maxim remains the sole Earthling, being processed into the alien military system.",The Legion operates under the All-Powerful Creators. No other political entities are discussed in this chapter.,Guy is torn between recommending Maxim and flagging concerns about his unknown background. The chapter centers on Guy's moral dilemma and his loyalty to both Maxim and the Legion.,The chapter revolves around Legion recruitment procedures. Captain Chachu and Guy discuss Maxim's candidacy in military terms.,"Maxim, a stranger from an unknown land, is being assimilated into the alien military structure, paralleling how frontier outsiders were absorbed into colonial institutions.","The military recruitment system with its mind-control testing is different from Earth norms, requiring constant adaptation by Maxim."
Russia,Prisoners of Power,Chapter 6,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),No space power rivalry occurs. The chapter is an exposition of the planet's geopolitical landscape through Guy's perspective as he returns to the capital.,Maxim remains the sole space visitor. The chapter focuses on Guy navigating the city and encountering Rada's involvement with the underground.,The space journey is not referenced. The chapter is focused on planetary politics and Guy's personal struggles.,"The chapter reveals the full scope of the totalitarian mind-control society: twice-daily ecstasy broadcasts, persecution of degens, propaganda against mutants, and the existence of multiple hostile nations including Khonti and the Island Empire.",Maxim now speaks the alien language fluently but it remains entirely distinct from Earth languages. The chapter is narrated from Guy's perspective in the native tongue.,"The urban environment shows post-nuclear decay: polluted air, militarized streets, propaganda broadcasts, and the constant threat of mind-control radiation.",Maxim remains the sole known Earthling on the planet.,"The chapter reveals multiple nations on Saraksh: the Creators' state, Khonti (divided into League and Union factions), the Island Empire conducting submarine warfare, Pandeya, and the Ondol Principality.","The chapter is an exposition of the planet's complex political landscape: multiple warring nations, the underground resistance, Guy's growing disillusionment with the Legion, and Rada's secret degen status.",Guy transitions between military duty and civilian life. The chapter shows both Legion operations and civilian underground resistance activities.,"Maxim navigates an alien political landscape as an outsider, while Guy serves in frontier military operations against hostile neighbors.","Mind-control radiation towers, post-nuclear contamination, hostile neighboring states, and pervasive surveillance make the environment fundamentally challenging."
Russia,Prisoners of Power,Chapter 7,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Thriller / Horror / Survival,Mostly military,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),No space power rivalry. Maxim investigates the mind-control towers and witnesses a degen persecution raid.,"Maxim remains a lone visitor, now actively investigating the planet's oppressive systems.",The space journey is not referenced in this chapter.,The chapter depicts mass mind-control ecstasy episodes and violent persecution of degens who are immune to the towers' radiation. Citizens are turned into frenzied mobs.,"All communication occurs in the alien language, which Maxim has learned. It remains wholly distinct from Earth languages.","The mind-control radiation creates twice-daily episodes of mass psychosis, and degens suffer excruciating pain. The environment is pervasively hostile.",Maxim is the sole Earthling on the planet.,The broader political landscape with multiple nations remains established from the previous chapter.,"Maxim witnesses a degen raid: security forces hunt down people immune to mind-control, civilians turn into a violent mob during an ecstasy episode, and Maxim discovers the towers' true purpose. The atmosphere is one of horror and revelation.","The chapter centers on Legion operations, degen raids, and Maxim's military service. The mind-control system is enforced through military infrastructure.","Maxim, an outsider immune to the planet's control systems, investigates the oppressive infrastructure like a frontier explorer uncovering colonial atrocities.","The mind-control radiation physically affects all inhabitants, causing either ecstasy or agony. The towers represent technology fundamentally unlike anything on Earth."
Russia,Prisoners of Power,Chapter 8,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Drama,Mixed civilian-military domain,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),No space power rivalry. The chapter focuses on Maxim's moral crisis over the degen persecution he witnessed.,"Maxim remains a sole visitor, now morally conflicted about the society he has joined.",The space journey is not referenced.,"The chapter deepens the picture of the totalitarian society: Guy defends the degen persecution as necessary, revealing how deeply the mind-control has shaped citizens' moral reasoning.",Maxim and Guy debate in the alien language. The language remains distinct from any Earth tongue.,The militarized society with mind-control infrastructure and active persecution of minorities makes survival harsh for anyone outside the system.,Maxim remains the sole Earthling.,The political landscape with multiple nations remains as previously established.,"The chapter centers on the moral debate between Maxim and Guy about the treatment of degens. Maxim is horrified; Guy, shaped by mind-control, sees the persecution as justified. Their friendship is tested by irreconcilable worldviews.","Maxim and Guy discuss the degen question in both military and civilian contexts, bridging their Legion duties and personal moral convictions.","Maxim, an outsider with a fundamentally different ethical framework, confronts the moral norms of the alien society he has entered.",The mind-control system that shapes citizens' moral reasoning represents a fundamentally alien technological challenge to human autonomy.
