country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,One Billion Years to the End of the World (Definitely Maybe),front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"The front matter contains only the title page, table of contents, and author biography. No narrative content or space portrayal.",No narrative content. The front matter is purely bibliographic.,No narrative content depicting any journey.,No narrative content depicting any society.,No narrative content depicting language dynamics.,No narrative content depicting any environment.,No narrative content depicting space habitation.,No narrative content depicting political order.,"The front matter is bibliographic material, not a narrative chapter with a genre.",No narrative content depicting any domain.,No narrative content depicting any domain characterization.,No narrative content depicting any environment.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 1,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,The chapter is set entirely in Malianov's Leningrad apartment. No space or contestation over space is depicted. Malianov works on astrophysics at his desk.,"No space territory or habitation is portrayed. The chapter follows Malianov dealing with phone calls, a grocery delivery, and a visitor in his apartment.",No space journey is depicted. Malianov never leaves his apartment building.,No space society is depicted. The setting is contemporary Soviet Leningrad with everyday domestic life.,No space language dynamics are present. All dialogue is in Russian in a Leningrad apartment.,No space environment is depicted. The setting is a hot summer apartment in Leningrad.,No space habitation is discussed. The chapter is entirely terrestrial.,No space political order is shown.,"The chapter builds suspense through mysterious disruptions: relentless wrong-number phone calls, an unexplained grocery delivery, Weingarten's strange interest in Malianov's work, and the ominous arrival of Lidochka. An undercurrent of dread pervades.",No space-related activity occurs. Malianov works on theoretical astrophysics at his kitchen table.,No space domain is portrayed.,No space environment is depicted. The setting is a Leningrad apartment.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 2,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,The chapter is set in Malianov's apartment. No space or contestation over space is depicted.,No space territory is portrayed. The chapter follows drinking and socializing with Lidochka and Snegovoi.,No space journey is depicted.,No space society is depicted. The setting is a Soviet apartment with domestic socializing.,No space language dynamics are present. All dialogue is in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"Snegovoi arrives armed with a large pistol, interrogates Malianov about his work, asks about the unknown Gubar, and announces he is leaving. The scene is saturated with paranoia and menace beneath a veneer of social pleasantry.",No space-related activity occurs. Snegovoi is revealed as a military colonel but the context is entirely terrestrial.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 3,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,No space contestation is depicted. The chapter involves a police investigation into Snegovoi's death in Malianov's apartment building.,No space territory is portrayed. The chapter is a police interrogation in an apartment.,No space journey is depicted.,No space society is depicted. The setting is Soviet Leningrad with a CID investigator.,No space language dynamics. All dialogue in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"Snegovoi is found dead of a gunshot wound. Investigator Zykov conducts a surreal interrogation, accuses Malianov of murder, drinks his cognac, and behaves in bizarre fashion. Lidochka has vanished without a trace. The atmosphere is nightmarish.",No space-related activity occurs. The chapter is a criminal investigation.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 4,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,No space contestation is depicted. Malianov visits Vecherovsky upstairs to discuss the strange events.,No space territory is portrayed.,No space journey is depicted.,No space society is depicted. The setting is Vecherovsky's elegant apartment.,No space language dynamics. All dialogue in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,Malianov seeks counsel from the brilliant mathematician Vecherovsky after the traumatic events. The chapter centers on their intellectual friendship and Malianov's emotional distress over Snegovoi's death and the disruption of his work.,No space-related activity occurs. The chapter depicts civilian scientists discussing work and personal troubles.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 5,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation is depicted. The chapter reveals that a mysterious force is suppressing scientific research, but this occurs entirely on Earth with no space setting.",No space territory is portrayed. The red-haired visitor claims to represent an extraterrestrial civilization but appears in Weingarten's apartment on Earth.,No space journey is depicted. The alien visitor simply appears and vanishes inside an Earth apartment.,No space society is depicted. The chapter portrays Soviet scientists in a Leningrad kitchen.,No space language dynamics. The alien speaks Russian. All dialogue is in Russian.,No space environment is depicted. The setting is a kitchen.,No space habitation is discussed.,No space political order is shown.,"Weingarten reveals that a vanishing red-haired alien demanded he stop his research and named Malianov, Gubar, and Snegovoi as other targets. The scientists realize they are all being persecuted by an unknown force. Fear and paranoia escalate.",No space-related activity occurs. All characters are civilian scientists on Earth.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 6,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation is depicted. The chapter continues the group discussion about mysterious forces suppressing research, set entirely in Malianov's kitchen.","No space territory is portrayed. Gubar's story involves the Union of the Nine, a terrestrial secret society, not space habitation.",No space journey is depicted.,No space society is depicted. The chapter portrays Soviet scientists debating in a kitchen.,No space language dynamics. All dialogue is in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"Gubar reveals his nightmare: an invasion of former lovers, a woman delivering a mysterious child with warnings about the Union of the Nine. The scientists debate whether to report to authorities, realizing no one would believe them. Fear and helplessness dominate.",No space-related activity occurs. All characters are civilian scientists on Earth.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 7,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,No space contestation is depicted. Vecherovsky leads a philosophical discussion about the nature of the force opposing the scientists.,No space territory is portrayed.,No space journey is depicted.,No space society is depicted. The setting is Malianov's apartment with gathered scientists.,No space language dynamics. All dialogue in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"Vecherovsky dominates with a philosophical argument: first pretending to support the supercivilization hypothesis, then proving it leads to a dead end. He reveals Glukhov has already been crushed by the pressure. The chapter is an intellectual and moral drama about individual choice under impossible pressure.",No space-related activity occurs. The chapter is a philosophical discussion among civilian scientists.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 8,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation is depicted directly. Vecherovsky theorizes about the Homeostatic Universe opposing human progress, but this is philosophical speculation, not a depiction of space conflict.","No space territory is portrayed. The Homeostatic Universe theory is about cosmic laws, not habitable territory.",No space journey is depicted.,No space society is depicted. The chapter is set in Malianov's apartment.,No space language dynamics. All dialogue in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"Vecherovsky presents the Homeostatic Universe theory, arguing the universe itself prevents civilizations from transcending entropy. Malianov is devastated by the hopelessness. Then Irina arrives unexpectedly, summoned by a mysterious telegram. The emotional intensity is profound.",No space-related activity occurs. The chapter depicts civilian scientists and Malianov's wife.,No space domain is portrayed.,No space environment is depicted.
Russia,One Billion Years to the End of the World (Definitely Maybe),Chapter 9,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"No space contestation is depicted. The chapter shows escalating pressure on Malianov: a tree explodes overnight in his courtyard, a fake passport appears, and Weingarten capitulates.",No space territory is portrayed.,No space journey is depicted.,No space society is depicted. The setting is Soviet Leningrad apartments.,No space language dynamics. All dialogue in Russian.,No space environment is depicted.,No space habitation is discussed.,No space political order is shown.,"A massive tree has exploded into existence overnight in the courtyard. A stranger's passport replaces Irina's. Weingarten arrives in panic, delivering a terrified monologue about choosing survival over science. Gubar also capitulates. The pressure is relentless and terrifying.",No space-related activity occurs.,No space domain is portrayed.,No space environment is depicted.
