country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,The Martian Chronicles,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Front matter contains only a chronology of chapters, dedication, and copyright info with no narrative content depicting contestation.",No narrative content about territory or habitation; just a table of contents and epigraph.,No journey is depicted; the epigraph mentions space travel making 'children of us all' but no specific journey.,No society or culture is depicted in the front matter.,No language dynamics are depicted in the front matter.,No space environment is depicted in the front matter.,No habitation in space is depicted.,No political structure is depicted.,Front matter is not a narrative chapter; no genre applies.,No military or civilian domain is depicted.,No domain analogy is present in the front matter.,No physical environment is depicted in the front matter.
US,The Martian Chronicles,January 1999 - Rocket Summer,No contestation,Cannot inhabit or hold territory,Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Other / Unsure,Exceptionally rare (few astronauts/explorers),Other / Unsure,Adventure / exploration,Other / Unsure,Like the frontier / colonial expansion,Other / Unsure,"A rocket launches from Ohio; there is no conflict or competition, just the spectacle of departure.",The chapter only shows a rocket launching from Earth; no territory in space is occupied or claimed.,"The rocket is heading to Mars, an interplanetary trip, though the journey itself is not depicted.",The scene is set in a small Ohio town; the rocket departs from familiar American life.,The vignette is set entirely on Earth with no alien languages present.,The space environment is not depicted; only the rocket's heat transforming Ohio winter is shown.,This is the first expedition to Mars; space travel is novel and extraordinary.,No political structure in space is depicted in this brief Earth-based vignette.,The rocket launch evokes wonder and the beginning of a great adventure to Mars.,Whether the expedition is military or civilian is not specified in this brief vignette.,"The rocket sets out from a small American town toward an unknown world, evoking frontier departure.",No Mars or space environment is depicted; only Earth is shown.
US,The Martian Chronicles,February 1999 - Ylla,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Drama,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),"Mr. K kills the arriving Earth men out of jealousy and fear, representing a violent first contact between civilizations.",The first Earth expedition arrives but is killed immediately; no territory is held.,Nathaniel York travels from Earth to Mars; the journey is interplanetary but treated as a single trip.,"Martian society features crystal houses, telepathy, wine trees, and alien customs entirely unlike Earth.",Martians speak their own language; Ylla only knows Earth words through telepathic dreams.,"Mars is habitable for its native Martians with canals and settlements, but the Earth men are killed on arrival.",Only two Earth men (York and his companion) arrive on Mars in the first expedition.,Martian society is shown domestically but its broader political structure is unclear.,"The chapter is a psychological domestic drama between Mr. and Mrs. K, centered on jealousy and alien contact.",Both the Martian domestic life and the arriving Earth men appear civilian in nature.,First contact with an alien world parallels explorers arriving at an inhabited land.,"Mars has canals, crystal pillared houses, and a different atmosphere, requiring adaptation from Earth norms."
US,The Martian Chronicles,August 1999 - The Summer Night,"Low contestation (minor competition, little open conflict)",Cannot inhabit or hold territory,Short interplanetary journey,Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Other / Unsure,Thriller / Horror / Survival,Entirely civilian,Other / Unsure,Moderately different (regular adaptation needed),"There is no open conflict, but Martians sense approaching Earth influence through involuntary telepathic intrusion, causing dread.",Earth's presence is only telepathic; no humans have arrived or claimed territory.,The approaching Earth rocket implies an interplanetary journey from Earth to Mars.,"Martian society with wine trees, pillared houses, and mass telepathy is entirely unlike Earth.","Martians speak their own language but involuntarily sing Earth songs, showing distinct linguistic systems.",Mars is comfortably habitable for Martians but the approaching Earth presence creates psychological danger.,No humans are on Mars yet; the second expedition is only approaching.,Martian political structure is not shown; only domestic and social scenes are depicted.,"Women wake screaming, children recite alien nursery rhymes involuntarily; an eerie dread pervades the chapter.","Only civilian Martian life is depicted: concerts, domestic scenes, sleeping children.",No clear domain analogy is present; the chapter focuses on telepathic intrusion rather than spatial dynamics.,"Mars has twin moons, canals, and an alien landscape distinct from Earth."
US,The Martian Chronicles,August 1999 - The Earth Men,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Exceptionally rare (few astronauts/explorers),Single unified authority,Comedy / satire,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),The entire crew is killed by a Martian psychologist who believes them to be hallucinations; a fatal misunderstanding.,The second expedition arrives but gains no foothold; all four men are killed.,Captain Williams and crew traveled from Earth to Mars by rocket.,"Martian society features telepathy, bureaucratic shuffling, and insane asylums for those who claim to be from other worlds.","Martians understand the Earth men through telepathy, making language barriers effectively irrelevant.",The crew can breathe and function on Mars but face lethal misunderstanding from the Martians.,Only four Earth men arrive on Mars in the second expedition.,"Martian society has a bureaucratic hierarchy (Mrs. Ttt, Mr. Aaa, Mr. Iii, Mr. Xxx) suggesting unified governance.",The chapter is a darkly comic bureaucratic satire as the crew is shuffled between officials and locked in an asylum.,Both the Earth expedition and Martian officials appear civilian in character.,Explorers arriving at a new world and being rebuffed by natives parallels colonial encounters.,Mars has a breathable but alien landscape with crystal buildings and different social norms.
US,The Martian Chronicles,March 2000 - The Taxpayer,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Other / Unsure,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Drama,Other / Unsure,Like the frontier / colonial expansion,Other / Unsure,Pritchard wants to escape Earth's coming atomic war; tension with police but no space-based conflict.,The third expedition is departing; Mars is a destination for temporary missions only.,"The rocket is heading to Mars, an interplanetary trip.",The scene is entirely on Earth; the space program is an extension of American society.,All dialogue is in English; the scene is set on Earth.,No space environment is depicted; the chapter is set entirely on Earth at a launch site.,Only a small crew is going to Mars; space travel is restricted and Pritchard is denied passage.,The government controls the rocket and who can board; Earth political authority governs space access.,The vignette dramatizes a desperate man trying to escape Earth's coming destruction.,Whether the expedition is military or civilian is not specified in this brief vignette.,"Pritchard views Mars as an escape from a doomed civilization, like fleeing to a new frontier.",No Mars or space environment is depicted in this Earth-based vignette.
US,The Martian Chronicles,April 2000 - The Third Expedition,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Other / Unsure,Thriller / Horror / Survival,Mostly civilian with some military presence,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),All sixteen crew members are killed by Martians who use a telepathic trap to lure them to their deaths.,The third expedition lands but is entirely destroyed; no territory is held.,Captain Black and crew traveled from Earth to Mars by rocket.,Martians use powerful telepathy to create an illusion of a 1920s American town from the crew's memories.,"Martian telepathy creates the illusion of English-speaking dead relatives, bypassing language barriers.",Mars proves lethal; the Martians create an elaborate trap that kills the entire crew overnight.,Only seventeen men comprise the third expedition; space travel remains rare.,Martian political structure is hidden behind the telepathic illusion; only the trap is seen.,"The chapter builds suspense as Captain Black realizes the town is a trap, culminating in the crew's murder.","The expedition has a military structure (captain, crew) but the narrative focuses on civilian-feeling encounters.","Explorers encounter hostile natives who resist colonization through deception, paralleling frontier conflicts.","Mars has a different atmosphere and landscape, though the Martian illusion makes it appear Earth-like."
US,The Martian Chronicles,June 2001 - --And The Moon Be Still As Bright,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Mixed / hybrid culture,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Other / Unsure,Drama,Mostly civilian with some military presence,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"Spender kills six crew members in a rampage, is hunted, and killed by Captain Wilder. Intense internal conflict.",The fourth expedition camps on Mars; Spender warns against colonization but no permanent settlement yet.,The crew traveled from Earth to Mars; the journey distance is interplanetary.,Tension between crude Earth attitudes (Biggs) and reverence for Martian civilization (Spender) creates cultural collision.,Spender learns to read the ancient Martian language with picturegraphs; the crew speaks English.,The thin Martian atmosphere causes crew to gasp and see black lights while running; the environment is challenging.,Only the fourth expedition crew is on Mars; Martians are dead from chicken pox.,The expedition has a captain but no broader political structure; Spender rebels against the hierarchy.,"Philosophical drama about colonialism, cultural destruction, and moral conflict between Spender and the crew.","Captain Wilder commands the expedition with military rank, but the mission and conflict are fundamentally civilian.",Spender explicitly compares Mars colonization to Cortez destroying Mexico; colonial expansion analogy is central.,The thin atmosphere makes running exhausting; the alien landscape with dead cities and canals is vastly different from Earth.
US,The Martian Chronicles,August 2001 - The Settlers,No contestation,"Limited settlement (small colonies, hard to sustain/control)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Earth nation-states extend into space,Drama,Entirely civilian,Like the frontier / colonial expansion,Moderately different (regular adaptation needed),People come to Mars peacefully for various personal reasons; no conflict is depicted.,Early settlers arrive but face the disease of Loneliness; colonies are small and psychologically fragile.,"Settlers travel from Earth to Mars, watching Earth shrink to a pinpoint.",Settlers bring Earth motivations and culture; government posters recruit workers in Earth-like fashion.,English is used in the government recruitment posters and implied throughout.,The disease of Loneliness afflicts settlers; Mars requires significant psychological adaptation.,A growing but still small settler population arrives on Mars.,Government posters say 'THERE'S WORK FOR YOU IN THE SKY: SEE MARS!' indicating state-directed colonization.,A prose-poem about the emotional experience of migration and loneliness.,"Settlers come as civilian workers, not military personnel.","People come for hope, escape, and work, paralleling frontier settlement recruitment.",Mars requires psychological adaptation; Earth becomes a distant pinpoint as settlers adjust to alien surroundings.
US,The Martian Chronicles,December 2001 - The Green Morning,No contestation,"Limited settlement (small colonies, hard to sustain/control)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Uncommon (small specialist population),Other / Unsure,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Benjamin Driscoll peacefully plants trees across Mars; there is no conflict or competition.,Driscoll is a lone settler planting trees; the colony is in its earliest fragile stages.,Driscoll has already traveled from Earth to Mars; the journey is interplanetary.,Driscoll plants Earth trees and acts like a frontier farmer transplanting Earth life to Mars.,English is the only language present; no alien languages are encountered.,The thin Martian air causes Driscoll to faint from lack of oxygen; creating a breathable atmosphere is his mission.,Only a few settlers are on Mars; Driscoll works alone planting trees.,No political structure is depicted; Driscoll acts independently.,Driscoll's solo terraforming mission evokes frontier adventure and the wonder of overnight transformation.,Driscoll is a civilian settler engaged in agricultural terraforming.,"Driscoll is a Johnny Appleseed figure on Mars, taming the frontier through planting.",The thin atmosphere causes fainting; Mars requires active terraforming to become habitable.
