country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Japan,good luck yukikaze,Part 1 Chapter I,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),Rei is in a coma between life and death after Yukikaze was shot down. The war context is ever-present but no active combat occurs in this very short section opener.,"Rei is at a permanent FAF medical facility on Faery, implying established infrastructure and governance on the planet.",Faery is accessed via a hyperspace Passageway from Earth's Antarctica. The planet is a completely separate world with meaningful separation.,"The FAF on Faery has developed its own distinct military culture, completely separated from Earth society. Rei exists entirely within this Faerian context.",The FAF is an international force; English appears to be the shared language with personnel from various nations.,Faery is an alien planet under constant JAM threat. All supplies come from Earth. The environment requires significant infrastructure to sustain human life.,"Faery base hosts a large military population with medical facilities, indicating thousands of personnel living and working there.","The FAF operates as a unified military command governing all human activity on Faery, with various corps underneath it.","A brief, contemplative section showing Rei in a coma with occasional eye movements. No combat or action, purely establishing his condition.",Rei is a military pilot in a military medical facility. No civilian characters appear.,The entire war is conducted through aerial combat with fighter planes. Yukikaze is a fighter aircraft.,"Faery has twin suns, alien vegetation, and an entirely non-Earth environment, but humans can survive with infrastructure."
Japan,good luck yukikaze,Part 1 Chapter 1,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),"Yukikaze was shot down, transferred herself to FRX00, killed Captain Samia with violent maneuvers. Debate rages between SAF and Systems Corps over manned vs unmanned fighters.","Faery base is a permanent military installation with hangars, offices, medical facilities, and command centers.",Faery is reached through the Passageway from Earth. Major separation exists between Earth and this alien planet.,The SAF has a unique culture centered on autonomous individuals and AI fighter planes. Booker's world is entirely defined by the FAF on Faery.,International FAF personnel communicate in English. Booker and others from different backgrounds share a common military language.,The constant JAM threat and alien environment make life on Faery harsh. Combat operations are ongoing.,"Multiple military corps, maintenance crews, and command personnel are depicted. Large-scale military operations occur.","The FAF is the sole governing authority on Faery, with corps like Systems Corps and SAF under unified command.","The chapter centers on political debate between SAF and Systems Corps over Yukikaze's future, manned vs unmanned fighters, and institutional power struggles.","All characters are military: Booker, General Cooley, Systems Corps personnel. The debate is entirely about military strategy.",Fighter planes and air combat are the central focus. Yukikaze is described in detail as an advanced fighter aircraft.,Faery's alien environment with underground bases and alien threats requires ongoing adaptation.
Japan,good luck yukikaze,Part 1 Chapter 2,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),Booker visits comatose Rei daily. Intelligence Forces want Rei. Political maneuvering over Rei's future and Yukikaze's unmanned sorties.,"Permanent base facilities with offices, medical wing, and administrative functions are depicted.",Rei's term of service is expiring; the question of returning to Earth via the Passageway is discussed.,FAF culture on Faery is distinct from Earth. General Cooley and Booker operate in a world entirely separate from Earth norms.,International military personnel communicate in a shared language within the FAF framework.,Ongoing war and alien environment. Plans to send Yukikaze unmanned into combat highlight the danger.,"Large military population with generals, intelligence forces, medical staff, and combat personnel.",FAF unified command with various corps jockeying for influence internally.,Political maneuvering between Intelligence Forces and SAF over Rei's fate. General Cooley visits to discuss institutional matters.,All characters are military personnel discussing military matters.,"Discussion centers on fighter plane operations, unmanned sorties, and air combat capabilities.",Underground base life on an alien planet requires constant adaptation.
Japan,good luck yukikaze,Part 1 Chapter 3,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Military / war,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),Yukikaze launches on an unmanned combat sortie. Detailed technical preparations for combat operations.,Launch facilities and maintenance infrastructure at Faery base demonstrate permanent settlement.,"Operations on Faery, completely separated from Earth by the Passageway.",The SAF's unique culture of autonomous AI planes and specialized procedures is distinct from Earth military culture.,Technical communications and procedures in shared military language.,Combat sortie preparation on an alien planet under JAM threat.,"Ground crews, technicians, and command staff all participate in launch operations.",FAF chain of command governs all operations.,Focused on the technical details of launching Yukikaze on a combat sortie. Rei's eyes open when she takes off.,All characters are military personnel involved in combat sortie operations.,Entire chapter about launching a fighter plane on a combat mission.,Alien planet operations with specialized launch facilities.
Japan,good luck yukikaze,Part 1 Chapter 4,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Military / war,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),TAB-15 battle. The 505th TFS is attacked by JAM. Lt. Mayle's planes mysteriously cannot accelerate. The entire squadron is wiped out except Mayle.,"TAB-15 is a tactical air base with permanent facilities, one of many such bases on Faery.","Combat on Faery, completely separated from Earth.",Military life at forward tactical bases has developed its own culture distinct from Earth.,Military communications between pilots and squadrons use shared terminology.,Active combat zone where entire squadrons are destroyed. The environment is extremely dangerous.,Multiple tactical fighter squadrons operate from bases across Faery.,FAF tactical combat air corps commands the squadrons.,Intense air combat scene. The 505th is ambushed and destroyed while Yukikaze observes the battle.,All characters are military pilots in active combat.,Pure aerial combat between fighter squadrons and JAM planes.,Combat on alien planet Faery with its unique atmospheric and environmental conditions.
Japan,good luck yukikaze,Part 1 Chapter 5,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Thriller / Horror / Survival,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),SAF command center tracks battle in real time. Yukikaze shoots down JAM and attacks TAB-15 targets. Rei briefly speaks from coma. JAM discovered to have created unknown type at TAB-15.,SAF headquarters command center with advanced tactical displays and permanent facilities.,"Operations on Faery, separated from Earth.",SAF command culture with AI-integrated operations is uniquely Faerian.,Command center personnel communicate in shared military language.,Active combat operations with planes being destroyed. Discovery of AICS sabotage reveals JAM infiltration.,Large command staff monitors multiple squadrons across the planet.,FAF command structure with SAF operating under tactical combat air corps.,Shocking revelation that JAM have sabotaged FAF aircraft systems. Rei speaks from coma saying 'It's the JAM.' Unknown JAM type detected. Lt. Yagashira enters uninvited.,All characters are military command personnel and pilots.,Air combat monitoring and fighter operations are the sole focus.,Alien planet with JAM threat requiring constant technological adaptation.
Japan,good luck yukikaze,Part 1 Chapter 6,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Military / war,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),Mayle tries to fight Yukikaze but she defeats him without firing by stalling his engines with her shock wave. He ejects and reflects on the inhuman nature of the war.,Combat occurs in Faery's airspace above established military zones.,"Aerial combat on Faery, far from Earth.",The war culture on Faery has become increasingly inhuman and machine-dominated.,Military radio communications in shared language.,Mayle is defeated and forced to eject. The combat environment is lethal.,Multiple squadrons operate in the combat zone.,FAF military command governs all operations.,Air combat between Mayle and Yukikaze. Technical description of how Yukikaze uses her shock wave as a weapon.,All characters are military pilots in combat.,Pure aerial combat between fighter planes.,Alien planet airspace with unique atmospheric conditions.
Japan,good luck yukikaze,Part 1 Chapter 7,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Thriller / Horror / Survival,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),"Rei fully wakes up aboard Yukikaze. AICS sabotage revealed - JAM tampered with Air Intake Control Systems. Tactical computer deduces JAM have assumed human form. Rei kills Yagashira, a JAM duplicate.",Combat and base operations on Faery with permanent military infrastructure.,"All action on Faery, separated from Earth by the Passageway.",The discovery that JAM have created human duplicates fundamentally alters Faerian society and culture.,Rei communicates with SAF systems and Yukikaze's computer in English.,JAM infiltration makes the environment even more hostile. Human duplicates threaten from within.,Large military population now threatened by JAM duplicates among them.,"FAF command, though now threatened by JAM infiltration from within.",Horror revelation that JAM have assumed human form. Rei discovers Yagashira is a duplicate and kills him. The sadness Rei feels at killing someone who seemed human adds emotional depth.,All characters are military. Rei and Yukikaze conduct combat operations.,Fighter plane combat and aerial interception of the JAM duplicate.,Alien planet now with shape-shifting alien infiltrators.
Japan,good luck yukikaze,Part 1 Chapter II,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Mostly military,Like the air / airpower,Moderately different (regular adaptation needed),"Contains Parts II and III. Rei returns to Earth, discovers Earth has forgotten the JAM war. Japanese navy tries to arrest him. He reenlists. Extended philosophical discussions with Booker about Yukikaze as conscious being.",Shows both Earth (Sydney) and Faery base. The Passageway shuttle system demonstrates permanent infrastructure between worlds.,"Rei travels from Faery through the hyperspace Passageway to Earth via Antarctica, then to Sydney. The journey emphasizes the separation between worlds.",Rei is explicitly called 'a Faerian' by Lynn Jackson. Earth media barely covers the JAM war. Faerian culture is radically different from Earth's.,"Rei communicates with American journalist Jackson, lawyer Chang Pollack, and Japanese navy personnel. Multiple languages but English as lingua franca.",Faery's hostile environment contrasts with Earth's comfort. The war requires constant resource expenditure.,The Passageway shuttle carries passengers between worlds. Large military population on Faery.,"FAF governs Faery. On Earth, national governments still exist but are largely disconnected from the war.","Deeply philosophical chapter about identity, Rei's alienation from Earth, his relationship with Yukikaze, and discussions about consciousness, death, and meaning of life.","Rei is military. He encounters civilians on Earth (journalist Jackson, lawyer Pollack) but the framing is military.",The war is fought entirely through air power. Discussions center on fighter planes and their pilots.,"Faery has alien vegetation, twin suns, and non-Earth atmosphere. Earth contrasts as comfortable and familiar."
Japan,good luck yukikaze,Part 2 Chapter 2,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Shared lingua franca plus local variation,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Entirely military / war-focused,Like the air / airpower,Moderately different (regular adaptation needed),Captain Edith Foss is introduced as military psychologist transferred from Systems Corps. FAF personnel changes from elite to criminals/conscripts reflect ongoing war stress.,Faery base with medical and administrative facilities.,Foss has transferred from another unit to the SAF on Faery.,FAF personnel now include criminals and conscripts. The SAF's culture is even more distinct within the FAF.,International military personnel communicate in shared language.,Personnel quality has degraded due to war demands. The environment is challenging.,Large military population with various corps and personnel transfers.,FAF command structure with Systems Corps and SAF underneath.,Character introduction and exposition about FAF's deteriorating personnel situation. Booker's discomfort with Foss's presence.,"All characters are military: Booker, Foss (military doctor), Systems Corps personnel.",The SAF operates as an air force unit. All context is aerial military.,Underground base life on alien planet Faery.
