country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,The Martian,Chapter 1,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney is stranded alone on Mars after a storm evacuation. There is no competition or conflict over space; the only struggle is survival.,"The Ares 3 mission is a temporary 31-sol surface stay. The Hab and equipment are designed for short visits, not permanent settlement.",The Hermes takes 124 days to travel from Earth to Mars. This is a months-long journey creating meaningful separation from Earth.,NASA runs the mission with standard military-style ranks (Commander Lewis) and American cultural norms. Watney references Earth culture throughout.,All communication is in English. There are no new languages or dialects; the crew speaks standard American English.,"Mars is lethal without the Hab. Watney is impaled by an antenna, nearly dies from decompression, and faces starvation with only 31 sols of supplies for 400+ sols.",Only six people were on Mars for Ares 3. Watney is now the sole human on the entire planet. Space habitation is extremely rare.,"NASA, an American agency, runs the Ares program. The mission structure mirrors Earth governmental organization extended to Mars.","Watney is stranded, impaled, and must survive alone on Mars. The chapter is pure survival narrative: assessing injuries, rationing supplies, facing death.",NASA is a civilian agency. The Ares 3 crew are civilian astronauts. No military forces or operations are involved.,"Watney is stranded in hostile wilderness far from civilization, echoing frontier survival narratives of isolation and resourcefulness.","Mars has thin atmosphere, extreme cold, and no breathable air. Watney's body is constantly challenged; a simple antenna strike nearly kills him."
US,The Martian,Chapter 2,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney takes stock of supplies alone. No competition or conflict over territory exists; it is pure solo survival.,"The Hab is a temporary research station designed for a 31-sol mission, not a permanent settlement.",Watney calculates the next Ares mission arrives in four years. The months-long transit creates profound separation from Earth.,"Watney uses NASA equipment, follows Earth-based procedures, and references American culture. Nothing about his social context has changed from Earth norms.",All of Watney's log entries and equipment labels are in English. No new languages exist.,"Without the Hab, Watney would die instantly. He has 300 sols of food for one person but needs 1400+ sols. The environment is fundamentally lethal.",Watney is the only human on Mars. Space habitation is so rare that one person alone constitutes the entire population of the planet.,"All equipment and mission planning comes from NASA, a US government agency. The political structure is Earth governance extended to Mars.","Watney inventories supplies, calculates survival timelines, and begins planning how to grow food. Every element is about surviving starvation.",All activities are civilian scientific and survival operations. No military presence or operations exist.,"Watney plans to farm potatoes on Mars soil, directly paralleling frontier homesteading in hostile wilderness.","Mars soil has no organic material, the atmosphere is unbreathable, and Watney must engineer every aspect of survival from scratch."
US,The Martian,Chapter 3,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney calculates farming needs alone. No conflict or competition over space exists.,The Hab remains a temporary research outpost being repurposed for extended solo survival.,"The Ares 4 mission won't arrive until Sol 1425, years away. The journey time creates meaningful separation.","Watney uses Earth agriculture techniques, NASA calorie calculations, and standard engineering. His cultural frame is entirely Earth-based.",All log entries and calculations are in English. No space-specific language exists.,Watney must create 250+ liters of water and grow 126 square meters of crops inside a sealed habitat to survive. Mars offers nothing life-sustaining.,Watney remains the sole human on Mars. Space habitation is extraordinarily rare.,The Ares program is run by NASA under US government authority.,The entire chapter is caloric calculations and farming plans to avoid starvation. Every detail serves the survival narrative.,All activities are civilian scientific farming and engineering. No military element exists.,"Watney is literally homesteading on Mars, converting alien soil into farmland, echoing frontier agricultural settlement.","Growing food on Mars requires manufacturing water, treating soil, and maintaining a sealed environment. Every biological need is a technical challenge."
US,The Martian,Chapter 4,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney works alone on his hydrazine-to-water plan. No conflict over space exists.,The Hab is a temporary outpost being pushed far beyond its design parameters.,Earth is months away by transit. Watney has no communication and no hope of rescue for years.,Watney applies Earth chemistry knowledge to split hydrazine. His cultural references and problem-solving are entirely Earth-based.,All log entries are in English with no space-specific language.,"Watney must manufacture water by burning rocket fuel, risking explosion. The environment provides nothing and actively threatens his life.",Watney is alone on Mars. Only a handful of humans have ever visited the planet.,NASA equipment and mission architecture reflect US governmental organization extended to Mars.,Watney risks explosion while converting hydrazine to water. The tension between survival need and mortal danger drives the chapter.,All activities are civilian engineering and chemistry. No military involvement exists.,Manufacturing water from rocket fuel on an alien planet parallels frontier ingenuity in hostile wilderness.,"Watney must create water from scratch using dangerous chemistry. Mars provides no liquid water, requiring extreme technological intervention."
US,The Martian,Chapter 5,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney resolves the hydrogen explosion risk alone. No conflict over space occurs.,"The Hab continues to serve as a temporary survival shelter, not a permanent settlement.",Earth remains months away by transit. Watney is completely isolated with no communication.,Watney references Commander Lewis's disco music and Earth pop culture. His problem-solving uses Earth engineering principles.,All communication is in English. No space-specific language exists.,An explosion occurs inside the Hab but it survives. Watney must remove oxygen from his own air supply to safely burn hydrogen. One mistake means death.,Watney remains the sole human on Mars.,"All equipment and procedures originate from NASA, a US government agency.",Watney must safely burn uncontrolled hydrogen accumulation. An explosion occurs. The chapter is constant survival tension.,All activities are civilian survival operations. No military presence exists.,Surviving a near-explosion in a fragile shelter on an alien world echoes dangerous frontier living conditions.,The thin Hab canvas is all that separates Watney from instant death. An explosion nearly destroys his only shelter on a lifeless planet.
US,The Martian,Chapter 6,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Drama,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"NASA holds a memorial, then discovers Watney is alive. No conflict over space territory occurs; the focus is organizational response.",The Ares missions involve temporary visits to Mars. Satellite imagery reveals Watney's temporary camp.,Communication has significant light-speed delay. The Ares 3 crew is months from Earth on their return journey.,"NASA's organizational hierarchy, media relations (CNN, Annie Montrose), and government structure are entirely Earth-based.",All communication at NASA is in standard English. No space-specific language exists.,Satellite imagery shows Watney surviving through desperate measures on a lethal planet. NASA recognizes the extreme danger.,One person is alive on Mars. The rarity of this situation drives the entire chapter's drama.,"NASA (US government) manages all Mars operations. Teddy Sanders, the administrator, makes decisions about the Ares crew.","The chapter centers on the emotional discovery that Watney is alive, organizational decisions, and Teddy visiting Watney's parents.","NASA is a civilian agency. All personnel (Venkat, Mindy, Annie, Teddy) are civilians.",Discovering a lost explorer alive in hostile territory echoes frontier-era rescue narratives.,"Satellite imagery shows improvised survival structures on Mars, highlighting how alien the environment is to human habitation."
US,The Martian,Chapter 7,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney modifies the rover for long-distance travel. No conflict or competition over space exists.,"The rover modifications are temporary survival measures, not permanent infrastructure.",Watney remains months away from any help. The Ares 4 MAV won't be available for years.,Watney uses NASA equipment and Earth engineering skills. He names test drives after real space missions (Sirius).,All log entries are in English with no space-specific language.,Watney digs up a buried plutonium RTG for heat because the rover cannot survive Mars temperatures otherwise. The environment is lethal without constant intervention.,Watney is alone on Mars. Space habitation is extraordinarily rare.,All equipment is NASA-built and US government-funded.,"Watney modifies rovers, handles radioactive material, and tests survival equipment. Every action is driven by the need to survive.",All activities are civilian engineering and survival operations.,Modifying a vehicle for a dangerous overland journey through hostile terrain echoes frontier exploration preparation.,The rover cannot maintain temperature without a radioactive heat source. Mars cold is a constant lethal threat to human survival.
US,The Martian,Chapter 8,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),NASA tracks Watney via satellites. No conflict or competition over space territory exists.,Watney's presence on Mars remains temporary. NASA is working on MDV modifications for future supply missions.,Communication is one-way via satellite imagery. The time delay and distance create profound separation.,"CNN covers Watney's story as a media event. NASA's bureaucratic structure (JPL, mission control) mirrors Earth institutions.",All communication is in English. No space-specific language exists.,Watney undertakes an 800km journey across Mars in a modified rover. The planet remains fundamentally lethal.,Watney is the sole human on Mars. Mindy Park tracks him as the only moving thing on the planet.,NASA and JPL manage all Mars operations as US government agencies.,The chapter follows Watney's journey south toward Pathfinder and NASA's realization of his destination. It reads as an exploration narrative.,All personnel and operations are civilian NASA activities.,Watney's solo overland trek to recover a 1997 probe echoes frontier exploration of unknown territory.,An 800km rover journey across Mars requires constant technological adaptation to an environment hostile to human life.
US,The Martian,Chapter 9,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney travels alone to Pathfinder. No conflict or competition exists.,Watney is recovering a 1997 probe from a temporary landing site. His own presence remains temporary.,Watney navigates by watching Phobos transit the sky. He remains months of travel away from Earth.,"Watney references Earth history (Pathfinder mission, 1997) and uses standard NASA equipment. His cultural frame is entirely Earth-based.",All log entries are in English. No new languages exist.,"Watney drives 800km across Mars in a cramped rover, navigating by moonrise. The environment is lethal without his life support systems.",Watney is alone on an entire planet. His isolation is total.,Pathfinder was a NASA/JPL mission. All space presence is US government-directed.,The chapter is a classic road trip narrative: an 8-day solo journey across alien terrain to recover a historical probe.,All activities are civilian exploration and survival.,A solo journey across hundreds of kilometers of hostile wilderness to recover lost equipment echoes frontier exploration narratives.,Watney navigates by Phobos in a cramped rover across an airless desert. Everything about Mars challenges human presence.
US,The Martian,Chapter 10,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Nearly uninhabitable / lethal without major intervention,Exceptionally rare (few astronauts/explorers),Earth nation-states extend into space,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Watney returns to the Hab with Pathfinder and repairs it. No conflict over space territory occurs.,Watney repairs a 1997 probe at a temporary outpost. All Mars presence remains temporary.,Earth is months away by transit. Watney has had no communication with Earth for months.,Watney uses NASA schematics and Earth engineering to repair Pathfinder. His methods and cultural context are entirely Earth-based.,All log entries and equipment documentation are in English.,Watney must perform complex electronics repairs inside a sealed Hab on a planet that would kill him instantly without life support.,Watney remains the sole human on Mars.,"Both the Ares program and Pathfinder are NASA missions, extending US government presence to Mars.",Watney races to repair Pathfinder to establish communication with Earth. His survival depends on this technical work.,All activities are civilian engineering and scientific work.,Salvaging and repairing old equipment for survival echoes frontier resourcefulness in isolated settings.,"Electronics repair on Mars requires working around extreme cold, vacuum, and power limitations that don't exist on Earth."
