country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
France,Off on a Comet,Book 1 - Chapter 1,"Low contestation (minor competition, little open conflict)",Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Mostly civilian with some military presence,Other / Unsure,Other / Unsure,"Captain Servadac and Count Timascheff arrange a duel over a romantic rivalry involving a young widow, representing a personal dispute rather than large-scale conflict. The challenge is handled with punctilious courtesy and formality.","This chapter takes place entirely on Earth, on the Algerian coast near Mostaganem. There is no depiction of space habitation or territory in space.","No journey to space occurs in this chapter. The setting is entirely terrestrial, focused on the Algerian coast and the town of Mostaganem.",Space culture is not yet depicted. The chapter establishes an Earth-based setting with French colonial Algeria and Russian aristocratic characters.,"The characters speak French as their common language. Servadac is a French officer and Timascheff is a Russian count, and they communicate directly without any translation technology.","No space environment is depicted yet. The only mention of unusual conditions is a dense fog that has hung over the world for two months, but this is terrestrial.",No one is living in space in this chapter. The story has not yet moved beyond its terrestrial setting.,"No political order in space is depicted. The chapter shows Earth nation-states (France, Russia) operating in colonial Algeria.","The chapter establishes an adventure tone with the duel arrangement between a dashing French officer and a Russian count, set against an exotic Algerian backdrop with hints of mysterious atmospheric phenomena.","Servadac is a military staff officer and the setting includes a military garrison at Mostaganem, but the chapter's main concerns are personal (romance, poetry, a duel of honor) rather than military operations.","Space is not yet characterized as any domain in this chapter, as the story remains entirely on Earth.",No space environment is depicted yet. The only hint of something unusual is the persistent global fog mentioned briefly.
France,Off on a Comet,Book 1 - Chapter 2,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Mostly civilian with some military presence,Other / Unsure,Other / Unsure,"This chapter is a character study of Captain Servadac and his orderly Ben Zoof, detailing their backgrounds and loyal bond. There is no conflict related to space.","The chapter is entirely Earth-based, providing biographical details of Servadac and Ben Zoof. No space territory or habitation is discussed.","No space journey is mentioned. The chapter describes Servadac's military career and his orderly's devotion, all within terrestrial settings.",No space culture is depicted. The chapter focuses on French military culture in colonial Algeria and Ben Zoof's love of Montmartre.,All communication is in French between the French officer and his French orderly. No space-related language differences exist.,No space environment or survival conditions are depicted in this character introduction chapter.,No one is in space. The chapter is entirely a backstory chapter set on Earth.,"No space political order exists yet. The chapter references Earth nations (France, Russia) and colonial Algeria.","The chapter builds the adventure genre through its characterization of Servadac as a brave, dashing officer who once filled a breach with his own body, and Ben Zoof as his devoted, colorful companion.","Servadac is a military officer and Ben Zoof a soldier, but their activities are personal and domestic rather than military in nature. Servadac's current duty is topographical surveying.",Space has not yet been introduced as a setting or domain in the narrative.,No space environment is depicted. The chapter is entirely terrestrial character exposition.
France,Off on a Comet,Book 1 - Chapter 3,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Mostly civilian with some military presence,Other / Unsure,Other / Unsure,"The chapter focuses on Servadac composing a love poem in his gourbi while Ben Zoof tries to sleep. The only tension is Servadac's frustration with rhyming, ending abruptly when both men are thrown to the ground by a violent unknown force.","No space habitation is depicted. The chapter takes place in the gourbi on the Algerian coast, though it ends with the cataclysmic event that will propel them into space.","No space journey has begun yet, though the catastrophic event at the chapter's end is the moment of transition. The characters are still on Earth's surface.",No space culture is yet evident. The setting remains terrestrial French colonial Algeria.,Servadac composes poetry in French and converses with Ben Zoof in French. No alternative languages or translation are present.,"The catastrophic event at the end hints at dangerous conditions to come, but no space survival conditions are yet depicted.",No one is yet living in space. The cataclysm occurs at the very end of the chapter.,No political order in space is depicted yet.,"The chapter mixes light comedy of Servadac's poetic struggles with a dramatic cliffhanger as an unutterable violent force throws both men to the ground, establishing the adventure-disaster tone.","Servadac is a military officer, but the chapter's content is entirely personal and domestic, focused on poetry composition and the gourbi dwelling.",Space is not yet introduced as a domain.,The cataclysm occurs but no space environment is yet observed or described.
France,Off on a Comet,Book 1 - Chapter 4,No contestation,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Extremely hostile (constant survival pressure),Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The chapter describes a massive natural cataclysm through a series of rhetorical questions. There is no human conflict; the only force at work is the mysterious convulsion of nature itself.,"The chapter describes the cataclysmic moment but does not depict any habitation in space. The perspective remains terrestrial, questioning what phenomenon caused the upheaval.",The cataclysm is described but no journey through space is yet depicted. The chapter poses questions about the event rather than showing travel.,"No space culture is depicted in this brief, dramatic chapter focused entirely on the moment of catastrophe.",No dialogue occurs in this chapter; it is pure narrative description of the cataclysm. Language differences are irrelevant.,"The chapter depicts an extraordinarily violent natural convulsion: the earth groans, waters roar, air shrieks, the Mediterranean empties and refloods, and the moon's disc grows enormously. The question of whether any human could survive is explicitly raised.",No one is depicted as living in space; the chapter describes the catastrophic transition moment.,No political order in space is depicted.,"The chapter is a pure depiction of catastrophe and terror: billows rage to unprecedented heights, elements unite in deafening crash, earth groans, and the chapter ends asking if any human could have survived.",The cataclysm is a natural event with no military dimension. No military response or domain is depicted.,Space is not characterized as any particular domain in this chapter.,"The chapter describes physics going haywire: the Mediterranean empties and refloods in seconds, the moon appears at ten times its normal size, a new blazing spheroid appears, and the entire framework of the globe seems ruptured."
France,Off on a Comet,Book 1 - Chapter 5,No contestation,Cannot inhabit or hold territory,Other / Unsure,Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Servadac and Ben Zoof discover strange physical changes after the cataclysm but face no human conflict. They attempt to reach their duel appointment but find the landscape drastically altered.,"The characters are unknowingly on a fragment carried into space, but they cannot yet comprehend or control their situation. The western part of Algeria has been swallowed by the sea, and they are stranded on what remains.","The characters do not yet know they are in space. They experience altered gravity, reversed cardinal points, and a six-hour day, but believe they are still on Earth.","Servadac and Ben Zoof continue behaving exactly as they did on Earth, maintaining their military roles and social customs. Servadac still wants to keep his duel appointment despite the upheaval.",Servadac and Ben Zoof communicate in French throughout. No language changes result from the cataclysm.,"The reduced atmospheric pressure causes labored breathing and thin voices, gravity is diminished allowing enormous leaps, and the sun rises in the west. However, the immediate environment remains survivable with food and shelter available.",Only Servadac and Ben Zoof appear to have survived on their fragment of land. They find no other people during the chapter.,"Mostaganem and the western part of Algeria have been swallowed by the sea. Servadac and Ben Zoof are alone, with no government or political structure remaining.","The chapter is driven by discovery and exploration as Servadac and Ben Zoof experience reduced gravity, reversed compass directions, and a dramatically shortened day, all while trying to understand their transformed world.","Although Servadac is a military officer, all activity in this chapter is survival and exploration. There is no military operation or domain.","The characters are effectively stranded on an unknown frontier, exploring unfamiliar terrain where the rules of nature have changed, much like explorers in uncharted colonial territory.","Gravity is drastically reduced, allowing 30-40 foot leaps. The sun rises in the west and sets in the east. Days last only six hours. The horizon is dramatically contracted. Atmospheric pressure is severely diminished."
France,Off on a Comet,Book 1 - Chapter 6,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"Servadac and Ben Zoof explore their island domain, finding no other humans and no conflict. Their only struggle is against the mystery of their situation and the altered natural conditions.","Servadac and Ben Zoof inhabit what they name Gourbi Island, a fragment of Algeria. They are stranded survivors, not deliberate settlers, and their presence feels temporary as they hope for rescue.","The characters still do not realize they are in space. They explore their island and discover it is surrounded by ocean, but cannot determine how far from Earth they are.","Servadac declares himself Governor General of Algeria and Ben Zoof calls himself the population, maintaining Earth social hierarchies and humor. Their behavior is entirely Earth-like.",All communication remains in French between the two characters. No language changes are depicted.,"The island has ample food, water, and livestock, but the drastically altered physical conditions (six-hour days, reduced gravity, compressed atmosphere) create ongoing risk. The shortened day and unknown luminous body in the sky add uncertainty.","After circumnavigating their island in five days, Servadac and Ben Zoof confirm they are the sole human inhabitants of Gourbi Island, a territory of about 900 square miles.",Servadac jokingly calls himself Governor General with not a soul to govern. The island is a tiny domain with two inhabitants and no functioning political structure.,"The chapter is structured as an exploration narrative as the two men systematically survey their island by horseback, mapping its quadrilateral shape and 171-mile circumference.","Despite Servadac's military rank, all activities are civilian exploration and survival. There are no military operations or objectives.","Servadac names the territory Gourbi Island and declares himself its governor, directly paralleling colonial expansion. They survey and map the land like frontier explorers.","Days and nights are six hours each. An unknown luminous body appears in the sky with an irregular orbit. The horizon is severely contracted. Gravity remains drastically reduced, allowing superhuman physical feats."
France,Off on a Comet,Book 1 - Chapter 7,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"No conflict occurs. Servadac and Ben Zoof wait for rescue, observe astronomical phenomena, and try to understand their situation. Ben Zoof keeps faithful watch on the cliff.","The two men remain stranded on Gourbi Island, hoping for rescue. Their habitation is makeshift and they explicitly plan to leave when a ship arrives. Servadac considers building a boat if none comes.","The characters still do not realize they have left Earth. They observe that the pole star has been displaced and Vega has become the new pole, but attribute this to Earth's axis shifting rather than space travel.","Servadac maintains his calendar by his watch, refuses to adopt the new day length, and the two men live exactly as they would on Earth. Ben Zoof compares them to Robinson Crusoe and Friday.",All dialogue remains in French. No language changes or communication difficulties beyond the thin atmosphere affecting voice volume.,"Water boils at 66 degrees centigrade due to reduced atmospheric pressure, requiring adjusted cooking times. Storms rage with tremendous fury for days. The temperature steadily increases as they apparently approach the sun. Vegetation grows precociously from the heat.",Only Servadac and Ben Zoof are known to be in this situation. No other humans have been sighted despite weeks of watching.,"The two men are alone on the island with no government, communication with any authority, or political structure. They hope for rescue from the governor general but none comes.","The chapter combines survival narrative with scientific mystery as Servadac observes displaced constellations, a strange planet with a satellite, and tries to deduce what has happened to the Earth's axis and rotation.",All activities are civilian survival and astronomical observation. There is no military dimension to the chapter.,"The Robinson Crusoe comparison is made explicitly. The men are stranded on an island frontier, surveying resources, keeping watch for passing ships, and contemplating building a boat.",Water boils at 66 degrees instead of 100. The pole star is displaced and Vega appears as the new pole. A strange planet with a satellite appears where no planet should be. The constellation patterns are altered dramatically.
France,Off on a Comet,Book 1 - Chapter 8,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),No human conflict occurs. The chapter focuses on the approaching threat of Venus and the astronomical mystery. The only tension is between humans and the forces of nature.,Servadac and Ben Zoof remain on Gourbi Island as castaways. They cannot leave and are at the mercy of orbital mechanics. Their situation is temporary and involuntary.,"Though the characters do not fully understand it yet, they have been carried to Venus's orbital distance from the sun, about 66 million miles. They have been separated from Earth for nearly a month with no communication.",Servadac and Ben Zoof continue their Earth routines. Ben Zoof insists Montmartre is as hot as the tropics. Their social dynamic and cultural references remain entirely Earth-based.,All communication remains in French between the two characters.,Temperature reaches 50 degrees centigrade in the shade as Earth approaches the sun. The heat surpasses equatorial Senegal. Vegetation threatens to be scorched. Ben Zoof must construct a parasol to avoid being roasted alive on the cliff.,Still only Servadac and Ben Zoof are known survivors. No ship has appeared despite weeks of watching. A ship is finally spotted at the very end of the chapter.,"The two men remain isolated with no governance. Servadac speculates about crowds flocking to churches and newspapers publishing sensational articles, but has no contact with any authority.","The chapter builds tension through the approaching near-collision with Venus, with Servadac calculating distances and debating the danger with Ben Zoof, culminating in relief when collision is averted and excitement when a ship appears.",The chapter is entirely about astronomical observation and survival. No military activity occurs.,"The castaways remain on their island frontier, watching for ships like colonial settlers hoping for supply vessels, while the alien astronomical phenomena unfold around them.","The sun's diameter appears twice its normal size, consistent with Venus's orbital distance. Venus approaches to within 6 million miles, showing mountains and atmospheric details. Earth appears to be on a completely new orbit approaching Mercury."
France,Off on a Comet,Book 1 - Chapter 9,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Manageable but risky,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Mostly civilian with some military presence,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Servadac and Count Timascheff reunite with courtesy rather than hostility, their previous duel rivalry forgotten in the face of the catastrophe. They cooperate to investigate the disaster.","The Dobryna arrives at Gourbi Island and anchors in a creek. The characters plan a maritime expedition to explore the Mediterranean, treating their situation as a temporary crisis requiring investigation.","The Dobryna has been sailing for 27 days without finding any land other than Gourbi Island. The count confirms the sun's reversed motion, shortened days, and diminished gravity, indicating they are far from normal Earth conditions.",The reunion follows Earth social customs with formal introductions and punctilious courtesy. The count offers his yacht for exploration. They plan to contact Algiers or European ports as if normal civilization still exists.,"Servadac and Timascheff communicate directly in French. The Russian count speaks French fluently, as is customary for Russian aristocrats.","The immediate environment is survivable with ample resources on the island, and the Dobryna provides transportation. However, the wider situation is dangerous with flooded coastlines, abnormal tides, and no known route to civilization.","Only Servadac, Ben Zoof, and the crew of the Dobryna are known survivors. The count confirms that Gourbi Island is the first land they have seen in nearly a month of sailing.","No functional government exists. Servadac leaves Ben Zoof as governor of Gourbi Island, a tongue-in-cheek title. They plan to seek out any remaining authority in Algiers or Europe.","The chapter is structured around preparation for a voyage of discovery. The Dobryna's engine is repaired, provisions are secured, and the expedition sets off to map their new domain.",Servadac is a military officer but acts in a civilian explorer capacity. The Dobryna is a private yacht with a civilian crew. Ben Zoof is left behind with quasi-military governor duties.,"The chapter is centered on naval activity: the Dobryna anchors, a boat is lowered, the harbor is scouted, the engine is repaired, and the expedition sails forth to explore unknown seas.","Abnormal tides are observed in the normally tideless Mediterranean. The temperature is steadily decreasing after its extreme rise. The earth's convexity has visibly changed, limiting the horizon to six miles."
France,Off on a Comet,Book 1 - Chapter 10,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Moderate journey (months/meaningful separation),Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),No political order / ungoverned,Adventure / exploration,Entirely civilian,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"No conflict between characters or factions. The chapter focuses on the Dobryna's voyage searching for Algeria, with the crew cooperating to investigate the disappearance of the coastline.","The Dobryna explores the sea where Algeria should be, finding only uniform shallow water. The characters are nomadic explorers on their ship, with no permanent settlement beyond Gourbi Island.","Lieutenant Procope explains they have crossed Venus's orbit and are now receding from the sun. The Earth has been displaced from its 91-million-mile orbit, confirming a vast separation from normal conditions.","The crew of the Dobryna maintains Earth-like social structure: Lieutenant Procope commands the sailors, the count is the patron, and they use nautical instruments and customs. Servadac mourns his lost friends in Algiers.","Lieutenant Procope speaks French fluently, as do the Russian crew members. Conversations between the French captain, Russian count, and Russian lieutenant all occur in French.","The seas run abnormally high due to reduced gravity, with waves reaching 50-60 feet. The sea bottom has been replaced by a strange metallic dust. Algeria has completely vanished, and the sounding line finds only 4-5 fathoms where cities once stood.","The Dobryna finds no trace of Algeria's 15,000-inhabitant towns. Not a single material object floats on the surface. The small crew appears increasingly isolated as sole survivors.","Algeria, including its capital, has completely disappeared. No government, no authority, no other human presence can be found. The explorers are entirely on their own.","The chapter follows the Dobryna's systematic exploration using compass, log, and sounding line to investigate where Algeria once was. It is pure exploration narrative as they chart their new world.","The Dobryna is a private yacht on an exploratory mission. All activities are scientific investigation and navigation, with no military purpose.","The entire chapter takes place at sea on the Dobryna. Navigation, sounding, charts, and seamanship dominate the narrative. The exploration is fundamentally a naval expedition.","The sea bottom is composed of unknown metallic dust. Waves reach 50-60 feet due to reduced gravity. Planets have shifted positions, rendering sextants useless. The entire coastline of Algeria has been replaced by shallow, uniform ocean floor."
