country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Japan,The Lord of the Sands of Time,Chapter 1,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mixed civilian-military domain,Other / Unsure,Other / Unsure,"Miyo and Kan are attacked by a mononoke (ET creature) on Mount Shiki. Messenger O arrives from the future, destroys the creature with his sword Cutty, and warns that an army of ETs must be destroyed. The chapter establishes the central conflict: extermination-level war between humanity and alien self-replicating fighting machines.","The chapter is set entirely on Earth in 248 AD Japan (the Land of Wa). No space territory is depicted. The Messenger comes from the future, not from space.","No space journey occurs. The Messenger traveled through time, not space. He arrived from 2,300 years in the future via temporal upstreaming across multiple timestreams.","No space society is depicted. The chapter portrays 3rd-century Japan: Queen Himiko rules Yamatai, with ministers, slaves, and chiefdoms. The Messenger is from the future, not a space culture.",Characters speak archaic Japanese. Cutty identifies it as archaic Japanese with vowel shift. The Messenger uses translation capability to communicate with Miyo. The Laws of the Messenger exist in every language worldwide.,No space environment is depicted. The setting is entirely the mountains and plains of 3rd-century Japan.,"No one is in space. The Messenger is a time traveler, not a space traveler. The chapter is set on Earth.","No space political order is depicted. Earth governance consists of the chiefdoms of Wa under Queen Himiko, with relations to Wei, Kushina, Roma, and Kentak.","The chapter establishes a war narrative: the Messenger arrives to prepare humanity for battle against the ETs. He tells Miyo to prepare for war, lift the ban on steel production, and mobilize forces. The mononoke attack is the inciting incident of a military campaign.",Miyo is a civilian ruler (shaman queen) thrust into military leadership. Kan is a civilian boy-servant. The Messenger is a military cyborg. The chapter blends civilian court life with the onset of military operations.,No space domain is portrayed. The conflict takes place on Earth's surface across historical time periods.,No space environment is experienced. The physical setting is terrestrial Japan.
Japan,The Lord of the Sands of Time,Chapter 2,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,Same languages as Earth,Harsh and resource-intensive,Common (many people live/work there),Single unified authority,Drama,Mixed civilian-military domain,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"Earth was annihilated by the ETs 62 years prior. Venus fell first, then Earth lost sunlight for 3 years, then the enemy landed in force. By year 10, humanity withdrew to Neptune. The entire chapter details an existential war for species survival across the solar system.","Triton has a permanent city with residences, roads, forests, a commercial district, and automated transport. It serves as humanity's principal stronghold. Mars and other bodies also had settlements. The city is designed for comfortable living despite being a military hub.",Humanity withdrew to Neptune's moon Triton after losing Earth. The Messengers are deployed on near-lightspeed vessels from a Lagrangian point between Jupiter and Saturn. The journey into the past is a one-way trip spanning timestreams.,"Triton has developed its own culture: AI-human relationships are normalized, Messengers (cyborg AIs) are socialized alongside humans, full data presence enables instant information sharing, and the population has adapted to war as a permanent condition. Average lifespan exceeds 140 years.",All communication is in standard Earth languages. Orville and Sayaka speak normally. Sayaka has a Russian name from Valles Marineris. No distinct space language has developed.,"Triton is far from the Sun, requiring artificial luminosity sources. Antimatter production without solar energy took 40 years. The ET depend on solar energy, which is greatly attenuated at Neptune's distance, giving humanity a survival advantage.","Several hundred million humans survive, with Triton as the hub. Nearly 50,000 Messengers are on Triton alone. The city has civilians, military, corporations, nurseries, schools, and a commercial district. Space habitation is widespread among survivors.","The Triton Central Council governs Sol System. The Sol System Recovery Command directs the war effort. Sandrocottos AI is Supreme Commander. While free cities exist beyond Jupiter, Triton is the single hub of centralized authority.","The chapter centers on Orville's relationship with Sayaka: their meeting, courtship, philosophical debates about humanity, and heartbreaking parting. The war frames the story but the emotional core is their love and the impossibility of their future together.","Triton has both civilian life (restaurants, study circles, commercial districts) and military operations (Defense Force, Supply Section, deployment of Messengers). Sayaka works in military supply but is civilian. Orville is military but lives among civilians.",The fleet assembles at a Lagrangian point like a naval staging area. Ships are docked and deployed. The farewell scene resembles a naval departure with crowds watching from the gangway. The fleet drops into the well of time like ships setting sail.,Life on Triton requires artificial light sources suspended above the surface. Antimatter production without solar energy was a 40-year endeavor. The ET destroyed Earth's biosphere with a half-million-kilometer disk blocking sunlight. Space habitation demands constant technological intervention.
Japan,The Lord of the Sands of Time,Chapter 3,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mixed civilian-military domain,Other / Unsure,Other / Unsure,"Kunu has been overrun by mononoke, sending refugees flooding into Yamatai. The Messenger stages a dramatic arrival to win political support. Battle lines are established. Cutty reports simultaneous crises worldwide: a Messenger destroyed in East Africa, stations urgently mobilized across the Middle East.",The chapter is set entirely on Earth in 248 AD Japan. No space territory is depicted. Cutty's surveillance network covers the planet from an unspecified location.,No space journey occurs. All action is on the surface of Earth. The Messenger's temporal journey is referenced but not depicted.,"No space society is depicted. The chapter portrays the political dynamics of Yamatai: Miyo vs. Takahikone, Mimaso's timidity, Takahaya's loyalty.",Characters speak archaic Japanese. Miyo and the Messenger communicate via the magatama bead. Cutty translates and communicates in the local language.,No space environment is depicted. The setting is entirely terrestrial.,No one is in space. All action occurs on Earth's surface.,No space governance is depicted. The chapter focuses on Earth-based politics between Yamatai's rulers and allied chiefdoms.,"The chapter is dominated by military preparations: staging the Messenger's arrival, marching with 5,000 warriors, combat with Emishi pathfinders, and learning that Kunu has fallen to the mononoke. Strategic planning drives every scene.",Miyo is a civilian ruler directing military operations. Takahaya commands soldiers. Peasants observe the ceremonies. The Emishi envoy delivers a plea for humanitarian aid amid the military crisis.,No space domain is portrayed. All operations are on Earth's surface.,No space environment is experienced. The setting is terrestrial Japan.
Japan,The Lord of the Sands of Time,Chapter 4,Total war / constant conflict,Habitable and governable (permanent settlements can hold territory),Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Harsh and resource-intensive,Moderately common (noticeable settlements/populations),Earth nation-states extend into space,Military / war,Mostly military,Like the ocean / naval,Very different (human bodies/technology constantly challenged),"The ET launch 14,000 asteroids at Earth from the asteroid belt. Ten colonies mature on every continent. Cities and forests burn. Mars is attacked. A floating city of refugees faces imminent destruction. Messengers lose units as their creators' ancestors die. Humanity faces extinction in this timestream.",Mars has settlements under construction with materials from Earth and the Moon. The Moon has polar bases and commercial enterprises. Orbital and planetary infrastructure exists across the inner solar system. Humanity holds territory from Earth to Mars.,"The Messengers travel between Earth, the Moon, Mars, and Venus. Orville shuttles between bases scattered throughout Sol System as far as Mars. Interplanetary communication and administration have been perfected. Distances are measured in hours of comm lag.","22nd-century humanity extends Earth institutions into space: the United Nations, sovereign nations, corporations, commercial enterprises, and military bases. There is no distinct space culture; Moon bases have transport chiefs and commercial operations identical to Earth.","Orville speaks to Chan, a human officer from Shanghai, in standard language. Earth's languages are used throughout. The Messengers are fluent in all Earth languages. No space-specific language exists.",Venus is explored for hidden colonies in its thick atmosphere. The Moon requires commercial installations. Mars settlements depend on Earth supplies. The asteroid attack demonstrates the fragility of Earth. The floating city Penglai faces destruction from mass-produced airborne ET.,Mars has settlements under construction. The Moon has multiple commercial bases. The floating marine city Penglai houses refugees. Off-world production plants and lunar mining operations employ people throughout the inner solar system.,National governments control lunar bases and refuse to cooperate without domestic legislation. The UN passes resolutions but sovereign members resist. Great powers dominate negotiations. Corporations obstruct the Messengers. Earth's political divisions extend into space wholesale.,"The chapter is dominated by war: the ET asteroid bombardment, nuclear counterstrikes, ground invasion of Earth, burning cities visible from orbit, and the desperate defense of refugee cities. Chan's plea for his pregnant wife underscores the human cost.","The chapter revolves around military operations: asteroid defense, nuclear strikes, fleet deployments, and ground combat against ET. Chan is a military liaison. The Moon base is a military-adjacent commercial facility. Civilians appear mainly as refugees.",The fleet deploys nuclear weapons from ships retrofitted for human officers. The floating marine city Penglai echoes naval operations. Ships jammed with refugees dock while vessels bristling with antiaircraft guns head out to sea. The defense has distinctly naval characteristics.,Asteroids are weaponized against Earth. Venus has crushing atmosphere hiding ET colonies. The Moon's low gravity requires specialized operations. Nuclear strikes devastate Earth's surface. The biosphere is under catastrophic assault from multiple directions.
Japan,The Lord of the Sands of Time,Chapter 5,High contestation (frequent conflict or strategic struggle),Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mixed civilian-military domain,Other / Unsure,Other / Unsure,"Continuous battle against the mononoke across western Japan. Soldiers learn to fight ETs with rams, crossbows, and fire. The Messenger leads the frontlines. Cutty deliberately lures weakened mononoke to Yamatai as 'immunization.' Miyo discovers the deception and is devastated.",The chapter is set entirely on Earth in 248 AD Japan. No space territory is depicted.,No space journey occurs. All action takes place on the surface of ancient Japan.,"No space society is depicted. The chapter portrays the wartime society of Yamatai with its queen, ministers, and allied chiefdoms.",All communication is in archaic Japanese via the magatama bead. Cutty speaks through the bead in the local language.,No space environment is depicted. The setting is entirely terrestrial.,No one is in space. All characters are on Earth's surface.,"No space governance exists. The chapter focuses on Earth political dynamics: Miyo vs. Takahikone, and the mobilization of allied chiefdoms.","The chapter is entirely about military operations: destroying solar panels, training soldiers with new weapons, battles at Mount Miminashi, the arrival of reinforcements from Kunu and Toma. Miyo leads troops as bait in an ambush. Takahaya commands the trap.",Miyo is a civilian queen commanding military forces. Peasants and villagers are caught in the fighting. Takahikone struggles between civil governance and military ambition. The chapter mixes civilian political intrigue with battlefield action.,No space domain is portrayed.,No space environment is experienced. The setting is entirely on Earth.
Japan,The Lord of the Sands of Time,Chapter 6,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)",Near-Earth / very short journey,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Earth nation-states extend into space,Military / war,Mostly military,Like the air / airpower,Other / Unsure,"The Messengers have reached the height of WWII and redirected all combatants against the ET. Five hundred aircraft attack Kiruna. The Chinese Eighth Route Army annihilates the Fushun colony. ET develop geothermal energy silos (400+ worldwide) enabling unlimited time travel. Cutty proposes retreating 100,000 years to defend humanity at its evolutionary origin.",The Messengers operate from temporary bases like Oulu in Finland. Cutty's ship is stationed on the Moon. The ET attempt to establish footholds on the Moon. No permanent space settlements exist in this 1943 timestream beyond military installations.,"The only off-Earth activity is Cutty's ship on the Moon, dealing with ET trying to establish footholds there. All other action takes place on Earth's surface. The space component is near-Earth only.",No space society is depicted. The chapter portrays 1943 Earth with its WWII-era nations redirected against the ET. The Messengers operate within Earth's existing military structures.,"The generals speak their national languages. Orville communicates with Alexandr, Quench, and Cutty in standard language. Hartmann speaks German. No space-specific language exists.",Space conditions are barely referenced. Cutty fights on the Moon but no environmental details are given. The chapter focuses on Earth-based military operations.,No one lives in space. Cutty's ship is on the Moon but the chapter focuses entirely on Earth-based operations in 1943.,"The 1943 world is organized by Earth nation-states redirected against the ET. Americans, Soviets, Germans, Italians, British, French, Japanese, and Chinese forces cooperate uneasily. Behind the facade, secret agreements and power plays continue.","The chapter is entirely military: air campaigns from Oulu, carrier operations, geothermal energy discovery, strategic debates about self-replication vs. upstream defense. The Messengers vote on retreating 100,000 years. Orville volunteers to defend 400+ abandoned timestreams alone.","Every scene involves military operations or strategic planning. The Allied Air Command Center, carrier deployments, nuclear strikes, and the Messengers' vote on strategy. The only civilian is Hartmann, a pilot. Alexandr's story-writing is the sole non-military activity.","The chapter centers on air operations: Stukas, Shturmoviks, Mustangs, Bf 109s, and Macchis launch from Oulu. Carrier operations recover aircraft. The Allied Air Command coordinates multinational air forces. The military framework is explicitly airpower-based.",Space is barely depicted. The Moon fighting is mentioned but not described. The chapter's physical environment is entirely 1943 Earth.
Japan,The Lord of the Sands of Time,Chapter 7,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mostly military,Other / Unsure,Other / Unsure,"Eight thousand men have fallen in the march east. Three major battles, eight more by Takahaya, thirty smaller engagements, plus daily clashes. The battle at Toyokawa involves Scorpio catapults, suicide attacks, and thousands of dead. The fortress at Atago is overrun by iron-bodied mononoke with artillery. The retreat costs two-thirds of the army.",The chapter is set entirely on Earth in 248 AD Japan. No space territory is depicted.,No space journey occurs. Orville tells stories of other time periods but no spatial travel takes place.,"No space society is depicted. The chapter portrays wartime Japan with Miyo, Orville, Kan, and Takahaya leading the Yamatai armies.",All communication is in archaic Japanese. Orville tells Miyo stories of other lands in her language. Kan speaks standard Japanese of the era.,No space environment is depicted.,No one is in space.,"No space governance is depicted. Cutty threatens to seize all antimatter and fight alone, but this is a strategic disagreement, not space governance.","The chapter is consumed by warfare: the march east, the battle of Toyokawa, building the fortress at Atago, the devastating night attack with ET artillery, the catastrophic retreat. Orville and Miyo's intimacy develops amid constant combat.","Nearly every scene involves combat, military strategy, or army movements. Miyo leads from the palanquin. Orville fights on the front lines. Takahaya commands troops. The brief romantic interlude occurs within the military context.",No space domain is portrayed. The fighting is entirely terrestrial.,No space environment is experienced.
Japan,The Lord of the Sands of Time,Chapter 8,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mostly military,Other / Unsure,Other / Unsure,"Orville returns from 406 timestreams with 370 defeats, the sole survivor of his 25-person team. The Messengers maintain a 100,000-year vigil against sporadic ET attacks. Major battles occur at Nan Madol and in Egypt. Cutty reveals the ET creators' motivation: revenge for a human observation station that nearly destroyed their ancestral microbes.","The Messengers' Victoria Base near Lake Victoria has mining operations, factories, and weapons production. It serves as Earth's strongest fortress. Human civilizations develop permanent settlements far ahead of schedule: farming communities in Ethiopia, kingdoms in North America, an ocean empire in the South Pacific.","Cutty launched a probe to Teegarden's Star, 12 light-years away, using a solar sail that took 72,000 years to arrive. The ET creators are from 120 million years in the future. The temporal and spatial distances are effectively infinite and unreachable.","No space society is depicted in this chapter. The Messengers live among proto-humans at Lake Victoria. The civilizations that develop are Earth-based, influenced by the Messengers' presence.",Orville and Alexandr communicate via their internal network. The proto-humans have a few hundred words. The Egyptian girl speaks ancient Egyptian. All languages are Earth-based.,Space is referenced only as the destination of Cutty's probe to Teegarden's Star. No space environment is directly depicted or experienced.,"No one lives in space. The Messengers and proto-humans are all on Earth's surface over a 100,000-year span.",No space governance exists. The Messengers govern their own military operations via majority vote. Earth civilizations develop independently. Cutty functions as a de facto military dictator over the Messenger forces.,"The chapter spans 100,000 years of military vigilance. Orville fought across 406 timestreams. Alexandr fought at Nan Madol. Cutty reveals the ET origins and proposes attacking their home planet. Alexandr is court-martialed for desertion. Every scene relates to the war.","The Messengers are military assets maintaining a 100,000-year defensive vigil. Victoria Base is a military installation. Alexandr's court-martial reinforces the military framework. The only civilian elements are the proto-humans and the Egyptian girl.",No space domain is portrayed. The war takes place across time on Earth's surface.,Space is not experienced. The probe to Teegarden's Star is unmanned. All characters remain on Earth.
Japan,The Lord of the Sands of Time,Chapter 9,Total war / constant conflict,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Mostly military,Other / Unsure,Other / Unsure,"The Yamatai armies face annihilation: the fortress falls, the army retreats to Suminoe Harbor where 8,000 men make a last stand against 20,000 iron-bodied mononoke with cannons. Takahaya is killed. Cutty self-destructs at Victoria Base with 37.7 gigatons of TNT. Orville dies in combat. Only the arrival of Omega's temporal army saves the survivors.","The chapter is set entirely on Earth in 248 AD Japan. Omega's ship descends from the sky but is from the future, not from space habitation. No space territory is depicted.","No space journey occurs. Omega arrives via temporal travel from the 21st century, not spatial travel. His ship is a time vessel.",No space society is depicted. The chapter portrays the final battle of the Yamatai armies and Miyo's leadership in extremis.,All communication is in Japanese. Miyo speaks through the magatama. Omega speaks to Miyo in her language. Kan speaks archaic Japanese.,No space environment is depicted. The battle takes place on beaches and in surf.,No one is in space. Omega's ship briefly appears but descends to Earth immediately.,No space governance exists. The chapter focuses on Earth-based military crisis and Miyo's leadership.,"The chapter is the climactic battle: the fall of the fortress, Takahikone's betrayal and death, the last stand at Suminoe, Takahaya's death, Cutty's self-destruction, Orville's death, and Omega's rescue. Every scene is combat or its immediate aftermath.","The entire chapter is military: fortress defense, retreat, last stand, naval-style rescue. Miyo commands troops. Kan kills Takahikone. Omega's temporal army destroys the ET. The only civilian element is the refugee women sent west.",No space domain is portrayed. The temporal army arrives from the sky but operates as a planetary strike force.,No space environment is experienced. All action takes place on Earth's surface and in coastal waters.
Japan,The Lord of the Sands of Time,Chapter 10,No contestation,Habitable and governable (permanent settlements can hold territory),Other / Unsure,Basically Earth society in space,Same languages as Earth,Other / Unsure,Other / Unsure,Single unified authority,Drama,Mostly civilian with some military presence,Like the ocean / naval,Other / Unsure,The war against the ET is effectively won. Omega's ship arrives at Osaka Space Terminal to celebrations. The enemy faces the beginning of the end. The chapter is a peaceful epilogue focused on Omega processing O's memories and meeting Sayo.,"The 2010 setting has the Osaka Space Terminal, a massive facility accommodating Omega's flagship. The Global Confederation of Nations and Ministry for Temporal Administration govern. Humanity has permanent space infrastructure.","No space journey is depicted. The ship arrives at Osaka Space Terminal from temporal operations, not from a spatial voyage.","The 2010 setting shows Earth society with temporal technology: a Global Confederation, Ministry for Temporal Administration, space terminals, and AI Pathfinders. Society is recognizably Earth-like with advanced technology.",Omega speaks standard Osakan Japanese. Sayo speaks with a regional accent from east of Osaka. Alpha speaks standard language. All communication is in Earth languages.,No space environment is depicted. The chapter takes place at a space terminal on Earth.,Space habitation is not depicted in this chapter. The focus is on Omega's arrival on Earth and his emotional response to O's memories.,The Global Confederation of Nations governs humanity. The Ministry for Temporal Administration coordinates temporal operations. There is a single unified political authority overseeing the war against the ET across timestreams.,"The chapter is a quiet, emotional epilogue: Omega processes O's memories and discovers the void at the core of his being, weeps, then meets Sayo from Makimuku who wears a magatama bead. The resonance with Orville and Miyo's story creates a deeply dramatic moment.","The scene is a civilian celebration at a space terminal. Politicians, young women with bouquets, and crowds welcome the ship. Omega and Alpha are military Pathfinders but the setting is overwhelmingly civilian. The war is ending.",The flagship Secundus Minutius Hora settles into a sea berth at Osaka Space Terminal. Tugs spray water. The gangway extends. The scene has distinctly naval characteristics: a ship arriving in port to a civilian welcome.,No space environment is experienced in this chapter. The setting is Earth's surface at a space terminal.
