country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Finland,The Causal Angel,Prologue,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Military / war,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The Prologue depicts a solar system at war, with Pellegrini's sisters fighting the vasilevs and hsien-kus, and the All-Defector orchestrating an apocalyptic conflict. The sky is described as alive with 'fire and war' and the System is 'boiling with motion.'","The Sobornost controls vast territories organized into raions, oblasts, and guberniyas across the inner solar system, with sunlifting machines girdling the Sun and smartmatter factories. The Belt civilizations also hold territory along the Highway.","Earth is being destroyed by Dragons and is effectively gone. The story takes place across the entire solar system, with Pellegrini trapped in a virtual prison far from events. The distances are vast and the separation from any Earth-like origin is total.","Society is organized around uploaded minds (gogols), Founder copyclans, and virtual realities (virs and jannahs). Pellegrini is centuries old, inhabiting a mindshell, commanding demiurge gogols. This is entirely unlike any Earth society.",Communication occurs through qupts (quantum messages) and direct mental interfaces with gogols and demiurges. Language as such is irrelevant; communication is technological and mind-to-mind.,"The physical environment is not the primary threat; rather, the dangers come from other actors. Pellegrini survives in a virtual beach environment. The lesser civilizations of the Belt survive by huddling near the Sobornost. Space itself is managed through technology.","Virtually all of humanity lives in space, distributed across the solar system in guberniyas, Belt civilizations, and virtual environments. Earth is being destroyed and was already largely abandoned. Living in space is the norm.","The Sobornost itself is divided into competing Founder copyclans (pellegrinis, vasilevs, hsien-kus, chens). Beyond them are the Belt civilizations and other groups. The system is deeply multipolar with many factions at war.","The Prologue is dominated by war: the destruction of Earth, the Sobornost civil war, and the All-Defector's apocalyptic machinations. Pellegrini observes battles and schemes to unite Founders against a common enemy.","While the Prologue focuses heavily on war between Founder copyclans, the Belt civilizations are described as refugees fleeing conflict, suggesting a civilian population caught up in military events. The Sobornost infrastructure serves both purposes.","Space is portrayed as an information domain where minds exist as gogols in virtual environments, wars are fought through code and firmament, and the solar system is described as a 'cosmic web of thought' and a vast brain at war with itself.","The physical environment includes virtual realities, uploaded minds, smartmatter factories girdling the Sun, and the destruction of Earth by self-replicating Dragons. The experience is fundamentally unlike anything on Earth."
Finland,The Causal Angel,Chapter 1,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Multiple factions compete to find Mieli, including the Great Game Zoku, Sobornost Founder copyclans, and mercenaries. Jean manipulates Highway traffic and creates conflicts between ships to advance his plans. The Sobornost civil war rages in the background.","The Highway is flooded with thousands of ships from Belt civilizations. Saturn's Supra City, Mars's Oubliette, and the Sobornost guberniyas all represent extensive territorial holdings across the solar system.",Jean is several light-minutes from Mars and must slow his clockspeed for real-time conversation. The journey to Saturn will take seventeen days. Earth has been destroyed. The distances create meaningful separations between all actors.,"Society features uploaded child-minds, quantum pyramid schemes, cetamorph whale-human hybrids, zoku collectives governed by entanglement and volition, and an economy based on trajectory access and entanglement trading. Nothing resembles Earth society.","Characters communicate via qupts that carry not just words but emotions, sensory data, and compressed memories. Jean and Isidore exchange co-memories across light-minutes. Language barriers are irrelevant due to technology.","Jean's ship the Wardrobe is described as barely functional, a 'cherry-sized blob of primitive smartmatter,' but he survives. The Highway is chaotic with refugees and conflicts but traversable. Natural conditions are managed by technology.","The Highway is flooded with thousands of ships of every kind. Cetamorph cities, Belt civilizations, and the Oubliette on Mars all demonstrate that living in space is completely ordinary for this civilization.","The chapter features Sobornost Founder copyclans, the Great Game Zoku, Highway-zoku, Sagan-Zoku, Rainbow Table Zoku, cetamorphs, ursomorphs, Ceresians, the Oubliette kingdom, and many other factions all operating independently.","The chapter follows Jean's quest to find and rescue Mieli, involving clever schemes, disguises, and detective work. He contacts the King of Mars, devises a pyramid scheme, and traces Mieli through flower telescope data. It reads as a heist-adventure.","The chapter focuses on civilian activities: trading, navigation, refugee movement, and detective work. Military conflict occurs between an ursomorph rockship and Ceresian ships, but it is incidental to Jean's civilian-focused scheming.","Space is navigated through spimescapes, quptlinks, and data networks. Jean searches for Mieli through digital data trails, runs cognitive agents, and manipulates Highway traffic through quantum contracts and algorithmic bids.","The physical environment includes the Highway gravitational artery, synthbio flowers forming distributed telescopes on Mars, ships made of carbon nanotubes and smartmatter, and virtual realities. The experience is fundamentally alien."
Finland,The Causal Angel,Chapter 2,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Thriller / Horror / Survival,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter takes place within a zoku Realm game where Mieli fights gaki and tengu, and is manipulated by the Great Game Zoku. The Pellegrini gogol warns Mieli about the zoku's intentions, indicating ongoing rivalry between Sobornost and zoku factions.","The chapter ends with Mieli standing on a balcony overlooking Saturn's vast sky, bisected by the blade of a ring. The zoku control Saturn. The Realm itself represents a territory held and shaped by the Great Game Zoku.","Mieli is trapped in a zoku Realm on Saturn, completely separated from her previous life. The Pellegrini warns that the Great Game Zoku fought Mieli in the Protocol War. Earth is gone. The separation from any origin is total.","The entire chapter takes place within a game-like Realm shaped by zoku mechanics, where trust and behavior are manipulated through narrative structures. The Pellegrini appears as a dream-figure. Social interaction is mediated by game rules and zoku volition.",Communication occurs through the Realm's game mechanics and through the Pellegrini's direct mental presence in Mieli's mind. The Realm translates everything into the Japanese-inspired game setting regardless of actual language.,"Within the Realm, Mieli faces physical dangers from gaki and tengu, but these are game constructs. The real danger is psychological manipulation. The environment is managed but presents risks to Mieli's autonomy and identity.","The chapter implies a vast civilization living in space, as the Great Game Zoku operates from Saturn and the Realm is a normal part of zoku life. The brief glimpse of Supra City at the end confirms widespread habitation.",The Great Game Zoku and the Sobornost (represented by the Pellegrini gogol) are distinct political entities with competing interests. The zoku and Sobornost represent fundamentally different modes of social organization.,"The chapter is structured as a psychological thriller. Mieli is manipulated through a game Realm, warned by the Pellegrini not to trust her companion, and ultimately betrays the usagi-ronin before attempting ritual suicide. It is tense and psychologically dark.","The Realm is a game construct, not a military operation. However, Mieli's military background and the Pellegrini's warnings about the Great Game Zoku's intelligence-gathering intentions introduce a military-intelligence dimension.","The entire chapter takes place in a virtual Realm, a game-like construct that shapes reality according to coded rules. The Pellegrini explains that it is 'a zoku Realm, a game' with mechanics designed to manipulate behavior.","The physical environment is a constructed Realm where reality is shaped by game rules. The chapter ends with Mieli emerging onto Saturn, with its impossibly vast sky and ring. The experience is fundamentally unlike Earth."
Finland,The Causal Angel,Chapter 3,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Extremely hostile (constant survival pressure),Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Thriller / Horror / Survival,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter culminates in the destruction of Mars by the Phobos singularity, orchestrated by the Great Game Zoku Elder Sagewyn. Isidore discovers that the Great Game caused the Spike that destroyed Jupiter and has been covering their tracks through data manipulation.","The Oubliette is a moving city on Mars with its own governance, exomemory system, and territory. The zoku have their own colony in the Dust District. The Sobornost controls the inner system. Multiple polities hold extensive territories.","Mars is destroyed at the end of the chapter, collapsed into a singularity. The Kaminari vision shows civilizations that fled Earth during the Collapse, traveling to Jupiter and Saturn. The distances and separations are total and irreversible.","The Oubliette operates on exomemory and gevulot (privacy protocols), with a King who can access all memories. The Kaminari were a civilization that encoded their identities in jewels. The social orders are completely unlike Earth.","Communication occurs through co-memories, exomemory, and qupts. Isidore experiences Owl Boy's memories directly. The Kaminari communicate through entanglement across the solar system. Technology makes language irrelevant.",Mars is destroyed by the Phobos singularity at the end of the chapter. Jupiter was previously destroyed by the Spike. The Great Game Zoku is willing to destroy entire worlds to protect its secrets. The environment is lethally hostile.,The Oubliette is a permanent walking city on Mars with a full civilization. The Kaminari spread across the solar system from Earth. Zoku colonies exist on Mars. Living in space is completely normalized.,"The chapter features the Oubliette with its own King and tzaddikim, zoku Elders like Sagewyn with their own agendas, the Great Game operating covertly within other zoku, the Sobornost, and the Kaminari. The political landscape is deeply fragmented.","Isidore investigates a mystery that leads to a confrontation with the shadow agent Sagewyn, culminating in the apocalyptic destruction of Mars. The chapter builds tension through detective work and ends in catastrophe.","Isidore operates as a civilian detective-king, but the Great Game is a military-intelligence organization willing to use weapons of mass destruction. The chapter blends civilian investigation with strategic violence.","The chapter revolves around exomemory, quantum information hidden in minds, and the Kaminari's attempt to create a system-wide viral zoku through entangled light. Space is characterized as an information domain where minds and data are the primary battleground.","The physical environment includes a walking city, exomemory systems, Planck-scale physics, quantum condensates in brain microtubules, and the collapse of an entire planet into a singularity. The physics are fundamentally non-Earth-like."
Finland,The Causal Angel,Chapter 4,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly civilian with some military presence,Like the frontier / colonial expansion,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Jean infiltrates the Gun Club Zoku under a false identity, the Great Game monitors zoku activities, and the Sobornost civil war rages in the background. Jean is nearly exposed by Chekhova and must improvise to maintain his cover.",The Gun Club holds territory on Iapetus with its orbital ring and Arsenal. Supra City is described as the zoku capital on Saturn. The Sobornost controls the inner system. Multiple factions hold extensive space territories.,"Jean is on Iapetus near Saturn, Earth is destroyed, Mars has been collapsed into a singularity. The distance from any Earth-like origin is total. Jean reflects on friends lost on Mars who are locked behind an event horizon.","The Gun Club Zoku operates through Circles that define reality, entanglement-based social bonds, and Elders who achieve status through advancing zoku goals. Barbicane is a steampunk cyborg who is actually a quantum-brained posthuman. Society is entirely alien.","Communication happens through quptlinks, spimescapes, and within Circles that define conversational rules. Jean communicates with Matjek and the Aun through direct mental links. Technology renders language differences irrelevant.","The environment on Iapetus is managed through zoku technology, but the social risks are significant. Jean faces exposure by Chekhova and the threat of the Great Game Zoku. Physical survival is not the primary concern; social and strategic risks dominate.",Iapetus hosts the Gun Club Zoku's orbital ring and Arsenal. Jean arrives via cetamorph ship. The Highway is crowded with refugees. Children play nuclear war games in a crater. Living in space across the solar system is completely normalized.,"The chapter features the Gun Club Zoku, Narrativist Zoku, Great Game Zoku, the Teddy Bears mercenary company, Sobornost Founders, the Aun, and numerous other factions. The political landscape is extremely fragmented.","Jean adopts a disguise to infiltrate the Gun Club and negotiate for access, navigating social intrigue and improvising when his cover is nearly blown. The chapter reads as a heist-adventure focused on clever deception and quick thinking.","The Gun Club is primarily a civilian hobbyist organization devoted to weapons as art and engineering. However, the Great Game Zoku operates as an intelligence service, and Jean's mercenary cover identity introduces a military element.","The chapter evokes frontier imagery with its emphasis on antiques trading, settling new territory in Supra City, refugees from destroyed worlds, and the Gun Club's Victorian-era aesthetic. Jean is seeking a new start on the frontier of Saturn.",Iapetus has an orbital ring and equatorial ridge with Arsenal chambers of pseudomatter. A crater contains a miniature Earth with nuclear wars. Children create hydrogen bombs by hand. The Circles redefine local physics. The environment is completely non-Earth-like.
Finland,The Causal Angel,Chapter 5,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Drama,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),Mieli is being held and manipulated by the Great Game Zoku. The Pellegrini reveals the Sobornost civil war and the All-Defector threat. Zinda confirms the Great Game saw the chens as a threat and ran an operation against them. Multiple strategic struggles intersect.,Supra City on Saturn is described as a vast habitat strip tens of thousands of kilometers long. The Sobornost guberniyas control the inner system. The Great Game operates across multiple zoku territories. Territorial occupation is extensive.,"Mieli is on Saturn, completely cut off from her Oortian origins. Perhonen crashed into Earth and is gone. Earth itself is destroyed. The distances and losses create total separation from any previous life.","The zoku operate through Circles, Realms, volition extrapolation, and entanglement-based social bonds. Zinda explains how volition works through a complex game-theoretic computation. The Pellegrini exists as a gogol in Mieli's mind. Society is completely alien.",Mieli communicates with Zinda verbally within a Circle but also through her Sobornost enhancements and intel gogols. The Pellegrini speaks directly into Mieli's mind. Technology mediates all communication.,"Mieli nearly throws herself into Saturn's atmosphere in despair, showing the environment can be lethal. But the habitat strip provides breathable air and livable conditions. The physical environment is managed but the emotional and political dangers are significant.","Supra City is a massive inhabited structure on Saturn. Hundreds of zoku trueforms dart along canals. The habitat strip has buildings, gardens, and a breathable atmosphere. Living in space is entirely ordinary.","The chapter features the Great Game Zoku, Manaya High Zoku, Rainbow Table Zoku, Sobornost Founder copyclans (pellegrinis, chens, vasilevs, hsien-kus), and Oortian communities. Each has different goals and structures.","The chapter is intensely emotional, centered on Mieli's grief over Perhonen, her near-suicide at the edge of Saturn, and her painful decision to work with the Pellegrini again. The plot advances through character drama rather than action.","Mieli is a military veteran being recruited by an intelligence organization (Great Game). Zinda discusses the Protocol War and military threats. But Supra City itself is primarily civilian, with its canals, buildings, and everyday zoku life.","Space is characterized by Realms, Circles, jewels, and volition cones. The Great Game operates through information and entanglement. Mieli's combat systems and intel gogols scan the environment digitally. Space is an information-mediated domain.","Saturn's habitat strips are tens of thousands of kilometers long, supported by mass streams above the gas giant. The sky is bisected by rings. Mieli flies to the edge of the atmosphere and looks into the abyss of Saturn's crushing depths. The environment is radically non-Earth-like."
Finland,The Causal Angel,Chapter 6,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The entire chapter is a heist culminating in a violent confrontation. Matjek fires weapons in the Arsenal, Jean exposes Barbicane as a Great Game agent, Chekhova and Barbicane fight, and Jean escapes under threat. The Gun Club's Arsenal is thrown into chaos.","The Gun Club Arsenal beneath Iapetus's equatorial ridge contains chambers tens of kilometers long filled with weapons including holeships. The orbital ring, Arsenal, and Saturn system infrastructure all demonstrate extensive territorial occupation.",The action takes place deep inside Iapetus near Saturn. Mars has been destroyed. Jean reflects on Mieli joining the Great Game on Saturn. The characters are completely separated from Earth or any origin point.,"The Gun Club operates through Circles with Schroeder locks that define reality. Zoku members shift between trueforms and alters. Barbicane is secretly a Great Game member. Social interaction is governed by entanglement, Circles, and zoku volition.","Jean communicates with Matjek through quptlinks, with Barbicane through Circles, and navigates using spimescapes. The Circle translates everything into a Victorian gentlemen's club setting. Technology renders language irrelevant.","The Arsenal environment is controlled by zoku technology, but the chaos of weapons firing and a holeship nearly going off creates extreme immediate danger. Jean suffers second-degree burns from a nuclear detonation. The environment is managed but the risks are severe.",The Gun Club maintains vast Arsenal chambers beneath Iapetus. Zoku trueforms work among the weapons like medusae. The infrastructure of the orbital ring and Arsenal demonstrates that space habitation is completely ordinary.,The chapter reveals that the Great Game has infiltrated the Gun Club through Barbicane. Jean acts independently. The Aun exist as another faction. The political landscape is deeply fragmented with hidden allegiances.,"The chapter is a classic heist sequence: Jean uses Matjek as a distraction, manipulates Barbicane and Chekhova, steals the Leblanc, and escapes through the Arsenal. It is pure adventure-thriller territory.","The Arsenal is a weapons collection maintained by a civilian hobbyist zoku, but it contains military-grade weapons including holeships and black holes. The Great Game operates as a military-intelligence organization within civilian structures.","The heist operates through quptlinks, neutrino signals hidden in fake nuclear warheads, and manipulation of the Arsenal's gunscape. Jean communicates with Matjek through entangled quantum states. Space is characterized as a networked domain.",The Arsenal chambers are made of pseudomatter with blue-green illumination where nothing casts shadows. Weapons include holeships storing black holes and an ekpyrotic gun that creates miniature Big Bangs. The physics are radically non-Earth-like.
Finland,The Causal Angel,Chapter 7,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mixed civilian-military domain,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The Sobornost civil war is shown in full detail with battles around sunlifter mines and Highway hubs. Mieli's team is assembled for a mission to kidnap a Sobornost Founder mind. Anti-de-Sitter-times-a-Sphere harbors hostility toward Mieli for the Protocol War.,"Supra City's structure is described in spectacular detail: the Farreach Plate with ascending gravity steps, the Irem Plate under construction, mass streams supporting vast habitats, and the Underpirate spider-cities. Territorial occupation is massive in scale.",Mieli has created an Oortian-style garden on Saturn because she cannot return to Oort. The Sobornost war extends from the inner system to the Belt and Jovian trojans. Earth and Mars are gone. The separation from origins is complete.,"Society is organized through multiple overlapping zoku memberships with quantum entanglement-based social bonds. Mieli lives in a self-defined Circle reality. Quick Ones, foglet trueforms, and kaiju-bodied zokus demonstrate a radically alien social order.","Communication occurs through qupts carrying sensory impressions, volition flashes, and zoku-mediated messages. Anti-de-Sitter-times-a-Sphere communicates in mathematical abstractions. Sir Mik speaks in an archaic style. Technology mediates everything.","Mieli's garden is damaged by quantum spam rain but she survives. The environment of Supra City is managed through Plate zoku infrastructure, Circles, and transport bubbles. Physical survival is not the primary concern.","Mieli gardens on Saturn's Farreach Plate. She rides transport bubbles past continent-scale fabbers, kaiju-bodied zokus, and Underpirate spider-cities housing hundreds of thousands. Space habitation is completely normalized and diverse.","The chapter features the Loom-zoku, Huizinga-zoku, Plate-zoku, Tube-zoku, Great Game, Notch-zoku, spam zoku, Underpirates, Stormriders, and Sobornost factions. Each has its own volition and goals. The landscape is extremely fragmented.","The chapter builds toward a mission to kidnap a Sobornost Founder mind. Mieli assembles a team, overcomes interpersonal conflicts through an inspiring speech, and they forge a new zoku brotherhood. It reads as an adventure quest setup.","Mieli tends her garden and navigates civilian zoku life, but is called to a Great Game intelligence mission. The Sobornost civil war provides a military backdrop. Sir Mik's ship is a military vessel. The domain is a mix of civilian and military.","Space is characterized by overlapping zoku networks, volition cones, entanglement, and Circles that define local reality. The intelligence operation targets quantum information (a chen thoughtwisp). Space is a networked, abstract domain.","Supra City features ascending gravity plates supported by mass streams over Saturn, continent-scale fabbers, cloud-walls twenty kilometers high, and transport bubbles moving at 20,000 km/h. The physics and environment are radically non-Earth-like."
Finland,The Causal Angel,Chapter 8,High contestation (frequent conflict or strategic struggle),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Drama,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),The Great Game Zoku is actively hunting Jean. Barbicane warned they would catch him. Jean discovers that the Great Game engineered the Spike that destroyed Jupiter and the destruction of Mars. He plans to become an existential threat to confront them.,"Jean hides the Leblanc in Saturn's cloud layers, avoiding Supra City's support structures and the Notch stormcrafter playground near the South Pole. The zoku presence extends throughout Saturn's atmosphere and structures.","Jean is hiding in Saturn's lower cloud layers, completely cut off. Mars is gone, Earth is gone. Matjek is trapped in a virtual bookshop. The Chimney Princess tells Jean the answers he needs are in the wildcode desert of destroyed Earth. Separation is total.","The Leblanc is a picotech ship bigger inside than outside, filled with interconnected Realms. Matjek has aged years in subjective time within a virtual bookshop. The Aun are self-loop living memes. Society operates through gogols, virs, and entanglement.","Jean communicates with Matjek through the vir, with Carabas through the ship's neural interface, and with the Aun by letting them enter his mind. The Kaminari message is decoded from quantum states. Language is entirely technology-mediated.","Jean navigates Saturn's ammonia hydrosulfide clouds and water vapor layers, managed by the Leblanc's technology. The physical environment is harsh but survivable with proper tech. The real risks are from the Great Game's pursuit.",Jean casually hides his ship in Saturn's atmosphere. The Notch stormcrafter playground and Karman vortex calculators near the South Pole show that even Saturn's deep atmosphere is a site of habitation and activity. Space living is completely normal.,"The chapter features the Great Game, Gun Club, Kaminari (historical), Sobornost Founders, the Aun, zoku stormcrafters, and Notch-zoku. Jean plans to rebuild the city of Sirr. The political landscape remains deeply fragmented.","The chapter centers on Jean's emotional confrontation with Matjek, who has discovered the truth about his origins and is furious. Jean also wrestles with guilt over Mars and Perhonen. The plot advances through character relationships and internal conflict.","The chapter is focused on personal relationships and Jean's plans rather than military action. Jean evades the Great Game but does not engage in combat. The Leblanc's treasure room contains stolen items but is used for research, not warfare.","Jean decodes quantum information from the Kaminari, explores the Leblanc's interconnected Realms, and discovers the Great Game's secrets through data analysis. The Aun exist as living memes. Space is characterized as an abstract, information-rich domain.","The Leblanc is a picotech ship with pseudomatter and quark configurations orbiting a tiny black hole, bigger inside than outside. Saturn's cloud layers are navigated like an ocean. Karman vortex trains compute with gas masses larger than Earth's atmosphere."
Finland,The Causal Angel,Interlude,Moderate contestation (ongoing rivalry/disputes),Extensive territorial occupation (many settled worlds/regions held like states or empires),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),Manageable but risky,Normalized / widespread (space habitation is ordinary for humanity),Multiple distinct space polities,Drama,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The chapter depicts ongoing rivalry among Sobornost Founders, with Josephine navigating backstabbing siblings and a fanatic (Matjek Chen) who wants to conquer death. Jean plans to steal the Kaminari jewel from Chen, indicating strategic disputes over powerful artefacts.","Josephine inhabits computronium beneath a planet's crust and controls a singularity, while the Sobornost guberniyas span the solar system. Jean has been living on Mars, and references to the System map in the sky suggest widespread territorial holdings.","Jean mentions not having seen Josephine for nearly two hundred years, and his visit to her labyrinth temple in the shadow of Kunapipi Mons implies vast distances across the solar system. Earth is a distant memory in this far-future setting.","Josephine exists as a vast computational entity embedded in a planet's crust and a black hole's event horizon, creating images of herself from Hawking radiation. The social order involves gogol copies, copymothers, and branching selves, which is fundamentally alien to any Earth society.","Communication occurs through gamma rays, vir environments, and direct mind-to-mind contact within virtual spaces. Josephine speaks in a voice made of gamma rays and vaporises Jean into a mindshell, bypassing conventional language entirely.","Jean requires heavy zoku armour and quantum jewels to survive near Josephine's singularity, and she casually vaporises him to transfer him into a vir. Physical space near black holes is hostile, but advanced technology makes it manageable for those equipped.","The chapter presents existence in space as completely ordinary. Josephine lives in planetary computronium, Jean has been on Mars for centuries, and the System map of interconnected space habitats is visible in the sky like a spiderweb.","The chapter references the Sobornost Founders as competing siblings, the zoku as a separate faction (Jean wears zoku armour), and Mars as an independent settlement. These are distinct political entities with different governance structures.","The chapter is an intimate, emotionally charged encounter between two former lovers. Jean gives Josephine a flower as a way to find him if he is captured, and the scene ends with her deciding to betray him to Matjek Chen. The focus is on relationships and personal motivations.","The chapter focuses on personal relationships and political intrigue rather than military operations. However, Josephine mentions warmind gogols that she uses to scan the flower for traps, and she references wars and factional conflicts among Founders.","Space is characterized through computational and informational metaphors. Josephine exists as distributed computronium, the System is mapped as a spiderweb of connections, and conflict occurs through gogol warfare and information encoding rather than physical naval or aerial combat.","The physical environment includes a black hole singularity, Hawking radiation used as a communication medium, and virtual reality spaces where time runs at picosecond rates. Josephine's body spans a planet's crust and an event horizon, which is fundamentally unlike any Earth experience."
