country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification,source_file,file_stem,part_position,chapter_position
China,A View from the Stars,Time Enough for Love,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay by Liu Cixin about his personal journey as a sci-fi writer. No fictional narrative depicting space contestation.,Essay about the author's writing career and Chinese sci-fi. No narrative depiction of space habitation.,No narrative depicting any space journey or distance.,No narrative depicting space society; discusses real-world literary community.,No narrative depicting space language or communication.,No narrative depicting space environmental conditions.,No narrative depicting space habitation prevalence.,No narrative depicting space political order.,Nonfiction personal essay about writing sci-fi; not a narrative with a classifiable genre.,No narrative depicting civilian or military space activity.,No narrative providing a space domain analogy.,No narrative depicting space physical conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Whale Song,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Thriller / Horror / Survival,Other / Unsure,Other / Unsure,Other / Unsure,"Story is set entirely on Earth's ocean, involving a drug lord using a mind-controlled whale for smuggling. No space setting or contestation.",No space setting. The story takes place on the ocean between a yacht and Miami.,No space journey depicted. All travel is by sea.,No space society depicted. Characters are Earth-based drug smugglers and a marine biologist.,No space language depicted. Communication is normal Earth language.,No space environment depicted. Setting is the ocean.,No space habitation depicted.,No space political order depicted.,"A drug-smuggling thriller involving a mind-controlled whale. Uncle Warner and Hopkins use the whale Poseidon to smuggle heroin, and are killed when a whaler attacks on the return trip.",No space domain depicted. Story is Earth-bound criminal activity on the ocean.,No space domain to draw an analogy for.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,A Journey in Search of Home,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Nonfiction essay about writing 'The Wandering Earth,' discussing scientific rigor vs literary aesthetics. No narrative depicting space.",Essay discussing the tension between science and literature in writing. No space habitation depicted.,No space journey depicted in this essay about the writing process.,No space society depicted; discusses literary themes.,No space language or communication depicted.,No space environmental conditions depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction essay about literary craft; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,The Messenger,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Drama,Other / Unsure,Other / Unsure,Other / Unsure,Story is set entirely on Earth: a time traveler visits Einstein in 1950s Princeton. No space setting or contestation.,No space habitation depicted. The story takes place in Einstein's home on Earth.,"No space journey. The visitor travels through time, not space. His departure involves remaining stationary in absolute space-time while Earth moves.",No space society depicted. The visitor is from the future but describes no space-based society.,No space language barriers. The time traveler communicates normally with Einstein.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,A philosophical drama in which a time traveler visits Einstein to deliver two messages: humanity survives and God does play dice. Emotional exchange centered on physics and human destiny.,No space domain depicted.,No space domain analogy.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Butterfly,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Military / war,Other / Unsure,Other / Unsure,Other / Unsure,Set entirely on Earth during the 1999 NATO bombing of Yugoslavia. No space setting or contestation.,No space habitation. Story involves weather manipulation on Earth.,"No space journey. Aleksandar travels to Mauritania, Okinawa, and Antarctica on Earth.",No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,"Set during the NATO bombing of Yugoslavia, Aleksandar uses chaos theory and atmospheric sensitivity points to create cloud cover protecting against aerial bombing. His wife is killed by a missile.",No space domain depicted. Military activity is entirely atmospheric/terrestrial.,No space domain to draw an analogy for.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,One and One Hundred Thousand Earths,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay arguing space development is as important as environmental protection. No narrative depicting space contestation.,Essay discusses the resource potential of the solar system conceptually but provides no narrative depiction of space habitation.,No narrative depicting a space journey.,No narrative depicting space society.,No narrative depicting space communication.,No narrative depicting space environmental conditions.,No narrative depicting space habitation.,No narrative depicting space political order.,Nonfiction essay about space development policy; not a narrative with classifiable genre.,No narrative depicting civilian or military space activity.,No narrative providing a space domain analogy.,No narrative depicting space physical conditions.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Thirty Years of Making Magic Out of Ordinariness,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay celebrating Science Fiction World magazine's 30th anniversary. No narrative content depicting space.,Essay about the Chinese sci-fi literary community. No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction commemorative essay; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,On Finishing Deaths End,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction blog post about completing the Remembrance of Earth's Past trilogy. No narrative depicting space.,Brief personal reflection on writing speed. No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction blog post; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,End of the Microcosmos,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Other / Unsure,Other / Unsure,Other / Unsure,"Story is set at a particle accelerator in Lop Nor, China. No space-based contestation; the conflict is about a physics experiment on Earth.",No space habitation depicted. All action takes place at an Earth-based particle accelerator.,No space journey depicted. The cosmic effects (sky inversion) happen on Earth.,No space society depicted. Characters are Earth-based physicists.,No space language depicted. Scientists communicate normally.,No space environment experienced by characters. The universe inverts visually but characters remain on Earth.,No space habitation depicted.,No space political order depicted.,"Scientists at a particle accelerator make a groundbreaking discovery by splitting a quark, causing the universe to invert. The story centers on scientific exploration and its unexpected cosmic consequences.",No space domain depicted. Activity is Earth-based scientific research.,No space domain analogy; the story deals with particle physics on Earth.,No space physical environment experienced. The visual inversion of the sky is observed from Earth.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,The Battle Between Sci-Fi and Fantasy,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay comparing science fiction and fantasy genres. No narrative depicting space contestation.,Essay about genre distinctions. No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction essay about genre theory; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,The Church of Sci-Fi,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay about depictions of the universe in sci-fi and the lack of 'religious feeling' in Chinese sci-fi. No narrative depicting space.,Essay discussing other works' depictions of space conceptually. No narrative space habitation.,No narrative space journey depicted.,No narrative space society depicted.,No narrative space language depicted.,No narrative space environment depicted.,No narrative space habitation depicted.,No narrative space political order depicted.,Nonfiction literary criticism essay; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Civilizations Expansion in Reverse,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Nonfiction essay arguing for miniaturization of civilization as an alternative to space expansion. Discusses concepts but contains no narrative depicting space.,"Essay discusses interstellar expansion conceptually and quotes from 'The Micro-Era,' but itself contains no narrative of space habitation.",Discusses interstellar distances and speed-of-light barriers conceptually. No narrative journey depicted.,Discusses hypothetical micro-civilizations conceptually. No narrative space society depicted.,No narrative space communication depicted.,No narrative space environment depicted.,No narrative space habitation depicted.,No narrative space political order depicted.,Nonfiction speculative essay; not a narrative with classifiable genre.,No narrative space domain activity depicted.,No narrative space domain analogy.,No narrative space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Poetic Science Fiction,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,"Nonfiction essay about Ken Liu's literary works, discussing literary and sci-fi poeticness. No narrative depicting space.",Literary criticism essay. No space habitation depicted.,No space journey depicted.,No space society depicted.,No space language depicted.,No space environment depicted.,No space habitation depicted.,No space political order depicted.,Nonfiction literary essay about another author's works; not a narrative with classifiable genre.,No space domain activity depicted.,No space domain analogy provided.,No space physical environment depicted.,China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
China,A View from the Stars,Destiny,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)",Short interplanetary journey,Basically Earth society in space,Same languages as Earth,Manageable but risky,Moderately common (noticeable settlements/populations),Earth nation-states extend into space,Adventure / exploration,Entirely civilian,Like the ocean / naval,Somewhat different (manageable environmental differences),Space is depicted as a peaceful domain for tourism. The couple's honeymoon cruise encounters no competition or conflict in space. The conflict arises only on the alternate Earth where dinosaurs are dominant.,"The couple tours 'synchronously orbiting Space City' and Luna as tourists. Space is a place for visits and tourism, not permanent large-scale settlement. Interstellar travel exists via space-time jumps but habitation is presented as temporary/visiting.","The couple is 1.8 million kilometers from Earth on a honeymoon cruise, having visited Space City and Luna. The journey is near-Earth, interplanetary in scale.",The space setting is simply Earth people on a chartered honeymoon cruise. There is no distinct space culture; it is ordinary Earth tourism transplanted to space.,"The couple communicates normally in space. The only language issue arises on the alternate Earth, where the computer translates a Latin-like language spoken by primitive humans.","Space cruising is comfortable enough for a honeymoon, but losing an engine strands the couple. The environment is traversable with proper technology but carries inherent risks.","Space City exists in orbit, Luna is visited, and space-time jump flights enable interstellar travel. Space tourism is available to civilians who can charter ships, suggesting moderate commonality.","Earth governments have strict ordinances about wormhole travel, requiring ships to return or self-destruct if they cannot. Political authority over space activity extends from Earth governments.","A time-travel adventure where a honeymooning couple accidentally diverts the dinosaur-killing asteroid, returns to find dinosaurs evolved into the dominant civilization, and must use proof of their deed to negotiate survival.",The space setting involves only civilian activity: a honeymoon cruise on a chartered ship. No military presence in space is depicted.,"Space travel is described with nautical metaphors: chartering a small ship, cruising. The alternate Earth features an ocean-going vessel with a captain and crew, reinforcing the naval analogy.","Space is traversable by small chartered ships. The couple cruises comfortably, though they face danger when stranded. The environment is different from Earth but manageable with technology.",China_A_View_from_the_Stars.csv,China_A_View_from_the_Stars,NA,NA
