country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,A Fire Upon The Deep,front_matter,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Title page only. No narrative content.,Title page only.,Title page only.,Title page only.,Title and author name are in English.,Title page only.,Title page only.,Title page only.,Title page only.,Title page only.,Title page only.,Title page only.
US,A Fire Upon The Deep,introduction,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Other / Unsure,Non-fiction introduction by John Clute discussing the novel's place in SF history. Not a narrative chapter.,"Non-fiction introduction. Discusses the novel's galactic zones but is critical commentary, not narrative.",Non-fiction introduction.,Non-fiction introduction.,Written in English.,Non-fiction introduction.,Non-fiction introduction.,Non-fiction introduction.,"Non-fiction introduction, not a narrative chapter with a genre.",Non-fiction introduction.,Non-fiction introduction.,Non-fiction introduction.
US,A Fire Upon The Deep,prologue,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mostly Earth-like with minor adaptations,Same languages as Earth,Extremely hostile (constant survival pressure),Common (many people live/work there),Multiple distinct space polities,Thriller / Horror / Survival,Entirely civilian,Like cyberspace / networked or abstract domain,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"Humans unwittingly awaken a malevolent Power from a five-billion-year-old archive. The Power immediately traps them, feeds them lies, and plans their destruction. A galactic-scale conflict begins.","Straumli Realm is an established civilization that sent an expedition to settle and study the archive. The High Lab is a small permanent settlement with families, schools, and infrastructure.","The High Lab is beyond the Beyond, at the edge of the Transcend. It has been six months since resupply. Communication with the Relay network exists but is now compromised by the awakened Power.","The humans have families, schools, an archaeological dig. Their social organization is recognizably Earth-like despite being far from Earth in a galaxy of alien civilizations.",All human dialogue and narration is in English. The automated processes communicate in human-comprehensible ways.,An ancient evil has been awakened that feeds on automation and intends to destroy its hosts. The Power already controls all communications and cameras. Escape is nearly impossible.,"The High Lab is a small community with archaeologist programmers, families, and schools. Beyond it, Straumli Realm is a spacefaring civilization. Space habitation is widespread in the Beyond.",Straumli Realm is one of many civilizations in the Beyond. The archive comes from an unknown ancient civilization. Powers in the Transcend are their own entities.,The chapter is cosmic horror. Humans unwittingly awaken a godlike evil that traps them and plans their annihilation. Two ghost-copies of the humans discuss their doom while hiding from the awakening Power.,The High Lab is a civilian archaeological expedition with families and children. There is no military element.,"The threat is computational: an archive that corrupts local networks, transcends through nodes and data structures. The ghost-copies flit between network nodes. Space is characterized through information and automation.","The Zones of Thought divide the galaxy into regions where physics itself differs. In the Transcend, automation can become godlike Powers. Network processes can achieve self-awareness. The physical rules of the universe vary by location."
US,A Fire Upon The Deep,Chapter one,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mostly Earth-like with minor adaptations,Same languages as Earth,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Thriller / Horror / Survival,Entirely civilian,Other / Unsure,Radically non-Earth-like (physics/environment fundamentally unlike Earth experience),"The Olsndot family flees the High Lab disaster, crash-landing on an alien planet. There is no direct conflict in this chapter, but they are refugees from a cosmic catastrophe.","The family crash-lands in a makeshift cargo shell on an unknown planet. They are temporary refugees, not settlers.","They are lost at the Bottom, the Slow Zone where FTL travel is impossible. Their carrier's automation has failed. They are cut off from Straumli Realm and everything they knew.","The family behaves like any Earth family: parents protecting children, managing fear, the mother distracting Jefri with conversation. Their social dynamics are entirely human.",All dialogue is in English. The family speaks a human language.,"The cargo shell is a hundred-tonne carton of eggs balanced on a single torch with no wings, no agrav, no shielding. The coldsleep boxes are failing. A gray fungus grows on the hull. The landing could kill them all.",One family with 309 children in coldsleep. They are the only survivors of the High Lab disaster to reach this planet. Space travelers are unprecedented on this world.,Straumli Realm is their home polity. The planet they land on has its own intelligent life. The broader galaxy has many civilizations connected by Relay networks.,The desperate emergency landing dominates the chapter. The cargo shell is barely functional. The coldsleep boxes are killing children. A fungal growth from the High Lab infection spreads on the hull.,"A family of civilian refugees: a trader father, a writer-archaeologist mother, and their two children. No military element.",The chapter focuses on a desperate planetary landing. Space is not strongly characterized as any particular domain analogy.,The Slow Zone makes FTL and agrav impossible. The cargo shell lands by pure rocket descent on an unknown world. A fungal growth from the Transcend corrupts the hull. The physics of the galaxy varies by region.
US,A Fire Upon The Deep,Chapter two,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Adventure / exploration,Mostly military,Other / Unsure,Somewhat different (manageable environmental differences),The Tines World has political factions: Flenser's cult vs the Long Lakes Republic. Peregrine travels with a spy and a Flenserist fanatic. The Flenserists prepare an ambush of the fallen ship.,The alien ship has crash-landed on the Tines World. The humans are unexpected visitors to a pre-spaceflight civilization.,"The fallen star came from farther than Peregrine has ever been. The aliens are visitors from beyond the sky, an event unprecedented in all recorded history or legend.","The Tines are pack-mind aliens: each individual is a group of dog-like members sharing thoughts through sound. Their civilization is medieval with castles, knights, and pilgrims. Society is utterly unlike Earth.","The Tines communicate through tonal thought-sounds, including normal speech and Hightalk (ultrahigh-frequency directional speech). The aliens from the ship are completely unintelligible.","The planet's surface is livable with mild arctic conditions, green valleys, flowers, and wildlife. The danger comes from the Flenserist military forces, not the environment itself.",A single alien ship has landed. There has never been anything like this in all of Tines history or legend. Space visitors are utterly unprecedented.,"The Tines World has multiple factions: Flenser's domain, the Long Lakes Republic, and neutral pilgrims. The visitors represent an unknown civilization from space.",Peregrine is a pilgrim-explorer witnessing the most marvelous encounter in his centuries of pilgrimage. The chapter is driven by wonder at the alien visitors and the spirit of discovery.,"The Flenserists deploy archers, infantry, and flame troopers in ambush formation. Military operations dominate the chapter's second half.",Space is seen through medieval alien eyes as divine or supernatural. The ship is perceived as a fallen star. No Earth domain analogy applies to this alien perspective.,"The planet is Earth-like: green valleys, snow-capped mountains, ocean straits, wildlife. The pack-mind aliens are the radical difference, not the physical environment."
US,A Fire Upon The Deep,Chapter three,Total war / constant conflict,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mostly Earth-like with minor adaptations,Same languages as Earth,Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Military / war,Mixed civilian-military domain,Like the frontier / colonial expansion,Somewhat different (manageable environmental differences),"The Flenserists launch a devastating ambush. The father is killed by blade-wielding aliens. The mother is burned by flamethrowers. Hundreds of children in coldsleep are incinerated. It is total, merciless violence.",The humans just crash-landed. They are temporary visitors trying to establish contact with the Relay network. They have no territory or settlement.,"They are lost in the Slow Zone. Their cargo carrier is dead. The Relay system might connect them to help, but they have not yet established communication.","The family sets up camp like any Earth colonists: deploying coldsleep boxes, establishing a perimeter with sound projectors, the mother watching with a pistol. Parental instincts drive every action.",All human dialogue is in English. The family speaks to each other in their own language. The alien attackers communicate through sounds incomprehensible to the humans.,The family is ambushed within hours of landing. Johanna is shot with an arrow. Her father is killed by blade-wielding aliens. Her mother and hundreds of sleeping children are burned alive.,"One family on an unknown planet with 309 children in coldsleep. After the massacre, even fewer survive.",Straumli Realm is the humans' home civilization. The attackers are a local faction. The broader galaxy has multiple civilizations and relay networks.,"The chapter is dominated by a military ambush: infantry, archers, flame troopers attacking in coordinated formations. The massacre of civilians is brutal and overwhelming.","A civilian family with only a single pistol is overwhelmed by a medieval military force using bows, axes, tined paws, and flamethrowers.",The chapter parallels colonial first-contact disasters. Technologically advanced but unprepared civilians land in territory controlled by hostile locals who immediately attack. The power dynamic inverts typical colonial narratives.,"The planet is physically Earth-like: grass, trees, hills, sunlight, breathable air. The existential danger comes from the alien inhabitants, not the physical environment."
US,A Fire Upon The Deep,Chapter four,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Manageable but risky,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Adventure / exploration,Mostly military,Like the ocean / naval,Somewhat different (manageable environmental differences),"Peregrine and Scriber infiltrate the Flenserist forces, kill a Servant to rescue an alien survivor, then steal a boat and escape under arrow fire. Peregrine loses a member in combat and integrates a new one from the enemy.",The human survivor is a helpless prisoner on a travois. The aliens from space remain purely temporary visitors with no foothold.,"The alien visitor came from farther away than any Tine can imagine. Peregrine reflects that this is a creature from beyond the sky, unprecedented in all history.","Pack-mind society dominates: Peregrine loses a member and gains a new one mid-battle, fundamentally changing his identity. The mob of wounded is a terrifying zone of fragmentary consciousness and forced repackings.",The Tines use tonal thought-sounds and Hightalk. The alien's thoughts are audible but utterly foreign. No common language exists between the species.,"The planet's environment is benign with harbors, forests, and fair weather. The danger is entirely from hostile Tines forces.",A single alien member survives. Peregrine and Scriber risk everything to rescue this unprecedented find. Space visitors have never been seen before.,"Flenser's domain, the Long Lakes Republic, and neutral pilgrims compete for the alien prize. The visitors represent an unknown galactic polity.","Peregrine risks his life as a pilgrim-adventurer to rescue an unprecedented alien. The daring boat escape through enemy harbor, the integration of a new member, and the promise of discovery drive the chapter.","The chapter is dominated by military operations: infantry, archers, sentries, harbor fortifications, Flenser's personal banner calling troops. Combat and military formations are central.","The climax is a naval escape: stealing a twinhull sailing vessel, scuttling enemy ships, navigating harbor fortifications, and sailing past catapult ranges. Maritime terminology and tactics dominate.","The planet has Earth-like terrain: harbors, forests, hills, ocean straits. The pack-mind aliens and their medieval civilization are the radical difference, not the physical environment."
US,A Fire Upon The Deep,Chapter five,High contestation (frequent conflict or strategic struggle),"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Drama,Mostly military,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Lord Steel rules Flenser's heartland through ruthless power; the returning Flenser fragment triggers a power struggle. The broader context includes the ambush of humans and political machinations between Tines factions.,"The humans on Tines World are crash-landed visitors, not settlers. The Usenet-style message references Straumli Realm's space presence but only as outposts and communication relays.",Jefri is stranded on an alien world far from human civilization. The children were brought from the High Lab in space. The Known Net message spans vast interstellar distances.,The Tines pack-mind culture is completely alien: individuals are groups of dog-like members sharing consciousness. Flenser's soul-crafting and Steel's creation represent a social order with no Earth parallel.,"Jefri cannot communicate with the Tines at all. Their language consists of gobbling, buzzing, and hissing sounds. The puppy can only play back recorded human speech without understanding.","Jefri is a captive child in a medieval alien castle ruled by the ruthless Lord Steel. The environment is dangerous and completely foreign, with no human support systems available.","Jefri is essentially alone among aliens. Only a handful of human children exist on this world, most still in coldsleep. Living in space or on alien worlds is extraordinarily rare.","The message references Straumli Realm as a distinct polity. On Tines World, Flenser's domain and other factions operate as separate political entities. Multiple interstellar groups are implied.","The chapter focuses on character development: Jefri bonding with alien puppies, and the political intrigue between Lord Steel and the returning Flenser fragment. The tone is dramatic rather than action-oriented.",Lord Steel is a military ruler who controls a fortified castle and commands whitejacket soldiers. Flenser's political machinations are conquest-focused. The power dynamics are fundamentally military.,"Humans have crash-landed on an alien frontier world with medieval-level technology. The dynamic resembles colonial encounters, with technologically advanced visitors stranded among indigenous populations.","The Tines World environment is fundamentally different from Earth: pack-mind aliens, medieval stone castles, alien biology. Jefri must adapt to an entirely foreign physical and social environment."
US,A Fire Upon The Deep,Chapter six,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mixed / hybrid culture,Shared lingua franca plus local variation,Manageable but risky,Common (many people live/work there),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the ocean / naval,Somewhat different (manageable environmental differences),"The Straumli Perversion is causing widespread concern across civilizations. Nine civilizations bid for data feeds, and Powers are competing for information. However, there is no open conflict at Relay itself.","Relay is a permanent, governed installation with a planetary surface and massive orbital Docks. The Vrinimi Organization has maintained operations for fifty thousand years, with clear territorial control.",Ravna is twenty thousand light-years from home at Sjandra Kei. Sending a single message costs half a year's savings. The separation is so extreme that the Straumli crisis felt remote to her family.,The Vrinimi Organization includes several races with adapted shared customs. Ravna notes both familiar and alien elements in Grondr's behavior. Standard Organization courtesy bridges racial differences.,Multiple species communicate through shared trade languages. Grondr and Ravna converse fluidly despite being different species. The Known Net facilitates cross-civilization communication.,"Life at Relay is comfortable and well-resourced, but the Straumli Perversion poses a looming existential threat. The arrival of a Power's ship creates unease even in this safe Middle Beyond location.","Relay is a major hub serving a million worlds. Multiple species work at the Organization. The Docks are described as having parks, playgrounds, and extensive facilities for a large population.","Numerous distinct entities are referenced: Vrinimi Organization, Straumli Realm, Sjandra Kei, nine bidding civilizations from the Top of the Beyond, and Powers from the Transcend. The political landscape is highly multipolar.","The chapter centers on diplomatic and commercial negotiations: managing a Power's demands, selling a human to the Transcend, balancing business interests across civilizations. The tone is corporate-political.","Relay is a purely commercial and archival operation. All activities described are civilian: communication services, archive management, business negotiations. No military elements appear.","Relay is described like a great port: the Docks with bays, repair holds, transhipment centers. Ships arrive and depart. The Organization functions as a commercial harbor master for interstellar traffic.","The Relay environment has alien elements (Kalir insectoid species, agrav technology, factory lights brighter than moons) but is fundamentally manageable. Ravna can walk in parks and enjoy autumn weather."
US,A Fire Upon The Deep,Chapter seven,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Mixed / hybrid culture,Shared lingua franca plus local variation,Manageable but risky,Common (many people live/work there),"Highly fragmented political landscape (multipolar with many factions, corporations, colonies, microstates)",Adventure / exploration,Mostly civilian with some military presence,Like the ocean / naval,Moderately different (regular adaptation needed),The Straumli Perversion dominates discussion as a growing threat. Old One monopolizes Relay bandwidth causing tension. Pham's backstory includes Qeng Ho rivalries. But no open conflict occurs at Relay.,"The Relay Docks are a massive permanent installation with seas, beaches, parks spanning a thousand kilometers on an agrav platform. Vrinimi Org has governed this territory for fifty thousand years.","Pham's Qeng Ho voyage lasted a thousand years objective. Relay is twenty thousand light-years from Sjandra Kei. In the Slow Zone, travel takes generations at sub-light speeds with centuries between stars.",Relay hosts multiple species and cultures. Pham brings pre-tech medieval culture into contact with Beyonder civilization. The Qeng Ho had their own distinct trader culture spanning thousands of years.,Triskweline trade talk serves as the lingua franca at Relay. Pham learned it in intensive sessions. The Known Net facilitates communication across millions of worlds with shared protocols.,"The Docks are comfortable with beaches and offices, but the Straumli Perversion looms. Pham's backstory shows space travel as extremely dangerous: his crew died at the edge of the Unthinking Depths.",Relay serves millions of worlds. The Docks support a large population with extensive infrastructure. The Qeng Ho had hundreds of ships and settled thirty worlds. Space habitation is widespread in the Beyond.,"The chapter references Qeng Ho, Vrinimi Org, Sjandra Kei, Straumli Realm, Powers, dozens of settled worlds, and nine bidding civilizations. The political landscape is extremely fragmented across the galaxy.",Pham Nuwen's backstory dominates: a medieval prince turned starship captain who explored the galaxy for centuries. His tale of the Wild Witless Bird expedition into unknown space is pure adventure narrative.,"Relay is entirely commercial. Pham was 'Programmer-at-Arms' (a military role) in the Qeng Ho trading fleet, but the fleet was primarily commercial. The overall domain is civilian with minor military elements.","Extensive naval imagery: the Docks with harbors and transhipment, Ravna's sailboat, the beach office. Pham is described as a 'skipper' and 'shipmaster.' Qeng Ho operates like an age-of-sail trading fleet.",The Zones of Thought fundamentally alter physics: FTL works in the Beyond but not the Slow Zone. The Docks float on agrav above a planet. Pham's crew died when entering the Unthinking Depths where even automation fails.
