country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
Russia,Hard to Be a God,PROLOGUE,No contestation,Other / Unsure,Other / Unsure,Basically Earth society in space,Same languages as Earth,Other / Unsure,Other / Unsure,Other / Unsure,Adventure / exploration,Entirely civilian,Other / Unsure,Other / Unsure,"The prologue is set entirely on future Earth, with children playing at a lake near a boarding school. No outer space or contestation over space is depicted.",Space territory and habitation are not addressed in this Earth-set prologue featuring children at play.,No space journey is depicted or referenced. The chapter takes place entirely on Earth with no mention of interplanetary travel.,"The prologue depicts future Earth society directly: a boarding school, children with advanced toys, a pastoral setting suggesting a utopian future civilization.",All characters speak the same Earth language. No alien or space-specific languages appear in this Earth-set prologue.,No space environment is depicted. The setting is a lake and forest on Earth with no environmental hazards.,Space habitation is not discussed. The children are on Earth with no reference to how common space presence might be.,No space political order is shown. The prologue is entirely terrestrial with no governance structures depicted beyond a school.,"The children play adventure games with toy crossbows and air rifles, explore a Forgotten Road, and role-play medieval scenarios including a dangerous William Tell game.",The chapter depicts children at a boarding school playing. There is no military presence or context whatsoever.,Space is not depicted as a domain in this chapter. The entire setting is terrestrial.,No space environment is shown to compare with Earth. The chapter takes place on Earth itself.
Russia,Hard to Be a God,Chapter ONE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,Earth observers operate covertly on the alien planet with no competing powers contesting control of space. The 250 observers are hidden among the local population.,The 250 Earth observers are on a temporary research mission from the Institute of Experimental History. They maintain outposts like the Drunkard's Lair but have no permanent settlements.,"Rumata has been on the planet for five years, far from Earth. The separation is profound: observers are deeply isolated, and extraction requires a commando team. Earth feels distant and unreachable.","The alien planet has a medieval feudal society with a king, feudal lords, and Gray Sturmoviks (fascist militia). This is radically different from the advanced communist Earth society the observers come from.",The alien planet has its own languages distinct from Earth. Rumata speaks the local language fluently while using Russian with fellow observers like Don Kondor and Don Hug.,"The planet is physically Earth-like with breathable atmosphere, normal gravity, forests, and oceans. Environmental survival is not an issue; the dangers are social and political, not environmental.","Only 250 Earth observers are present across nine continents of the planet. They are hidden among millions of locals, making their presence exceptionally rare.","The planet has multiple kingdoms: Arkanar, Irukan, Soan, the Empire, and barbarian regions. Earth operates separately as a distant unified authority sending observers.","Rumata navigates the political crisis in Arkanar, meets with fellow observers to discuss strategy, and grapples with Don Reba's fascist regime. The tone is political intrigue and ethical dilemma.","The Earth observers are from the Institute of Experimental History, a civilian research organization. Their mission is observation and study, not military operations.","Earth observers study a less-developed alien civilization, reminiscent of colonial-era anthropologists. The observers must not interfere, echoing Prime Directive-style frontier ethics.","The planet is physically nearly identical to Earth: same atmosphere, gravity, flora, fauna, and the alien inhabitants are biologically human. Rumata passes easily as a local nobleman."
Russia,Hard to Be a God,Chapter TWO,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,No contestation over outer space is depicted. The chapter focuses on Rumata's daily activities in the medieval city of Arkanar.,"Rumata operates as a covert observer in Arkanar, maintaining a house but as part of a temporary research mission, not a permanent settlement.","Rumata has been stationed on the planet for years, deeply separated from Earth. His isolation is palpable as he navigates the alien society alone.","Arkanar's society features feudal aristocrats, the School of Patriots (fascist indoctrination), harbor restrictions, and crime lords like Waga Koleso, all radically unlike Earth.","Rumata communicates in the local Arkanarian language throughout the chapter, visiting the school, armorer, and harbor district. The planet has its own distinct languages.","The physical environment poses no survival challenge. Rumata walks through the city, visits shops and the harbor. All dangers are human-made, not environmental.",Rumata is the sole Earth observer in Arkanar. His presence among thousands of locals is vanishingly rare.,"Multiple political entities are referenced: Arkanar's kingdom, the harbor with ships forbidden from leaving, and Waga Koleso's criminal network operating as a parallel power structure.","Rumata places scholars as teachers at the School of Patriots to protect them, navigates feudal social dynamics, and meets the crime lord Waga to inquire about the missing Dr. Budach.","Rumata's activities are entirely civilian: breakfast with nobles, visiting schools, an armorer's shop, and conducting intelligence-gathering as a researcher, not a soldier.","Rumata operates as an advanced civilization's representative among a less-developed society, using gold and influence to navigate local politics, echoing frontier-era dynamics.","The alien city of Arkanar resembles a medieval European city with harbors, shops, streets, and familiar social structures. The physical environment is indistinguishable from Earth."
Russia,Hard to Be a God,Chapter THREE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Drama,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No contestation over space occurs. The chapter focuses on Rumata's emotional turmoil, the death of Father Hauk, and his relationship with Kyra.","Rumata remains a temporary observer. His transmitter circlet connects him to Earth historians, emphasizing his role as a visiting emissary rather than a settler.","Rumata tells Kyra about a wonderful country beyond the oceans, beyond the seven mountains, called Earth. The distance is mythologized as impossibly far, emphasizing profound separation.",The alien society murders intellectuals by hanging them from crossbeams. Kyra's brother comes home with blood on his hands from patrol. The society is brutally different from Earth.,"Kyra speaks the local Arkanarian language. Rumata describes Earth to her in terms she can understand, highlighting the linguistic and cultural gulf between worlds.","The physical environment remains benign. Rumata walks through streets, enters his house. All threats are from the fascist regime, not the natural environment.","Rumata transmits via his circlet to historians on Earth, but he is essentially alone. His alien origin is known to no one in his household.",The kingdom of Arkanar operates under Don Reba's regime while other kingdoms exist beyond its borders. The political landscape has multiple competing entities.,"The chapter is deeply emotional: Father Hauk is lynched, Kyra flees her violent home in tears, and Rumata struggles with rage and impotence. He tells Kyra fairy tales about Earth to comfort her.",Rumata operates as a civilian observer. His transmitter records events for historians. There is no military dimension to the Earth presence.,"Rumata's inability to intervene while witnessing atrocities mirrors the ethical dilemmas of colonial-era observers among indigenous peoples, watching suffering without acting.","The planet's physical environment is indistinguishable from Earth. Streets, houses, weather, and biology are all Earth-like. Rumata describes Earth to Kyra as a better version of the same world."
Russia,Hard to Be a God,Chapter FOUR,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Drama,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No space contestation is depicted. The chapter revolves around Rumata's failed seduction mission, Baron Pampa's arrival, tavern brawls, and Dona Okana's death.","Rumata continues his temporary observer role. He uses Casparamid (Earth anti-alcohol medication) secretly, underscoring his visitor status with hidden advanced supplies.","Rumata's isolation is stark as he uses Earth medication covertly and wakes on an empty lot, completely separated from his home world and its comforts.","The social order features court salons with chaperones, elaborate seduction rituals, tavern brawls with Gray officers, and summary execution of Dona Okana after torture, all alien to Earth norms.","All dialogue occurs in the local language of Arkanar. The alien planet's language is used throughout conversations at the salon, tavern, and court.","The physical environment poses no survival challenge. Rumata navigates salons, taverns, and streets. Dangers are entirely social.",Rumata is the only Earth person present throughout the chapter's events. His alien origin is completely concealed.,"The chapter references multiple political entities including Arkanar's court, Don Reba's security apparatus, the Soanian embassy, and Irukanian connections.","The chapter is driven by emotional intensity: Rumata's disgust during the seduction attempt, Baron Pampa's marital grief, a night of drunken despair, and Dona Okana's shocking death by torture.","All Earth-related activity is civilian. Rumata's espionage mission is scholarly observation, not military action. Even his brawls are personal, not military operations.","Rumata's degradation through immersion in the alien culture, using local customs for intelligence gathering, mirrors frontier agents going native in colonial settings.","The planet continues to be physically Earth-like. Taverns, horses, salons, weather, and biology are all familiar. The differences are cultural, not environmental."
Russia,Hard to Be a God,Chapter FIVE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No space contestation occurs. The chapter details court politics, the persecution of intellectuals, and the royal dinner where Budach treats the king.","Rumata continues as a covert observer at court, spending gold to rescue scholars and maintain his cover as a noble don.","Rumata has been in Arkanar five years, deeply embedded. His Earth origin is implied when Don Reba notes he received no money from Estorian estates, hinting at his non-local origins.","The chapter catalogues the systematic destruction of intellectuals: burned observatory, hanged physicians, exiled poets, destroyed bookshops. The royal court is barbaric with its 100-person feasts.",Rumata converses with the poet Gur and other courtiers in the local language. The alien civilization's language and literary tradition are highlighted through poets like Zuren and Gur.,"The physical environment remains benign. The palace, dining hall, and corridors present no environmental hazards. All dangers are political.","Rumata operates alone at court. His rescue operations for scholars are solo efforts, emphasizing how few Earth observers exist.","Multiple political entities interact: Arkanar, Irukan (Budach's origin), Soan (where exiled scholars flee), and Don Reba's security apparatus as a state-within-a-state.","Rumata executes a political maneuver to force Don Reba to produce Budach before the king. The chapter centers on court politics, persecution of intellectuals, and power struggles.","The Earth mission remains entirely civilian. Rumata's interventions are scholarly rescue operations, not military actions.","Rumata smuggles intellectuals across borders and uses gold from Earth to influence local politics, paralleling colonial-era agents operating in pre-modern societies.","The palace, court rituals, dining customs, and natural environment closely mirror medieval Earth. The planet is physically identical to Earth."
Russia,Hard to Be a God,Chapter SIX,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Thriller / Horror / Survival,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No contestation over space occurs. The chapter focuses on the night of the coup: Rumata guards the prince, reflects on the city, and is arrested by Sturmoviks after the prince is murdered.","Rumata's role as temporary observer is explicit: his circlet transmits to Earth historians, his metalloplast shirt is hidden technology, and he takes Sporamin tablets from Earth supplies.","Rumata's separation from Earth is profound. He reflects on what future Earth students will learn about this era, highlighting the vast temporal and spatial distance from his home world.","The alien society is described as 20,000 people who are slaves of faith, passion, and avarice. Rumata reflects that they are not yet human in the current sense, raw material for future evolution.","Rumata converses with the prince, the officer of the guard, and his servants in the local Arkanarian language, which is distinct from Earth languages.","The physical environment is benign. Rumata looks out over the city from the prince's hill, sees fires and streets. All dangers come from the political coup, not the environment.",Rumata is the sole observer present during the coup. His circlet transmits events for the benefit of historians on distant Earth.,"The chapter references the kingdom's internal power struggle between the king, Don Reba, the Gray hordes, Waga's nocturnal army, and the Holy Order monks now appearing in the streets.","The chapter builds to a violent climax: fires erupt across the city, the prince is murdered, Rumata fights fifteen Sturmoviks, is hit by a lance, and is overwhelmed and captured.","The Earth mission remains civilian. Rumata's guard duty is his cover role. His metalloplast shirt and circlet are civilian research equipment, not weapons.","Rumata reflects on historical progress and the inevitability of social evolution, framing the alien planet as a frontier society that will eventually develop, echoing colonial-era progressive theories.","The city with its 20,000 inhabitants, streets, harbor, and medieval architecture is indistinguishable from a medieval Earth city. The physical environment is identical to Earth."
Russia,Hard to Be a God,Chapter SEVEN,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No space contestation occurs. The chapter centers on Rumata's interrogation by Don Reba, the removal of Zupik and Brother Aba, and the revelation of the Holy Order's takeover.","Rumata's status as visitor is highlighted when Don Reba accuses him of being an impostor and speculates he comes from some faraway, powerful domain.","Don Reba speculates Rumata may be the devil, the Son of God, or from some faraway powerful domain. The vast, unknowable distance of Rumata's origin is emphasized.","The Holy Order seizes power through a night of slaughter. Don Reba reveals himself as Bishop of the new theocratic regime, a political transformation utterly alien to Earth's society.",The interrogation occurs entirely in the local language. Rumata maintains his cover identity while speaking Arkanarian throughout.,"The physical environment is not a threat. Rumata is held in rooms and corridors. All danger comes from political actors, not environmental conditions.","Rumata is the sole Earth observer captured by the regime. His mysterious nature puzzles Don Reba, who cannot categorize him.","The Holy Order's cavalry now controls Arkanar, replacing the previous monarchy. Multiple polities are referenced: Irukan, Soan, the Empire, and the new Order regime.","The chapter is dominated by political maneuvering: Reba eliminates rivals Zupik and Aba during the interrogation, reveals the Order's coup, and Rumata negotiates his freedom and Budach's release.","Rumata is a civilian researcher. His confrontation with Don Reba is diplomatic, not military. He uses intimidation and wit, not weapons.","Rumata walks through a conquered city seeing corpses and black-cloaked riders, paralleling colonial-era observers witnessing violent regime changes in frontier territories.","The city, palace, streets, and physical conditions remain indistinguishable from medieval Earth. The Holy Order's cavalry and architecture are all Earth-analogous."
Russia,Hard to Be a God,Chapter EIGHT,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Drama,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,No space contestation occurs. The chapter follows Rumata navigating the new Order regime to free Budach and Baron Pampa from the Tower of Joy.,"Rumata operates as a temporary agent, using iron bracelets and bureaucratic forms to navigate the new regime. His hidden Earth medicine (Sporamin) underscores his visitor status.","Rumata's dialogue with Budach about God's role implies his vast distance from Earth. He speaks as one with godlike knowledge, hinting at his origin from a far superior and distant civilization.","The Holy Order's bureaucracy assigns punishments by number, citizens queue for lashings or bracelets, and the Tower of Joy houses torture chambers with graduating students. The society is radically different from Earth.","All interactions occur in the local language: with the chancellery official, monks, Baron Pampa, and Doctor Budach. The alien planet's distinct language is used throughout.","The physical environment remains benign. Rumata navigates dump heaps, towers, and streets without environmental danger. All threats are human-made.","Rumata acts alone to rescue Budach and Pampa. His spy/bodyguard follows at a distance, but he is the sole Earth representative operating in the city.","The Holy Order now governs Arkanar as a province. Other polities remain: Irukan, Soan, the Empire. Baron Pampa mentions Father Arima occupying his castle, showing fragmented authority.","The chapter's emotional core is the philosophical dialogue between Rumata and Budach about evil, suffering, and what God could do to improve the world. Kyra watches with fear and hope.","Rumata's rescue operations and philosophical discussions are civilian activities. He uses wit, bureaucratic manipulation, and physical prowess, not military force.","Rumata rescues local intellectuals from a repressive regime, paralleling colonial-era missionaries or agents extracting individuals from hostile frontier territories.","The Tower of Joy, chancellery, streets, and dump heaps closely mirror medieval Earth settings. The physical environment is indistinguishable from Earth."
Russia,Hard to Be a God,Chapter NINE,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Long-distance journey (years, major separation from Earth)",Radically different / alien social order,Distinct space language(s),Benign / easily survivable,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Almost Earth-like,"No space contestation occurs. The chapter focuses on Arata the rebel's visit to Rumata, requesting advanced weapons and discussing revolution.",Rumata's status as a visitor from Earth is explicit: Arata knows his true identity and demands thunderbolts from the gods who descended from heaven.,"Arata references Rumata descending from heaven. Rumata once showed Arata Sol, Earth's sun, as a tiny star in the night sky, emphasizing the immense distance between worlds.","Arata's history of failed rebellions, slave revolts, and brutal suppressions illustrates a feudal society trapped in cycles of violence, radically unlike Earth's advanced civilization.","Arata and Rumata converse in the local language. Arata interprets Rumata's origins through local religious and mythological frameworks, showing the distinct linguistic-cultural gulf.",The physical environment is benign. Arata enters Rumata's study through a secret passage. No environmental hazards are present.,Arata is one of the very few locals who knows Rumata's true origin. The Earth observers' presence is so rare that Arata interprets it through religious mythology.,"Multiple political forces are discussed: the Holy Order, peasant rebellions, Waga Koleso's criminal network, the duke's warriors, and baronial estates.","The chapter is a political dialogue about revolution, intervention, and the ethics of providing advanced weapons to local rebels. Rumata refuses Arata's request for thunderbolts.","The Earth observers' policy is explicitly non-military. Rumata refuses to provide weapons, maintaining the civilian nature of their mission. He gives only gold, not arms.",The dilemma of an advanced civilization deciding whether to arm indigenous rebels closely parallels colonial-era debates about intervention in frontier societies.,"The physical setting of Rumata's study, the planet's environment, and Arata's world are all physically Earth-like. No alien environmental features are present."
