country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
France,La Zone du Dehors,Chapter I,"Low contestation (minor competition, little open conflict)",Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Moderately different (regular adaptation needed),"There is no military or inter-state conflict over space. The contestation is purely internal and political: Capt and Boule evade surveillance drones and cameras to reach the Zone du Dehors, a forbidden-but-not-illegal area outside the city. The conflict is between citizens seeking freedom and a soft surveillance state, not a struggle over territory.","Cerclon is a permanent, fully governed settlement on an asteroid orbiting Saturn, housing seven million people. It has its own infrastructure, government (the Clastre ranking system), industry, and agriculture. The city is a self-sustaining colony with artificial gravity and oxygen turbines.","The chapter does not detail journey length directly, but Capt recalls his childhood on Earth and arriving on Cerclon at age thirteen, suggesting a significant journey. The setting orbits Saturn, which represents a major separation from Earth in both distance and lived experience.","Cerclon has developed its own unique social system: the Clastre replaces names with alphanumeric codes based on rankings, citizens are surveilled by drones and cameras, and the Zone du Dehors represents a culturally significant forbidden wilderness. These elements have no Earth analog and constitute a distinctly space-born culture.","The characters speak French with distinctive slang and neologisms specific to Cerclon life, such as 'clastré,' 'radieux,' 'sinueuse,' and 'codebarré.' The language is recognizably Earth-derived (French) but adapted with terms unique to the space-station environment.","The Zone du Dehors outside Cerclon has low gravity, toxic Nox vapors, and ammonia in the atmosphere requiring oxygen masks with limited supply. However, Capt and Boule survive their outing with proper equipment. The environment is dangerous but navigable with precautions, while inside Cerclon conditions are entirely controlled.","Cerclon houses seven million inhabitants who live and work permanently on the asteroid. Space habitation is the normal condition for these people, not an exceptional feat. However, it is not yet universal for humanity since Earth refugees emigrated to the Cerclons.","Cerclon I is governed by a single unified authority with a President (A) and ministers designated by letters. The government controls the Clastre ranking system, the Terminor surveillance network, and all public infrastructure. There is no mention of competing political entities in space.","The chapter establishes the core political tension of the novel: the Volte resistance movement versus the soft-totalitarian Clastre system. Capt's philosophical text on identity and control, the surveillance evasion, and the description of how the state uses the Ligne du Dehors as a filter for potential delinquents all frame the narrative as fundamentally political.","There is no military presence described. The surveillance apparatus consists of civilian drones, cameras, and vigiles (security guards), not soldiers. The conflict is between citizens and a civilian government's security apparatus. No military forces, ranks, or warfare are mentioned.","Space in this chapter is not characterized as ocean, air, or frontier. Instead, the dominant characterization is of a networked surveillance domain: cameras, drones, codebars, the Terminor database, and identification software define the relationship between people and space. Control is exercised through information networks rather than physical force.","The Zone du Dehors features one-tenth Earth gravity, toxic Nox vapors, ammonia atmosphere, and unpredictable weather. Inside Cerclon, gravity is artificially maintained and oxygen is pumped by turbines. Regular adaptation is needed: oxygen masks, gravity pills, and specialized equipment for excursions outside the city walls."
France,La Zone du Dehors,Chapter II,"Low contestation (minor competition, little open conflict)",Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Moderately different (regular adaptation needed),"The chapter continues the cat-and-mouse dynamic between Capt/Boule and the surveillance system. The vigiles at the Ligne du Dehors track traces and try to identify the passers, and Capt shoots down a sinueuse drone. The conflict remains low-level, individual evasion rather than open warfare.","Cerclon continues to be depicted as a fully functioning permanent settlement with seven million residents, complete governance systems, and controlled environments. The vigiles' surveillance of the boundary demonstrates active territorial governance.","No new journey information is provided, but the setting remains Saturn orbit. The chapter's references to Earth are nostalgic and distant, reinforcing the sense of major separation from the home planet.","The chapter deepens the portrayal of Cerclon's unique culture: the vigiles use the Terminor identification system and Clastre rankings as currency for social advancement, citizens have alphanumeric names, and the Dehors represents a philosophical and cultural concept of freedom unique to this space society.","Characters continue speaking French with space-specific slang. The vigiles use terms like 'banquer,' 'codebarrer,' 'paramétrer par le visage,' reflecting a shared language with technical and social jargon specific to Cerclon.","Capt and Boule explore the stone river, climb a 150-meter cliff with reduced gravity, and navigate toxic atmospheric conditions. The environment is risky but manageable with equipment and experience. Boule's near-death experience from removing her helmet shows the danger is real but survivable with intervention.","The chapter references seven million pairs of eyes in the Terminor database, confirming the large permanent population of Cerclon. Space habitation is the norm for this society.",The government is referenced through its surveillance apparatus and the minister P. The vigiles work within a single hierarchical system that controls the Ligne du Dehors and the Terminor identification database.,"The chapter interweaves Capt's philosophical reflections on surveillance, freedom, and the Dehors as political concept. His meditation on how the state uses the Ligne as a filter for 'potential delinquents' and the vigiles' surveillance work frame the narrative as political resistance literature.","All security personnel described are civilian vigiles and surveillance operators, not military. The drones and cameras are civilian policing tools. The conflict involves no military apparatus.","The chapter emphasizes the networked nature of control: the Terminor identification system processes morphometric data, the vigiles operate through screens and databases, and identification is achieved through image recognition algorithms comparing hand shapes against seven million records.","The stone river of meteorites, the low gravity enabling cliff climbing, the toxic atmosphere, and the meteorite lake all demonstrate an environment that requires constant adaptation. Gravity pills, oxygen masks, and specialized knowledge are necessary for survival outside Cerclon."
France,La Zone du Dehors,Chapter III,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The chapter depicts the internal political schism within the Volte movement. A vote splits the movement between moderates (Molte) and radicals (Volte), with Slift advocating for placing blades on security doors. The level of contestation escalates from low-level evasion to organized political action and internal factional struggle.","Cerclon is described as a fully governed settlement with sectors, industrial zones, and a crashed spaceship repurposed as the Volte's secret meeting hall. The political infrastructure of governance, including media and security, is firmly established.","The chapter references Earth's destruction by chemical warfare, with Europeans emigrating to Africa. Cerclon is described as a destination that required significant travel, reinforcing the major separation from Earth.","The Volte resistance movement, the Clastre ranking system, the crashed-vaisseau meeting hall, and the sociopolitical dynamics of the seven sectors all represent a culture that has evolved distinctly from any Earth society. The debate over revolutionary tactics is shaped by the unique conditions of enclosed space habitation.","Characters speak French with Cerclon-specific vocabulary: 'molteux,' 'volté,' 'robotag,' 'radrock,' 'clastré,' and political neologisms like 'Volution.' The base language is recognizable but heavily adapted.",This chapter focuses on the interior of Cerclon rather than the Dehors. The physical environment inside is entirely controlled and benign. The risks described are political and social rather than environmental.,"The Volte has four thousand activists among seven million Cerclonniens. The chapter describes a full society with workers, students, artists, and political movements, confirming that space habitation is common and normalized for this population.","The government is described as a unified structure with ministers designated by letters, media channels, and a comprehensive surveillance system. The Volte opposes this single authority; there are no competing state entities.","The entire chapter revolves around the political dynamics of the Volte: the assembly debate, the schism between moderates and radicals, the vote, and the planning of direct action against the security-door system. It is fundamentally a political narrative.","All actors are civilians: the Volte members are workers, students, and artists. The opposition consists of civilian police and surveillance systems. No military presence is mentioned.","The chapter describes how the Volte uses a buried spaceship as headquarters, accessed through tunnels, and how the government controls population through networked systems of access control, surveillance, and the Clastre database. Space as a domain is defined by information and control networks.","This chapter takes place entirely inside Cerclon where conditions are controlled. The environmental differences from Earth are present but managed: artificial gravity, manufactured oxygen, and engineered climate. The setting feels urban and enclosed rather than physically alien."
France,La Zone du Dehors,Chapter IV,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The Volte's blade action has injured a young girl, escalating the conflict. The government and media respond with accusations of terrorism, while the Volte is internally torn by guilt and political calculation. The contestation has moved from philosophical opposition to actual physical confrontation with consequences.","The Cube, an enormous structure serving as both waste dump and death-sentence prison, demonstrates the scale of permanent infrastructure. The chapter describes the Cube's industrial and political functions within the governed territory of Cerclon.","No new information on journey length, but the setting remains orbiting Saturn. The Cube receives waste from three Cerclons and orbital stations, suggesting an established interplanetary infrastructure that implies long-distance separation from Earth.","The Cube as combined waste repository and execution site, the media's treatment of the Volte's action, and Capt's philosophical processing of violence all reflect a culture shaped by unique space-station conditions. The mythology around Zorlk surviving inside the Cube is a distinctly Cerclonnien cultural element.","The media broadcasts and Capt's internal monologue continue in French with Cerclon-specific terminology. Terms like 'incubé,' 'pyracides,' 'repousseurs magnétiques' reflect technological adaptations of the base language.",This chapter is mostly interior to Cerclon. The Cube is described as extremely dangerous internally but poses no threat to the general population from outside. The physical environment of the city remains controlled and safe.,"The chapter references seven million citizens, media broadcasts reaching the entire population, and the Cube serving three Cerclons plus orbital stations. Space habitation is fully normalized.",The government's media response and political apparatus function as a unified authority. The President and ministers respond collectively to the Volte's action. No competing political entities are mentioned.,"The entire chapter examines the political aftermath of the blade action: Capt's moral crisis, the media's framing of the event, and the political calculus of how the government and Volte will each exploit the situation. It is deeply political narrative.","All actors remain civilian. The media, government, and Volte are all civilian entities. The security apparatus consists of civilian police and surveillance technology, not military forces.","The media network's treatment of the event dominates the chapter. Control is exercised through information manipulation: the media's framing, the government's messaging, and the Volte's inability to control the narrative all characterize space governance as a domain of networked information control.","The chapter takes place inside Cerclon where environmental conditions are controlled. The Cube's extreme internal conditions (radiation, heat, toxic gases) are referenced but isolated from the general population. The city environment is Earth-like but artificial."
France,La Zone du Dehors,Chapter V,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The aftermath of the blade action continues with ongoing tension between the Volte and the state. Capt reflects on the political implications while cycling through the city, encounters public opinion, and prepares for the evening meeting. The contestation is political and ongoing.","The chapter provides the most detailed description of Cerclon's urban geography: seven sectors organized by distance from the Cube, with distinct social classes, parks, agriculture zones, and a central government district. This is a fully permanent, governed settlement.","Capt recalls arriving from Earth at age thirteen after a year-and-a-half journey, fleeing a Europe devastated by war. This explicitly confirms a long-distance journey with major separation from Earth.","The panoptic towers, the artificial trees with cellophane leaves, the radzone culture, the seven-sector social hierarchy, and the incitateurs (paid conversational advertisers) all depict a culture radically different from Earth. The nostalgia Capt feels for real trees underscores how distinct this space culture is.","Capt's philosophical monologues and conversations are in French with heavy use of Cerclon-specific terms: 'radieux,' 'incitatrice,' 'terminora,' 'parleur,' 'vocoréac.' The language is recognizably French but laden with space-society neologisms.","The radzone is described as radioactive and dangerous, with toxic puddles and irradiated debris. Young pillards risk their lives dismantling radioactive reactor cores. However, inside the main sectors of Cerclon, conditions are entirely managed and safe.","Seven million people live across Cerclon's seven sectors. The chapter describes a complete urban society with agriculture, industry, commerce, and culture. Eight more Cerclons are under construction for 150 million total people, confirming that space habitation is becoming widespread.","The chapter describes the government cube at the geometric center of the city, housing 26 ministers, the Terminor below, and the astroport above. This is a single, centralized authority governing all of Cerclon.","Capt's extended philosophical reflections on panoptic towers, surveillance, self-control, dévitalization of bodies, and technogreffes make this chapter predominantly political and philosophical. His spoken recordings critique the democratic surveillance state.","The surveillance system is civilian: panoptic towers with public observation boxes, civilian voyeurs, and anonymous denunciation forms. The police operate through covert surveillance, not military force. Meanwhile, police agents secretly install cameras in Capt's apartment using civilian espionage techniques.","The panoptic towers epitomize the networked surveillance domain: observation boxes with advanced optics, anonymous denunciation systems, and the principle that self-surveillance replaces direct policing. The chapter's description of how power operates through information networks rather than physical force strongly characterizes space as a cyberspace-like domain.","Inside Cerclon, conditions are artificially Earth-like: constant temperature, humidity, gravity, and oxygen. The artificial trees and climate generators create a managed simulation of Earth conditions. The radzone is more physically different but remains peripheral to main habitation."
France,La Zone du Dehors,Chapter VI,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The Volte's internal debate over the blade action intensifies. Slift advocates killing if necessary, Kamio demands ethical limits, and the group struggles to define their approach. The government responds with denunciation campaigns and heightened surveillance. The contestation is sustained and multi-dimensional.","The chapter describes the Cubilingus cafe, the radzone, the tube transport system, and the Volte's buried vaisseau headquarters. All demonstrate the fully established, governed infrastructure of a permanent settlement.","Capt references Earth being three-quarters uninhabitable, with only Africa remaining. Eight more Cerclons are under construction, including super-Cerclons for 150 million people. The Cerclons are presented as humanity's primary settlements far from Earth.","The Volte's internal political dynamics, the media's manipulation of the blade incident, the Cubilingus cafe where advertisers get kicked, and the radzone culture of scavengers all represent a distinct space culture with no direct Earth equivalent.","The Bosquet's debate features French with extensive Cerclon slang: 'traqueurs,' 'encubée,' 'claste,' 'sociopathe,' 'volutionnaire.' Slift's distinctive working-class dialect adds further linguistic variation within the same base language.","The chapter focuses on interior Cerclon environments. The radzone bicycle journey involves mud and radiation exposure but is manageable. The primary risks are political (surveillance, denunciation) rather than environmental.","References to seven million citizens, eight additional Cerclons under construction, and 150 million people to be housed confirm that space habitation is common and expanding significantly.","The government's response to the blade action is coordinated through a single hierarchy: P pressures subordinates, who pressure the surveillance operatives. The political structure is unified and hierarchical.","The chapter is dominated by the Bosquet's political debate: whether to continue violent action, how to respond to media framing, whether to publish a communique, and the ethical boundaries of resistance. Capt's speech about carcevisceral technologies and the future of control is deeply political.","All actors are civilian. The Volte members are workers, artists, and students. The opposition consists of media organizations, civilian government, and police surveillance. No military presence is described.","The chapter's focus on media manipulation, information control, and the networked surveillance response to the blade action reinforces the characterization of space governance as operating through information networks. The media's ability to reframe events and the government's denunciation campaigns are exercises in networked power.","The chapter is set inside Cerclon where conditions are controlled. Capt's bicycle ride through the radzone involves mud and radioactive materials, but the main city sectors remain environmentally Earth-like."
France,La Zone du Dehors,Chapter VII,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Moderately different (regular adaptation needed),"The Volte holds its post-action meeting under heightened security, with armed sentinels and password-protected access. Traqueurs (government trackers) are actively searching the radzone. The Volte adopts a new electronic sabotage strategy to invert the access-control system, representing an escalation in the ongoing rivalry.","The chapter describes the radzone's established community of scavengers, the Volte's underground headquarters, and Blusq's insider access to Defordre's network systems. The governance infrastructure is comprehensive enough that a single programmer can potentially subvert the entire access system.","Capt's mother is described as having left Earth specifically to see Saturn's storms. The detailed description of Saturn, its rings, and its moons from the asteroid's surface reinforces the vast distance from Earth. The frozen, cratered landscape beyond the Nakkarst emphasizes cosmic isolation.","The Volte's underground assembly, the coded passwords, the electronic sabotage strategy, and the four declared values (unconditional freedom, creation, multiplicity, vitality) all represent a counter-culture unique to Cerclon's space society. The distinction between 'revoltes' and 'voltes' is a cultural innovation.","Characters speak French with Cerclon vocabulary. The Volte's new terminology includes 'carcevisceral technologies,' 'revoltes' vs 'voltes,' and technical hacking jargon specific to the Defordre system. The base language remains French with significant space-society adaptation.","The radzone at night is described as eerie and deserted due to traqueur activity. The ride through toxic puddles, radioactive zones, and cosmic wind is risky but manageable. The methane clouds from Saturn add atmospheric danger. Inside Cerclon proper, conditions remain controlled.","The assembly gathers roughly a hundred people from a movement of thousands, within a city of seven million. The Volte's organizing reflects a full civil society in space. Space habitation is entirely normalized.","The government's unified response includes traqueurs searching the radzone, denunciation campaigns with escalating rewards, and coordinated media control. The single authority's apparatus is comprehensive.","The chapter centers on the Volte's political reorganization: adopting a communique, defining values, debating ethics, and choosing the electronic sabotage strategy over physical violence. The Blusq proposal to invert the access system is a political action designed to expose inequality.","All actors remain civilian. The Volte sentinels carry paralysis guns, not military weapons. The traqueurs are civilian police investigators. The electronic sabotage targets a civilian access-control system.","The Blusq sabotage plan is the ultimate expression of space-as-cyberspace: hacking the Defordre electronic access network to invert its logic, turning a tool of exclusion against the wealthy. The chapter's resolution through electronic subversion rather than physical violence characterizes the domain as fundamentally networked.","The nighttime ride through the radzone features methane clouds, cosmic wind, ammonia filets, and Saturn's immense presence overhead. The description of Saturn's storms, metallic hydrogen core, and the frozen landscape beyond the Nakkarst emphasizes a physically alien environment requiring regular adaptation."
France,La Zone du Dehors,Chapter VIII,Moderate contestation (ongoing rivalry/disputes),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The Clastre system dominates the chapter as a tool of social control. The surveillance apparatus actively investigates Capt: his apartment has been bugged, his hand is being tracked, and vigiles are recommending full surveillance. The political contestation between the Volte and the state continues through institutional mechanisms.","The Clastre system itself is the ultimate expression of governance: every two years, seven million citizens are evaluated, ranked, renamed, and reassigned within the social hierarchy. This comprehensive administrative control demonstrates a fully governed permanent settlement.",No new journey information is provided. The setting remains Saturn orbit. The chapter's focus on internal Cerclon politics rather than interplanetary matters reinforces that the characters are firmly established far from Earth.,"The Clastre system is the most distinctly non-Earth cultural element: a biennial ranking system that renames all seven million citizens, turning people into alphanumeric codes based on composite evaluations. Capt's university lecture on how the Clastre fragments and reconstructs identity is a cultural analysis unique to this space society.","The academic lecture uses French philosophical vocabulary mixed with Cerclon-specific terms: 'dividuel,' 'collexiqueur,' 'claustrologie,' 'mirécran.' The radio broadcasts use standard French media language with Cerclon political terminology.","This chapter is entirely set inside Cerclon where conditions are controlled. The risks are political and social, not environmental. The physical environment is comfortable and safe.","The Clastre evaluates all seven million citizens, from President A to the last-ranked Qzaac at position 7,054,423. The system's comprehensive scope confirms a large, established space population.",The Clastre is administered by a single centralized government through the Terminor system. The surveillance hierarchy flows from P through subordinate ministers to field operatives. The entire political apparatus is unified.,"The chapter is dominated by Capt's university lecture deconstructing the Clastre as a political technology of control, using Foucault's framework of power, knowledge, and subjectivation. The radio broadcasts of the Volte's communique and the government's response further the political narrative.","The Clastre is a civilian evaluation system. The surveillance operatives installing cameras and listening devices in Capt's apartment are civilian intelligence agents, not military. The university setting and media landscape are entirely civilian.","The Clastre is the ultimate networked control system: it collects data from medical exams, psychological evaluations, peer ratings, and performance reviews, processes them through the Terminor, and outputs a comprehensive identity assignment. Capt's lecture on 'dividuels' describes space governance as fundamentally operating through data networks and information processing.","The chapter takes place entirely inside Cerclon where conditions are artificially Earth-like. The constant temperature, gravity, humidity, and oxygen levels described in previous chapters continue. The environment is managed to minimize physical differences from Earth."
France,La Zone du Dehors,Chapter IX,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Mostly civilian with some military presence,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The Volte escalates dramatically during Clastre month with the 'Disjonc-télés' TV pirating operation, hijacking broadcasts with subversive content. The government responds with a 1-million bounty on the Bosquet and a 'Wanted' campaign. Capt discovers surveillance cameras in his apartment, and the Volte develops body-language codes to evade electronic monitoring. The conflict has become a strategic struggle between organized resistance and state repression.","Cerclon remains a fully governed permanent settlement. The chapter describes rooftop commando operations across the city, TV broadcast infrastructure, secret meeting locations like Cuve 13, and the government's comprehensive surveillance apparatus. The settlement's infrastructure supports both state control and resistance operations.","No new journey information is provided. The setting remains on Cerclon orbiting Saturn, maintaining the established major separation from Earth. The chapter's focus on internal political conflict reinforces the characters' distance from Earth.","The Clastre month rituals, the TV pirating operation using rooftop emitters, the subliminal 'A' image broadcast, the fake circuit voice takeover, and the body-language code system (zipper/hands/pockets) developed at Cuve 13 all represent cultural practices unique to this enclosed space society. The 'intellectueur' media concept is a distinctly Cerclonnien phenomenon.","Characters continue speaking French with Cerclon-specific terminology. The chapter introduces terms like 'Disjonc-télés,' 'cloisonnement,' 'clameurs,' and the Volte's coded body language. Media broadcasts use standard French adapted with political and technological neologisms of Cerclon.","The chapter focuses on interior Cerclon operations. Slift's rooftop commando involves physical risk from climbing and evading detection, but the environment itself is controlled. The dangers are political and operational rather than environmental.","The TV pirating operation reaches the entire population of Cerclon. The growing popular support for the Volte, the media polarization, and the government's mass communication response all confirm a large, established space population for whom space habitation is entirely normal.","The government responds as a unified entity: issuing the Wanted announcement, coordinating media response, and deploying surveillance. The Bosquet operates as a clandestine opposition to this single authority. No competing state entities exist.","The chapter centers on political escalation: the TV pirating as political media warfare, the government's propaganda response, the 'intellectueur' interview debating the Volte's legitimacy, and the Bosquet's strategic planning at Cuve 13. The narrative is fundamentally about political struggle and media manipulation.","The domain remains primarily civilian, but the escalation introduces more forceful elements: Slift's rooftop commando operates with military-style coordination, the government's Wanted campaign resembles a military manhunt, and the Volte develops covert operational security (cloisonnement, body codes). The civilian-military boundary begins to blur.","The TV pirating operation is the ultimate expression of networked warfare: hijacking broadcast frequencies, inserting subliminal images, and taking over the circuit voice. The government's response through media control and surveillance cameras in Capt's apartment reinforces the characterization of space governance as operating through information networks.","The chapter takes place entirely inside Cerclon where conditions are artificially controlled. Rooftop operations expose characters to the exterior environment briefly, but the focus is on the urban interior where environmental differences from Earth are managed."
France,La Zone du Dehors,Chapter X,High contestation (frequent conflict or strategic struggle),Habitable and governable (permanent settlements can hold territory),"Long-distance journey (years, major separation from Earth)",Distinct space culture,"Mostly same, with dialect/slang differences",Manageable but risky,Common (many people live/work there),Single unified authority,Political / diplomatic,Entirely civilian,Like cyberspace / networked or abstract domain,Somewhat different (manageable environmental differences),"The Volte intensifies its campaign with Kamio's provocative public speeches in centres de rencontres and Capt's illegal placement of clameurs (sound pastilles) throughout the city despite government decrees. Capt threatens a woman who confronts him, showing the escalating personal toll. The conflict has become a sustained strategic struggle over public consciousness.","The chapter describes centres de rencontres, public spaces, and city streets where Kamio delivers speeches and Capt places clameurs. The governed urban infrastructure of Cerclon is the battleground for the Volte's campaign of public agitation.","No new journey information. The setting remains Cerclon orbiting Saturn, with the established major separation from Earth continuing as background context for the political events.","The clameurs invention is a uniquely Cerclonnien cultural artifact: small sound pastilles placed around the city that play 10-second philosophical recordings when people pass. Kamio's concept of 'l'orœil' and body politics ('organismés') represent philosophical ideas shaped by the experience of living in an enclosed, surveilled space habitat.","Kamio's speeches use French with distinctive Cerclon philosophical vocabulary: 'organismés,' 'l'orœil,' 'clameurs,' 'capsulateurs.' The language remains recognizably French but heavily adapted with neologisms born from space-society experience.","The chapter is set entirely inside Cerclon's controlled urban environment. The risks are political and interpersonal rather than environmental. Capt's threatening encounter with Gncsr demonstrates social danger, not physical environmental hazard.",Kamio addresses packed centres de rencontres and Capt places clameurs throughout the city for the general population to encounter. The chapter depicts a fully populated urban society where space habitation is the unremarkable norm.,The government issues decrees against clameurs and maintains surveillance. The single unified authority continues to govern Cerclon while the Volte operates as an underground opposition.,"Kamio's speeches directly confront citizens about their complicity in the Clastre system, challenging them to revolt against self-surveillance and body control. Capt's clameurs are a form of political art activism. The entire chapter is political agitation and philosophical provocation.",Kamio's speeches are civilian political harangues in public meeting spaces. Capt's clameur placement is civilian activism. The government response consists of civilian decrees and policing. No military elements appear in this chapter.,"The clameurs create a distributed network of subversive messages embedded in the city's physical infrastructure, functioning like a physical internet of resistance. Kamio's speeches about how bodies are 'organismés' by networked control systems reinforce the cyberspace characterization of the domain.","The chapter takes place entirely in Cerclon's interior urban spaces where conditions are artificially maintained. The environment is functionally Earth-like, with differences managed by the habitat's infrastructure."
