book,chapter,q_number,claude_answer,human_answer
Ender's Game,Chapter 1 - THIRD,1,Total war / constant conflict,Other / Unsure
Ender's Game,Chapter 1 - THIRD,2,Other / Unsure,Other / Unsure
Ender's Game,Chapter 1 - THIRD,3,Other / Unsure,Other / Unsure
Ender's Game,Chapter 1 - THIRD,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 1 - THIRD,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 1 - THIRD,6,Other / Unsure,Other / Unsure
Ender's Game,Chapter 1 - THIRD,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 1 - THIRD,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 1 - THIRD,9,Military / war,Adventure / exploration
Ender's Game,Chapter 1 - THIRD,10,Mostly military,Other / Unsure
Ender's Game,Chapter 1 - THIRD,11,Other / Unsure,Other / Unsure
Ender's Game,Chapter 1 - THIRD,12,Other / Unsure,Other / Unsure
Ender's Game,Chapter 2 - PETER,1,Total war / constant conflict,Other / Unsure
Ender's Game,Chapter 2 - PETER,2,Other / Unsure,Other / Unsure
Ender's Game,Chapter 2 - PETER,3,Other / Unsure,Other / Unsure
Ender's Game,Chapter 2 - PETER,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 2 - PETER,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 2 - PETER,6,Other / Unsure,Other / Unsure
Ender's Game,Chapter 2 - PETER,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 2 - PETER,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 2 - PETER,9,Military / war,Adventure / exploration
Ender's Game,Chapter 2 - PETER,10,Mostly military,Other / Unsure
Ender's Game,Chapter 2 - PETER,11,Other / Unsure,Other / Unsure
Ender's Game,Chapter 2 - PETER,12,Other / Unsure,Other / Unsure
Ender's Game,Chapter 3 - GRAFF,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 3 - GRAFF,2,Other / Unsure,Habitable and governable (permanent settlements can hold territory)
Ender's Game,Chapter 3 - GRAFF,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 3 - GRAFF,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 3 - GRAFF,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 3 - GRAFF,6,Other / Unsure,Other / Unsure
Ender's Game,Chapter 3 - GRAFF,7,Uncommon (small specialist population),Uncommon (small specialist population)
Ender's Game,Chapter 3 - GRAFF,8,Single unified authority,Single unified authority
Ender's Game,Chapter 3 - GRAFF,9,Military / war,Adventure / exploration
Ender's Game,Chapter 3 - GRAFF,10,Mostly military,Entirely military / war-focused
Ender's Game,Chapter 3 - GRAFF,11,Like the ocean / naval,Like the ocean / naval
Ender's Game,Chapter 3 - GRAFF,12,Other / Unsure,Other / Unsure
Ender's Game,Chapter 4 - LAUNCH,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 4 - LAUNCH,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 4 - LAUNCH,3,"Long-distance journey (years, major separation from Earth)",Near-Earth / very short journey
Ender's Game,Chapter 4 - LAUNCH,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 4 - LAUNCH,5,Same languages as Earth,"Mostly same, with dialect/slang differences"
Ender's Game,Chapter 4 - LAUNCH,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 4 - LAUNCH,7,Uncommon (small specialist population),Uncommon (small specialist population)
Ender's Game,Chapter 4 - LAUNCH,8,Single unified authority,Single unified authority
Ender's Game,Chapter 4 - LAUNCH,9,Military / war,Adventure / exploration
Ender's Game,Chapter 4 - LAUNCH,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 4 - LAUNCH,11,Like the ocean / naval,Totally unique domain
Ender's Game,Chapter 4 - LAUNCH,12,Very different (human bodies/technology constantly challenged),Very different (human bodies/technology constantly challenged)
Ender's Game,Chapter 5 - GAMES,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 5 - GAMES,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
Ender's Game,Chapter 5 - GAMES,3,"Long-distance journey (years, major separation from Earth)",Other / Unsure
Ender's Game,Chapter 5 - GAMES,4,Basically Earth society in space,Mostly Earth-like with minor adaptations
Ender's Game,Chapter 5 - GAMES,5,"Mostly same, with dialect/slang differences","Mostly same, with dialect/slang differences"
Ender's Game,Chapter 5 - GAMES,6,Manageable but risky,Other / Unsure
Ender's Game,Chapter 5 - GAMES,7,Uncommon (small specialist population),Other / Unsure
Ender's Game,Chapter 5 - GAMES,8,Single unified authority,Other / Unsure
Ender's Game,Chapter 5 - GAMES,9,Military / war,Adventure / exploration
Ender's Game,Chapter 5 - GAMES,10,Entirely military / war-focused,Entirely military / war-focused
Ender's Game,Chapter 5 - GAMES,11,Like the ocean / naval,Other / Unsure
Ender's Game,Chapter 5 - GAMES,12,Very different (human bodies/technology constantly challenged),Somewhat different (manageable environmental differences)
Ender's Game,Chapter 6 - THE GIANT'S DRINK,1,Total war / constant conflict,High contestation (frequent conflict or strategic struggle)
Ender's Game,Chapter 6 - THE GIANT'S DRINK,2,"Visiting / Temporary presence only (stations, missions, outposts)",Other / Unsure
