q_number,n_pairs,n_both_other,n_one_other,exact_agreement,kappa,kappa_weighted,n_pairs_ordinal,alpha,scale
1,124,5,50,0.3548387096774194,0.1919850126252342,0.20608782435129738,74,0.7937653479590426,ordinal
2,124,24,68,0.22580645161290322,0.004182700351346816,-0.08201892744479485,56,0.7509549096329421,ordinal
3,124,24,59,0.4112903225806452,0.22955145118733508,0.8863567854343762,65,0.9031714370396962,ordinal
4,114,19,28,0.49122807017543857,0.360479736918464,0.6427787704943732,86,0.8898350510212668,ordinal
5,124,22,38,0.6048387096774194,0.47737829003956656,0.7786684667960508,86,0.9071805888333172,ordinal
6,124,20,63,0.4435483870967742,0.26903032891926526,0.8556554661618552,61,0.9962940008150584,ordinal
7,124,30,51,0.5,0.27038056372781627,0.5610255732505126,73,0.920386901058259,ordinal
8,124,26,61,0.27419354838709675,-0.07940806654415324,-0.313256982779929,63,0.7457801408664623,ordinal
9,124,0,24,0.1532258064516129,0.027341999103541015,NA,NA,-0.05140471074715203,nominal
10,124,14,48,0.5403225806451613,0.3342752189884147,0.8868478443214225,76,0.943309914213298,ordinal
11,124,25,55,0.23387096774193547,0.05790147152911067,NA,NA,-0.09419445092096068,nominal
12,86,33,10,0.7093023255813954,0.5577951460304402,0.571667936024372,76,0.9055780909605851,ordinal
