country,book,chapter,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q1_justification,q2_justification,q3_justification,q4_justification,q5_justification,q6_justification,q7_justification,q8_justification,q9_justification,q10_justification,q11_justification,q12_justification
US,The Left Hand of Darkness,front_matter,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Extremely hostile (constant survival pressure),Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"The introduction establishes political tension between Karhide and Orgoreyn, but conflict is diplomatic rather than military or violent.","Genly Ai is a single envoy visiting Gethen; there is no permanent Ekumenical settlement, only his temporary diplomatic presence.","The front matter establishes Gethen as an extremely remote world, reachable only by NAFAL ships traveling near lightspeed across interstellar distances.","Gethenian society is fundamentally alien: ambisexual biology, kemmer cycle, and entirely non-Earth cultural norms are introduced.","Gethenians speak their own languages (Karhidish, Orgota) completely unrelated to any Earth language.","Gethen is described as a planet in perpetual ice age, with extreme cold dominating all aspects of life.","Only one person, Genly Ai, has come from off-world. Space travel to Gethen is extraordinarily rare.","The Ekumen comprises 83 habitable worlds, while Gethen itself has multiple nations (Karhide, Orgoreyn). These are distinct political entities.",The front matter frames the story as a diplomatic mission: an envoy sent to convince a world to join an interstellar alliance.,The Ekumen's mission is purely diplomatic and civilian. No military presence is described.,"The Ekumen is expanding its alliance to include new worlds, echoing frontier expansion into unknown territories.",Gethen's ice-age climate poses constant challenges to Genly Ai's human physiology; the environment is markedly different from Earth.
US,The Left Hand of Darkness,Chapter 1 - A Parade in Erhenrang,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),"The Karhide-Orgoreyn border dispute over the Sinoth Valley is mentioned, and political factions compete, but there is no open space conflict.",Genly Ai is a lone envoy with a starship waiting in orbit. His presence is temporary and diplomatic.,"The nearest Ekumenical world Ollul is 17 light-years away. NAFAL ships travel near lightspeed, making the journey feel effectively one-way.","Gethenian society with its ambisexual biology, shifgrethor social codes, and kemmer cycle is fundamentally alien to Earth norms.","Genly speaks Karhidish, a completely alien language he has learned. The ansible is mentioned as communicating across interstellar distances.",The cold climate is pervasive but Erhenrang functions as a city; survival requires adaptation but is managed by the inhabitants.,"Genly Ai is the sole representative from off-world. He is the First Mobile, the only alien on the entire planet.",The Ekumen of 83 Known Worlds is described alongside Karhide and Orgoreyn as separate political entities.,"The chapter centers on Genly's diplomatic mission, his audience with King Argaven, and political maneuvering around Estraven's fall.",All interactions are diplomatic and civilian. No military forces or operations are involved.,"The Ekumen's outreach to Gethen resembles frontier expansion, extending civilization's reach to a new, remote world.","Genly wears a coat when temperatures are in the 30s F, while Gethenians do not. The climate constantly challenges his Earth-adapted body."
US,The Left Hand of Darkness,Chapter 2 - The Place Inside the Blizzard,Other / Unsure,Other / Unsure,Other / Unsure,Radically different / alien social order,Distinct space language(s),Extremely hostile (constant survival pressure),Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Very different (human bodies/technology constantly challenged),This is a Karhidish myth about two brothers; it does not address space contestation.,The myth takes place entirely on Gethen and does not discuss space territory or habitation.,No interstellar journey or space travel is referenced in this mythological tale.,"The myth depicts Gethenian kemmer and vow-keeping customs, revealing a fundamentally alien social and sexual order.","The myth is told in Karhidish, a language entirely distinct from any Earth language.","The myth centers on exile to the Ice, depicting a world where blizzards and glaciers are omnipresent mortal threats.",The myth does not reference space habitation or off-world presence.,No political structures related to space are mentioned in this mythological tale.,"The myth is a tragic tale of brotherly love, exile, death, and an encounter with a spirit on the Ice.",The myth involves civilians and domestic life; no military elements are present.,The myth does not provide analogies to space as a domain.,"The myth depicts the Ice and blizzards as deadly forces, reinforcing Gethen's extremely harsh physical environment."
US,The Left Hand of Darkness,Chapter 3 - The Mad King,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Political intrigue leads to Estraven's exile. The border dispute simmers but no open conflict erupts.,"Genly demonstrates the ansible to the king, but his presence remains that of a temporary envoy with no permanent infrastructure.",The ansible enables instant communication but physical distances remain vast; Genly's home is effectively unreachable.,"King Argaven's court operates on shifgrethor, fear, and alien political customs entirely unlike Earth governance.",Court proceedings occur in Karhidish. The ansible demonstrates cross-stellar communication but in alien tongues.,"The cold is ever-present in Erhenrang, requiring significant adaptation, though the city functions.",Genly is the sole off-worlder. The king is incredulous about the Ekumen and other worlds.,The Ekumen of Known Worlds and the separate nations of Gethen represent multiple distinct polities.,"The chapter revolves around Genly's failed audience with the unstable king, and Estraven's sudden political exile.",All encounters are political and civilian; no military apparatus is involved.,The Ekumen's attempt to bring Gethen into its fold resembles diplomatic expansion into a frontier territory.,Genly remains physically out of place on this cold world; the environment challenges his Earth-adapted physiology.
US,The Left Hand of Darkness,Chapter 4 - The Nineteenth Day,Other / Unsure,Other / Unsure,Other / Unsure,Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Very different (human bodies/technology constantly challenged),This is a Karhidish tale about a Foretelling; it does not address space contestation.,The tale takes place entirely on Gethen with no reference to space territory.,No interstellar travel is referenced in this traditional tale.,The Foretelling tradition reveals a unique Gethenian cultural practice with no Earth parallel.,"The tale is told in Karhidish, an entirely alien language.",The tale's setting reflects Gethen's harsh winter environment.,No space habitation or off-world presence is mentioned.,The tale does not address political structures related to space.,"The tale of the Foretelling is a dramatic narrative exploring fate, knowledge, and consequence.",The tale involves only civilians and religious practitioners.,The tale does not provide analogies for space as a domain.,"The tale reinforces the harsh, cold environment of Gethen that differs greatly from Earth."
US,The Left Hand of Darkness,Chapter 5 - The Domestication of Hunch,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Genly observes Gethenian society from a position of diplomatic interest; no open conflict occurs.,Genly travels as a lone envoy visiting Handdara Fastnesses; no permanent off-world settlement exists.,Genly's profound isolation on Gethen underscores the extreme distance from Ekumenical worlds.,"The Handdara religion, Foretelling practice, and Gethenian social organization are fundamentally unlike anything on Earth.","Genly operates in Karhidish, an entirely distinct language from Earth tongues.",The winter environment is harsh but the Fastness functions; survival requires significant adaptation.,Genly is the only off-worlder on the entire planet.,The Ekumen and Gethenian nations represent distinct political entities across space.,Genly's observations serve his diplomatic mission of understanding Gethenian society for the Ekumen.,"All activities are civilian: religious observation, travel, and cultural study.",Genly's solo exploration of an alien culture mirrors frontier-era explorers studying new territories.,Gethen's environment and society constantly challenge Genly's Earth-adapted body and assumptions.
US,The Left Hand of Darkness,Chapter 6 - One Way into Orgoreyn,Moderate contestation (ongoing rivalry/disputes),"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),The Karhide-Orgoreyn border dispute is central; Estraven is exiled and crosses into rival territory amid ongoing political rivalry.,Estraven enters Orgoreyn as a refugee; Genly's mission remains a temporary diplomatic visit.,"Estraven reflects on Genly's alien origin from impossibly distant worlds, reinforcing the extreme separation.","Orgoreyn's commensality system, bureaucracy, and the contrast with Karhide reveal an alien political culture.","Estraven navigates between Karhidish and Orgota, both alien languages distinct from Earth tongues.","The border crossing in winter conditions highlights the harsh environment, though survivable with proper preparation.",Genly remains the only alien on the planet; his mission is referenced as unprecedented.,"Karhide, Orgoreyn, and the Ekumen are presented as separate political entities with distinct governance.",The chapter follows Estraven's political exile and his attempts to influence Orgota Commensals regarding the Ekumen.,All activities are civilian and political; no military forces are involved.,The narrative of crossing borders into rival territory echoes frontier-era political maneuvering.,The harsh winter conditions during border crossing emphasize Gethen's fundamentally different environment.
US,The Left Hand of Darkness,Chapter 7 - The Question of Sex,No contestation,"Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Other / Unsure,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),This chapter is an investigator's field notes on Gethenian sexuality; no conflict or contestation over space is discussed.,"The investigator is a temporary Ekumenical observer on Gethen, with no permanent settlement.","The field notes come from an earlier Ekumenical investigation team, underscoring the vast distances involved in reaching Gethen.","The entire chapter analyzes Gethenian ambisexuality and its profound effects on their society, which is fundamentally unlike any Earth culture.","The notes reference Gethenian terminology (kemmer, somer, kemmering) that has no Earth equivalent.","The notes mention the harsh climate and its effects on Gethenian society, including the observation that Gethenians have never had war.",The investigator is one of very few off-worlders to have visited Gethen; space travel there is exceedingly rare.,The Ekumen sending investigators implies a multi-world political structure observing Gethen's distinct nations.,This chapter reads as academic field notes rather than fitting a standard narrative genre.,The investigation is purely scientific and civilian; no military presence is mentioned.,The Ekumen's scientific investigation of a newly contacted world parallels frontier-era ethnographic study.,The notes describe how Gethen's environment and biology differ drastically from Earth norms.
US,The Left Hand of Darkness,Chapter 8 - Another Way into Orgoreyn,"Low contestation (minor competition, little open conflict)","Visiting / Temporary presence only (stations, missions, outposts)","Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",Radically different / alien social order,Distinct space language(s),Harsh and resource-intensive,Exceptionally rare (few astronauts/explorers),Multiple distinct space polities,Political / diplomatic,Entirely civilian,Like the frontier / colonial expansion,Very different (human bodies/technology constantly challenged),Genly navigates Karhidish politics and eventually flees to Orgoreyn; tensions simmer but no open conflict erupts.,"Genly continues his role as a temporary envoy, traveling through Karhide with no permanent off-world infrastructure.","Genly's isolation on Gethen, far from any Ekumenical support, reinforces the extreme distance from his home worlds.","Genly observes Karhidish customs, Foretelling traditions, and social structures that are entirely unlike Earth society.",Genly operates in Karhidish and encounters Orgota; both are completely alien languages.,Travel through Karhide in worsening weather highlights the demanding environment.,"Genly remains the sole off-worlder, viewed with suspicion and curiosity.","The chapter depicts Karhide, Orgoreyn, and the distant Ekumen as separate political entities.",Genly's journey is driven by the failure of his diplomatic mission in Karhide and his hope for Orgoreyn.,All activity is civilian travel and political maneuvering.,Genly's solitary journey through an alien land echoes frontier exploration.,Gethen's cold and alien customs continue to challenge Genly's Earth-adapted body and mind.
US,The Left Hand of Darkness,Chapter 9 - Estraven the Traitor,Other / Unsure,Other / Unsure,Other / Unsure,Radically different / alien social order,Distinct space language(s),Other / Unsure,Other / Unsure,Other / Unsure,Drama,Entirely civilian,Other / Unsure,Other / Unsure,This is an origin myth about the Estraven name and a blood feud; it does not address space contestation.,The myth takes place entirely on Gethen with no reference to space territory.,No interstellar travel or space journey is referenced.,"The myth depicts Gethenian customs of kemmering, hearth-bonds, and blood feuds that are entirely alien.",The myth is told in Karhidish with its own terminology for social bonds and customs.,"While set on Gethen, this myth focuses on interpersonal drama rather than environmental conditions.",No space habitation or off-world presence is mentioned.,"The myth concerns local domains and feuds, not interstellar political structures.","The myth is a tragic tale of betrayal, blood feud, and the origin of the Estraven name.","The feuding parties are civilian hearths and domains, not military forces.",The myth provides no analogy for space as a domain.,The myth does not focus on environmental conditions.
